Skewness: 0.6500646147003835, Average LID: LPCA: 7.521367521367521  |||  MLE: 9.27754391351066  |||  MLENB: 9.27754391351066  |||  TLE: 3.933164270247799
LPCA: 0.03293125381704888  |||  MLE: -0.57465390056476  |||  MLENB: -0.57465390056476  |||  TLE: -0.423547902899443
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;26;4;5.086314570127781;5.086314570127781;4.456233795935049
1;7;6;10.089579251311845;10.089579251311845;4.916219387375456
2;39;5;7.15542296430579;7.15542296430579;5.351955061976723
3;1;9;24.865958599433075;24.865958599433075;6.667500340945491
4;20;4;6.802372762471858;6.802372762471858;5.185834745654875
5;100;13;2.1589323521758796;2.1589323521758796;2.9239090168365296
6;18;5;3.3772514686645634;3.3772514686645634;3.2053509493966255
7;3;10;22.876255929097752;22.876255929097752;5.915612067124716
8;20;5;3.0771390163671675;3.0771390163671675;3.128840944989502
9;67;14;3.688421714567263;3.688421714567263;3.323929599117737
10;17;6;2.6301722487667725;2.6301722487667725;2.7389763314291455
11;0;8;19.89486703718891;19.89486703718891;4.33326406812267
12;24;4;3.2077957535906565;3.2077957535906565;2.8926885822243262
13;2;8;21.94543635968497;21.94543635968497;3.4257427561816187
14;22;6;4.451224961921309;4.451224961921309;2.4712239826062095
15;3;7;20.57182649919293;20.57182649919293;5.687836161402231
16;79;7;3.3480100180267716;3.3480100180267716;3.0157248942869535
17;0;15;21.655695829630076;21.655695829630076;4.334267598276573
18;37;10;7.427624925219435;7.427624925219435;4.814308018958768
19;0;6;40.223462218052376;40.223462218052376;8.801878004922784
20;29;4;3.2295324231969667;3.2295324231969667;2.783747583992689
21;0;13;13.750207771064337;13.750207771064337;4.019952496507958
22;62;8;5.9493331238137985;5.9493331238137985;5.135156108579822
23;0;14;21.66865236609566;21.66865236609566;5.390847659432541
24;41;6;4.867216404290068;4.867216404290068;3.8804865337719403
25;3;6;5.706258511150588;5.706258511150588;2.8601407940695283
26;12;6;4.675174047034274;4.675174047034274;3.3663045337589486
27;0;12;15.019453686214712;15.019453686214712;3.9371610871665856
28;12;4;4.2207392173231355;4.2207392173231355;3.138762698913927
29;0;11;43.35089314532702;43.35089314532702;9.213959266738879
30;19;5;4.021418059207004;4.021418059207004;2.8264831938253914
31;0;10;52.565212486442825;52.565212486442825;5.173445599915423
32;28;3;3.4095553591861254;3.4095553591861254;3.1207476202638516
33;2;8;23.50583368156806;23.50583368156806;7.221572556034239
34;7;10;18.655470473417395;18.655470473417395;3.9381514695435524
35;4;9;42.818707261970225;42.818707261970225;5.807149942003675
36;70;5;3.036058512389293;3.036058512389293;2.9484111730594025
37;0;11;22.32653216433995;22.32653216433995;4.792737245206918
38;76;6;4.185930817771639;4.185930817771639;3.7559159435047533
39;11;8;12.25762466186238;12.25762466186238;4.987633017185052
40;31;3;2.245234167405609;2.245234167405609;2.7558292299011664
41;0;12;27.46031333574451;27.46031333574451;5.816294078293264
42;36;3;3.8363962982233506;3.8363962982233506;3.653444965692966
43;0;9;63.876525037801365;63.876525037801365;7.254175232944794
44;21;5;2.9511819563907746;2.9511819563907746;3.0684617870072057
45;0;8;18.466937021031505;18.466937021031505;5.6302851368632725
46;33;4;2.957470482559598;2.957470482559598;2.6219105899855477
47;10;13;17.46330331074023;17.46330331074023;7.011651734678937
48;65;7;3.5721173621723437;3.5721173621723437;3.2775682516246047
49;5;14;9.620249559912981;9.620249559912981;3.9585411310082246
50;8;7;18.01678647970895;18.01678647970895;4.829356604103669
51;0;8;50.58674306902062;50.58674306902062;8.203840945718587
52;18;2;2.3916777754807668;2.3916777754807668;1.9219943472644414
53;0;14;17.67864657550474;17.67864657550474;4.2900674127208465
54;34;5;3.4468877132396964;3.4468877132396964;2.973015677778122
55;1;10;18.7629396586014;18.7629396586014;5.446903335528405
56;17;7;9.015764624297029;9.015764624297029;3.9030429748537756
57;0;10;31.497120318479602;31.497120318479602;6.712595941799677
58;47;8;3.6461524805196843;3.6461524805196843;2.75293345783217
59;2;16;10.779487530783163;10.779487530783163;4.209748790846097
60;33;5;6.016392677122603;6.016392677122603;4.307388723477702
61;8;8;11.483515238623022;11.483515238623022;4.8662638168726495
62;30;4;2.611538137271362;2.611538137271362;2.9661402679770426
63;4;4;30.357852929080504;30.357852929080504;8.807230621231518
64;7;9;21.64971512696673;21.64971512696673;5.719305268962996
65;2;8;18.800887618058667;18.800887618058667;3.8938405114438988
66;17;7;6.679952733265528;6.679952733265528;3.66766414418397
67;1;6;46.85053686487237;46.85053686487237;4.399641534120278
68;28;3;2.1692116331772433;2.1692116331772433;2.1335865040024027
69;0;7;41.01833918543447;41.01833918543447;4.091760583458629
70;21;3;5.037668325902602;5.037668325902602;3.5787785653375526
71;0;9;32.632481513604176;32.632481513604176;8.148467811146412
72;28;4;2.371863710497845;2.371863710497845;2.7936421972387953
73;48;8;6.212048280701583;6.212048280701583;3.9904832551148623
74;24;5;2.905308283798853;2.905308283798853;3.0971752126937497
75;1;8;47.97783487021897;47.97783487021897;6.275693698358323
76;28;4;3.1755253425972727;3.1755253425972727;3.281102728913276
77;1;6;13.893864083414723;13.893864083414723;4.450005208224412
78;14;2;3.599475745432083;3.599475745432083;2.6479786340857876
79;1;8;36.1616595686231;36.1616595686231;9.191689040086324
80;10;4;7.14828470270723;7.14828470270723;3.2846696796412815
81;1;7;47.76422309709473;47.76422309709473;3.696118983836453
82;34;3;2.1955898448298856;2.1955898448298856;2.714654264969752
83;70;5;6.421795825733024;6.421795825733024;4.912315789476937
84;69;8;4.539660512000608;4.539660512000608;4.114693498737405
85;4;11;12.959885133671369;12.959885133671369;5.769277367676975
86;66;7;5.129219038417874;5.129219038417874;4.6820845673938924
87;5;11;15.054130395203813;15.054130395203813;5.813562606880077
88;104;9;3.7824526375386545;3.7824526375386545;3.870798991181368
89;78;5;5.64102893084366;5.64102893084366;4.362934389582648
90;32;4;5.417525360634074;5.417525360634074;4.301683221916875
91;7;8;16.81683008156203;16.81683008156203;6.947518103427648
92;45;10;6.882425582269856;6.882425582269856;5.078830316382235
93;15;6;9.862508646869873;9.862508646869873;4.464695305885971
94;86;10;4.120995777045847;4.120995777045847;3.828795949452548
95;24;3;4.517179521734048;4.517179521734048;3.4246471307632316
96;25;3;1.721972288432134;1.721972288432134;2.1120582165386668
97;26;3;1.8103076929620179;1.8103076929620179;2.1683047347123705
98;1;11;18.387649322456504;18.387649322456504;5.425242302300674
99;84;7;3.611057527627681;3.611057527627681;3.6125729971908314
100;1;6;22.425043381550925;22.425043381550925;7.836276400431332
101;52;5;3.046873952229725;3.046873952229725;2.8246147258316676
