Skewness: 0.41555004070429963, Average LID: LPCA: 7.589743589743589  |||  MLE: 6.477152741279537  |||  MLENB: 6.477152741279537  |||  TLE: 3.334267266300322
LPCA: -0.0850610088054101  |||  MLE: -0.6006179769608256  |||  MLENB: -0.6006179769608256  |||  TLE: -0.5099811471732387
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;58;4;4.742100466636695;4.742100466636695;3.598642502381892
1;24;9;8.365301169524834;8.365301169524834;4.566752814640862
2;132;7;5.225252946646757;5.225252946646757;4.019858680361901
3;6;7;16.839969479040008;16.839969479040008;5.854693849081677
4;84;3;5.483372751535588;5.483372751535588;3.7900255945828034
5;164;13;2.255874721755567;2.255874721755567;2.7590808577579002
6;21;6;4.475411919097147;4.475411919097147;3.3774136316120993
7;5;10;12.320649395744212;12.320649395744212;4.192908096603353
8;26;5;3.813291426865057;3.813291426865057;3.05435762353913
9;147;10;3.3429727947052723;3.3429727947052723;3.068932740621465
10;20;6;3.6961466463588346;3.6961466463588346;2.902094668549742
11;3;9;13.006350389748459;13.006350389748459;3.0279663240209422
12;38;5;3.9844547564467065;3.9844547564467065;3.0687110954293133
13;6;11;9.793582366262235;9.793582366262235;2.9601554143613242
14;66;7;3.1538468812957965;3.1538468812957965;2.29329542849889
15;7;10;12.490895102321325;12.490895102321325;4.73957864666019
16;151;8;2.0308574006387845;2.0308574006387845;2.171134703005692
17;0;12;22.421473790657707;22.421473790657707;5.985368884990198
18;132;7;4.565542475569362;4.565542475569362;3.438945432883544
19;0;5;25.77785263415177;25.77785263415177;5.953337153901035
20;67;5;3.455010430373297;3.455010430373297;2.73508003948042
21;2;14;12.01694037135058;12.01694037135058;5.059902336630522
22;190;7;3.999899678914547;3.999899678914547;3.5163626570850095
23;1;15;14.187352255646553;14.187352255646553;4.669657188792994
24;109;6;3.9337140681763167;3.9337140681763167;3.1060649715055066
25;8;5;6.950210668113288;6.950210668113288;2.7073329919584097
26;21;8;5.778603303568;5.778603303568;3.4478148088740967
27;1;15;12.840285859563664;12.840285859563664;4.34579731696943
28;19;3;5.271451970641475;5.271451970641475;2.836818135224886
29;0;10;25.69032916333968;25.69032916333968;5.568025599216878
30;30;5;4.510241598423183;4.510241598423183;2.8428717373414525
31;2;13;20.820657721112152;20.820657721112152;3.2132757835942587
32;48;5;4.041851425258355;4.041851425258355;3.297502132519552
33;5;7;18.16000002699628;18.16000002699628;5.681512263145148
34;11;9;5.572775681818167;5.572775681818167;2.610968323825081
35;4;11;16.806798389315507;16.806798389315507;3.297051394215834
36;123;9;1.6919706005960022;1.6919706005960022;1.8692562031201143
37;0;10;17.532592180561664;17.532592180561664;5.081728755710519
38;167;7;2.545335657233248;2.545335657233248;2.581497883846336
39;26;6;10.480112541847356;10.480112541847356;4.402216344272665
40;43;3;3.166550752972567;3.166550752972567;3.1799189632410085
41;1;11;22.05721105120847;22.05721105120847;6.180487912577759
42;62;3;4.355244525766673;4.355244525766673;3.666404404582496
43;0;8;38.97703962183482;38.97703962183482;4.530769016860972
44;28;5;3.6427312449899736;3.6427312449899736;2.990959212118063
45;4;7;12.314405504195877;12.314405504195877;5.2083627326223825
46;66;6;3.418730148713437;3.418730148713437;2.7806557019364084
47;21;11;9.645590643490813;9.645590643490813;4.512064687519068
48;140;9;2.1134043465575374;2.1134043465575374;2.1541598357945704
49;15;12;8.111569888325969;8.111569888325969;3.9928845770857953
50;18;7;8.93473695767895;8.93473695767895;3.6584845719853636
51;1;6;27.722310815061153;27.722310815061153;5.549998770640765
52;29;6;3.3942893861166357;3.3942893861166357;2.7366578807346893
53;0;15;16.029685742573342;16.029685742573342;4.400277416692822
54;91;6;2.7620160496229573;2.7620160496229573;2.397956327729491
55;1;11;11.7344779833841;11.7344779833841;4.878491764858937
56;62;7;4.002998737868024;4.002998737868024;2.5857936067182834
57;0;9;18.600782221666297;18.600782221666297;4.936972466997742
58;118;7;2.347690399923635;2.347690399923635;2.2150961098161366
59;6;15;8.121365909879147;8.121365909879147;4.002543567183105
60;68;4;4.574601175940071;4.574601175940071;3.1720661449549987
61;45;10;7.719496425960611;7.719496425960611;4.229799343204912
62;41;4;3.5736814234915215;3.5736814234915215;3.2398128155173045
63;7;4;22.484954677830977;22.484954677830977;7.051905238690667
64;29;10;7.189167346607943;7.189167346607943;3.4883156949086334
65;11;7;7.797202539732193;7.797202539732193;3.046328071970203
66;97;11;2.4841580476103164;2.4841580476103164;2.2171423632730445
67;1;10;29.903003014044852;29.903003014044852;3.5183556908694054
68;39;6;2.923851626818198;2.923851626818198;2.834553964017185
69;0;7;24.290306928098186;24.290306928098186;3.403982514338184
70;29;4;4.750316153681663;4.750316153681663;2.869455752362777
71;0;9;25.42406620272694;25.42406620272694;6.035340484398544
72;36;3;3.2906478606957825;3.2906478606957825;3.0902095205579005
73;114;7;5.4548555088490325;5.4548555088490325;3.907487285188064
74;37;3;3.84654341848886;3.84654341848886;3.043336877254588
75;1;7;35.114395405283624;35.114395405283624;4.089075113583497
76;40;5;3.806196081566154;3.806196081566154;2.981216468282822
77;1;7;13.26634170644467;13.26634170644467;4.929788091297364
78;19;4;5.08265127139389;5.08265127139389;3.150489650620123
79;2;7;29.596414682588385;29.596414682588385;7.045098437353474
80;15;6;6.712347689252992;6.712347689252992;2.948505764632294
81;1;11;25.726924717387593;25.726924717387593;3.1334704316560873
82;46;3;3.0224251742977013;3.0224251742977013;3.048739259622283
83;149;4;5.068393833110759;5.068393833110759;4.134012475660633
84;206;7;3.8871705799760896;3.8871705799760896;3.6129329726341024
85;48;7;6.743495684042158;6.743495684042158;3.751558151160449
86;186;5;3.733182931461852;3.733182931461852;3.340237094209811
87;10;10;11.29365047557067;11.29365047557067;4.337102388297444
88;198;7;2.5030270612404473;2.5030270612404473;2.54551289104361
89;124;6;4.721644860935827;4.721644860935827;4.147117126918706
90;47;4;5.082481636357968;5.082481636357968;3.4014251389949743
91;17;8;9.768171797786609;9.768171797786609;4.586684421067078
92;181;7;3.752066487572531;3.752066487572531;3.0789014386445492
93;53;7;6.61980747134112;6.61980747134112;3.73276087138787
94;176;7;2.836554826470247;2.836554826470247;2.6772697595986568
95;31;7;4.282437264115148;4.282437264115148;3.4516686181608285
96;37;5;2.452548789236897;2.452548789236897;2.804609319197738
97;41;4;2.479810411613065;2.479810411613065;2.72733519378267
98;5;9;13.606387547582223;13.606387547582223;4.773980969882289
99;190;6;3.416630213295363;3.416630213295363;3.3698708907010273
100;1;6;12.168147913486965;12.168147913486965;4.550486926415256
101;109;9;1.7131395722174134;1.7131395722174134;1.8504745746266358
102;132;13;0.0;0.0;3.5636465701860827
103;90;7;3.172433358935259;3.172433358935259;2.595247925183779
104;58;8;7.888979275516263;7.888979275516263;4.309226759522007
105;37;7;4.445501472354253;4.445501472354253;2.57297782669371
106;104;11;5.155288373929636;5.155288373929636;3.656100653940573
107;129;10;2.0678438988858696;2.0678438988858696;2.1471668777307884
108;78;8;9.368739616150355;9.368739616150355;5.228430050928485
109;15;5;5.379871580046831;5.379871580046831;2.9205363684611947
110;22;8;12.328129864424753;12.328129864424753;5.410523384359251
111;52;4;2.440581776388735;2.440581776388735;2.788508730428349
112;29;7;9.86240998898278;9.86240998898278;4.57880654218073
113;47;4;2.4409465798050105;2.4409465798050105;2.7252538646035136
114;124;9;4.921145528412088;4.921145528412088;4.013686874856226
115;194;6;2.784873364023956;2.784873364023956;2.7393055386193286
116;101;6;5.417255917624571;5.417255917624571;4.019610503313537
117;173;7;3.375722631453468;3.375722631453468;3.091784978639823
118;28;13;7.115680527984271;7.115680527984271;4.0920210321961665
119;115;9;2.11902872054785;2.11902872054785;2.145707948564025
120;131;4;4.098744355254074;4.098744355254074;3.2570421346467673
121;14;8;12.566803284252947;12.566803284252947;3.7924713333257287
122;48;11;6.775412410591678;6.775412410591678;4.032837576743793
