Skewness: 1.4376046327936196, Average LID: LPCA: 14.41150442477876  |||  MLE: 13.061750428942997  |||  MLENB: 13.061750428942997  |||  TLE: 10.715446236166434
LPCA: 0.3303327480837114  |||  MLE: -0.4319863562398965  |||  MLENB: -0.4319863562398965  |||  TLE: -0.09059778000036481
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;7;15;13.14560790478211;13.14560790478211;12.71561468736956
1;21;15;13.055407150152075;13.055407150152075;12.00705447840462
2;2;16;18.499538365314734;18.499538365314734;9.175810552314601
3;11;17;17.440429871060083;17.440429871060083;15.638595263838754
4;6;14;9.102149584991375;9.102149584991375;8.676463782043399
5;1;14;10.743614570225821;10.743614570225821;6.247393301367489
6;30;14;9.01245723147679;9.01245723147679;8.872414525166443
7;13;12;15.40063952761083;15.40063952761083;10.38339075187166
8;6;15;12.842432435900639;12.842432435900639;10.146332392294669
9;32;16;11.083436066834542;11.083436066834542;10.42666100034409
10;8;15;15.29182893411216;15.29182893411216;10.59759028246934
11;57;13;7.26730119171784;7.26730119171784;7.422904868951084
12;17;17;12.38160914726931;12.38160914726931;10.252735633950502
13;10;16;9.950093747531685;9.950093747531685;8.321746362867923
14;24;15;8.23784652598558;8.23784652598558;7.596942569707237
15;48;17;9.541305362576638;9.541305362576638;10.033936756146877
16;9;15;13.6081328265013;13.6081328265013;11.140400133416655
17;16;13;11.991416524482315;11.991416524482315;9.92260570131917
18;14;16;11.988026805335274;11.988026805335274;10.660057689926642
19;7;15;16.5693510199443;16.5693510199443;14.641539246582152
20;9;16;21.097659323134273;21.097659323134273;17.57382638915919
21;22;15;9.639330343583836;9.639330343583836;8.933819229641744
22;82;16;9.593446464820277;9.593446464820277;9.993770300934505
23;38;14;8.092027136435467;8.092027136435467;8.932236873331027
24;26;16;15.518411512651308;15.518411512651308;13.741645446320607
25;8;15;18.26697898295455;18.26697898295455;10.488156332043914
26;4;17;10.212654002879136;10.212654002879136;8.796313213843332
27;16;15;13.55907999952728;13.55907999952728;12.204222555686847
28;7;14;15.381486692558717;15.381486692558717;9.716938288940836
29;7;12;8.452604373742945;8.452604373742945;7.183424773961261
30;1;15;15.496229825391254;15.496229825391254;11.483059897998725
31;27;14;8.018702601378282;8.018702601378282;8.08801330114137
32;35;14;8.407052482483419;8.407052482483419;8.073062470084706
33;57;13;13.92971501158369;13.92971501158369;13.335288467324208
34;31;13;9.36680833068913;9.36680833068913;9.38733161670526
35;27;15;9.022426318847753;9.022426318847753;9.0426409813233
36;17;15;12.494358914889897;12.494358914889897;11.40826263129575
37;16;15;11.472948493067022;11.472948493067022;10.509627686252587
38;19;15;9.099125835456121;9.099125835456121;8.661886593792616
39;2;14;9.84433253996675;9.84433253996675;7.221418630364546
40;35;15;15.915508383846289;15.915508383846289;15.452429029223197
41;50;14;12.521581381591146;12.521581381591146;11.861534377228015
42;20;15;17.876262195686785;17.876262195686785;16.20655819199365
43;12;12;11.30404832616899;11.30404832616899;10.108984845298037
44;21;14;11.856860901234274;11.856860901234274;10.150514590594138
45;14;15;8.995950712471686;8.995950712471686;8.18841018781191
46;21;16;14.245187467209586;14.245187467209586;13.078442669089995
47;50;12;7.602057379499792;7.602057379499792;7.853494029161448
48;10;16;10.116372487550645;10.116372487550645;8.749377760683593
49;28;14;13.334828450556824;13.334828450556824;12.294006744998619
50;30;16;9.057687678941187;9.057687678941187;8.755362656877704
51;94;14;14.502135755256162;14.502135755256162;14.682092952513383
52;18;16;7.239838173452853;7.239838173452853;7.057091787894558
53;7;16;9.131222262178213;9.131222262178213;8.422092141411683
54;18;16;9.77834119355678;9.77834119355678;9.006610983515099
55;29;16;8.808944995561834;8.808944995561834;8.717133921369813
56;13;12;12.862260923910506;12.862260923910506;10.113267148197288
57;34;16;7.84122516474769;7.84122516474769;8.18190738885291
58;15;14;11.801915881837672;11.801915881837672;10.32509692608795
59;16;14;11.685571658452162;11.685571658452162;10.991786515384385
60;4;15;17.600853693836452;17.600853693836452;11.838338197392124
61;57;16;7.378707366061264;7.378707366061264;7.959001597029776
62;73;15;9.401899733515089;9.401899733515089;9.994361707059955
63;18;16;7.971726840439001;7.971726840439001;7.622453563533101
64;1;15;13.0865586208301;13.0865586208301;8.4368661562947
65;37;15;6.929852756012892;6.929852756012892;7.106345078489294
66;35;13;11.184786774818274;11.184786774818274;10.7201121148624
67;42;16;11.00014812775065;11.00014812775065;10.646606799643143
68;11;12;24.873832979923126;24.873832979923126;21.441620676799403
69;62;16;9.619161857537827;9.619161857537827;9.86124230695625
70;38;18;8.000583363173135;8.000583363173135;8.490664802686524
71;1;15;28.26936322812653;28.26936322812653;15.911566521706481
72;26;14;9.790811172830459;9.790811172830459;9.812471152468618
73;28;16;18.95602118304624;18.95602118304624;16.245530373882378
74;27;15;13.327133217517632;13.327133217517632;12.197370755083263
75;15;16;9.431127058865359;9.431127058865359;8.990773332961703
76;0;12;21.32136166213446;21.32136166213446;11.920059490990218
77;24;13;12.386191199990195;12.386191199990195;11.324201746386164
78;27;15;14.706245214150945;14.706245214150945;12.764361038212103
79;17;14;13.134557954507507;13.134557954507507;12.304341987856885
80;14;15;8.940547379369344;8.940547379369344;8.515875571695666
81;13;16;15.067090856699142;15.067090856699142;13.368273558461478
82;23;14;12.553467141830247;12.553467141830247;11.948253597682568
83;6;13;25.42093531009374;25.42093531009374;19.51146286012299
84;9;12;8.877112421092226;8.877112421092226;7.52461239200187
85;2;12;12.381212702200695;12.381212702200695;8.684051341049168
86;2;13;22.125466380396183;22.125466380396183;14.468738244839592
87;6;16;20.43005149840187;20.43005149840187;16.735596221325665
88;2;10;15.980529234965246;15.980529234965246;10.03949038044202
89;3;11;18.1650757775277;18.1650757775277;12.826590377826554
90;7;14;8.382574376431394;8.382574376431394;8.263793580599692
91;5;14;16.392104086264542;16.392104086264542;13.03113664942643
92;37;15;7.926038583318054;7.926038583318054;7.989364793818394
93;17;16;14.04028700116533;14.04028700116533;12.082854435956595
94;3;14;14.813798140848835;14.813798140848835;9.263322953978998
95;5;14;17.064600920664528;17.064600920664528;13.704118946991663
96;8;16;13.095520139879419;13.095520139879419;11.281885295278972
97;13;15;10.737051085858496;10.737051085858496;10.579113911861214
98;6;14;7.237890688653894;7.237890688653894;6.905323856060057
99;3;11;11.484842580411248;11.484842580411248;8.36251775538092
100;25;15;14.953560715151434;14.953560715151434;14.001540756133688
101;3;17;9.035665269341498;9.035665269341498;7.2234442496524975
102;0;13;22.477398651721863;22.477398651721863;12.163955981768304
103;0;15;19.072671609295107;19.072671609295107;12.265926059108816
104;14;15;16.875529301035453;16.875529301035453;14.358842781083807
105;1;14;19.09869424426933;19.09869424426933;13.868103401912146
106;0;12;16.329072447112097;16.329072447112097;9.298720595984909
107;46;15;11.168747794732292;11.168747794732292;10.268281035174093
108;3;12;13.432787442334716;13.432787442334716;10.46518622752541
109;13;16;14.141336321750206;14.141336321750206;10.255636463804999
110;3;14;16.640888520441365;16.640888520441365;11.70120274830085
111;42;16;13.400135730849039;13.400135730849039;12.50803969702682
112;17;15;16.552319712426264;16.552319712426264;13.534212473824773
113;5;15;11.551588904544975;11.551588904544975;8.780997152306512
114;35;18;16.400532135398368;16.400532135398368;15.017555620638044
115;43;14;14.374627347215753;14.374627347215753;13.499314355170084
116;7;14;13.4233692320331;13.4233692320331;10.119642494106095
117;15;15;8.61495050845046;8.61495050845046;7.732687531418585
118;17;16;9.814446060419545;9.814446060419545;8.560607136724949
119;89;16;8.767047319544593;8.767047319544593;8.962487256550318
120;10;14;14.072187577595807;14.072187577595807;11.752686171005342
121;43;15;7.285206840690023;7.285206840690023;7.885632629959773
122;37;15;8.369774306864445;8.369774306864445;8.303154050937373
123;0;14;17.58022359218694;17.58022359218694;12.897116073914857
124;34;14;7.933131924294431;7.933131924294431;8.36790954792521
125;37;15;19.22766981380324;19.22766981380324;17.703590527979024
126;8;14;14.428534832282454;14.428534832282454;11.210640981051482
