0.05162079525706223
node;in_degree;local_intrinsic_dimensionality
0;3;2
1;6;2
2;2;2
3;8;2
4;7;0
5;0;1
6;7;3
7;6;2
8;5;3
9;3;2
10;9;3
11;6;3
12;5;2
13;3;3
14;6;3
15;3;3
16;7;3
17;7;2
18;7;3
19;1;3
20;1;3
21;4;1
22;6;2
23;8;3
24;1;3
25;2;2
26;4;1
27;4;2
28;0;2
29;1;3
30;0;2
31;2;2
32;6;3
33;7;3
34;1;2
35;4;3
36;7;2
37;8;2
38;2;3
39;6;3
40;1;3
41;4;1
42;4;3
43;2;3
44;6;2
45;2;1
46;5;2
47;2;1
48;4;2
49;5;2
50;7;2
51;4;3
52;2;3
53;5;3
54;1;2
55;2;3
56;6;3
57;3;2
58;3;2
59;3;2
60;4;2
61;6;2
62;5;3
63;0;1
64;3;2
65;8;3
66;3;2
67;6;2
68;2;3
69;2;3
70;2;3
71;4;2
72;4;2
73;6;3
74;2;2
75;4;2
76;0;2
77;5;3
78;3;3
79;2;2
80;6;3
81;3;3
82;4;2
83;9;2
84;2;3
85;6;2
86;6;3
87;3;3
88;8;2
89;7;2
90;1;1
91;4;2
92;4;2
93;2;2
94;3;2
95;0;2
96;2;3
97;4;2
98;3;3
99;4;3
100;2;3
101;2;2
102;3;2
103;4;1
104;5;3
105;4;2
106;0;2
107;2;2
108;2;2
109;8;2
110;2;2
111;0;2
112;0;2
113;0;2
114;1;2
115;0;2
116;2;3
117;5;3
118;1;2
119;3;2
120;1;2
121;4;2
122;4;2
123;7;3
124;4;3
125;3;3
126;1;3
127;4;2
128;2;2
129;5;2
130;7;2
131;4;2
132;8;2
133;4;3
134;2;2
135;3;2
136;0;2
137;4;2
138;6;3
139;8;1
140;5;2
141;2;2
142;1;2
143;4;2
144;8;2
145;4;1
146;4;2
147;3;2
148;3;3
149;4;3
150;4;2
151;4;2
152;5;1
153;1;3
154;5;2
155;3;3
156;8;2
157;4;3
158;1;3
159;6;2
160;7;2
161;2;2
162;1;3
163;1;2
164;3;3
165;6;3
166;4;2
167;3;3
168;3;2
169;4;2
170;6;1
171;6;2
172;1;2
173;1;3
174;7;3
175;5;2
176;3;1
177;7;2
178;2;3
179;8;2
180;2;3
181;3;3
182;5;3
183;1;2
184;6;2
185;2;3
186;6;2
187;3;2
188;3;2
189;2;3
190;3;2
191;6;2
192;1;2
193;2;2
194;6;1
195;2;2
196;6;2
197;6;3
198;3;2
199;5;2
200;9;2
201;4;2
202;5;1
203;3;2
204;3;3
205;4;3
206;1;2
207;7;3
208;6;2
209;3;3
210;2;3
211;3;3
212;1;2
213;2;2
214;7;3
215;1;3
216;2;3
217;5;3
218;4;3
219;5;2
220;2;2
221;1;2
222;8;3
223;5;2
224;0;2
225;3;2
226;6;1
227;2;1
228;2;3
229;1;2
230;7;3
231;6;2
232;7;2
233;2;3
234;5;2
235;3;3
236;4;3
237;2;3
238;6;2
239;7;3
240;7;2
241;9;3
242;1;2
243;3;2
244;3;3
245;6;2
246;6;2
247;3;3
248;4;1
249;4;3
250;4;2
251;3;3
252;9;3
253;5;2
254;4;2
255;3;2
256;4;2
257;3;2
258;7;3
259;6;2
260;3;2
261;4;2
262;3;3
263;1;2
264;5;3
265;0;3
266;1;2
267;4;3
268;3;2
269;4;3
270;4;2
271;3;2
272;1;2
273;8;3
274;5;1
275;5;2
276;2;2
277;8;3
278;5;2
279;5;3
280;5;2
281;8;2
282;4;2
283;6;2
284;5;2
285;5;2
286;4;3
287;6;3
288;4;2
289;4;3
290;2;3
291;4;1
292;5;2
293;7;2
294;2;2
295;2;2
296;3;3
297;5;2
298;7;2
299;5;3
300;4;1
301;4;2
302;1;2
303;6;3
304;0;3
305;1;3
306;0;2
307;6;3
308;4;2
309;4;3
310;3;3
311;1;3
312;3;2
313;1;2
314;1;2
315;4;1
316;4;1
317;2;2
318;2;3
319;2;2
320;4;1
321;5;3
322;3;3
323;5;3
324;5;3
325;4;3
326;0;2
327;1;2
328;3;3
329;6;3
330;3;3
331;3;2
332;5;3
333;2;3
334;2;3
335;4;2
336;3;1
337;2;2
338;4;3
339;4;3
340;6;2
341;3;2
342;3;2
343;9;3
344;8;2
345;2;2
346;6;2
347;3;2
348;5;3
349;0;1
350;3;2
351;4;1
352;4;1
353;8;3
354;2;2
355;5;2
356;8;2
357;7;3
358;8;2
359;2;3
360;2;2
361;5;2
362;5;3
363;3;3
364;10;2
365;1;3
366;2;2
367;4;2
368;1;2
369;1;3
370;5;2
371;4;3
372;1;3
373;1;3
374;2;3
375;1;3
376;1;2
377;9;3
378;1;2
379;2;2
380;3;2
381;5;2
382;7;2
383;6;2
384;10;3
385;5;3
386;4;3
387;3;3
388;8;2
389;6;3
390;7;1
391;2;2
392;8;3
393;2;2
394;7;1
395;1;3
396;7;2
397;3;3
398;3;3
399;4;3
400;4;2
401;1;2
402;1;2
403;3;3
404;4;1
405;5;3
406;5;3
407;3;3
408;4;3
409;6;3
410;8;2
411;6;2
412;5;3
413;2;2
414;0;2
415;4;2
416;5;3
417;3;3
418;5;3
419;2;3
420;3;2
421;4;3
422;5;3
423;5;2
424;6;3
425;7;3
426;3;3
427;2;2
428;2;2
429;3;2
430;3;2
431;5;2
432;4;3
433;5;2
434;7;1
435;7;3
436;4;1
437;8;3
438;5;2
439;8;2
440;7;2
441;7;3
442;5;3
443;7;2
444;3;2
445;4;2
446;6;2
447;7;3
448;2;2
449;3;3
450;8;3
451;1;2
452;3;2
453;6;3
454;6;2
455;0;3
456;6;2
457;5;2
458;5;3
459;1;2
460;3;3
461;4;2
462;7;2
463;7;3
464;2;2
465;1;1
466;1;3
467;3;1
468;1;3
469;2;3
470;4;2
471;9;3
472;7;2
473;4;2
474;8;2
475;4;2
476;4;1
477;3;3
478;3;2
479;7;2
480;2;2
481;4;2
482;3;2
483;2;2
484;7;2
485;4;3
486;2;3
487;8;2
488;4;2
489;6;2
490;7;3
491;1;2
492;5;2
493;1;3
494;7;3
495;4;2
496;7;2
497;2;3
498;5;1
499;3;3
500;4;2
501;4;3
502;7;3
503;1;3
504;8;2
505;2;2
506;4;2
507;2;2
508;7;1
509;7;2
510;3;2
511;5;2
512;8;3
513;3;2
514;4;3
515;2;2
516;2;2
517;3;3
518;1;2
519;3;3
520;2;3
521;1;3
522;0;2
523;3;2
524;1;1
525;7;3
526;2;3
527;6;3
528;2;1
529;2;2
530;8;2
531;1;2
532;3;3
533;8;2
534;5;2
535;4;3
536;3;2
537;7;3
538;2;2
539;1;3
540;2;2
541;2;2
542;4;3
543;4;2
544;2;3
545;5;2
546;7;2
547;1;2
548;3;1
549;8;2
550;7;2
551;0;2
552;3;2
553;5;2
554;7;1
555;3;3
556;6;3
557;5;2
558;6;2
559;3;2
560;5;3
561;4;2
562;3;2
563;5;3
564;6;3
565;4;2
566;4;3
567;3;3
568;3;2
569;7;2
570;6;3
571;0;2
572;10;2
573;6;2
574;6;2
575;3;3
576;3;2
577;5;3
578;6;3
579;5;2
580;5;2
581;4;2
582;6;2
583;2;2
584;6;3
585;2;2
586;3;2
587;2;3
588;3;2
589;4;2
590;3;3
591;3;2
592;5;2
593;0;2
594;8;2
595;2;3
596;1;3
597;3;3
598;3;3
599;6;3
600;0;2
601;8;3
602;3;2
603;6;3
604;2;1
605;8;3
606;5;3
607;3;3
608;7;1
609;2;3
610;2;2
611;2;2
612;3;3
613;2;2
614;3;2
615;11;1
616;6;2
617;4;2
618;3;2
619;5;2
620;5;2
621;5;2
622;3;2
623;4;2
624;7;3
625;7;3
626;6;3
627;6;2
628;5;2
629;3;2
630;2;2
631;4;2
632;8;3
633;1;2
634;0;1
635;2;3
636;4;2
637;6;2
638;4;2
639;7;3
640;2;2
641;6;3
642;8;2
643;2;3
644;4;3
645;5;3
646;2;3
647;2;2
648;3;3
649;7;2
650;4;2
651;5;2
652;4;2
653;4;3
654;5;3
655;6;3
656;1;2
657;3;2
658;1;3
659;3;3
660;7;2
661;6;3
662;4;2
663;6;3
664;4;2
665;5;2
666;5;3
667;7;3
668;6;0
669;2;3
670;8;2
671;4;0
672;2;2
673;3;2
674;3;2
675;2;2
676;3;3
677;6;1
678;1;3
679;3;3
680;6;3
681;1;2
682;5;3
683;5;3
684;5;3
685;6;3
686;2;2
687;1;2
688;5;3
689;4;2
690;6;1
691;4;1
692;5;3
