Skewness: 0.0, Average LID: LPCA: 3.7660349854227406  |||  MLE: 2.1342516955434943  |||  MLENB: 2.1342516955434943  |||  TLE: 2.3711372986711163
LPCA: 0.2772506706384947  |||  MLE: 0.11565174045696285  |||  MLENB: 0.11565174045696285  |||  TLE: 0.13194699563653714
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;102;4;2.0843249515060007;2.0843249515060007;2.289456713660209
1;116;4;1.8088098698038206;1.8088098698038206;2.279965055009205
2;92;3;1.6336685629949883;1.6336685629949883;1.8805382046073382
3;112;3;1.5402268020014054;1.5402268020014054;1.7697931554093358
4;136;4;1.487226758302656;1.487226758302656;3.648408857815548
5;110;4;2.1586466200049674;2.1586466200049674;2.1114935940733606
6;133;4;1.7915854109499;1.7915854109499;2.1715963201905697
7;35;4;2.5364212742669197;2.5364212742669197;3.005993498806369
8;137;4;2.359050669017607;2.359050669017607;2.4903963100908726
9;78;4;2.214129234696969;2.214129234696969;2.595834059570316
10;86;4;2.0770596951476055;2.0770596951476055;2.662610626776578
11;96;3;1.3407471513349578;1.3407471513349578;1.6617679489926267
12;110;4;2.209258695197882;2.209258695197882;2.549900671068642
13;64;4;2.2445476466609215;2.2445476466609215;2.51540358097619
14;99;4;2.050878418244839;2.050878418244839;2.3786161251817695
15;86;3;1.3944949712243917;1.3944949712243917;1.5475484455406046
16;119;4;1.8856257528117761;1.8856257528117761;2.2716054762567763
17;78;3;2.1779890242617848;2.1779890242617848;2.4253119638763643
18;39;4;2.366353284592154;2.366353284592154;3.097934759555482
19;65;3;1.4236148044116375;1.4236148044116375;1.5430090441641962
20;65;4;2.0867453851256474;2.0867453851256474;2.0898523463847987
21;138;4;0.0;0.0;3.6483377230659575
22;89;3;1.1064198045002447;1.1064198045002447;1.4194287759809965
23;116;4;2.12345413534524;2.12345413534524;2.587994389127054
24;81;4;1.4460197232248315;1.4460197232248315;1.6280013797360473
25;28;4;3.6713547528602875;3.6713547528602875;3.484998515146965
26;168;4;3.6838205179604477;3.6838205179604477;3.6493464306202354
27;77;3;2.7495400944537907;2.7495400944537907;2.776305106958893
28;59;3;2.836190677796531;2.836190677796531;2.1733261259462977
29;86;3;1.3484723859731438;1.3484723859731438;1.5159551489894207
30;90;4;3.8081750298128623;3.8081750298128623;3.186576575098825
31;83;3;2.544847028476172;2.544847028476172;2.5175224219133145
32;107;4;1.827301908420875;1.827301908420875;2.0807215993921133
33;107;4;2.1825361883960452;2.1825361883960452;2.363995426874499
34;37;4;2.356536405353119;2.356536405353119;2.513091315076858
35;163;4;2.2947908021716734;2.2947908021716734;2.4698718491835994
36;150;4;2.2778777678192323;2.2778777678192323;2.4765005911830626
37;133;4;1.7709320103707629;1.7709320103707629;2.0542773620011925
38;50;3;3.3142336593308963;3.3142336593308963;2.9569036201574748
39;119;3;1.5860766916539517;1.5860766916539517;1.7782808980221498
40;97;4;2.0687071372530403;2.0687071372530403;2.2734480158253745
41;44;4;0.0;0.0;3.1374185708971636
42;134;4;2.7247515020397897;2.7247515020397897;2.974687733836611
43;69;4;2.205697180909173;2.205697180909173;2.4864761464649425
44;111;4;1.8454120246932946;1.8454120246932946;2.235933900561808
45;44;3;0.0;0.0;3.3593327474009085
46;123;4;2.810418315530289;2.810418315530289;3.0615693009318274
47;44;3;0.0;0.0;3.3593327474009085
48;112;4;2.295370683909271;2.295370683909271;2.4412007490756644
49;95;3;2.3623268348678743;2.3623268348678743;2.3913106560296793
50;86;3;1.5005395860993092;1.5005395860993092;1.6616200560523486
51;46;3;2.5909701640242706;2.5909701640242706;2.5963886790699124
52;124;4;2.8805266415555204;2.8805266415555204;2.902766519171167
53;141;4;2.7368852120543425;2.7368852120543425;2.7678931968976976
54;82;4;2.3385131239777333;2.3385131239777333;2.296265847950536
55;90;4;1.7402505526698502;1.7402505526698502;1.8771188856679533
56;116;4;1.9064918236248474;1.9064918236248474;2.275413942538681
57;40;3;2.5893970944974023;2.5893970944974023;2.5125742781761127
58;124;3;1.888480035731407;1.888480035731407;1.9443603311312412
59;79;4;2.574087208125403;2.574087208125403;2.5702828692525954
60;68;4;2.7605509267384387;2.7605509267384387;2.839962110772314
61;76;4;1.9466437878802145;1.9466437878802145;2.3036177230814063
62;73;4;1.213009092263351;1.213009092263351;1.446634351661682
63;107;4;5.449083684285568;5.449083684285568;4.0195227721315545
64;52;3;2.6743848282074656;2.6743848282074656;2.529968953656578
65;141;4;2.2705406298151884;2.2705406298151884;2.4133000359896184
66;85;4;1.205384576015806;1.205384576015806;1.3859773071899384
67;173;3;2.5281666061309034;2.5281666061309034;2.5406590361513057
68;144;4;2.4104965032271672;2.4104965032271672;2.5421218342823324
69;136;4;2.477676557298772;2.477676557298772;2.614309309442918
70;113;3;1.63799627238659;1.63799627238659;1.9006538788876581
71;86;4;1.5397090276776746;1.5397090276776746;1.7841700657428998
72;82;3;1.335754679335616;1.335754679335616;1.5309258120885618
73;94;4;1.2338626721958448;1.2338626721958448;1.4323761833777782
74;69;3;1.1600050602625853;1.1600050602625853;1.3694352541438108
75;111;4;2.1314730412180385;2.1314730412180385;2.399513731245423
76;181;4;2.6778307654020077;2.6778307654020077;2.752747065622124
77;70;4;1.9881984775533668;1.9881984775533668;2.3063824732500744
78;116;4;2.679404252774504;2.679404252774504;2.783494116071089
79;73;3;2.757950944098106;2.757950944098106;2.640022889018062
80;134;4;1.8962157069954202;1.8962157069954202;2.3142597421086046
81;125;4;2.3011183103764545;2.3011183103764545;2.383269766368543
