0.028172444374538426
node;in_degree;local_intrinsic_dimensionality
0;3;2
1;2;2
2;3;2
3;5;2
4;3;2
5;3;2
6;3;2
7;4;1
8;1;1
9;5;1
10;1;2
11;1;2
12;4;2
13;7;2
14;2;2
15;6;1
16;4;2
17;1;2
18;2;2
19;2;2
20;3;2
21;1;2
22;2;2
23;4;2
24;4;2
25;3;2
26;4;2
27;4;2
28;3;2
29;3;2
30;3;2
31;3;2
32;3;1
33;4;2
34;1;2
35;2;2
36;6;2
37;5;1
38;2;2
39;4;2
40;0;1
41;2;2
42;2;2
43;3;2
44;4;2
45;1;2
46;4;1
47;4;2
48;2;2
49;2;2
50;2;2
51;1;2
52;6;2
53;5;2
54;2;2
55;0;2
56;5;2
57;4;2
58;4;1
59;6;2
60;2;2
61;0;2
62;2;2
63;1;2
64;4;2
65;4;2
66;2;2
67;2;2
68;3;2
69;4;1
70;1;2
71;1;2
72;6;2
73;1;2
74;4;2
75;6;1
76;6;1
77;2;2
78;2;2
79;0;1
80;2;1
81;2;2
82;2;2
83;3;2
84;2;1
85;5;2
86;5;2
87;5;2
88;3;2
89;4;2
90;1;2
91;3;2
92;0;1
93;1;2
94;3;2
95;3;1
96;3;2
97;3;2
98;3;2
99;3;2
100;3;2
101;0;1
102;3;2
103;4;2
104;5;2
105;2;2
106;2;1
107;5;2
108;3;2
109;6;1
110;6;1
111;2;1
112;2;2
113;3;2
114;1;2
115;1;1
116;5;1
117;3;1
118;2;2
119;0;2
120;2;2
121;1;2
122;1;1
123;5;2
124;3;2
125;1;2
126;5;2
127;4;2
128;4;1
129;4;2
130;6;2
131;4;2
132;7;2
133;1;2
134;0;2
135;1;2
136;3;2
137;2;2
138;3;1
139;4;2
140;1;2
141;2;2
142;5;2
143;1;2
144;4;2
145;3;2
146;2;2
147;3;2
148;3;2
149;7;1
150;4;2
151;4;2
152;5;2
153;4;1
154;4;2
155;3;2
156;1;1
157;4;2
158;4;2
159;6;2
160;3;2
161;0;1
162;2;2
163;2;2
164;0;1
165;5;2
166;3;2
167;2;2
168;3;2
169;2;2
170;3;2
171;3;2
172;2;2
173;6;2
174;6;2
175;4;2
176;2;2
177;4;2
178;4;2
179;0;2
180;4;2
181;3;2
182;0;2
183;3;2
184;2;2
185;3;1
186;4;2
187;5;2
188;0;2
189;4;2
190;6;2
191;6;2
192;2;2
193;4;2
194;5;2
195;1;1
196;1;1
197;1;2
198;4;2
199;4;2
200;4;2
201;2;2
202;4;1
203;0;2
204;2;2
205;4;2
206;2;2
207;4;1
208;1;2
209;1;2
210;3;2
211;6;2
212;5;2
213;2;2
214;6;1
215;4;2
216;2;2
217;1;1
218;0;2
219;5;2
220;4;1
221;4;2
