Skewness: 0.9564215702884709, Average LID: LPCA: 4.964234620886981  |||  MLE: nan  |||  MLENB: nan  |||  TLE: nan
LPCA: -0.24439589055400165  |||  MLE: nan  |||  MLENB: nan  |||  TLE: nan
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;22;6;0.0;0.0;nan
1;23;7;4.264254343173576;4.264254343173576;nan
2;15;5;4.568534296148384;4.568534296148384;nan
3;13;7;5.084150539916384;5.084150539916384;nan
4;10;4;0.0;0.0;nan
5;31;7;4.280002265602225;4.280002265602225;nan
6;3;4;11.395916165592093;11.395916165592093;nan
7;17;4;5.48224115537806;5.48224115537806;nan
8;2;2;14.016488785564235;14.016488785564235;nan
9;12;5;4.217108581060046;4.217108581060046;nan
10;13;3;0.0;0.0;nan
11;13;2;0.0;0.0;nan
12;27;8;6.323969843529455;6.323969843529455;nan
13;17;4;11.81215570644627;11.81215570644627;nan
14;30;8;7.399015711450556;7.399015711450556;nan
15;15;8;7.286150994106819;7.286150994106819;nan
16;46;3;0.0;0.0;nan
17;35;4;0.0;0.0;nan
18;29;8;5.221488831050406;5.221488831050406;nan
19;24;6;0.0;0.0;nan
20;23;7;4.844254144136218;4.844254144136218;nan
21;23;9;6.721507200859697;6.721507200859697;nan
22;85;1;0.0;0.0;nan
23;17;8;4.76796251693898;4.76796251693898;nan
24;50;0;nan;nan;nan
25;12;7;5.802477977060691;5.802477977060691;nan
26;6;4;10.96448231075612;10.96448231075612;nan
27;50;3;0.0;0.0;nan
28;25;2;0.0;0.0;nan
29;13;4;0.0;0.0;nan
30;10;3;0.0;0.0;nan
31;34;4;0.0;0.0;nan
32;21;8;10.039708671479554;10.039708671479554;nan
33;26;4;0.0;0.0;nan
34;17;3;0.0;0.0;nan
35;39;2;0.0;0.0;nan
36;14;9;3.802647082287782;3.802647082287782;nan
37;5;3;20.575215175295362;20.575215175295362;nan
38;24;7;6.060509922647024;6.060509922647024;nan
39;13;7;6.30125152376106;6.30125152376106;nan
40;26;9;5.622450359607982;5.622450359607982;nan
41;14;8;4.868465899223338;4.868465899223338;nan
42;17;8;0.0;0.0;nan
43;6;7;6.72142890889164;6.72142890889164;nan
44;12;8;4.440122608775795;4.440122608775795;nan
45;3;0;inf;inf;nan
46;19;8;5.858078536517227;5.858078536517227;nan
47;44;0;nan;nan;nan
48;12;4;0.0;0.0;nan
49;30;8;5.68871307222386;5.68871307222386;nan
50;6;8;7.974287910754576;7.974287910754576;nan
51;21;7;5.166410144007884;5.166410144007884;nan
52;13;8;6.7580048962762636;6.7580048962762636;nan
53;10;9;9.528242501405108;9.528242501405108;nan
54;16;8;7.1973701098607314;7.1973701098607314;nan
55;28;7;8.707380878495345;8.707380878495345;nan
56;10;8;5.95837207688279;5.95837207688279;nan
57;12;9;9.029636619463092;9.029636619463092;nan
58;11;7;3.750674440241396;3.750674440241396;nan
59;14;8;5.417909336022559;5.417909336022559;nan
60;13;6;7.066460145588414;7.066460145588414;nan
61;17;2;inf;inf;nan
62;9;8;0.0;0.0;nan
63;15;8;5.5197331372313085;5.5197331372313085;nan
