Skewness: 0.6816436855514465, Average LID: LPCA: 6.228898426323319  |||  MLE: 4.170280972619234  |||  MLENB: 4.170280972619234  |||  TLE: nan
LPCA: -0.16857565878633188  |||  MLE: -0.4676040210272819  |||  MLENB: -0.4676040210272819  |||  TLE: nan
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;58;7;0.0;0.0;2.8272981149591083
1;48;8;4.484657672849528;4.484657672849528;4.691263707914073
2;38;6;9.377517765778261;9.377517765778261;8.499318025418702
3;35;8;6.985896097569179;6.985896097569179;7.19217810134422
4;19;5;0.0;0.0;5.803855669371618
5;61;9;4.036146900511996;4.036146900511996;4.381203408816959
6;5;5;5.993711888739484;5.993711888739484;3.2133069575010156
7;30;4;11.253021318933913;11.253021318933913;9.440242258798943
8;3;4;28.7706875072108;28.7706875072108;7.156134708835647
9;24;7;8.65617024533378;8.65617024533378;8.36405195121392
10;41;4;0.0;0.0;2.6896775512029234
11;39;4;0.0;0.0;nan
12;38;8;6.854608175360679;6.854608175360679;6.036292321925567
13;28;4;7.636176542712003;7.636176542712003;5.566054953357272
14;61;9;7.271956122322802;7.271956122322802;7.083322491347866
15;34;8;7.110239312107795;7.110239312107795;5.609766837557896
16;68;5;0.0;0.0;nan
17;73;4;0.0;0.0;2.403436669869473
18;50;8;4.353028187856039;4.353028187856039;4.507976783956249
19;33;9;0.0;0.0;2.7916267110158057
20;28;9;4.4386536402406565;4.4386536402406565;4.523441028487276
21;51;9;6.180549376055162;6.180549376055162;6.083231249843475
22;91;5;0.0;0.0;nan
23;30;7;4.775992244406935;4.775992244406935;4.35411432963217
24;76;4;0.0;0.0;3.7743233898004203
25;43;7;5.7226822581983186;5.7226822581983186;5.681581338001238
26;17;7;4.864312420306117;4.864312420306117;4.685844592689331
27;73;6;0.0;0.0;nan
28;41;4;0.0;0.0;nan
29;15;3;0.0;0.0;4.019195430655397
30;12;5;0.0;0.0;3.529770572878173
31;72;3;0.0;0.0;nan
32;51;9;10.347027090657868;10.347027090657868;9.596484102354689
33;32;4;0.0;0.0;7.763363393332476
34;52;5;0.0;0.0;4.4594731164632915
35;88;4;0.0;0.0;nan
36;31;9;3.807510327216469;3.807510327216469;3.984244468706981
37;7;6;11.330984854407193;11.330984854407193;3.640745913966744
38;44;8;4.818917848759438;4.818917848759438;4.942635976132215
39;34;8;7.083107902700659;7.083107902700659;6.799470269177088
40;46;9;5.685027652509477;5.685027652509477;5.776272405078544
41;29;8;5.647289310723474;5.647289310723474;5.3440209284077795
42;29;9;0.0;0.0;5.7565934705886965
43;10;7;9.125564855829017;9.125564855829017;7.199149947165318
44;22;9;3.755225141632092;3.755225141632092;3.7822595105750225
45;29;3;5.358581580444721;5.358581580444721;5.793307798999538
46;40;9;5.760607867698366;5.760607867698366;5.795432913314559
47;54;4;0.0;0.0;nan
48;22;5;0.0;0.0;5.803855669371618
49;58;8;6.1172892227153195;6.1172892227153195;6.194329412992632
50;9;8;7.590572748942679;7.590572748942679;5.3961038216953945
51;36;8;6.143846025518108;6.143846025518108;5.508458563725013
52;30;8;5.812217002216199;5.812217002216199;5.578802880136372
53;19;9;7.8653976966206125;7.8653976966206125;7.100351872550712
54;37;9;6.347678637140451;6.347678637140451;6.066542031975326
55;61;8;7.426346692417306;7.426346692417306;7.305359630025359
56;25;8;5.9562646629541005;5.9562646629541005;5.760123652311354
57;20;8;10.557831017487667;10.557831017487667;6.8775828186441625
58;25;9;4.86709174396057;4.86709174396057;5.167141705958106
59;19;9;5.786681946310453;5.786681946310453;4.881226511604024
60;27;8;5.5987395810989895;5.5987395810989895;5.58503915493452
61;23;5;4.8926179647538754;4.8926179647538754;nan
62;14;9;0.0;0.0;5.021388160356452
63;23;8;4.939387066543415;4.939387066543415;4.710142814128546
64;108;4;0.0;0.0;nan
65;5;7;10.176418570166604;10.176418570166604;5.9371157958604215
66;66;4;0.0;0.0;2.403436669869473
67;12;8;6.5927983664909195;6.5927983664909195;5.843069213859064
68;13;9;8.574049860577128;8.574049860577128;6.59492569536918
69;34;5;4.8926179647538754;4.8926179647538754;5.761329208991604
70;37;6;0.0;0.0;3.023642938494238
71;6;9;8.419740131052295;8.419740131052295;6.547401204765543
72;5;6;11.700819334847417;11.700819334847417;4.186491482506051
73;32;8;5.741912048628508;5.741912048628508;5.714596361147892
74;26;8;5.4054049403472915;5.4054049403472915;4.993419851893645
75;13;6;12.356322194546676;12.356322194546676;6.057400031982244
76;14;6;3.667558852928151;3.667558852928151;3.198914713525179
77;25;7;7.69425986403539;7.69425986403539;6.035072665194068
78;33;4;6.132494311232137;6.132494311232137;5.820100745655733
79;21;4;0.0;0.0;7.707035776975068
80;4;6;15.719701256483448;15.719701256483448;7.507486698754923
81;46;4;0.0;0.0;nan
82;38;7;3.9286320147122633;3.9286320147122633;3.7722061982153283
83;7;5;22.358402657235988;22.358402657235988;9.443046220651969
84;32;9;6.0659860976718205;6.0659860976718205;5.518288774272462
85;6;9;8.036126476835575;8.036126476835575;6.566695584255036
86;45;8;4.638025084617291;4.638025084617291;4.794031768270422
87;63;9;5.735450127025729;5.735450127025729;6.047351031851798
88;67;4;0.0;0.0;2.403436669869473
89;22;5;9.906351838568478;9.906351838568478;7.613361183869633
90;81;4;0.0;0.0;3.7743233898004203
91;32;5;0.0;0.0;6.044580135781946
92;71;4;0.0;0.0;2.403436669869473
93;107;4;0.0;0.0;nan
94;74;3;0.0;0.0;nan
95;85;4;0.0;0.0;3.7743233898004203
96;31;4;9.377517765778261;9.377517765778261;nan
97;57;7;0.0;0.0;2.8272981149591083
98;9;9;7.47904667815216;7.47904667815216;6.670897900976042
99;64;9;6.036406737327511;6.036406737327511;6.0978279226580865
100;13;9;7.957189990804335;7.957189990804335;6.629834891890335
101;19;8;8.46557859140369;8.46557859140369;6.413417390256303
102;48;3;7.033138324333696;7.033138324333696;6.772342705538023
103;13;6;10.200494033068514;10.200494033068514;5.835386511568002
104;13;8;6.010289352181405;6.010289352181405;5.354018287309729
105;7;8;11.018592103215664;11.018592103215664;6.6207899704374755
106;13;8;6.527825981242129;6.527825981242129;5.672483753072445
107;25;9;4.972769999114008;4.972769999114008;4.584244646856968
108;10;5;10.185386671831358;10.185386671831358;5.951635786546288
109;65;8;4.972621726852877;4.972621726852877;5.306721103591536
110;11;6;17.077540236358928;17.077540236358928;6.092334077113095
111;57;8;3.972379597279192;3.972379597279192;4.154821987086345
112;21;9;3.9689559757491684;3.9689559757491684;4.246348891874369
113;19;9;4.077468504621856;4.077468504621856;4.423740640236887
114;25;8;8.48286819851602;8.48286819851602;6.736586440485524
115;23;6;0.0;0.0;3.1199326376893652
116;23;7;8.669250405851905;8.669250405851905;5.181186440157688
117;14;8;6.6916504253073406;6.6916504253073406;5.8333005689326125
118;18;4;15.114267477945765;15.114267477945765;7.651917827378601
119;32;7;11.043769485458203;11.043769485458203;8.491879064393771
120;23;5;5.589109034201252;5.589109034201252;4.6816412110703824
121;36;6;12.245554078519804;12.245554078519804;9.018810428755659
122;20;9;4.093696831402891;4.093696831402891;4.492574208760405
123;24;9;4.530365412490378;4.530365412490378;4.637284768759783
124;31;9;7.20968238974992;7.20968238974992;6.6225399624618815
125;122;4;0.0;0.0;nan
126;48;9;6.136839303648395;6.136839303648395;6.036110850834176
127;86;5;0.0;0.0;nan
128;43;9;5.891284139769492;5.891284139769492;5.771223493756777
129;2;5;17.27460332238827;17.27460332238827;3.488027750082891
130;38;6;0.0;0.0;3.023642938494238
131;80;3;0.0;0.0;nan
132;33;9;5.254508548891734;5.254508548891734;5.031571263187706
133;46;6;4.688758882889131;4.688758882889131;5.591547795128759
134;20;5;0.0;0.0;5.406016939990603
135;27;9;9.328308245755569;9.328308245755569;6.060119693559636
136;98;5;0.0;0.0;nan
137;50;4;0.0;0.0;nan
138;55;5;0.0;0.0;4.752154185161156
139;23;5;0.0;0.0;5.28363014236985
140;51;4;0.0;0.0;nan
141;68;2;0.0;0.0;nan
