Skewness: 1.7704763636569207, Average LID: LPCA: 57.344332855093256  |||  MLE: 41985.00120529294  |||  MLENB: 41985.00120529294  |||  TLE: 31184.17419062173
LPCA: -0.3267492588495762  |||  MLE: -0.04668804700671227  |||  MLENB: -0.04668804700671227  |||  TLE: -0.0466883205244001
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;42;57;26.464356457153496;26.464356457153496;22.97752553370659
1;25;59;28.40057654932256;28.40057654932256;24.383310816796143
2;28;59;21.740525868499414;21.740525868499414;19.13981126609374
3;30;59;15.442096965449808;15.442096965449808;14.266889971663325
4;193;59;37.33517864613492;37.33517864613492;30.617370377959034
5;66;59;17.626739874039583;17.626739874039583;16.675328112520116
6;187;59;17.392864301688;17.392864301688;16.204489564219283
7;21;59;25.281139731181586;25.281139731181586;21.253252390353172
8;24;59;15.489075651500102;15.489075651500102;13.337897798673648
9;43;59;40.100659104598066;40.100659104598066;33.23790359109039
10;70;59;32.940246793533156;32.940246793533156;27.619711247395745
11;37;58;14.296362893630274;14.296362893630274;12.547424474642554
12;36;59;14.58418984204223;14.58418984204223;12.785125414322527
13;7;59;94.76099900849086;94.76099900849086;81.6148970558754
14;39;59;23.108767686125926;23.108767686125926;21.105236949920712
15;32;59;49.672057173291165;49.672057173291165;39.499154452331815
16;15;59;45.52493545319964;45.52493545319964;38.557791202124655
17;147;59;28.59476337813629;28.59476337813629;27.66406992625044
18;25;58;48.98483959178031;48.98483959178031;39.146227683070045
19;72;58;37.77614830145995;37.77614830145995;32.13274977626325
20;30;59;29.393081897319128;29.393081897319128;25.608565046772718
21;73;57;27.097182247437104;27.097182247437104;23.79317026799606
22;173;56;21.47936433411777;21.47936433411777;19.506135491294003
23;91;58;16.91624424648148;16.91624424648148;16.558132882154677
24;40;58;16.00588652547635;16.00588652547635;13.99598443916781
25;68;59;27.314438727587355;27.314438727587355;22.973487616083453
26;52;59;27.345806180237968;27.345806180237968;23.797246242566512
27;19;57;45.02243558922487;45.02243558922487;37.27097355278622
28;19;58;21.805944295111793;21.805944295111793;20.04330594405295
29;71;58;20.513765228593353;20.513765228593353;20.170067535510924
30;114;59;22.622047609281474;22.622047609281474;20.10320798406387
31;29;58;13.603898853797162;13.603898853797162;12.865827974903192
32;94;58;18.73251755539485;18.73251755539485;17.750753138381352
33;92;57;25.949961161394494;25.949961161394494;22.42971102492447
34;33;59;39.90664953436773;39.90664953436773;32.92439164893173
35;24;58;20.280476289013656;20.280476289013656;18.014085882275708
36;55;58;27.495696384873618;27.495696384873618;24.535759722274165
37;50;59;29.742974555650253;29.742974555650253;25.669637787909355
38;12;59;40.97435066677859;40.97435066677859;33.24536663115867
39;47;59;24.903909212734025;24.903909212734025;21.886571543074524
40;55;58;29.954140190197595;29.954140190197595;26.228395715716054
41;27;59;18.581903909643547;18.581903909643547;16.564470506100957
42;52;58;35.05694839185575;35.05694839185575;29.887044400540304
43;42;59;23.269744900224694;23.269744900224694;19.60337161263936
44;65;58;19.815880125655042;19.815880125655042;18.317850309054563
45;248;58;23.53914270571704;23.53914270571704;21.24389272280421
46;37;59;46.765972255663506;46.765972255663506;39.406324030626344
47;34;59;26.27735032462801;26.27735032462801;23.283764173578408
48;19;58;29.956119232338324;29.956119232338324;25.92324245965994
49;242;59;33.88970519805662;33.88970519805662;29.24248531135483
50;13;59;23.74825821680681;23.74825821680681;23.741439443682918
51;60;51;29.798916455056776;29.798916455056776;24.818651931639895
52;79;57;30.91762903113376;30.91762903113376;27.239093501908197
53;60;58;31.54756336868916;31.54756336868916;27.7175588412155
54;34;56;35.32476221907456;35.32476221907456;29.984825021407495
55;24;58;20.85701522395103;20.85701522395103;18.80789384147672
56;51;58;15.838746794092627;15.838746794092627;13.986151068444412
57;23;59;23.299989811704545;23.299989811704545;20.895439110967438
58;51;58;34.68524281447327;34.68524281447327;29.684109276582802
59;20;59;18.868406166011976;18.868406166011976;15.530588725693898
60;84;58;28.817497517608622;28.817497517608622;24.75416694684093
61;36;59;14.298084224751893;14.298084224751893;12.566852125910323
62;27;59;22.60989533289974;22.60989533289974;19.605839599854576
63;48;59;42.77837480484058;42.77837480484058;36.21011451851419
64;207;57;23.727987528312564;23.727987528312564;21.354901117428515
65;10;59;49.88583037114307;49.88583037114307;18.25148810937798
66;38;58;44.99596530522834;44.99596530522834;38.04173852037723
67;17;59;44.81029534454992;44.81029534454992;36.44175384032004
68;26;59;22.022688426827525;22.022688426827525;19.139887918952276
69;16;59;30.124747615331863;30.124747615331863;27.25817876035964
70;40;59;32.375618944047375;32.375618944047375;27.88867267685394
71;49;54;34.49696496960578;34.49696496960578;28.10586134914143
72;70;56;22.805172094483897;22.805172094483897;20.3385407179834
73;40;58;23.175593985305625;23.175593985305625;20.3194371087555
74;204;58;21.30764415936233;21.30764415936233;19.450632214321978
75;14;59;44.15666355668575;44.15666355668575;39.28175231143032
76;47;54;23.48136801294841;23.48136801294841;18.909775962258088
77;24;59;14.381274099277604;14.381274099277604;14.850016967351316
78;59;53;29.577400591375618;29.577400591375618;24.359623859141706
79;16;59;43.59573673990042;43.59573673990042;81.14136477837064
80;7;59;71.63179285689124;71.63179285689124;80.97031522703452
81;153;59;27.844936767325308;27.844936767325308;24.258848984427406
82;13;59;43.62452548342105;43.62452548342105;37.20030086750307
83;37;59;53.515432582400805;53.515432582400805;44.249240435165916
84;41;51;36.142461581458065;36.142461581458065;28.76018690287536
85;165;59;34.509470303361354;34.509470303361354;30.27090760190814
86;24;59;21.004699636279437;21.004699636279437;17.999351586707018
87;40;58;45.875938540011354;45.875938540011354;38.56181327160872
88;57;59;26.03086702635859;26.03086702635859;22.432993914928048
89;96;58;39.75131847234664;39.75131847234664;33.97792927637894
90;44;52;31.368003934337974;31.368003934337974;25.192022950629813
91;75;52;27.009561150200334;27.009561150200334;22.20936300343788
92;46;59;31.111515440185894;31.111515440185894;26.824716679701826
93;37;57;44.89108400101826;44.89108400101826;36.60112687661606
94;30;59;18.032112045101677;18.032112045101677;16.095430455648586
95;2;59;160.46381775122472;160.46381775122472;155.30494414399053
96;54;59;28.397000796080427;28.397000796080427;24.73627807093815
97;20;59;33.675925614456496;33.675925614456496;28.77247531167334
98;12;59;84.03694267707739;84.03694267707739;64.24290100051317
99;152;53;33.681414638967645;33.681414638967645;27.43411597082657
100;41;59;41.3432248549397;41.3432248549397;33.872425142875166
101;55;58;47.13480336298667;47.13480336298667;38.76965950215382
102;31;59;16.721618491432686;16.721618491432686;15.272912203574487
103;24;59;25.558060924599815;25.558060924599815;22.504778369842484
104;68;59;27.820734998677725;27.820734998677725;24.286533212425617
105;19;59;25.435967632069563;25.435967632069563;20.998787890198646
106;69;53;52.97826858641613;52.97826858641613;43.87452342443474
107;71;59;24.881919650398345;24.881919650398345;22.047346593130033
108;57;59;30.014653724747994;30.014653724747994;26.31778469379319
109;28;59;20.534354299017206;20.534354299017206;22.75925008893161
110;9;59;56.09499891583329;56.09499891583329;50.26640863197399
111;18;59;0.0;0.0;13.887271560534048
112;111;58;19.279794130675974;19.279794130675974;17.644977955612475
113;16;59;40.40527220103804;40.40527220103804;32.996466159681866
114;22;59;21.063152851361625;21.063152851361625;18.210874555590436
115;45;59;46.543492133734986;46.543492133734986;39.33116199429526
116;19;59;36.78467008433469;36.78467008433469;31.505074205638316
117;14;59;42.199924280520314;42.199924280520314;34.80963113423397
118;246;59;41.28415105674638;41.28415105674638;34.77349448229421
119;52;59;30.973937834769742;30.973937834769742;26.147547498562716
120;15;59;48.09985999125525;48.09985999125525;98.45075273544573
121;21;59;21.984205299422598;21.984205299422598;19.354074682947484
122;21;58;19.126558533523582;19.126558533523582;18.30279605865847
123;43;59;13.910633890194879;13.910633890194879;12.25386044021922
124;42;59;26.176230738044673;26.176230738044673;22.58551592566647
125;42;59;47.975895139477174;47.975895139477174;39.47855987652701
126;37;59;38.362715763860045;38.362715763860045;32.32030344977274
127;21;59;74.87186305570897;74.87186305570897;60.81125649559439
128;17;59;21.255806667408386;21.255806667408386;18.34629110413881
129;228;59;41.24287901569893;41.24287901569893;34.55301938306431
130;29;59;11.37795714972141;11.37795714972141;11.163862163203836
131;44;59;19.13055597694709;19.13055597694709;17.894061475802
132;34;59;48.123005291471834;48.123005291471834;39.6196848342844
133;91;59;15.157319267778144;15.157319267778144;14.1640455817916
134;39;59;10.18632652405384;10.18632652405384;10.109646720214606
135;66;59;32.98717927333867;32.98717927333867;28.38301124932422
136;48;58;17.799794935388366;17.799794935388366;17.095871776139447
137;38;58;22.936710570686582;22.936710570686582;19.875860036643594
138;52;58;46.283893716384846;46.283893716384846;38.78028577847638
139;99;57;31.56749504493332;31.56749504493332;27.494330821428637
140;75;59;19.185076934904576;19.185076934904576;18.13701499947562
141;47;59;40.000450715245535;40.000450715245535;33.70853003421418
142;21;59;28.799155385931968;28.799155385931968;24.640037382764238
143;14;59;40.74954811540702;40.74954811540702;40.815998820631165
144;39;59;14.546367596307649;14.546367596307649;12.860862650795177
145;27;59;51.432992578591914;51.432992578591914;43.284778647782296
146;88;50;23.00203677573588;23.00203677573588;19.203999477771895
147;60;57;13.955391264879642;13.955391264879642;13.81463136010536
148;28;59;23.20829432210435;23.20829432210435;20.261574169502573
149;70;59;21.712889405939606;21.712889405939606;19.350808954585432
150;31;59;20.352482780819543;20.352482780819543;17.9674195442731
151;64;59;47.116680923991275;47.116680923991275;39.137690224867676
152;54;56;23.469647026270756;23.469647026270756;19.549545243920267
153;189;59;32.49686813064106;32.49686813064106;28.31527170815838
154;19;59;28.866246657220366;28.866246657220366;25.72049320199532
155;13;58;70.44088023661493;70.44088023661493;55.29830439899629
156;8;55;43.36645023879646;43.36645023879646;31.66256362315919
157;12;59;36.9828480669939;36.9828480669939;39.634398216400534
158;52;59;43.998951846208186;43.998951846208186;37.11808116043232
159;60;59;13.350686448556175;13.350686448556175;12.464767893722248
160;66;59;31.320773752088506;31.320773752088506;26.970757903811013
161;81;50;15.066542899965011;15.066542899965011;14.069946463754848
162;129;59;34.69623536731716;34.69623536731716;30.19163588118758
163;19;59;32.80122621915606;32.80122621915606;37.95490212558487
164;16;59;34.35494892826245;34.35494892826245;30.084839920380258
165;161;59;16.83685230784248;16.83685230784248;14.634057484454308
166;44;58;36.2949707285446;36.2949707285446;31.003063749300967
167;59;59;28.053533193042544;28.053533193042544;24.409082354931684
168;20;59;35.680041791564975;35.680041791564975;30.77356641771389
169;105;50;19.606148935310205;19.606148935310205;17.027397233331413
170;46;59;38.363733824081486;38.363733824081486;32.99739925104275
171;38;56;40.10735210547228;40.10735210547228;32.68305178093788
172;117;54;17.418428497083983;17.418428497083983;16.00950595107671
173;59;59;39.414730842497384;39.414730842497384;33.27809535046852
174;39;59;13.64883737586744;13.64883737586744;13.745624694709559
175;53;58;39.16670993791985;39.16670993791985;33.29562410798793
176;87;55;24.044160261785372;24.044160261785372;21.259374860360023
177;72;57;16.80964964193371;16.80964964193371;15.404023400900336
178;28;59;20.059667910727143;20.059667910727143;17.033251866976645
179;64;59;26.16944389350288;26.16944389350288;23.124692823193744
180;42;58;24.63241213699678;24.63241213699678;21.522180697362828
181;22;59;20.506457173807167;20.506457173807167;16.990772113435707
182;21;59;23.934270605230367;23.934270605230367;19.998553240864968
183;18;59;26.9593380733634;26.9593380733634;23.059026194978564
184;51;56;33.03460071664683;33.03460071664683;27.531299575740615
185;56;59;29.434677909973136;29.434677909973136;25.86090362885376
186;127;58;22.488413306136028;22.488413306136028;20.64839597694481
187;34;59;25.07707509822148;25.07707509822148;21.677244659207528
188;84;57;25.162301471475804;25.162301471475804;21.401425541799206
189;51;55;46.54910219300676;46.54910219300676;37.443879039726035
190;58;59;28.057449809611523;28.057449809611523;24.61967821828843
191;34;58;48.474991507065134;48.474991507065134;40.32928254758677
192;38;58;31.909887565270715;31.909887565270715;25.976330233684983
193;39;59;17.612051864606762;17.612051864606762;15.298112522298677
194;30;58;15.614899000995138;15.614899000995138;14.191230623360008
195;28;59;18.5137161916944;18.5137161916944;16.130979581884677
196;51;52;36.442346218644786;36.442346218644786;29.50843503439818
197;32;59;41.035676127153465;41.035676127153465;34.58791384802384
198;48;59;47.6707974427142;47.6707974427142;39.27294546108391
199;60;55;20.194856828470655;20.194856828470655;18.147098610643365
200;41;59;36.401654297095;36.401654297095;31.209075464029812
201;22;59;20.204900103632223;20.204900103632223;18.31766282101941
202;10;59;65.03210966433461;65.03210966433461;55.11887091425675
203;117;59;31.203769802422954;31.203769802422954;26.716253479293503
204;31;59;15.781629014956053;15.781629014956053;13.743780414694877
205;82;51;21.526611796720875;21.526611796720875;18.962870092209414
206;54;58;24.03554773588999;24.03554773588999;21.04085770568673
207;52;53;28.315022486524214;28.315022486524214;23.42799656356332
208;83;57;36.07819016321333;36.07819016321333;30.09529223708699
209;13;59;56.6916659132418;56.6916659132418;48.82246716744093
210;43;57;13.165760729983079;13.165760729983079;11.6504442553579
211;51;58;22.057141497127958;22.057141497127958;19.3569634060161
212;110;59;23.734893344721733;23.734893344721733;20.479605809347227
213;96;55;34.09383984742392;34.09383984742392;28.751854606203167
214;42;58;26.993724527490325;26.993724527490325;23.353396180207834
215;182;59;26.76908673451408;26.76908673451408;23.635065542756692
216;95;58;20.238252152519557;20.238252152519557;18.425689882176272
217;11;58;33.729292605714264;33.729292605714264;27.964305470476024
218;234;59;30.772035916859622;30.772035916859622;27.201860480967458
