-0.07122835221454622
node;in_degree;local_intrinsic_dimensionality
0;5;2
1;4;2
2;5;2
3;5;1
4;6;2
5;6;2
6;6;2
7;6;1
8;4;1
9;6;2
10;6;2
11;8;2
12;6;1
13;6;2
14;6;1
15;6;1
16;6;2
17;10;2
18;14;0
19;5;2
20;6;2
21;6;1
22;4;2
23;4;2
24;5;2
25;7;1
26;7;2
27;5;2
28;8;1
29;6;2
30;6;2
31;7;2
32;7;2
33;4;1
34;6;2
35;6;1
36;4;2
37;6;1
38;6;2
39;6;2
40;2;1
41;6;2
42;3;2
43;10;2
44;5;2
45;5;2
46;5;2
47;7;1
48;6;1
49;7;2
50;5;3
51;5;2
52;4;2
53;3;3
54;9;3
55;4;2
56;3;2
57;4;2
58;3;2
59;6;3
60;5;2
61;8;3
62;4;2
63;3;2
64;4;2
65;4;2
66;3;3
67;6;2
68;5;2
69;5;2
70;5;2
71;6;2
72;2;2
73;4;1
74;4;2
75;4;3
76;2;2
77;4;2
78;7;3
79;3;2
80;4;2
81;1;3
82;2;3
83;3;2
84;3;2
85;5;3
86;3;2
87;4;2
88;4;2
89;3;2
90;7;2
91;2;3
92;7;3
93;6;1
94;5;3
95;4;2
96;5;1
97;3;3
98;4;2
99;6;3
100;6;2
101;4;3
102;4;2
103;2;3
104;3;2
105;5;1
106;5;2
107;4;2
108;4;2
109;1;3
110;3;2
111;6;3
112;4;2
113;5;2
114;4;2
115;3;2
116;4;3
117;3;3
118;5;0
119;4;2
120;5;2
121;3;2
122;2;2
123;6;1
124;5;2
125;3;2
126;5;3
127;4;3
128;4;1
129;5;2
130;5;2
131;0;1
132;13;0
133;4;2
134;4;2
135;4;3
136;5;3
137;5;2
138;5;2
139;3;2
140;5;3
141;2;3
142;7;3
143;3;3
144;3;2
145;4;2
146;5;2
147;3;3
148;4;2
149;4;2
150;5;3
151;4;2
152;4;1
153;5;2
154;5;3
155;5;2
156;3;2
157;4;1
158;5;2
159;6;2
160;4;2
161;3;2
162;4;1
163;3;2
164;4;1
165;4;1
166;2;3
167;4;3
168;5;2
169;5;1
170;4;2
171;6;1
172;2;2
173;5;1
174;4;2
175;4;3
176;3;3
177;5;3
178;5;2
179;5;2
180;4;2
181;6;2
182;2;3
183;6;2
184;3;1
185;6;3
186;4;2
187;4;1
188;3;2
189;2;3
190;6;2
191;3;3
192;7;2
193;5;1
194;4;3
195;4;1
196;5;2
197;5;3
198;4;1
199;5;3
200;6;3
201;10;0
202;5;1
203;7;2
204;6;3
205;5;2
206;4;1
207;4;1
208;5;2
209;2;2
210;5;2
211;5;3
212;5;1
213;4;1
214;4;1
215;4;1
216;3;3
217;8;3
218;6;0
219;4;1
220;5;2
221;4;1
222;2;3
223;6;2
224;5;2
225;1;3
226;6;1
227;4;2
228;2;1
229;3;2
230;4;2
231;3;2
232;3;1
233;5;2
234;4;1
235;7;3
236;3;3
237;6;1
238;4;1
239;4;2
240;2;3
241;2;2
242;3;3
243;4;2
244;2;2
245;4;2
246;4;2
247;2;3
248;4;1
249;2;2
250;4;2
251;6;2
252;7;1
253;5;3
254;7;3
255;2;2
256;4;1
257;3;2
258;1;1
259;5;2
260;2;1
261;4;3
262;3;2
263;4;1
264;4;1
265;4;1
266;2;3
267;3;2
268;2;1
269;7;1
270;7;2
271;4;1
272;1;2
273;6;1
274;1;1
275;5;2
276;2;3
277;4;2
278;6;2
279;8;1
280;7;2
281;5;3
282;1;1
283;1;1
284;6;1
285;0;2
286;1;1
287;4;1
288;9;1
289;2;1
290;7;2
291;3;2
292;3;2
293;5;3
294;5;1
295;5;1
296;7;2
297;3;2
298;3;2
299;2;3
300;5;3
301;5;0
302;7;1
303;2;3
304;5;2
305;4;2
306;3;2
307;3;2
308;2;1
309;2;3
310;2;2
311;4;1
312;4;1
313;3;2
314;3;2
315;3;2
316;4;3
317;7;2
318;6;1
319;9;1
320;7;2
321;3;2
322;1;3
323;6;1
324;2;1
325;3;3
326;8;2
327;1;2
328;6;2
329;6;2
330;9;2
331;5;2
332;1;1
333;2;1
334;5;1
335;4;3
336;9;1
337;3;2
338;5;1
339;2;2
340;5;2
341;6;2
342;5;3
343;1;3
344;3;3
345;7;1
346;8;2
347;1;2
348;4;1
349;1;3
350;2;3
351;7;3
352;4;2
353;3;2
354;3;2
355;3;2
356;2;2
357;3;2
358;5;1
359;6;1
360;3;2
361;3;2
362;3;2
363;2;2
364;3;2
365;3;2
366;7;2
367;7;2
368;5;3
369;3;2
370;5;2
371;3;2
372;3;2
373;4;1
374;4;1
375;4;2
376;4;3
377;2;2
378;4;1
379;7;2
380;4;2
381;4;1
382;1;2
383;5;1
384;4;2
385;4;3
386;5;3
387;3;2
388;4;1
389;1;2
390;6;2
391;3;2
392;5;2
393;7;3
394;4;1
395;3;3
396;4;2
397;4;2
398;3;2
399;6;2
400;2;2
401;6;0
402;3;2
403;2;1
404;7;1
405;5;2
406;3;2
407;3;2
408;4;1
409;2;2
410;3;2
411;5;3
412;3;2
413;3;2
414;3;2
415;3;2
416;5;3
417;4;3
418;1;0
419;4;2
420;5;2
421;2;2
422;1;3
423;2;3
424;3;2
425;2;2
426;9;2
427;4;3
428;3;1
429;6;1
430;2;3
431;5;2
432;3;1
433;3;1
434;3;2
435;4;3
436;5;3
437;3;2
438;3;2
439;2;3
440;8;3
441;2;1
442;5;2
443;3;3
444;3;3
445;3;2
446;6;2
447;2;3
448;3;2
449;2;2
450;3;1
451;4;3
452;4;1
453;3;2
454;5;2
455;2;2
456;4;2
457;5;1
458;4;1
459;5;2
460;4;1
461;3;1
462;3;1
463;3;2
464;5;1
465;3;2
466;4;2
467;3;2
468;4;3
469;5;1
470;4;1
471;7;2
472;2;3
473;4;2
474;2;2
475;0;2
476;4;2
477;2;2
478;3;3
479;4;3
480;4;1
481;5;3
482;5;1
483;5;1
484;1;2
485;4;3
486;2;2
487;5;1
488;2;2
489;0;3
490;6;3
491;5;3
492;5;2
493;3;2
494;2;2
495;2;3
496;4;1
497;1;1
498;4;1
499;4;3
500;2;2
501;2;1
502;5;1
503;5;2
504;1;2
505;6;3
506;3;1
507;5;1
508;3;1
509;3;2
510;6;2
511;3;1
512;3;2
513;3;1
514;5;1
515;3;1
516;5;3
517;6;1
518;10;0
519;4;1
520;3;1
521;4;3
522;0;2
523;4;1
524;5;2
525;1;2
526;3;3
527;6;2
528;6;2
529;4;3
530;3;1
531;2;3
532;4;1
533;2;1
534;5;1
535;3;3
536;5;2
537;4;1
538;4;1
539;1;2
540;2;2
541;4;1
542;4;3
543;3;2
544;5;3
545;6;2
546;4;1
547;2;1
548;5;2
549;0;1
550;4;3
551;1;2
552;1;2
553;4;1
554;5;2
555;0;3
556;1;1
557;0;1
558;0;1
559;5;3
560;4;2
561;5;2
562;0;1
563;2;1
564;0;1
565;0;1
566;2;3
567;3;2
568;1;2
569;1;2
570;1;2
571;1;3
572;3;2
573;3;2
574;4;1
575;5;2
576;2;3
577;3;3
578;0;2
579;2;3
580;2;1
581;1;1
582;1;3
583;2;2
584;0;2
585;5;2
586;2;3
587;0;1
588;5;2
589;3;1
590;3;3
591;0;2
592;1;2
593;4;2
594;0;2
595;1;2
596;5;1
597;0;2
598;0;1
599;7;3
600;5;2
601;4;1
602;3;2
603;4;2
604;5;3
605;3;3
606;1;1
607;0;1
608;5;1
609;2;2
610;6;2
611;1;3
612;2;2
613;0;1
614;0;1
615;0;2
616;6;3
617;2;2
618;0;0
619;2;2
620;6;2
621;0;2
622;2;2
623;4;1
624;4;2
625;4;3
626;4;3
627;8;3
628;10;0
629;4;3
630;6;2
631;1;3
632;3;2
633;5;1
634;0;2
635;4;2
636;6;3
637;0;1
638;0;1
639;0;2
640;3;1
641;2;3
642;4;2
643;2;2
644;6;2
645;3;2
646;1;2
647;8;3
648;0;1
649;3;2
650;6;3
651;6;3
652;5;2
653;4;2
654;3;3
655;2;2
656;3;2
657;4;2
658;5;2
659;5;2
660;4;2
661;4;3
662;4;2
663;3;2
664;4;2
665;4;2
666;6;3
667;7;3
668;5;2
669;3;2
670;3;2
671;3;2
672;2;3
673;4;1
674;5;3
675;4;2
676;4;3
677;3;2
678;5;1
679;5;3
680;4;2
681;7;1
682;2;3
683;4;2
684;4;2
685;4;3
686;6;3
687;4;2
688;5;2
689;3;3
690;4;2
691;2;3
692;5;3
693;7;2
694;4;2
695;4;3
696;4;2
697;3;2
698;4;2
699;5;2
700;2;2
701;6;1
702;3;2
703;3;1
704;4;3
705;4;2
706;4;2
707;4;2
708;4;1
709;3;2
710;3;2
711;5;3
712;4;2
713;4;2
714;4;2
715;4;2
716;5;3
717;5;3
718;11;0
719;5;2
720;5;2
721;3;2
722;2;3
723;2;2
724;3;1
725;4;2
726;5;2
727;6;3
728;6;2
729;5;1
730;2;3
731;4;2
732;4;2
733;4;1
734;4;2
735;4;3
736;6;3
737;4;2
738;4;2
739;3;2
740;4;3
741;4;1
742;1;3
743;2;3
744;5;3
745;4;2
746;4;2
747;4;3
748;4;2
749;4;2
750;4;1
751;5;3
752;2;1
753;3;1
754;6;1
755;7;1
756;6;1
757;6;1
758;5;1
759;3;1
760;5;1
761;3;1
762;7;1
763;6;1
764;6;1
765;7;1
766;5;1
767;4;3
768;4;1
769;6;1
770;1;2
771;6;1
772;3;3
773;3;1
774;8;1
775;4;1
776;8;1
777;5;1
778;2;1
779;5;1
780;1;1
781;1;1
782;7;1
783;5;1
784;7;1
785;5;1
786;7;1
787;6;1
788;7;1
789;6;1
790;6;2
791;3;1
792;5;3
793;1;2
794;0;1
795;2;2
796;5;1
797;6;1
798;6;1
799;4;1
800;1;1
801;3;2
802;6;1
803;3;3
804;8;1
805;6;1
806;1;1
807;6;1
808;7;1
809;1;1
810;7;1
811;2;1
812;6;1
813;2;2
814;6;1
815;6;1
816;6;3
817;7;2
818;5;2
819;2;1
820;5;1
821;9;1
822;4;1
823;6;1
824;6;1
825;0;1
826;3;1
827;2;3
828;1;1
829;1;1
830;6;1
831;2;1
832;4;1
833;7;1
834;2;2
835;4;1
836;2;3
837;6;1
838;2;2
839;4;1
840;5;3
841;1;1
842;5;3
843;2;1
844;5;1
