Skewness: -0.44452909942341057, Average LID: LPCA: 1.9441269841269841  |||  MLE: 1.3267150030652126  |||  MLENB: 1.3267150030652126  |||  TLE: nan
LPCA: 0.12475726122822632  |||  MLE: -0.14424297420983895  |||  MLENB: -0.14424297420983895  |||  TLE: nan
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;242;2;0.0;0.0;1.3314927388522548
1;158;2;0.0;0.0;1.0979313572564207
2;201;2;0.0;0.0;nan
3;280;2;0.0;0.0;1.2145315990496952
4;195;2;0.0;0.0;1.5769505998626092
5;236;2;0.0;0.0;nan
6;233;2;0.0;0.0;nan
7;216;2;0.0;0.0;nan
8;129;1;0.0;0.0;1.2951389097586457
9;213;1;0.0;0.0;1.2617151837335145
10;186;2;0.0;0.0;1.5647077489926742
11;187;2;1.4968163581619311;1.4968163581619311;1.6652748656719292
12;251;2;0.0;0.0;nan
13;108;2;0.0;0.0;nan
14;240;2;0.0;0.0;nan
15;270;2;0.0;0.0;nan
16;195;2;0.0;0.0;1.6082620007198476
17;214;2;0.0;0.0;1.454579134026635
18;183;2;0.0;0.0;0.47415819570259293
19;99;2;0.0;0.0;1.5048298130135547
20;141;1;0.0;0.0;nan
21;300;2;0.0;0.0;nan
22;206;2;0.0;0.0;1.5362326390654073
23;208;2;1.1473603557973027;1.1473603557973027;1.4023283671533586
24;184;2;0.0;0.0;1.4697758158425327
25;214;2;0.0;0.0;1.5997119185892972
26;207;2;0.0;0.0;1.4320039129787685
27;207;2;1.7041942513739368;1.7041942513739368;1.808696281847063
28;258;2;0.0;0.0;1.035336040127843
29;189;2;0.0;0.0;1.7444005905683886
30;110;2;0.0;0.0;1.956174409721145
31;216;2;1.1748923984462187;1.1748923984462187;1.3914785233790516
32;167;2;0.0;0.0;1.1630839694846526
33;179;2;0.8287705696162366;0.8287705696162366;1.0004892757266786
34;165;2;0.0;0.0;1.838853185439942
35;205;2;0.0;0.0;1.382407383846987
36;224;2;0.0;0.0;1.8424373342515683
37;229;2;0.0;0.0;nan
38;90;2;0.0;0.0;nan
39;196;2;0.0;0.0;1.9458933962613714
40;201;2;0.0;0.0;1.420625611632085
41;218;2;0.0;0.0;1.6714284707756042
42;243;2;0.0;0.0;nan
43;197;2;0.0;0.0;1.316335266584279
44;227;2;0.0;0.0;1.748952929329396
45;326;2;1.5885797346194526;1.5885797346194526;1.848564721775283
46;201;2;0.9634665305611538;0.9634665305611538;1.2333065026426668
47;249;2;1.5212559590336523;1.5212559590336523;1.623869607819215
48;75;2;0.0;0.0;nan
49;187;2;1.6824382040642445;1.6824382040642445;1.8685763678569662
50;237;2;1.1873166911278938;1.1873166911278938;1.2414638472436224
51;182;2;1.1419361080266246;1.1419361080266246;1.202809242855089
52;200;2;1.5857675860550684;1.5857675860550684;1.7598776795879283
53;277;2;1.2275932321637768;1.2275932321637768;1.2745104962838325
54;200;2;1.381700215953153;1.381700215953153;1.4663561532518963
55;238;2;1.4361347036647782;1.4361347036647782;1.4712411069046738
56;240;2;1.4604460381454054;1.4604460381454054;1.580939613126489
57;220;2;1.0835554852072833;1.0835554852072833;1.3256380607938156
58;127;1;1.1184975572745346;1.1184975572745346;1.2600957334825114
59;198;1;1.1350259755556045;1.1350259755556045;1.2036785201081117
60;200;2;1.4300341746996978;1.4300341746996978;1.6108897596043226
61;192;2;1.4784777826518851;1.4784777826518851;1.5276451293384121
62;250;2;1.128673929336968;1.128673929336968;1.2881162403032633
63;99;2;1.4757041584986674;1.4757041584986674;1.7025905215375876
64;230;2;0.9629760489205139;0.9629760489205139;1.127326543907186
65;274;2;1.6472669892353862;1.6472669892353862;1.7334563725627643
66;193;2;1.2965828965898507;1.2965828965898507;1.4455473012685673
67;217;2;1.5415008692714713;1.5415008692714713;1.5299998450508063
68;254;2;0.842018797729755;0.842018797729755;0.6685653498599894
69;126;2;1.3409447948701034;1.3409447948701034;1.4932475752083603
70;138;1;1.0108930337109547;1.0108930337109547;1.2044086521844515
71;318;2;1.3864477654904572;1.3864477654904572;1.6166817686084487
72;219;2;1.5771022837256077;1.5771022837256077;1.7011679359198961
73;204;2;1.1465788357809923;1.1465788357809923;1.3535971984425152
74;203;2;1.4283280960189693;1.4283280960189693;1.554411392300866
75;203;2;1.4279496446860116;1.4279496446860116;1.5104352032587094
76;213;2;1.3059072316796088;1.3059072316796088;1.3395968430151288
77;208;2;1.809148868112177;1.809148868112177;1.7603731957674942
78;279;1;2.8065828093425416;2.8065828093425416;1.8860198454231094
79;199;2;1.862000443121885;1.862000443121885;1.9225100503431092
80;103;2;1.8115919471809818;1.8115919471809818;1.9571283990042052
81;194;2;1.2738538532899613;1.2738538532899613;1.389204156367302
82;181;2;1.257880334198223;1.257880334198223;1.2967973059014504
83;174;2;0.8564231892671329;0.8564231892671329;0.9937763496198444
84;196;2;1.8483237451376695;1.8483237451376695;1.7780066528017422
85;212;2;1.3529651378789636;1.3529651378789636;1.3775687693263365
86;241;2;2.00704228355458;2.00704228355458;2.065857770748653
87;222;2;1.9547028624347331;1.9547028624347331;2.14374782197949
88;91;2;2.5464716866685864;2.5464716866685864;2.3684365350230308
89;191;2;1.769679802843621;1.769679802843621;1.8265501032704603
90;213;2;1.5609786556515712;1.5609786556515712;1.564285679521335
91;202;2;1.3636381424932995;1.3636381424932995;1.4417947947249496
92;247;2;1.5127328886854965;1.5127328886854965;1.6274875940248834
93;199;2;1.163584320264744;1.163584320264744;1.2582506653383732
94;241;2;1.9659102784458975;1.9659102784458975;2.0039663597346187
95;312;2;1.6606098213236207;1.6606098213236207;1.843876939611167
96;205;2;1.0633445063971607;1.0633445063971607;1.2644087654997178
97;249;2;1.6711837374990124;1.6711837374990124;1.6576544804295155
98;72;2;2.1492241287159297;2.1492241287159297;2.2012853078875327
99;191;2;1.6851434815922872;1.6851434815922872;1.7925397053512693
100;252;2;1.2065032127799413;1.2065032127799413;1.2704351549872397
101;297;1;1.2984087588149975;1.2984087588149975;1.4002246868677846
102;173;2;1.5764859101006528;1.5764859101006528;1.7333065165310244
103;279;2;1.1881786528469347;1.1881786528469347;1.2817259687367084
104;188;2;1.4833704237258396;1.4833704237258396;1.5319420319049275
105;222;2;1.3666013465480753;1.3666013465480753;1.3701690637697377
106;225;2;1.4955770626465659;1.4955770626465659;1.6359848786986968
107;217;2;1.0661330750813747;1.0661330750813747;1.3158188151282786
108;126;1;1.1674282277919836;1.1674282277919836;1.318629936180403
109;228;2;1.221161865051971;1.221161865051971;1.28298371943345
110;182;2;1.2928227380617043;1.2928227380617043;1.4740603855055572
111;192;2;1.5739261444891768;1.5739261444891768;1.6392359331242767
112;251;2;1.163901480452186;1.163901480452186;1.310139650531614
113;114;2;1.4304019485050832;1.4304019485050832;1.6671316224985746
114;242;2;0.9978760014565179;0.9978760014565179;1.1696798392912577
115;248;2;1.5790921573015675;1.5790921573015675;1.6998167534296793
116;209;2;1.580982786883674;1.580982786883674;1.640501879228344
117;205;2;1.2008246726460519;1.2008246726460519;1.3300451645323332
118;187;2;0.0;0.0;0.46658091242824434
119;104;2;1.2888360709765712;1.2888360709765712;1.4894667728244277
120;139;1;1.0327080742167987;1.0327080742167987;1.210388906200268
121;295;2;1.4097220728630024;1.4097220728630024;1.605962970766713
122;204;2;1.446841388274028;1.446841388274028;1.5391333971111725
123;214;2;1.2469333311303168;1.2469333311303168;1.3942886912234085
