Skewness: 0.0, Average LID: LPCA: 2.64031746031746  |||  MLE: 1.8641593611987868  |||  MLENB: 1.8641593611987868  |||  TLE: nan
LPCA: 0.12405102323926676  |||  MLE: -0.27407500357111186  |||  MLENB: -0.27407500357111186  |||  TLE: nan
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;40;2;0.0;0.0;1.7539265192889786
1;51;4;0.0;0.0;1.457054263663852
2;58;2;0.0;0.0;nan
3;48;2;0.0;0.0;2.0581133350733767
4;45;3;0.0;0.0;2.0990701550417703
5;42;2;0.0;0.0;nan
6;41;2;0.0;0.0;nan
7;54;1;0.0;0.0;nan
8;57;1;0.0;0.0;1.4824606809983714
9;40;2;0.0;0.0;1.8980883391225156
10;40;2;0.0;0.0;2.1202609769605836
11;48;3;1.3401726031742034;1.3401726031742034;1.8980857891428489
12;53;2;0.0;0.0;1.6759258368491636
13;48;1;0.0;0.0;nan
14;51;2;0.0;0.0;nan
15;36;2;0.0;0.0;nan
16;41;4;0.0;0.0;3.5552107933788193
17;50;4;0.0;0.0;2.4125112764172014
18;51;1;0.0;0.0;1.4455009158566365
19;52;2;0.0;0.0;1.6585376581353855
20;54;2;0.0;0.0;nan
21;58;3;0.0;0.0;nan
22;48;3;0.0;0.0;3.4291201591149854
23;51;2;1.1504079151662663;1.1504079151662663;1.6242781377195497
24;44;2;0.0;0.0;1.7918454208543177
25;35;3;0.0;0.0;1.9977950679687155
26;45;3;0.0;0.0;1.775008959532916
27;36;2;1.7791444570287702;1.7791444570287702;2.5344715326298077
28;25;2;0.0;0.0;1.7913746883915156
29;31;4;0.0;0.0;2.2577067742346775
30;49;2;0.0;0.0;1.6749566510258096
31;51;4;1.4231145340379507;1.4231145340379507;2.098731055443846
32;23;4;0.0;0.0;2.4743743657396142
33;54;2;1.0873258490260618;1.0873258490260618;1.5356408724461346
34;56;2;0.0;0.0;1.8069830504091537
35;43;2;0.0;0.0;2.03211194266173
