Skewness: 0.0, Average LID: LPCA: 98.05666666666667  |||  MLE: 63.79711849397945  |||  MLENB: 63.79711849397945  |||  TLE: 50.15889251685141
LPCA: -0.06605080724784008  |||  MLE: -0.06349570047997741  |||  MLENB: -0.06349570047997741  |||  TLE: -0.012390000820743286
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;142;99;72.21749762051374;72.21749762051374;56.10075657130306
1;72;93;14.11227453269645;14.11227453269645;12.929810045192239
2;75;99;80.9775428064914;80.9775428064914;62.115953484492344
3;42;93;18.44566635622165;18.44566635622165;15.413189681321466
4;106;99;77.6702385520913;77.6702385520913;61.33650748073744
5;95;99;49.043772916790914;49.043772916790914;39.133244399402535
6;58;99;74.52028665447095;74.52028665447095;57.657438575695195
7;53;99;88.30146056825618;88.30146056825618;67.54413061216269
8;54;99;79.09990993603769;79.09990993603769;60.72868083283539
9;42;99;80.38556021623877;80.38556021623877;61.65002703542032
10;35;99;80.96237797091008;80.96237797091008;61.78784157089981
11;84;99;66.08504940689456;66.08504940689456;51.97818984098164
12;264;93;17.46952595498692;17.46952595498692;15.873415680394213
13;249;99;90.45555053888535;90.45555053888535;70.85995489908431
14;37;99;52.066183611428215;52.066183611428215;44.22344526959923
15;34;99;78.68617436084625;78.68617436084625;60.22293374844493
16;183;99;58.9487552536395;58.9487552536395;47.383374316385066
17;130;99;53.8965001139074;53.8965001139074;45.31464276374239
18;153;99;65.10383647262033;65.10383647262033;51.174127972114135
19;198;99;75.13982490280952;75.13982490280952;59.30239280346637
20;62;99;87.06731203346868;87.06731203346868;66.75517380396593
21;36;99;70.54808362847305;70.54808362847305;54.30710239778952
22;64;99;63.259149989512984;63.259149989512984;49.26312556043415
23;196;99;81.42607926103376;81.42607926103376;63.71032192378203
24;99;99;82.32685968303073;82.32685968303073;63.758464290205694
25;97;99;82.26200391901892;82.26200391901892;64.11307261593878
26;64;99;77.54811516525979;77.54811516525979;59.85951920090212
27;99;93;19.030447324449852;19.030447324449852;16.600528429995503
28;239;99;78.3314680174952;78.3314680174952;61.821259075401336
29;125;93;17.867460266299787;17.867460266299787;15.83260414886127
30;67;99;69.8996917543614;69.8996917543614;54.33183893136863
31;55;93;16.61618595742028;16.61618595742028;14.739702567930621
32;292;94;42.97051204664731;42.97051204664731;35.718179452098546
33;51;99;95.1762757775581;95.1762757775581;72.24167370629955
34;113;99;76.44934223122799;76.44934223122799;59.70486983930455
35;247;99;82.00815651181628;82.00815651181628;65.59113394519625
36;101;99;84.34594500010078;84.34594500010078;65.09982991302272
37;239;99;70.71547588504009;70.71547588504009;56.93339235543052
38;9;99;84.76835618211557;84.76835618211557;63.991813288751075
39;73;93;15.440740407708832;15.440740407708832;13.916986726975207
40;68;94;12.84008863619978;12.84008863619978;11.95085983118418
41;68;94;34.04621483067026;34.04621483067026;27.124962475582574
42;11;99;43.67359622124718;43.67359622124718;34.294387072108144
43;11;99;77.08916617946791;77.08916617946791;58.479375054461556
44;134;99;73.48486171634389;73.48486171634389;58.43407542612207
45;50;93;20.983148685543902;20.983148685543902;17.718801176392603
46;155;93;15.821401145497227;15.821401145497227;14.596256480935644
47;23;99;59.68260139605877;59.68260139605877;46.61016939651987
48;59;99;80.79342221903026;80.79342221903026;62.139288155176125
49;195;99;91.28646766864614;91.28646766864614;71.06565920558873
50;7;98;72.89643504312498;72.89643504312498;54.37216011162082
51;52;99;83.1508950041952;83.1508950041952;63.4908464421703
52;5;99;77.30839478434699;77.30839478434699;57.82701958037088
53;88;99;77.87053669925712;77.87053669925712;60.20721210980782
54;211;93;18.49547250510263;18.49547250510263;16.578532344430773
55;56;99;66.82425510730756;66.82425510730756;51.90694520287038
56;125;99;85.81571959712142;85.81571959712142;66.1931644674121
57;178;99;64.74758332174585;64.74758332174585;52.559030780349815
58;272;99;98.8915859906599;98.8915859906599;78.26050079580139
59;192;99;79.4091720195369;79.4091720195369;63.86320404176607
60;41;99;59.2385983279477;59.2385983279477;49.40225466882067
61;40;95;51.495713355349;51.495713355349;40.197419341106155
62;118;92;17.314302367554404;17.314302367554404;15.502093126973348
63;19;99;45.190521509775756;45.190521509775756;38.45609533048692
64;123;99;78.80739843352578;78.80739843352578;61.016317751276
65;71;99;64.13688996252552;64.13688996252552;50.42579284387456
66;165;99;43.800121634082224;43.800121634082224;39.36907184888545
67;25;99;49.19466560303561;49.19466560303561;41.198706833498974
68;114;99;85.29393494125651;85.29393494125651;65.93813822769741
69;10;99;74.93985825340677;74.93985825340677;57.05436660226948
70;30;99;46.6665566731963;46.6665566731963;39.934819431052595
71;154;93;22.166752276442686;22.166752276442686;18.946553553179122
72;150;99;67.16361702349694;67.16361702349694;53.42765677733241
73;99;99;81.34937034669294;81.34937034669294;63.31234197596332
74;145;99;87.78369703474473;87.78369703474473;67.96522251853868
75;148;99;64.61672538225338;64.61672538225338;51.103320169151665
76;31;99;51.27278391175222;51.27278391175222;40.14969073201005
77;2;99;73.10429977355739;73.10429977355739;54.434178491420475
78;69;99;65.96161701641391;65.96161701641391;51.00583288887139
79;20;99;70.91803956773411;70.91803956773411;54.10932086419847
80;42;93;44.44991875237521;44.44991875237521;33.996365707757306
81;20;99;66.39754798363818;66.39754798363818;51.38719578032651
82;197;99;78.08492462981923;78.08492462981923;61.29289991287946
83;55;94;13.952450518937878;13.952450518937878;12.81571037631973
84;152;99;58.214999271416445;58.214999271416445;49.60414496378175
85;30;99;77.85341172725177;77.85341172725177;59.77262367627171
86;85;99;64.60345357342466;64.60345357342466;51.19905707549459
87;24;99;95.33155900565974;95.33155900565974;72.27586178281541
88;5;98;91.11321579330155;91.11321579330155;67.76837561311864
89;10;99;72.88746895244974;72.88746895244974;54.53892497014349
90;147;99;86.4309185907787;86.4309185907787;66.64838481769135
91;289;96;11.211253711443998;11.211253711443998;11.239824827739271
92;298;99;76.92867873855596;76.92867873855596;61.34842929030769
93;128;94;15.683175291331711;15.683175291331711;14.688640320555113
94;91;99;73.81570747036422;73.81570747036422;57.56229682568521
95;12;99;63.54291856607003;63.54291856607003;49.19448803079363
96;190;99;64.05852438691628;64.05852438691628;51.309411451231576
97;101;99;79.88720380772907;79.88720380772907;62.07573189813026
98;73;99;86.25100552323687;86.25100552323687;65.95397333221162
99;163;99;81.87438232814762;81.87438232814762;64.16863002866035
100;31;99;72.79454233909927;72.79454233909927;56.79619197757407
101;95;99;92.7400930554018;92.7400930554018;70.86056802996892
102;165;92;19.00713124904543;19.00713124904543;16.88897001486942
103;6;99;89.95342337775324;89.95342337775324;67.38844023437967
104;101;99;53.97463163759154;53.97463163759154;42.40203781554062
105;4;99;81.88215878242305;81.88215878242305;61.40275827720649
106;74;99;77.56723764524932;77.56723764524932;60.4277543959804
107;8;99;42.38749481467199;42.38749481467199;36.907877101989335
108;46;99;81.173843065756;81.173843065756;62.09915761918174
109;15;99;62.67678092531796;62.67678092531796;48.2209565998619
110;108;93;14.724714739667215;14.724714739667215;13.545704369173986
111;127;99;69.50714451440209;69.50714451440209;54.390472940868854
112;79;99;69.65464847270994;69.65464847270994;53.817512284629515
113;77;93;24.13284464256968;24.13284464256968;20.546347008236925
114;202;99;81.98063326521839;81.98063326521839;64.44269211200772
115;8;99;61.11124543786223;61.11124543786223;50.851806964114026
116;47;93;14.877845810552493;14.877845810552493;13.379138546554877
117;143;94;12.97163032730226;12.97163032730226;12.309910071241262
118;131;99;85.24749354346449;85.24749354346449;65.73406736627595
119;22;99;77.39183142745131;77.39183142745131;58.74521968108553
120;138;94;14.657972348120376;14.657972348120376;13.641892549786979
121;22;99;39.18707040680725;39.18707040680725;33.94701308301529
122;2;99;62.1150592668202;62.1150592668202;45.78218483694829
123;181;99;78.34614097423815;78.34614097423815;62.348287946585266
124;143;99;56.8987862842235;56.8987862842235;49.50666860318361
125;3;99;52.20347886584486;52.20347886584486;41.15316637751989
126;210;99;66.37308226735074;66.37308226735074;53.32196966347679
127;18;99;72.99859526327938;72.99859526327938;55.62792895186783
128;273;99;70.42967820472278;70.42967820472278;56.20550854717124
129;127;99;73.1216832513882;73.1216832513882;56.98502295915234
130;50;99;68.52867530481292;68.52867530481292;53.303122880282544
131;18;99;53.86428611200512;53.86428611200512;45.17838073231281
132;295;99;65.16701528836172;65.16701528836172;53.899599147470155
133;136;99;64.85269948261426;64.85269948261426;51.075039090318995
134;176;99;68.70325141287552;68.70325141287552;53.86240204081616
135;289;99;80.83373156718649;80.83373156718649;64.42488440042396
136;277;94;42.77621171073587;42.77621171073587;34.600061309762765
137;82;99;54.84907210104047;54.84907210104047;43.288932994300446
138;29;99;79.4489018141892;79.4489018141892;63.22423658140584
139;31;99;80.57639955838506;80.57639955838506;61.67975703971521
140;282;99;77.42326705965537;77.42326705965537;62.49813420610496
141;218;99;48.299790522267905;48.299790522267905;44.34907572326068
142;122;99;79.7975946767032;79.7975946767032;62.847787215307555
143;176;99;72.97688100798712;72.97688100798712;57.692868748681434
144;274;99;70.91421532793906;70.91421532793906;56.43916974542447
145;233;99;70.2276114402245;70.2276114402245;55.36426695107855
146;0;99;74.21770522209891;74.21770522209891;55.07978066778604
147;23;99;81.81277446852464;81.81277446852464;62.26569286518825
148;50;99;61.449262508679396;61.449262508679396;47.449486328424655
149;52;94;42.93275412714649;42.93275412714649;33.04231132274522
150;63;99;95.65635391443456;95.65635391443456;73.535634785598
151;84;93;51.31893394978433;51.31893394978433;40.5013831412813
152;213;99;88.32749641948405;88.32749641948405;69.76012601931272
153;104;99;66.62807199537252;66.62807199537252;52.62877063102995
154;145;99;44.21804467161802;44.21804467161802;39.83396132260522
155;35;94;43.205245523363466;43.205245523363466;34.70522970135575
156;34;99;71.33081752343801;71.33081752343801;54.7964902525008
157;63;99;63.69139119183116;63.69139119183116;50.90897863179938
158;281;99;74.71360506593052;74.71360506593052;60.67632964788749
159;64;99;75.86308496005019;75.86308496005019;58.86759598520189
160;110;99;72.88961034349288;72.88961034349288;56.75992141836553
161;19;99;88.7552803284122;88.7552803284122;66.89471117966521
162;101;99;84.45866340786048;84.45866340786048;65.70253304077244
163;14;99;56.19376804076116;56.19376804076116;42.64718981295938
164;22;99;63.439668120575725;63.439668120575725;48.70346884400349
165;58;99;81.57604153175136;81.57604153175136;62.791435767621174
166;195;99;60.41952438814788;60.41952438814788;48.15852338332147
167;93;99;73.2781045422686;73.2781045422686;57.158477062033306
168;269;99;82.185121018145;82.185121018145;65.30011604294563
169;198;96;60.57555280089193;60.57555280089193;48.10693260762348
170;286;99;69.67143229753445;69.67143229753445;56.56148770096033
171;93;99;83.78980191373083;83.78980191373083;64.7499167300721
172;66;99;65.76715992424539;65.76715992424539;50.99585932184015
173;27;99;82.63881349421798;82.63881349421798;63.2560779708577
174;72;99;66.06943256080604;66.06943256080604;51.40197616466247
175;260;99;58.4805128419291;58.4805128419291;49.03628618842445
176;266;99;72.21744892876225;72.21744892876225;57.71869309507538
177;24;97;64.02777853093453;64.02777853093453;48.14637086371345
178;38;99;70.60208792445707;70.60208792445707;54.40519943575961
179;195;99;67.81638585702012;67.81638585702012;54.211623832596544
180;27;99;89.50500442769359;89.50500442769359;68.17370077587326
181;80;99;80.32481290792944;80.32481290792944;61.93292312449754
182;1;99;57.08671326391636;57.08671326391636;42.585971411065806
183;133;93;15.379047146021108;15.379047146021108;13.973341499870713
184;95;99;86.14133868727257;86.14133868727257;66.07339740691604
185;55;96;53.9332478932074;53.9332478932074;41.73748069102107
186;298;99;41.65761832697652;41.65761832697652;38.63797151856707
187;136;99;80.50399679474664;80.50399679474664;62.706836871445255
188;70;99;66.72958035597698;66.72958035597698;52.10304835297593
189;133;99;68.85916124729533;68.85916124729533;54.54271633037716
190;111;92;16.117455547315583;16.117455547315583;14.573183509815603
191;30;99;55.988719729338676;55.988719729338676;44.016933780937244
192;67;92;28.167968296268356;28.167968296268356;23.02742384608976
193;22;99;56.0388613897018;56.0388613897018;43.459752461363486
194;33;99;63.39884316095755;63.39884316095755;48.70646586242605
195;118;98;84.52202181231148;84.52202181231148;64.78945690919572
196;75;99;73.97002498074622;73.97002498074622;57.20712629360687
197;21;99;70.04109993512236;70.04109993512236;53.42098468522554
198;30;99;68.14618912972875;68.14618912972875;52.27262193704265
199;45;94;20.288274385263534;20.288274385263534;16.757205859490565
200;43;99;61.327915626136765;61.327915626136765;48.443801474178194
201;129;99;64.42469339678122;64.42469339678122;51.36621597237051
202;123;99;82.93320786660645;82.93320786660645;64.76053554064386
203;26;99;47.05881936853599;47.05881936853599;39.9688076463838
204;231;99;42.53381669737487;42.53381669737487;38.382961375487994
205;48;99;81.46637218890194;81.46637218890194;62.67743687835498
206;47;99;59.39487562768683;59.39487562768683;46.58474858746176
207;12;99;64.60501708603513;64.60501708603513;49.06337804092205
208;93;99;85.49779691735935;85.49779691735935;66.3661172133854
209;7;99;85.73741029755533;85.73741029755533;64.33647888978273
210;121;99;66.4885543464617;66.4885543464617;52.316959999025
211;179;99;79.16845994143033;79.16845994143033;61.77746088977456
212;146;99;75.76808642059682;75.76808642059682;59.48000940250215
213;52;99;57.51434507960409;57.51434507960409;44.85788723169318
214;39;99;76.54345660827312;76.54345660827312;58.31141360699694
215;71;99;91.21149894961837;91.21149894961837;69.56979601308501
216;148;99;64.31655574948871;64.31655574948871;51.185879470390866
217;0;99;85.79678429683858;85.79678429683858;63.69793943878801
218;188;99;85.68931812019311;85.68931812019311;67.01814250589545
219;44;94;14.555291113416727;14.555291113416727;13.042846026161705
220;64;99;50.9905674288277;50.9905674288277;42.43788249697624
221;22;99;63.04285750135474;63.04285750135474;48.30912204985433
222;183;99;70.94387064818075;70.94387064818075;55.403614307799494
223;126;94;10.461397645828502;10.461397645828502;10.421777083674144
224;238;94;11.519582919550203;11.519582919550203;11.364940167762812
225;242;99;72.0562360851297;72.0562360851297;57.52281004113587
226;25;99;100.27016319604022;100.27016319604022;75.93560263233393
227;5;99;99.56128664602642;99.56128664602642;74.72881402725064
228;96;99;71.07164161924797;71.07164161924797;55.39703930700503
229;117;99;81.44337649506919;81.44337649506919;63.140197298130175
230;12;99;76.34849598159762;76.34849598159762;58.18363738458196
231;166;99;62.394012499061596;62.394012499061596;50.008182505127756
232;239;99;63.20537497880067;63.20537497880067;51.34198186125822
233;77;98;76.05493759151317;76.05493759151317;58.30720540100969
234;48;99;80.78528492353512;80.78528492353512;62.1282865441649
235;118;99;78.42878206058921;78.42878206058921;61.07411793430928
236;44;99;66.46034421017082;66.46034421017082;52.12002556987709
237;6;99;87.42447311551618;87.42447311551618;65.76747259866919
238;43;99;71.65510485029789;71.65510485029789;55.210777097028156
239;75;93;23.226923844230317;23.226923844230317;19.27504174336123
240;237;99;71.03803710855387;71.03803710855387;56.08301071422427
241;130;99;99.83172343440516;99.83172343440516;76.50297404445776
242;224;99;90.51196240510843;90.51196240510843;70.80572331090713
243;35;99;64.36762837435015;64.36762837435015;49.470282210185076
244;42;99;81.29231210442455;81.29231210442455;62.196632073874476
245;161;99;71.21288839102579;71.21288839102579;60.70382014384457
246;75;99;65.71196986413285;65.71196986413285;50.88047478579437
247;68;99;58.599666308685485;58.599666308685485;45.99187357595773
248;19;99;63.58100109694148;63.58100109694148;49.437016641182765
249;149;99;61.91806181595809;61.91806181595809;51.02799458978649
250;24;99;67.99616446003704;67.99616446003704;55.07450032018363
251;53;93;20.750545407069254;20.750545407069254;17.527371200533835
252;156;99;71.85870301080398;71.85870301080398;56.95956327354819
253;258;94;11.027977332986616;11.027977332986616;10.96167958947344
254;122;99;78.41143845009047;78.41143845009047;60.7717821363535
255;21;99;64.02469085737408;64.02469085737408;48.874344121738524
256;144;99;76.7659819169424;76.7659819169424;59.91328113583038
257;288;99;74.34572671716963;74.34572671716963;59.98407153544023
258;84;93;14.126107361903216;14.126107361903216;13.023128389243194
259;14;99;47.45430174292817;47.45430174292817;41.98630250175556
260;21;99;49.24620317637076;49.24620317637076;37.78042401954259
261;10;99;94.42665922188782;94.42665922188782;71.01137717311104
262;121;94;17.33053666697075;17.33053666697075;15.657775889726002
263;158;99;77.11362022431595;77.11362022431595;60.78630070812076
264;73;99;66.70377714472139;66.70377714472139;52.46566433169052
265;61;93;15.39037795273639;15.39037795273639;13.800102524182101
266;114;99;54.40390767614317;54.40390767614317;43.645730092035954
267;25;99;81.82574417914728;81.82574417914728;62.260009338873594
268;0;99;81.88840306544617;81.88840306544617;59.30406746997028
269;42;99;52.63241497800804;52.63241497800804;44.60022689479663
270;135;99;91.86685997243579;91.86685997243579;70.71764932670163
271;150;99;88.88907356693775;88.88907356693775;68.90593403115413
272;145;99;60.47054184716288;60.47054184716288;48.31536636248967
273;59;99;61.18234816704902;61.18234816704902;47.48547835620914
274;220;99;71.0056806365405;71.0056806365405;58.054340059302184
275;18;98;67.93102878968405;67.93102878968405;51.72861332714609
276;104;99;50.48633896872953;50.48633896872953;42.09161008694811
277;84;99;60.11756977501835;60.11756977501835;47.383144479910015
278;31;99;60.14364782961764;60.14364782961764;46.267438653310506
279;23;99;91.33793271929795;91.33793271929795;69.06909818849817
280;178;93;21.759565602669515;21.759565602669515;18.82694839010059
281;2;99;82.59590875493427;82.59590875493427;61.545326554682234
282;3;99;94.9724435461351;94.9724435461351;71.28751942987432
283;21;99;71.04910306809403;71.04910306809403;55.775996324215306
284;214;99;59.00840695630497;59.00840695630497;47.88988031835999
