Skewness: -0.46824687185316166, Average LID: LPCA: 190.39  |||  MLE: 45.696488540047056  |||  MLENB: 45.696488540047056  |||  TLE: 35.9863381818535
LPCA: 0.0279907292502441  |||  MLE: 0.10567542729661787  |||  MLENB: 0.10567542729661787  |||  TLE: 0.1834718736219459
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;263;193;45.63155651408485;45.63155651408485;35.81522558613153
1;154;177;19.69549646678026;19.69549646678026;17.5958971164251
2;246;196;50.897865377962525;50.897865377962525;39.462812155919636
3;47;177;24.1667572149321;24.1667572149321;19.919083725751655
4;263;192;47.989382285134965;47.989382285134965;37.66216845519546
5;172;187;36.13351874429044;36.13351874429044;28.713070951223816
6;188;193;51.05384068478385;51.05384068478385;39.527969215553895
7;194;194;59.3898923767078;59.3898923767078;45.65488194821638
8;254;193;65.44999580523105;65.44999580523105;50.33118659909697
9;164;193;47.79992792686919;47.79992792686919;36.89584409388428
10;141;192;51.5143775715839;51.5143775715839;39.54206936045264
11;194;193;44.93460551486185;44.93460551486185;35.248318760040725
12;297;179;22.256173579727086;22.256173579727086;19.851412456423656
13;299;193;59.1810189492514;59.1810189492514;46.68483039874376
14;92;194;37.10442229677017;37.10442229677017;29.686291380117737
15;199;193;54.49964016379768;54.49964016379768;41.87439388065657
16;298;191;49.29690935442176;49.29690935442176;39.26967973178718
17;270;192;45.17351935628039;45.17351935628039;36.57409331547218
18;287;190;51.955039679803036;51.955039679803036;40.83446319132085
19;287;194;51.14426649986552;51.14426649986552;40.52675834492605
20;233;193;57.28289344296115;57.28289344296115;44.17803744505334
21;228;191;49.42732677493579;49.42732677493579;38.25409113812754
22;153;190;37.40063212315486;37.40063212315486;29.30102959146983
23;299;191;55.68498140447374;55.68498140447374;43.68582621946772
24;252;193;54.333797257028124;54.333797257028124;42.238586849658795
25;285;195;56.29463630825494;56.29463630825494;43.89181745838318
26;209;193;51.621950174817044;51.621950174817044;39.97205354889535
27;238;176;26.417285521615696;26.417285521615696;22.770218514991175
28;294;198;51.274356398825226;51.274356398825226;40.72149939414314
29;267;178;24.76824663467888;24.76824663467888;21.586684190450057
30;232;195;53.18152927996329;53.18152927996329;41.330633773017055
31;105;177;20.846664361640034;20.846664361640034;18.02846878142566
32;299;179;37.99076953867064;37.99076953867064;31.44814069705188
33;227;192;54.80387971137366;54.80387971137366;42.097269656523245
34;258;194;56.88326835854777;56.88326835854777;44.35463008935766
35;292;192;46.22615652349981;46.22615652349981;37.158648547966685
36;265;194;58.48524218986739;58.48524218986739;45.32542673980804
37;299;194;48.57006541438419;48.57006541438419;38.90736029699398
38;73;192;61.26777347099795;61.26777347099795;46.29142361316636
39;170;177;22.45677652343469;22.45677652343469;19.830500589716237
40;125;181;18.598235418791816;18.598235418791816;16.797777203452856
41;150;179;32.010171111025734;32.010171111025734;25.63762005755439
42;48;188;32.00210882697807;32.00210882697807;24.69914970595793
43;61;194;48.30829821154988;48.30829821154988;36.70446970916028
44;273;194;51.415634080521805;51.415634080521805;40.60315411106534
45;103;178;25.0318188809356;25.0318188809356;20.866412430998455
46;254;179;19.27425687503689;19.27425687503689;17.28710311323197
47;84;194;48.76695896392307;48.76695896392307;37.587046055389685
48;212;192;54.24656370208606;54.24656370208606;41.92511576317988
49;291;189;54.18968630549567;54.18968630549567;42.4855332101321
50;61;189;52.62620932196033;52.62620932196033;39.728802831506684
51;212;192;62.398329699681966;62.398329699681966;47.91798163137377
52;24;194;47.13734502348568;47.13734502348568;35.344596595638386
53;261;193;53.84004460198248;53.84004460198248;41.81775349322653
54;277;176;22.173092839702075;22.173092839702075;19.565907306019884
55;164;193;42.98259548410788;42.98259548410788;33.447850444978144
56;273;193;51.51257251394871;51.51257251394871;40.12438983537575
57;297;193;51.44861101215423;51.44861101215423;41.06036410316076
58;299;195;50.52068673512675;50.52068673512675;40.35959460348066
59;296;193;49.516082079365106;49.516082079365106;39.27260915553093
60;182;194;49.935770056422726;49.935770056422726;39.80859624488695
61;155;180;47.24589069398957;47.24589069398957;36.792002018261506
62;240;176;23.268311256000437;23.268311256000437;20.412402972824232
63;92;191;37.29517695127296;37.29517695127296;29.923424455635256
64;243;187;49.15686569737128;49.15686569737128;38.37785298025667
65;155;194;42.46523515327589;42.46523515327589;33.21248864459675
66;295;193;44.400958743808275;44.400958743808275;37.35408130608731
67;121;192;41.6545537382282;41.6545537382282;33.306303408966016
68;291;191;55.832031744737094;55.832031744737094;43.40863375290259
69;54;193;53.4788729290099;53.4788729290099;40.52227636678139
70;123;195;36.28060387229228;36.28060387229228;29.303313575635098
71;293;176;27.468316272699344;27.468316272699344;23.319754173576474
72;286;191;53.38582370689487;53.38582370689487;42.10757308771647
73;275;194;51.70370996062325;51.70370996062325;40.365547607047866
74;292;194;56.23371398187393;56.23371398187393;43.85711017881219
75;270;192;47.41094395792623;47.41094395792623;37.51763114218634
76;87;193;34.89820757256903;34.89820757256903;27.17237616289692
77;22;194;47.1647226489346;47.1647226489346;35.31742310748868
78;176;192;41.49294073118174;41.49294073118174;32.410257352557345
79;108;195;51.143409835637435;51.143409835637435;39.170889852505844
80;94;177;42.442478487735144;42.442478487735144;32.92795964468405
81;127;192;51.55839829390894;51.55839829390894;39.64888273457755
82;287;194;44.910441377236225;44.910441377236225;35.58250138710925
83;118;178;19.08813551629282;19.08813551629282;17.01192131130224
84;281;198;45.14546555296722;45.14546555296722;36.702676027572295
85;156;189;54.97085191844567;54.97085191844567;42.24008664104882
86;200;194;45.606571761914864;45.606571761914864;35.87469506133703
87;190;194;59.595837916635226;59.595837916635226;45.54917236555773
88;87;187;53.72452636534872;53.72452636534872;40.576972331852566
89;39;186;57.23021524903567;57.23021524903567;42.93039125713588
90;277;191;56.63016224353162;56.63016224353162;44.094409643800596
91;299;182;17.13995560883727;17.13995560883727;16.643831014922455
92;299;188;55.873281439822286;55.873281439822286;44.72401192318661
93;207;176;18.998985581309075;18.998985581309075;17.13703407618752
94;194;193;44.48379101102911;44.48379101102911;34.87293643232428
95;48;194;53.42747427223426;53.42747427223426;40.80267431826948
96;297;193;50.74127071656548;50.74127071656548;40.3503079630899
97;208;193;48.24758027086173;48.24758027086173;37.67159174802305
98;239;193;55.970127039634875;55.970127039634875;43.206890388276754
99;296;186;56.88249759005068;56.88249759005068;44.606882000237285
100;157;193;57.336324746895464;57.336324746895464;44.23899873308904
101;289;192;60.712567100511635;60.712567100511635;46.854327521020494
102;230;176;20.681640826542882;20.681640826542882;18.045504137558773
103;67;192;52.171537915992744;52.171537915992744;39.45743481160193
104;190;193;38.16496861700521;38.16496861700521;30.153258032450882
105;87;192;63.49079423582511;63.49079423582511;47.8425482720003
106;237;198;51.86572374020373;51.86572374020373;40.40447496818862
107;78;193;44.04391796136436;44.04391796136436;35.95864102571133
108;171;190;51.37702268108489;51.37702268108489;39.575969869742146
109;84;192;55.68453930027847;55.68453930027847;42.57299556857855
110;273;179;21.07698328312881;21.07698328312881;18.934765701726427
111;287;194;52.97026880174041;52.97026880174041;41.48179944505548
112;189;194;47.211558742135416;47.211558742135416;36.68482826154454
113;214;179;28.87137318749692;28.87137318749692;24.2502960148822
114;297;193;51.62388942142837;51.62388942142837;40.69592604228466
115;70;189;51.31038551962806;51.31038551962806;40.43894674406126
116;91;179;19.081398090556412;19.081398090556412;16.649143244562186
117;270;181;18.742636011215616;18.742636011215616;17.28684025644923
118;268;198;48.3169792360908;48.3169792360908;37.724142598656705
119;140;192;50.24253358423582;50.24253358423582;38.450317053430254
120;286;179;20.170928326241416;20.170928326241416;18.27492586925437
121;84;196;40.24316875007675;40.24316875007675;32.84170605041571
122;19;192;44.28545767995609;44.28545767995609;32.80987957458021
123;275;197;49.74577585076562;49.74577585076562;39.47326685183727
124;268;195;48.026634318311764;48.026634318311764;39.426004092991484
125;16;193;41.763702336514186;41.763702336514186;31.79304195449418
126;274;193;42.794911817983674;42.794911817983674;34.39285798697484
127;152;191;54.37256566927327;54.37256566927327;41.57739697005521
128;299;192;49.87933164992631;49.87933164992631;39.8818957357161
129;226;190;44.62876373570843;44.62876373570843;35.081523108948694
130;189;194;50.77762599558084;50.77762599558084;39.39801204895286
131;100;195;47.94282599810472;47.94282599810472;38.2278054191661
132;299;195;53.867337126520816;53.867337126520816;43.96406092988374
133;290;195;53.8576346554575;53.8576346554575;42.23364112011008
134;293;196;50.11624416820066;50.11624416820066;39.45977153945439
135;299;193;54.282649963631386;54.282649963631386;43.422759300197995
136;299;179;43.66154233955495;43.66154233955495;35.54478929549328
137;177;195;42.98837982323062;42.98837982323062;33.81300187825767
138;186;191;56.91215719978296;56.91215719978296;44.22719638911728
139;139;194;51.998238802189874;51.998238802189874;39.91310600389219
140;299;195;54.95428437700331;54.95428437700331;44.3661068409056
141;296;195;38.8692279905271;38.8692279905271;32.86432045509993
142;214;194;44.18720169594384;44.18720169594384;34.825055069621364
143;291;194;50.63923069961382;50.63923069961382;39.9995123428515
144;299;194;53.9545862745694;53.9545862745694;42.99641759487673
145;297;192;45.897347359800655;45.897347359800655;36.50422619596492
146;16;193;50.4379364849739;50.4379364849739;37.52109178423305
147;96;192;47.97749871472566;47.97749871472566;36.67438920138583
148;116;192;38.011156891869526;38.011156891869526;29.58507637079078
149;138;178;39.74340274862959;39.74340274862959;31.104577386828545
150;203;193;55.062056277558135;55.062056277558135;42.48027040463346
151;253;179;43.2164174092986;43.2164174092986;34.18349246309674
152;296;194;58.280220675264786;58.280220675264786;46.044646395931686
153;247;192;49.49748808719553;49.49748808719553;38.83591192302273
154;278;199;41.729429824459075;41.729429824459075;35.065518771778265
155;117;179;38.765627287492485;38.765627287492485;30.681961136571744
156;123;195;53.80548952387846;53.80548952387846;41.26827468272637
157;195;193;49.72893975942078;49.72893975942078;39.112737623082516
158;299;193;50.627811653372504;50.627811653372504;40.83868939055911
159;212;193;50.636344377767095;50.636344377767095;39.308255591352996
160;245;193;50.44526991381726;50.44526991381726;39.42840853349234
161;88;194;50.05826131375502;50.05826131375502;38.11123720352485
162;255;197;48.748611848831274;48.748611848831274;38.14697440404818
163;31;192;35.04098787082194;35.04098787082194;26.58866436839233
164;80;194;40.50611722818741;40.50611722818741;31.172977572471336
165;231;190;54.68119142765009;54.68119142765009;42.2377982411484
166;292;195;43.874677861342846;43.874677861342846;34.91517653081117
167;209;194;47.45439084965263;47.45439084965263;37.06726645903673
168;298;196;50.318717296551085;50.318717296551085;40.328481090535654
169;279;184;47.779172024996505;47.779172024996505;38.088206518701575
170;299;194;52.128981689121034;52.128981689121034;41.9369575243182
171;194;195;49.311467764035825;49.311467764035825;38.37469616183709
172;185;190;47.61883059271063;47.61883059271063;36.998252040308394
173;162;191;62.466042869263894;62.466042869263894;47.822370435348766
174;160;192;36.71811931999035;36.71811931999035;28.82414953701419
175;299;192;46.42772066499829;46.42772066499829;37.79449371578382
176;299;189;60.416287923961924;60.416287923961924;47.941643583317074
177;103;184;46.44984734328983;46.44984734328983;35.491942651704214
178;129;192;43.73873566953122;43.73873566953122;33.817407177903384
179;291;191;47.29349083197699;47.29349083197699;37.692510142456804
180;194;194;55.2297264277812;55.2297264277812;42.32590993312818
181;254;190;52.71311780209812;52.71311780209812;40.83908393171285
182;19;192;36.67575556767023;36.67575556767023;27.38844011667262
183;261;178;21.910891359335093;21.910891359335093;19.52122584204996
184;256;187;51.817071941039096;51.817071941039096;40.24290276429517
185;188;179;42.43815258345333;42.43815258345333;33.132558386326714
186;299;194;40.883884984735154;40.883884984735154;35.45821667452028
187;250;191;44.32141213218847;44.32141213218847;34.86467090080847
188;156;188;38.88317028172809;38.88317028172809;30.480194621751497
189;245;194;45.1598165344144;45.1598165344144;35.7194480842168
190;177;177;19.77831108206958;19.77831108206958;17.438636305055145
191;85;193;39.77634102674747;39.77634102674747;30.882583144135147
192;146;178;28.111274764540088;28.111274764540088;22.983696666634767
193;73;194;38.09851149598403;38.09851149598403;29.37497289006554
194;86;190;36.820378985938014;36.820378985938014;28.442495249008164
195;299;181;57.23879079235775;57.23879079235775;44.35386523616335
196;203;192;53.29741263409723;53.29741263409723;41.30515495920574
197;130;197;56.2780072136691;56.2780072136691;43.019941778517044
198;108;191;44.56301186891777;44.56301186891777;34.28511580590424
199;55;178;25.871312684394695;25.871312684394695;21.160277206368708
200;228;194;52.4686192178137;52.4686192178137;41.018205029744955
201;273;190;48.076174142784026;48.076174142784026;38.035536753246014
202;228;195;47.191042861359605;47.191042861359605;37.06662220902703
203;135;193;46.512156289590465;46.512156289590465;37.54742547854046
204;299;192;44.86714060457601;44.86714060457601;38.16989696888883
205;141;189;54.59726531000365;54.59726531000365;42.011761099332965
206;160;194;49.05291968036467;49.05291968036467;38.20339325527609
207;78;191;53.453330960302495;53.453330960302495;40.63287564466656
208;273;192;55.93568599713119;55.93568599713119;43.491227982297
209;86;194;67.48039254518179;67.48039254518179;50.82274190131549
210;264;194;44.83070596324915;44.83070596324915;35.33929148489154
211;299;191;55.43781837288351;55.43781837288351;43.468870777140566
212;275;195;50.75476147691245;50.75476147691245;39.95341081399292
213;114;191;34.44058212724274;34.44058212724274;26.99742014450709
214;193;192;56.857667428907234;56.857667428907234;43.60592499345142
215;258;192;59.630179710593346;59.630179710593346;45.89625090512645
216;277;193;48.28226117297988;48.28226117297988;38.19826926689358
217;34;194;55.571562534306075;55.571562534306075;41.63156841952318
218;295;192;56.704308196746936;56.704308196746936;44.44625061308922
219;61;180;21.066412822476565;21.066412822476565;18.392964929490628
220;230;198;45.567250894875464;45.567250894875464;36.61291447248354
221;102;191;45.97295509371523;45.97295509371523;35.27398433951449
222;281;190;50.02388709484545;50.02388709484545;39.331551219221915
223;209;182;14.922994579006943;14.922994579006943;14.260698382041598
224;299;180;16.886146076829093;16.886146076829093;16.105692410662932
225;298;189;49.15214243497457;49.15214243497457;39.283247936502505
226;204;193;56.49134719238086;56.49134719238086;43.24308338735514
227;73;194;61.52963763629062;61.52963763629062;46.423186432389855
228;220;190;50.91128966281093;50.91128966281093;39.72620667617209
229;251;195;57.26948056297498;57.26948056297498;44.61118816175713
230;61;198;44.04496062274568;44.04496062274568;33.633079036375975
231;265;192;40.863126563349155;40.863126563349155;32.68759078154897
232;292;195;41.94306124705848;41.94306124705848;33.9075071038461
233;193;189;47.667842904589904;47.667842904589904;36.95516159545873
234;186;194;53.24861433072299;53.24861433072299;41.04961225698957
235;275;190;53.5024573005945;53.5024573005945;41.78226075025232
236;213;190;53.25864803053275;53.25864803053275;41.387902094750366
237;104;194;56.66152612305906;56.66152612305906;42.97493229902609
238;143;193;49.1331286952433;49.1331286952433;37.87592608494741
239;181;176;27.43023210537431;27.43023210537431;22.706467724741806
240;293;192;50.21580810672955;50.21580810672955;39.80366237026196
241;290;196;59.45686578798834;59.45686578798834;46.105487339823895
242;299;194;55.18831639956405;55.18831639956405;43.46460457495208
243;106;195;48.319253321308494;48.319253321308494;37.187355636157534
244;142;196;45.016849968394084;45.016849968394084;34.75173060142034
245;296;194;51.396235674869416;51.396235674869416;41.5401781520424
246;179;193;46.576122273545444;46.576122273545444;36.2791560332678
247;156;192;42.39397424193893;42.39397424193893;33.1360394798871
248;93;191;53.566971169234506;53.566971169234506;41.21527091327733
249;281;194;50.46746832916409;50.46746832916409;40.41909901281176
250;134;193;54.501428997079444;54.501428997079444;42.63858777002571
251;141;174;25.151163280720812;25.151163280720812;21.044519745725925
252;292;194;51.41205498025929;51.41205498025929;40.48991875105073
253;299;179;17.4284371107386;17.4284371107386;16.845244121587452
254;284;194;52.34814501449552;52.34814501449552;40.86425560844166
255;66;192;38.30274677119148;38.30274677119148;29.37614179915323
256;289;193;46.81652352738291;46.81652352738291;36.78279587061098
257;299;192;50.38592335592844;50.38592335592844;40.5483365076279
258;203;178;20.12757200678515;20.12757200678515;18.11070253385734
259;102;196;43.13179281672056;43.13179281672056;35.238850264066016
260;57;191;31.235689147930927;31.235689147930927;24.043501141864
261;112;195;61.5656159114553;61.5656159114553;46.61999986407474
262;241;179;23.031735868933847;23.031735868933847;20.347819255940948
263;290;195;50.77329071305828;50.77329071305828;39.99016935095183
264;236;193;56.26139839118738;56.26139839118738;43.90164351137661
265;120;178;21.46810734251915;21.46810734251915;18.82374513730817
266;226;193;43.206276632701666;43.206276632701666;34.362520398432174
267;174;194;54.75283374470792;54.75283374470792;41.906589373340374
268;1;196;55.41731833092159;55.41731833092159;40.403615198598565
269;223;196;45.30464250394905;45.30464250394905;36.519873504835466
270;290;193;62.01565427626009;62.01565427626009;48.07630165955899
271;267;192;52.785983800852684;52.785983800852684;41.284309662421705
272;270;198;46.368067970509614;46.368067970509614;36.83122219151379
273;160;192;42.735552205556345;42.735552205556345;33.274509177246365
274;298;192;49.77745960950707;49.77745960950707;39.963383677212576
275;110;189;46.39796116738341;46.39796116738341;35.5134314167033
276;222;192;44.12369119391883;44.12369119391883;35.59586443196982
277;175;191;36.42376345475667;36.42376345475667;28.770665111581337
278;107;192;39.10062139815154;39.10062139815154;30.21626872604542
279;181;189;55.634164534572776;55.634164534572776;42.48636372046073
280;290;179;26.32104240569161;26.32104240569161;22.52933093481151
281;38;194;56.02838481162311;56.02838481162311;42.01758469390401
282;62;196;54.23512454374571;54.23512454374571;40.99651973328291
283;76;194;49.17102583015217;49.17102583015217;37.852041022665645
284;294;196;45.460187640597916;45.460187640597916;36.54801142004466
285;297;197;46.2471271536517;46.2471271536517;37.494022812305374
286;153;191;39.864437459646574;39.864437459646574;31.091761768467624
287;170;192;50.62215847327894;50.62215847327894;39.14929248339138
288;63;193;44.97418589169456;44.97418589169456;34.38762150277498
289;96;178;22.332181363825367;22.332181363825367;18.94754073799733
290;292;179;23.139997957340345;23.139997957340345;20.521105677061982
291;268;191;50.18779357239916;50.18779357239916;39.36284635988254
292;268;191;51.22384710531726;51.22384710531726;41.11927490362077
293;272;196;44.49304016409822;44.49304016409822;35.185288246186474
294;157;192;47.534779163697884;47.534779163697884;36.83073452508696
295;240;179;26.978191000583514;26.978191000583514;22.767371252528644
296;285;194;64.50098165007248;64.50098165007248;49.742278610375784
297;249;179;18.540876991923838;18.540876991923838;17.107607882552973
298;63;194;48.21141981403658;48.21141981403658;36.612554807013574
299;100;195;50.87684214684142;50.87684214684142;39.293697506197226
