Skewness: 0.0, Average LID: LPCA: 59.0  |||  MLE: 71.00025034413767  |||  MLENB: 71.00025034413767  |||  TLE: 56.20266931519847
LPCA: nan  |||  MLE: -0.17551030205213708  |||  MLENB: -0.17551030205213708  |||  TLE: -0.13970559593542176
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;78;59;83.84429878330634;83.84429878330634;65.49905312517014
1;56;59;9.991774023491777;9.991774023491777;9.150094859493564
2;24;59;102.24781570113672;102.24781570113672;78.58539346114014
3;41;59;13.613522127845838;13.613522127845838;11.2806393716097
4;36;59;89.80110622998689;89.80110622998689;72.74368325821504
5;62;59;58.99617261811759;58.99617261811759;47.65066122548514
6;23;59;80.63401030662628;80.63401030662628;62.85102948773953
7;21;59;107.80859341440177;107.80859341440177;82.60784799566743
8;22;59;80.65242539125056;80.65242539125056;62.13838635424933
9;15;59;94.30277382442551;94.30277382442551;72.817642237527
10;11;59;113.8315622231817;113.8315622231817;86.98408706120014
11;39;59;71.09254628748678;71.09254628748678;56.85710337643496
12;221;59;13.261187468268473;13.261187468268473;11.967393620865945
13;162;59;96.4125300509843;96.4125300509843;75.93501134223273
14;18;59;47.551311730105695;47.551311730105695;42.88292331519714
15;18;59;95.30446742403682;95.30446742403682;73.24383139488998
16;101;59;56.60221081003854;56.60221081003854;46.39856961238132
17;72;59;55.603787585658196;55.603787585658196;49.363084483178376
18;64;59;81.22427341294078;81.22427341294078;64.60266641563449
19;139;59;96.16813839626727;96.16813839626727;76.01941116309652
20;21;59;106.03759282868427;106.03759282868427;81.70177050381507
21;18;59;82.23919637943987;82.23919637943987;63.61857587046672
22;33;59;83.75269330020149;83.75269330020149;65.72675495862717
23;105;59;89.79829516610609;89.79829516610609;70.45010637249769
24;46;59;91.91389337751751;91.91389337751751;71.53294448081317
25;35;59;83.1440611626199;83.1440611626199;65.69316804813512
26;26;59;85.42873396094606;85.42873396094606;66.22940972817837
27;65;59;13.561436058432129;13.561436058432129;11.729276549607778
28;160;59;90.69620825333466;90.69620825333466;71.8623224675479
29;81;59;13.570124901892095;13.570124901892095;11.934096679626467
30;27;59;82.16387885293219;82.16387885293219;64.51683437292445
31;43;59;11.873020857626518;11.873020857626518;10.502890885883675
32;271;59;39.33521619831286;39.33521619831286;32.76256459858311
