Skewness: 0.10165604952484616, Average LID: LPCA: 5.084635416666667  |||  MLE: 4.2071585494801615  |||  MLENB: 4.2071585494801615  |||  TLE: 4.14442097305954
LPCA: 0.15476596572578544  |||  MLE: -0.30326209637734536  |||  MLENB: -0.30326209637734536  |||  TLE: -0.08206278749856191
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;22;5;3.6486791488417483;3.6486791488417483;3.8952048396287404
1;32;5;4.872515964868954;4.872515964868954;4.691372105071826
2;17;4;3.3117988757185293;3.3117988757185293;3.2298341718768366
3;29;6;3.4826141308047975;3.4826141308047975;3.885924033899608
4;8;5;3.9557676304327463;3.9557676304327463;3.7396656991734347
5;34;5;3.725247687232917;3.725247687232917;3.754455789643936
6;10;5;5.6764239786514885;5.6764239786514885;4.91544235639788
7;33;3;2.1637617226426067;2.1637617226426067;2.169709557014052
8;16;2;1.4741254908720902;1.4741254908720902;1.5759372169524162
9;1;6;9.91156111833519;9.91156111833519;6.142214291029239
10;19;4;3.2054321699506154;3.2054321699506154;3.530841565535144
11;26;5;2.385451464781648;2.385451464781648;2.741166600925871
12;28;5;4.560225808159608;4.560225808159608;4.680853486649392
13;2;2;2.784112873017217;2.784112873017217;1.330758640293713
14;21;5;3.070820459766683;3.070820459766683;3.415495614627941
15;30;4;1.9074411081417166;1.9074411081417166;2.274363171569315
16;18;5;2.833969647785561;2.833969647785561;3.3228792845717674
17;33;5;2.706707922404709;2.706707922404709;3.107279099638133
18;2;5;7.633184144380812;7.633184144380812;5.54109536683711
19;39;6;4.479740338967359;4.479740338967359;4.9465177077293445
20;25;5;3.087664461809688;3.087664461809688;3.428968504546408
21;19;5;3.8592168249240104;3.8592168249240104;3.850457894450075
22;15;5;3.360476059820596;3.360476059820596;3.475622891644069
23;29;5;4.134945988153435;4.134945988153435;4.233063569617399
24;17;6;3.4044097361135686;3.4044097361135686;3.7274257405414937
25;31;6;3.8665978721549963;3.8665978721549963;4.41750165523693
26;34;5;4.200724137110961;4.200724137110961;4.567247627091165
27;11;5;5.07285372329815;5.07285372329815;4.869942419524042
28;10;5;5.387089468066355;5.387089468066355;4.674372459567705
29;19;5;4.301171176890884;4.301171176890884;4.601636067869869
30;14;5;5.036232841888859;5.036232841888859;4.764079572346795
31;26;5;3.9196417750495027;3.9196417750495027;4.034666862175007
32;30;6;3.1242112053896243;3.1242112053896243;3.3940720536596705
33;5;6;7.434162226157385;7.434162226157385;6.03455000136278
34;25;6;4.069872977379544;4.069872977379544;4.683878611713792
35;20;5;5.228342682565053;5.228342682565053;5.486262580741983
36;29;5;4.280508255093251;4.280508255093251;4.451508876597151
37;25;6;5.999337761845303;5.999337761845303;6.333424322616286
38;17;5;2.6481891243644475;2.6481891243644475;2.8208210317831193
39;14;5;4.422437133205583;4.422437133205583;4.258849095241565
40;3;5;4.468009388428872;4.468009388428872;3.8637156399882997
41;28;5;3.6305348887146724;3.6305348887146724;4.108184007474423
42;14;6;10.185739628371351;10.185739628371351;9.309063023125672
43;7;4;5.254750212106945;5.254750212106945;4.868926925555909
44;23;5;3.130088668980762;3.130088668980762;3.66131721288391
45;11;5;3.237953616865966;3.237953616865966;3.5069976921235435
46;11;4;3.7495057933980234;3.7495057933980234;3.6684791694360825
47;20;5;4.870400904472495;4.870400904472495;4.41198456081646
48;28;5;6.255397860389809;6.255397860389809;6.213238809527841
49;15;4;2.166807193512352;2.166807193512352;2.2567703584265657
50;10;6;3.9501904247624178;3.9501904247624178;4.191179386774284
51;11;6;4.450504296954863;4.450504296954863;3.7554138801483297
52;13;4;8.451331360179852;8.451331360179852;7.482881605732881
53;19;5;3.1856253571135733;3.1856253571135733;3.1909012710224673
54;20;5;2.6652540861107434;2.6652540861107434;3.028453920891701
55;14;6;3.9999047657015883;3.9999047657015883;3.833399374670753
56;21;4;3.0013461154077;3.0013461154077;3.2097930773721806
57;3;6;6.63512999461736;6.63512999461736;5.028623419938696
58;29;5;4.801432230411321;4.801432230411321;4.998241925319308
59;16;5;3.3289420330439503;3.3289420330439503;3.8975778768879823
60;13;5;1.6061376715118676;1.6061376715118676;1.884873511777742
61;34;5;3.4814305450616168;3.4814305450616168;3.8209736573421798
62;7;5;5.303813468884984;5.303813468884984;3.7973502681780045
63;14;6;3.1933240801324865;3.1933240801324865;3.541120839878522
64;28;5;3.3665572608513705;3.3665572608513705;3.7486958012461784
65;40;6;5.65382154265781;5.65382154265781;5.419897855788265
66;25;6;5.939803057553051;5.939803057553051;6.088583930580014
67;10;5;5.567703583170933;5.567703583170933;5.188177039569967
