Skewness: 0.0, Average LID: LPCA: 4.35375  |||  MLE: 2.5673760586165963  |||  MLENB: 2.5673760586165963  |||  TLE: 2.5617355346968638
LPCA: -0.13450829659147812  |||  MLE: -0.42206870910618316  |||  MLENB: -0.42206870910618316  |||  TLE: -0.5527717099023606
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;95;5;2.4912720472886427;2.4912720472886427;2.623269579567996
1;140;4;1.7496332159670904;1.7496332159670904;2.1355993618789877
2;118;4;2.1730188018181504;2.1730188018181504;2.239071607603309
3;112;4;2.3110773974293903;2.3110773974293903;2.688278885801518
4;120;5;1.9121901060624669;1.9121901060624669;2.159605227580651
5;110;4;2.0909446151203066;2.0909446151203066;2.3917736923348474
6;108;5;1.9467288179165732;1.9467288179165732;2.211612548620029
7;41;4;2.962453947304018;2.962453947304018;2.647242890044776
8;108;6;2.371991820418766;2.371991820418766;2.394029629285205
9;124;4;2.1546417035940832;2.1546417035940832;2.4251889439601926
10;55;5;3.6337417652910577;3.6337417652910577;3.1524779132135765
11;116;4;1.7608246686596658;1.7608246686596658;2.0930231920642726
12;63;5;2.9751027505704633;2.9751027505704633;3.0113103696663908
13;94;4;2.266677736967313;2.266677736967313;2.540176588309073
14;81;5;1.9321784857669484;1.9321784857669484;2.2795647605993383
15;89;4;2.299364436205572;2.299364436205572;2.6438560238387985
16;47;4;3.11691658073945;3.11691658073945;2.669330833918113
17;110;4;2.222622986099671;2.222622986099671;2.4994659600198514
18;113;5;2.0479028755301267;2.0479028755301267;2.2340103938017695
19;93;4;2.290418191105909;2.290418191105909;2.4631713072735275
20;101;4;2.5654768839247146;2.5654768839247146;2.657059086395384
21;115;4;2.004287975320673;2.004287975320673;2.189853786015485
22;82;4;2.329882458510539;2.329882458510539;2.6096825132969257
23;108;4;2.5155547482559917;2.5155547482559917;2.649238147066602
24;95;4;2.332714185640929;2.332714185640929;2.491412027196582
25;63;4;2.8605390698609217;2.8605390698609217;2.6102799333847826
26;107;4;2.84127565344116;2.84127565344116;2.7292492161495843
27;100;4;2.585817351772106;2.585817351772106;2.719770324562476
28;123;5;2.0202486875578503;2.0202486875578503;2.3587934040650578
29;31;5;3.999016491996379;3.999016491996379;3.470668339433271
30;111;5;2.0907704597844328;2.0907704597844328;2.5423431250318713
31;127;4;2.2912255621007245;2.2912255621007245;2.558227984614771
32;82;4;2.5117747225172744;2.5117747225172744;2.73117335967104
33;107;4;2.398612913432096;2.398612913432096;2.5799188424595094
34;101;4;2.640894933850903;2.640894933850903;2.7215023842278314
35;113;5;2.2805689203929598;2.2805689203929598;2.568189090529778
36;102;4;2.303073753220813;2.303073753220813;2.5274491831694794
37;86;5;2.652527798428082;2.652527798428082;2.5777409234101007
38;118;5;2.1797453031254617;2.1797453031254617;2.3660363426447
39;128;4;2.376244943563715;2.376244943563715;2.535603452654487
40;94;3;3.075651028783584;3.075651028783584;2.911008462380451
41;91;4;1.838138353848614;1.838138353848614;2.2521512218967894
42;111;5;1.8098400938081387;1.8098400938081387;2.1774539571907185
43;105;4;2.401389822624649;2.401389822624649;2.64842289351552
44;38;4;2.8522944650825774;2.8522944650825774;2.628921521162578
45;26;4;4.136138614774213;4.136138614774213;2.829512002291962
46;101;4;2.2425271733663696;2.2425271733663696;2.6095785079992377
47;111;5;2.255442894619189;2.255442894619189;2.4639420538221177
48;102;4;2.0307077995184626;2.0307077995184626;2.4144543617488736
49;101;5;2.131279473175616;2.131279473175616;2.432964274498073
50;104;4;2.4161726979408424;2.4161726979408424;2.669280842402341
51;118;4;1.9809084677612905;1.9809084677612905;2.203587784445755
52;93;4;2.6658961221296957;2.6658961221296957;2.7818454108717177
53;105;4;2.1712896534480532;2.1712896534480532;2.57547891372417
54;119;4;1.6492181809449518;1.6492181809449518;2.077762884506916
55;46;4;3.025420464992897;3.025420464992897;2.7007683204558575
56;85;4;2.177682677166486;2.177682677166486;2.572409624199581
57;68;5;2.787328973741642;2.787328973741642;3.047045288704037
58;93;5;2.4806040341556392;2.4806040341556392;2.5849773768717847
59;89;5;1.9342957613310119;1.9342957613310119;2.178791003201094
60;39;5;3.775422328019047;3.775422328019047;3.28748916540019
61;47;5;3.3954587206631066;3.3954587206631066;3.126223767460277
62;40;5;3.098023081358565;3.098023081358565;3.1045821374583964
63;110;4;1.9168492361276315;1.9168492361276315;2.1860028695062184
64;106;4;2.625054875960839;2.625054875960839;2.5889681714675943
65;143;4;1.6746941418109162;1.6746941418109162;2.0879923365551787
66;119;5;2.1186947078362994;2.1186947078362994;2.4872684923879484
67;124;4;2.1318478678790016;2.1318478678790016;2.2869232866240097
68;133;5;2.042985520477791;2.042985520477791;2.259902054522796
69;126;4;1.8979538315919195;1.8979538315919195;2.2431483805491523
70;90;4;1.9364217475759158;1.9364217475759158;2.390218759162431
71;90;4;2.2334070169749096;2.2334070169749096;2.620676263319407
72;110;4;2.3636589546162305;2.3636589546162305;2.454414329478702
73;28;4;3.4241281069603526;3.4241281069603526;2.7099904099340875
74;115;4;2.3635848640790442;2.3635848640790442;2.410480057237295
75;107;4;1.9074703130068489;1.9074703130068489;2.3874685641750317
76;98;4;2.418683257839174;2.418683257839174;2.5895735040521553
77;109;4;2.4616961565015667;2.4616961565015667;2.46849170339479
78;93;5;2.3218178028319705;2.3218178028319705;2.5841116419495846
79;115;6;1.902939277522863;1.902939277522863;2.2053364109488665
80;100;4;2.3228617573141235;2.3228617573141235;2.5243409689540335
