Skewness: -1.5496252460822044, Average LID: LPCA: 5.07625  |||  MLE: 2.393827052326155  |||  MLENB: 2.393827052326155  |||  TLE: 2.606829488156947
LPCA: 0.16721911951383114  |||  MLE: -0.5012273684157869  |||  MLENB: -0.5012273684157869  |||  TLE: -0.5150658261438835
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;38;5;2.8283138059746786;2.8283138059746786;2.91536495967379
1;45;7;1.8288435158513143;1.8288435158513143;2.2524375154996403
2;40;4;3.1197329046062365;3.1197329046062365;2.9163044434398624
3;37;6;2.0574777493946317;2.0574777493946317;2.599933193914694
4;46;6;2.5248335731263927;2.5248335731263927;2.709616040946281
5;39;6;2.0792632384671035;2.0792632384671035;2.4856513444076205
6;44;7;2.1810933756664173;2.1810933756664173;2.3749286978887048
7;25;4;2.422398563062906;2.422398563062906;2.6307072975839474
8;32;6;3.511742336437708;3.511742336437708;3.105117387464112
9;39;6;2.2878773365781977;2.2878773365781977;2.7074115490501627
10;43;4;3.3058692709424746;3.3058692709424746;3.0539125328254864
11;44;5;1.7706654818220822;1.7706654818220822;2.1353827201245137
12;47;5;2.146375706652086;2.146375706652086;2.5974314111637185
13;38;5;2.015616021779531;2.015616021779531;2.4498299166071686
14;58;5;1.6556231677715278;1.6556231677715278;2.2359908446260865
15;35;5;2.123287121477165;2.123287121477165;2.5751496821183926
16;27;4;2.67847986942289;2.67847986942289;2.5952594594475378
17;38;6;2.1004424972983977;2.1004424972983977;2.3354948792326327
18;36;6;2.6080271202682743;2.6080271202682743;2.652040112635836
19;34;5;2.5617197021452847;2.5617197021452847;2.963658765552864
20;45;4;2.6405812885856337;2.6405812885856337;2.7961860423611373
21;47;4;2.955643124730993;2.955643124730993;2.777672491492104
22;41;5;2.398297545558432;2.398297545558432;2.908008399291151
23;38;4;2.7086100480898048;2.7086100480898048;2.85444978160164
24;38;5;2.523738511790399;2.523738511790399;2.8574728280528228
25;41;4;2.8566184509086794;2.8566184509086794;2.7736982063975453
26;39;4;2.7740163972870495;2.7740163972870495;2.6409435120173015
27;36;4;2.5331183346793233;2.5331183346793233;2.779762012689233
28;44;7;1.9862549075031175;1.9862549075031175;2.3249917033487306
29;26;5;2.363005945797664;2.363005945797664;2.597697207671137
30;44;4;1.7430424795430266;1.7430424795430266;2.2172545643584387
31;44;5;2.0108202869507976;2.0108202869507976;2.279696923755664
32;42;5;2.271879735402771;2.271879735402771;2.6307762113337363
33;36;3;2.233160537218723;2.233160537218723;2.8297455186325218
34;37;4;2.724045172715505;2.724045172715505;2.8265163422195143
35;40;4;2.0537054487344872;2.0537054487344872;2.5332024303038905
36;35;5;2.268964060585701;2.268964060585701;2.598492650504047
37;44;4;2.722365186772402;2.722365186772402;2.702645961896637
38;40;7;2.693313407409813;2.693313407409813;2.937018027502191
39;44;4;2.268311706803346;2.268311706803346;2.3707828128379496
40;26;4;3.7181798042200525;3.7181798042200525;3.548441805645128
41;50;6;1.8821841245910782;1.8821841245910782;2.281554487419835
42;48;7;1.9195963770005011;1.9195963770005011;2.3748068275074092
43;35;6;2.294108144014256;2.294108144014256;2.5309838586878968
44;23;4;2.0659545622961777;2.0659545622961777;2.4445950699055117
45;19;4;3.1377876886265024;3.1377876886265024;2.8259063270360403
46;38;5;2.0103782739450073;2.0103782739450073;2.4720940577001964
47;36;6;2.144993057825255;2.144993057825255;2.3750046362037116
48;35;4;1.703723755453431;1.703723755453431;2.115775353028941
49;43;6;2.300586972022033;2.300586972022033;2.531634621590099
50;34;4;1.9507687881594145;1.9507687881594145;2.4177085506419944
51;43;4;2.589961326610994;2.589961326610994;2.6959079367342893
52;37;5;2.819747601887375;2.819747601887375;2.744432319999514
53;40;6;1.8897770024246148;1.8897770024246148;2.417333917320747
54;50;4;1.5656971871681384;1.5656971871681384;2.1560050888854936
55;29;4;2.2884619117130183;2.2884619117130183;2.533641183532474
56;39;5;1.8184101916859083;1.8184101916859083;2.2893174449687033
57;51;4;1.929968909192484;1.929968909192484;2.568634956370843
58;48;4;2.1730531867154594;2.1730531867154594;2.3824096336813017
59;47;5;2.6194783533333093;2.6194783533333093;2.8092165931951083
60;30;5;2.432033253060611;2.432033253060611;2.494524251398833
61;37;4;2.6269931681873615;2.6269931681873615;2.8229295843141675
62;31;4;1.8732778575684277;1.8732778575684277;2.301990239752923
63;44;4;1.867533181376512;1.867533181376512;2.3767256785853323
64;32;6;2.8970710575255367;2.8970710575255367;2.6533348151016947
65;50;7;1.7192517887122043;1.7192517887122043;2.2206249111239496
66;41;7;2.000219786417471;2.000219786417471;2.43837425461445
67;46;5;2.9900473972852435;2.9900473972852435;3.080854031730142
68;46;6;2.64899575385923;2.64899575385923;2.6740852814307385
69;46;7;1.8158101921410699;1.8158101921410699;2.05748788570765
70;44;7;1.8369698423486358;1.8369698423486358;2.211987142880966
71;41;4;1.6210364791616512;1.6210364791616512;2.063331452695219
72;35;5;3.1110252905049824;3.1110252905049824;3.20537953390256
73;19;4;2.7238721030702884;2.7238721030702884;2.855238978443088
74;34;5;2.8508204923975984;2.8508204923975984;2.762934335581402
75;43;4;1.6011143936069807;1.6011143936069807;2.189984470847766
76;35;5;2.555645403772987;2.555645403772987;2.7009353694312948
77;36;4;2.612000823778179;2.612000823778179;2.587035764201789
78;49;5;1.825442522497279;1.825442522497279;2.233504445601841
79;46;6;2.113644873460755;2.113644873460755;2.5195490663015137
80;36;5;2.623407533100079;2.623407533100079;2.913292811832789
81;30;5;1.927432952895876;1.927432952895876;2.367931496476748
82;41;5;2.3255534155117887;2.3255534155117887;2.8394024087177034
83;28;4;2.976625148884978;2.976625148884978;2.708554607059823
84;46;5;1.80379340859301;1.80379340859301;2.1807522730519007
85;44;6;2.59425703540912;2.59425703540912;3.123637680303655
86;46;6;2.0750388894255467;2.0750388894255467;2.380242357443198
87;44;6;2.2590450586155777;2.2590450586155777;2.572028153131626
88;38;5;1.8610902035444319;1.8610902035444319;2.2800805406060336
89;44;4;1.8646042923522579;1.8646042923522579;2.2501320753838523
90;27;6;2.724971522512343;2.724971522512343;2.804488329044142
91;51;5;1.7774089950197354;1.7774089950197354;2.210655624747662
92;45;7;2.1647641985139376;2.1647641985139376;2.3953460876124866
93;45;6;1.7836168848016671;1.7836168848016671;2.120175975416954
94;32;4;2.206329196573082;2.206329196573082;2.4636671236188823
95;41;4;2.0955173865665326;2.0955173865665326;2.4564106901395695
96;42;7;1.8763222616300874;1.8763222616300874;2.2052922916615376
97;34;3;2.009161878323559;2.009161878323559;2.461546275816918
98;36;5;2.578317941314683;2.578317941314683;2.7196340898339666
99;43;7;1.5263306548511972;1.5263306548511972;1.8999375474650184
100;45;4;3.157200492284122;3.157200492284122;2.9873616182706018
101;35;6;2.632093475917158;2.632093475917158;2.789845202623139
102;46;7;1.773347160030533;1.773347160030533;2.1438835255330755
103;39;5;2.0434526529633814;2.0434526529633814;2.305388111692727
104;41;4;1.944650263071571;1.944650263071571;2.2491964992772266
105;39;6;2.122423690569078;2.122423690569078;2.643318604236665
106;44;6;2.5701133430898406;2.5701133430898406;2.7463346717833814
107;44;4;1.8006024675835752;1.8006024675835752;2.182951194947257
108;9;5;6.410243732967748;6.410243732967748;4.0917349095088795
109;38;5;2.045685994466245;2.045685994466245;2.2934437409269037
110;42;4;1.9314745426357902;1.9314745426357902;2.348798968141067
111;44;7;2.0420326137117355;2.0420326137117355;2.3431750566919756
112;40;4;3.0433681411596614;3.0433681411596614;2.9163270920043853
113;39;6;2.1396511369349285;2.1396511369349285;2.6923642274684143
114;39;4;2.4814263524405193;2.4814263524405193;2.5720023368028087
115;35;6;2.2293759491682423;2.2293759491682423;2.4450834653377385
116;44;6;2.248266815979902;2.248266815979902;2.582273252588037
117;46;7;1.7778916749364133;1.7778916749364133;2.1474866384973477
118;51;4;2.3121171501548954;2.3121171501548954;2.5016223795377193
119;45;6;2.3164009143029216;2.3164009143029216;2.5884978620825714
120;40;5;2.472230198223904;2.472230198223904;2.666528394113582
121;35;6;2.871206866434478;2.871206866434478;2.936141088171797
122;42;4;3.0123273675858733;3.0123273675858733;3.019009427593457
123;41;5;1.945035796719245;1.945035796719245;2.3523356330853953
124;42;5;1.9359247424000279;1.9359247424000279;2.362424727569797
125;39;4;2.313251980630272;2.313251980630272;2.4600555892024154
126;44;6;2.3089631399520645;2.3089631399520645;2.619566840513003
127;46;5;1.9773147068280739;1.9773147068280739;2.2873777121710006
128;45;3;2.8073701991909785;2.8073701991909785;2.8964528029644434
129;41;4;2.9292297939535423;2.9292297939535423;2.8664733669447555
130;35;4;2.436153219958158;2.436153219958158;2.6778723484135494
131;41;6;2.087161288986412;2.087161288986412;2.3979699509428243
132;43;4;2.3338676289596676;2.3338676289596676;2.473999257331883
133;41;6;2.0965781129604655;2.0965781129604655;2.348302318829941
134;34;6;2.9412376704912577;2.9412376704912577;2.8250796399096836
135;43;5;2.6384036331925835;2.6384036331925835;2.8885917634978324
