Skewness: -1.291321078380319, Average LID: LPCA: 4.44375  |||  MLE: 2.4908807627391005  |||  MLENB: 2.4908807627391005  |||  TLE: 2.5554982297577964
LPCA: -0.22749060325909262  |||  MLE: -0.4085830137255981  |||  MLENB: -0.4085830137255981  |||  TLE: -0.498242518057791
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;74;5;2.3534083437485633;2.3534083437485633;2.4504023892274103
1;101;4;1.7537784641400957;1.7537784641400957;2.15921700402786
2;107;4;2.548791293074577;2.548791293074577;2.5441176617078995
3;79;4;2.1018279447121833;2.1018279447121833;2.480647305312572
4;86;4;2.0682251889669896;2.0682251889669896;2.3379718230244704
5;95;4;2.0089165340354906;2.0089165340354906;2.2975268780290317
6;92;5;2.1134624840712544;2.1134624840712544;2.3968382893228224
7;34;5;2.6624869537283495;2.6624869537283495;2.4900181963646526
8;90;5;2.7523125209170995;2.7523125209170995;2.6750798813350434
9;82;4;2.0655574038764546;2.0655574038764546;2.2933636835234004
10;51;5;3.4449848744057388;3.4449848744057388;3.084068214294003
11;93;4;1.7622337956229148;1.7622337956229148;2.0797338879954443
12;56;5;2.7137025949368434;2.7137025949368434;2.8833980462574513
13;74;5;2.3221504755160396;2.3221504755160396;2.6151277007527827
14;70;4;1.8830301987546685;1.8830301987546685;2.29097999964605
15;71;4;2.1109241317317093;2.1109241317317093;2.4230002081828967
16;43;5;2.8445923142562;2.8445923142562;2.541932159592957
17;84;4;2.2991495154015427;2.2991495154015427;2.6171730141064327
18;92;5;2.339499915364152;2.339499915364152;2.488395895916285
19;77;5;2.5923623779677376;2.5923623779677376;2.7951930623528263
20;76;4;2.460576510780791;2.460576510780791;2.6096651276646754
21;97;4;2.0674376907862055;2.0674376907862055;2.2031413570099683
22;69;4;2.2195798105820743;2.2195798105820743;2.5605651547308383
23;83;4;2.418225504455726;2.418225504455726;2.551560620154736
24;79;5;2.4703319967945085;2.4703319967945085;2.6212129589444135
25;49;4;2.776279551179003;2.776279551179003;2.6295324960116995
26;86;3;2.8490701698086363;2.8490701698086363;2.721128986052292
27;80;4;2.3432297609579633;2.3432297609579633;2.5065086572654107
28;84;5;1.9482337090964708;1.9482337090964708;2.2948722943836053
29;30;5;3.441267363405425;3.441267363405425;3.1566689186194745
30;86;5;1.8964731134777513;1.8964731134777513;2.3349143496481726
31;97;5;2.195159276401136;2.195159276401136;2.470730496784731
32;67;4;2.322761931870732;2.322761931870732;2.5738279522380108
33;81;4;2.5008398507226657;2.5008398507226657;2.7582058492015324
34;77;4;2.427716023722374;2.427716023722374;2.5390495967740847
35;110;5;2.135499552924376;2.135499552924376;2.409050737149287
36;74;4;2.4310009252392044;2.4310009252392044;2.7131995204482866
37;81;4;2.7609680964511347;2.7609680964511347;2.7717143183833155
38;103;5;2.3567293667500833;2.3567293667500833;2.503660472888887
39;96;5;2.366092864986313;2.366092864986313;2.545101583066489
40;73;3;3.4248582398548604;3.4248582398548604;3.231873108038957
41;76;5;1.7448462493604557;1.7448462493604557;2.132147546041999
42;78;5;1.8141315074264426;1.8141315074264426;2.2198026642590096
43;78;4;2.210578695849421;2.210578695849421;2.4273411613705913
44;30;5;2.554311148187849;2.554311148187849;2.501807584372784
45;25;5;3.711507363470542;3.711507363470542;2.687882935451702
46;72;5;2.040183442919298;2.040183442919298;2.393471372298408
47;87;3;2.5019203040295763;2.5019203040295763;2.7627739356399355
48;89;4;1.9383067002118097;1.9383067002118097;2.3210026139086968
49;73;6;1.9435270609013726;1.9435270609013726;2.2017106577407746
50;77;4;2.3075124820438986;2.3075124820438986;2.575639931412019
51;95;4;2.0265296558611214;2.0265296558611214;2.21601444520494
52;74;4;2.4738947690229702;2.4738947690229702;2.5625106211792077
53;81;5;2.0540669664114017;2.0540669664114017;2.4810260951892995
54;88;4;1.6718830218059464;1.6718830218059464;2.119660990833707
55;34;5;2.728617415032816;2.728617415032816;2.572322425140548
56;72;4;2.1109192425886576;2.1109192425886576;2.6081956738788774
57;62;5;2.5060210277345525;2.5060210277345525;2.887674061917563
58;88;5;2.477626862407678;2.477626862407678;2.6536748217462263
59;84;5;2.127676908923485;2.127676908923485;2.339526260578531
60;34;6;3.276369463641468;3.276369463641468;2.979239988338436
61;46;5;3.0342771285695584;3.0342771285695584;2.8988189174890904
62;40;5;2.6799198326008815;2.6799198326008815;2.831077346797774
63;99;4;2.0314547434997037;2.0314547434997037;2.3342025217885936
64;82;4;2.9333335935115654;2.9333335935115654;2.8343834474930456
65;106;4;1.6871497969127316;1.6871497969127316;2.132734728586589
66;80;5;2.0110343621387017;2.0110343621387017;2.391318508275611
67;115;4;2.262827915988848;2.262827915988848;2.383370566265708
68;100;4;2.216420222749996;2.216420222749996;2.4163057311388587
69;121;5;1.8904912499333104;1.8904912499333104;2.223899792016944
70;74;5;1.817890212544081;1.817890212544081;2.2429031195424014
71;70;4;2.017700702031002;2.017700702031002;2.472137091992957
72;87;4;2.580290556967893;2.580290556967893;2.650679318728993
73;25;5;3.0653821408551587;3.0653821408551587;2.568099033588365
74;87;4;2.8410754540178;2.8410754540178;2.8498567114588864
75;88;4;1.7332946195776946;1.7332946195776946;2.1807630821051642
76;73;4;2.486748400514765;2.486748400514765;2.6855601002495333
77;92;4;2.5895954858326142;2.5895954858326142;2.5897266292703973
78;88;5;2.1973665618004294;2.1973665618004294;2.5184000250096825
79;97;5;2.2370542074080535;2.2370542074080535;2.600920704450987
80;67;4;2.50734839139808;2.50734839139808;2.7106565681158745
81;37;6;2.773388465561189;2.773388465561189;2.9137445387798877
82;68;4;2.2014445672894407;2.2014445672894407;2.55831143816236
83;41;5;2.9242508726518754;2.9242508726518754;2.57084363218103
84;104;4;2.0073871451367773;2.0073871451367773;2.249625918595245
85;92;4;2.1428413227700456;2.1428413227700456;2.4267037851477675
86;92;4;1.9095478935883397;1.9095478935883397;2.2233331600767463
87;106;5;2.1184296471000055;2.1184296471000055;2.4135016504139615
88;68;4;2.111846062466739;2.111846062466739;2.461259900858642
89;84;5;1.9276389459878511;1.9276389459878511;2.3090504535739527
90;79;4;2.895566863198162;2.895566863198162;2.89423471189073
91;82;6;1.8668474441790428;1.8668474441790428;2.3304325094736265
92;94;6;2.102817843371985;2.102817843371985;2.4123946527072277
93;72;5;1.7580505803637398;1.7580505803637398;2.168884304760794
94;78;4;2.4309206681664777;2.4309206681664777;2.567577695367396
95;110;5;2.239638183301666;2.239638183301666;2.4805160647950917
96;71;5;1.819355034477241;1.819355034477241;2.2124296323331643
97;71;4;2.331099587149522;2.331099587149522;2.655193070104527
98;67;4;2.3935405733942052;2.3935405733942052;2.5436612153628624
99;104;4;1.678743529753447;1.678743529753447;2.099705682189482
100;54;5;3.2993008557795824;3.2993008557795824;2.938334903026172
101;89;5;2.5217822376032997;2.5217822376032997;2.5958274921114817
102;72;5;1.7271896096385688;1.7271896096385688;2.144823565808861
103;83;5;2.3229186056206355;2.3229186056206355;2.6669795647573773
104;93;5;2.23778628786008;2.23778628786008;2.493350491174594
105;74;4;2.1455211273110044;2.1455211273110044;2.5178984009149827
106;79;6;2.1851173508938664;2.1851173508938664;2.4211208094488823
107;88;4;1.9459511551991888;1.9459511551991888;2.3531820969706856
108;10;6;9.876835406849676;9.876835406849676;5.387672546808239
109;82;4;2.2345574845967557;2.2345574845967557;2.502676691002966
110;90;4;1.8765843503654536;1.8765843503654536;2.216848167832833
111;102;4;1.9367400669984123;1.9367400669984123;2.28012286579664
112;107;4;2.5074799514005326;2.5074799514005326;2.4873000923980135
113;69;4;2.1254919543130346;2.1254919543130346;2.5043993149823307
114;76;4;2.644101634978268;2.644101634978268;2.7363116711397986
115;90;3;2.510476742049513;2.510476742049513;2.7607095743015058
116;76;6;1.8728361856339735;1.8728361856339735;2.163334961823032
117;74;5;1.7464655507079059;1.7464655507079059;2.1721283269836285
118;69;5;2.4102694710015755;2.4102694710015755;2.563803241327584
119;105;5;2.153224795894368;2.153224795894368;2.434214098337788
120;85;4;2.503677073529419;2.503677073529419;2.7362610628353927
121;97;5;2.6325966651862234;2.6325966651862234;2.7224827267924567
122;115;4;2.406765538912784;2.406765538912784;2.4427772919583184
123;68;4;2.1223375619602303;2.1223375619602303;2.488275255490405
124;66;4;2.1077638269152263;2.1077638269152263;2.4820792564473004
125;72;4;2.5612554481078083;2.5612554481078083;2.6510067990737296
126;92;5;2.095313509219086;2.095313509219086;2.3851284212066988
127;82;4;2.140363781535278;2.140363781535278;2.400600586077186
128;87;4;2.135007721216887;2.135007721216887;2.350302677015611
129;54;4;2.7755087771291462;2.7755087771291462;2.6448866237996334
130;84;4;2.432891807514296;2.432891807514296;2.6003071318039437
131;91;6;2.133419723168632;2.133419723168632;2.515905519576437
132;88;4;2.260800900043342;2.260800900043342;2.466755475961374
133;90;4;2.2361751595766255;2.2361751595766255;2.5549924019938133
134;70;4;2.582724159549276;2.582724159549276;2.677919268078751
135;72;4;2.273369515720876;2.273369515720876;2.4485471238868586
136;71;4;2.380055271351496;2.380055271351496;2.6103744402021705
