Skewness: 0.06384251632693795, Average LID: LPCA: 3.0610687022900764  |||  MLE: 3.3384710595315017  |||  MLENB: 3.3384710595315017  |||  TLE: 3.1047459646297098
LPCA: 0.2884800405967273  |||  MLE: -0.4953222021011138  |||  MLENB: -0.4953222021011138  |||  TLE: -0.1429201099352963
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;31;3;2.657174721481532;2.657174721481532;2.657726712134641
1;18;3;2.922846171296575;2.922846171296575;3.662699546894766
2;12;3;3.5516171141652744;3.5516171141652744;3.3582751466379697
3;31;3;3.721331221164695;3.721331221164695;3.544762325642357
4;20;3;3.325021236563087;3.325021236563087;3.337021094648233
5;20;3;3.7362993237987983;3.7362993237987983;3.0118580120590583
6;9;3;2.2115705267304713;2.2115705267304713;2.469136793833387
7;37;3;2.354122614827206;2.354122614827206;2.720101540122231
8;2;3;5.16507736400335;5.16507736400335;3.1360502423113363
9;24;3;2.921626839711105;2.921626839711105;3.1442807529078314
10;12;3;3.0892645329966535;3.0892645329966535;3.105184616608248
11;26;3;2.519750108354036;2.519750108354036;2.547995942913758
12;22;3;2.518302928850577;2.518302928850577;3.096786224463924
13;40;3;2.4123112408764276;2.4123112408764276;2.8176756175917155
14;17;3;3.4053719507145037;3.4053719507145037;3.8631095776713047
15;29;3;2.8866987229774326;2.8866987229774326;3.2497631408914223
16;28;3;3.017419777904275;3.017419777904275;3.2595668984025257
17;15;3;3.2387338919469504;3.2387338919469504;3.251668948179056
18;13;3;5.352069606442553;5.352069606442553;3.9809197490596677
19;10;3;3.3101413075719455;3.3101413075719455;3.2644436064820144
20;22;3;3.137851970763402;3.137851970763402;3.309427549747392
21;7;3;2.8099520382984586;2.8099520382984586;2.3320667593710853
22;14;3;5.38607283731306;5.38607283731306;4.4945908123934855
23;5;3;3.853240218008501;3.853240218008501;3.3126623086107596
24;18;3;2.8628335313676287;2.8628335313676287;2.907111134082932
25;19;3;2.715110823646535;2.715110823646535;2.718919157304848
26;1;3;5.183352236835449;5.183352236835449;2.3107687455400567
27;0;3;6.0160304937335525;6.0160304937335525;3.5024761326617124
28;21;3;3.0503452073386303;3.0503452073386303;3.0625753481228384
29;12;3;3.6264235935469817;3.6264235935469817;3.4158248273864524
30;22;3;2.1235076210861865;2.1235076210861865;2.318261476789988
31;18;3;3.044860944783894;3.044860944783894;2.937801800829317
32;6;3;4.0063544885850755;4.0063544885850755;3.617933203893266
33;5;3;3.990100863592537;3.990100863592537;2.8236132212635177
34;40;3;5.549751220202734;5.549751220202734;4.55772896232216
35;30;3;3.0303867996897123;3.0303867996897123;3.1240806865995268
