Skewness: 0.36436793363198455, Average LID: LPCA: 3.0  |||  MLE: 3.0378306552778414  |||  MLENB: 3.0378306552778414  |||  TLE: 2.769140914009001
LPCA: nan  |||  MLE: -0.5788759544810365  |||  MLENB: -0.5788759544810365  |||  TLE: -0.09642724008948327
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;39;3;2.6964917336343377;2.6964917336343377;2.678546125111185
1;33;3;2.8668433747289948;2.8668433747289948;2.991640754997563
2;26;3;3.2819918659482528;3.2819918659482528;2.9230475321693605
3;82;3;2.607850115465167;2.607850115465167;2.571031228449315
4;27;3;2.747115254857984;2.747115254857984;2.634121357755504
5;45;3;3.2523289330867318;3.2523289330867318;2.9122312158664503
6;14;3;2.7328064611204383;2.7328064611204383;2.5990274926983075
7;72;3;2.2277777479802694;2.2277777479802694;2.6062079342339604
8;5;3;4.865339411645482;4.865339411645482;2.6914060479817206
9;44;3;2.5767806296356293;2.5767806296356293;2.5876564820522945
10;21;3;2.8280098111624232;2.8280098111624232;2.6724164445581744
11;71;3;2.3139694904353747;2.3139694904353747;2.496918819527599
12;29;3;2.650137399731598;2.650137399731598;2.7560984644106625
13;84;3;2.017784033038289;2.017784033038289;2.293862863087853
14;23;3;3.4261140456308006;3.4261140456308006;3.23581944741544
15;48;3;2.694041789122585;2.694041789122585;2.801913681669704
16;44;3;2.7824653315655246;2.7824653315655246;2.7491181931058204
17;21;3;3.5136092992480683;3.5136092992480683;3.265949805564364
18;35;3;3.0450110176003076;3.0450110176003076;2.697779318507573
19;17;3;3.830645785423179;3.830645785423179;3.2726237840216252
20;45;3;3.0395575171506635;3.0395575171506635;2.911291251262954
21;9;3;3.1975591757953192;3.1975591757953192;2.35007256886822
22;25;3;3.493360514084022;3.493360514084022;2.951968012514776
23;13;3;3.5589589585920667;3.5589589585920667;2.7689902663583434
24;49;3;3.030616444521255;3.030616444521255;2.939129257592296
25;29;3;2.649698524361787;2.649698524361787;2.5972350917412617
26;3;3;5.01885331798802;5.01885331798802;2.0931046891151435
27;11;3;4.549962080825858;4.549962080825858;2.821255070534601
28;29;3;2.3263247890505223;2.3263247890505223;2.4065550872783366
29;28;3;3.4344304326397124;3.4344304326397124;3.0790992630575977
30;60;3;2.8865895721231056;2.8865895721231056;3.0200460906918614
31;31;3;2.725906361822314;2.725906361822314;2.5661489119856395
32;21;3;3.6546380348687433;3.6546380348687433;3.0355183847937397
33;14;3;3.4409371233176533;3.4409371233176533;2.479132814726928
34;84;3;2.315192973635614;2.315192973635614;2.363310696756782
35;84;3;2.9079263961276567;2.9079263961276567;3.0133123163025126
36;18;3;3.604147777910719;3.604147777910719;2.941741335313432
37;23;3;3.207543126022942;3.207543126022942;3.0335583222846862
38;61;3;2.799897956820017;2.799897956820017;2.880014972940051
39;18;3;2.809351636568305;2.809351636568305;2.365328037274358
40;35;3;2.1316974674960854;2.1316974674960854;2.2634354324466757
41;23;3;4.315248891588712;4.315248891588712;3.253028189059312
42;16;3;2.5644580226204248;2.5644580226204248;2.433084496749438
43;57;3;2.853596964100871;2.853596964100871;2.931760615903488
44;52;3;3.4879650526958397;3.4879650526958397;3.2941495277707227
45;79;3;2.3373464358607348;2.3373464358607348;2.607337015247819
46;14;3;2.567102455261893;2.567102455261893;2.30303416346268
47;27;3;2.807641984628508;2.807641984628508;2.7193551379841594
48;28;3;3.857588810545966;3.857588810545966;3.2115294482867838
49;53;3;2.731726545975616;2.731726545975616;2.749140409484312
50;55;3;3.0858918713337053;3.0858918713337053;2.9873410178794173
51;45;3;2.9085441335439643;2.9085441335439643;2.8787827075893833
52;69;3;2.372843475844339;2.372843475844339;2.5369958340930028
53;4;3;5.145692254614737;5.145692254614737;2.682092330721981
54;59;3;3.6312703463667493;3.6312703463667493;3.365807118390176
55;87;3;2.383079964862716;2.383079964862716;2.5817890161375483
56;37;3;3.412846524519465;3.412846524519465;3.0514707723449876
57;26;3;3.785553269771402;3.785553269771402;3.2511344300999525
58;61;3;2.503288696379847;2.503288696379847;2.6263408840982145
59;21;3;2.4530780447218143;2.4530780447218143;2.4179466695129648
60;33;3;2.7951232991526314;2.7951232991526314;2.7977624584615537
61;38;3;2.5118122808649557;2.5118122808649557;2.423131825443757
62;42;3;2.8813432403521935;2.8813432403521935;2.7325906387231838
63;59;3;3.0311365195986477;3.0311365195986477;3.0650096001126887
64;27;3;2.6048977350061002;2.6048977350061002;2.5231426616101977
65;24;3;2.5630523140118466;2.5630523140118466;2.4320825476964427
66;25;3;5.166197687882198;5.166197687882198;3.7642596670331483
67;72;3;2.4451002215710798;2.4451002215710798;2.4734290909645895
68;17;3;2.4272681040299147;2.4272681040299147;2.4203260948257057
69;9;3;3.525740292975322;3.525740292975322;2.1944332211647373
70;49;3;2.3058909551700397;2.3058909551700397;2.4459655992720566
71;85;3;2.252202516482335;2.252202516482335;2.5411352830614464
72;65;3;2.384153199878281;2.384153199878281;2.626576423567393
73;9;3;3.559269173270136;3.559269173270136;2.4848369186368657
74;34;3;2.649937909692396;2.649937909692396;2.74098927715188
75;30;3;4.468911062522848;4.468911062522848;3.833275890167976
76;32;3;3.8133917270611484;3.8133917270611484;3.5566241848729137
77;71;3;2.118320054449597;2.118320054449597;2.6002414303565726
78;28;3;3.6425941665908375;3.6425941665908375;3.2227686280354826
