Skewness: -0.21379144655761553, Average LID: LPCA: 3.0  |||  MLE: 2.4118492470759385  |||  MLENB: 2.4118492470759385  |||  TLE: 2.1793092810778014
LPCA: nan  |||  MLE: -0.7624598571002708  |||  MLENB: -0.7624598571002708  |||  TLE: -0.3642152931700032
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;85;3;1.994960289244874;1.994960289244874;2.0067787710551452
1;65;3;1.9385217435982942;1.9385217435982942;1.9264047829270772
2;69;3;2.05267964107939;2.05267964107939;1.9668598779169943
3;130;3;1.8328670867099248;1.8328670867099248;1.976067894868135
4;46;3;2.8326267852147904;2.8326267852147904;2.459697510004994
5;89;3;2.0131648380964795;2.0131648380964795;2.0024384882232455
6;17;3;3.3065833592984624;3.3065833592984624;2.4593578978014423
7;126;3;1.5415577278961996;1.5415577278961996;1.833206768690718
8;18;3;3.1539297563865234;3.1539297563865234;1.902409746070241
9;85;3;2.023615337439672;2.023615337439672;2.0917473527637838
10;40;3;2.8107040585245966;2.8107040585245966;2.3788340993226758
11;130;3;1.7798179677768928;1.7798179677768928;2.0339219453366146
12;56;3;2.017487113780149;2.017487113780149;1.9717123517570003
13;129;3;1.6240928207976362;1.6240928207976362;1.9224010933736508
14;58;3;3.173410299835152;3.173410299835152;2.6921257931093403
15;97;3;1.8133991941265224;1.8133991941265224;1.9565479107784791
16;100;3;2.219111822169164;2.219111822169164;2.244503191786806
17;44;3;3.408145316264232;3.408145316264232;2.768898078357133
18;89;3;2.9851609132273182;2.9851609132273182;2.6084838149246226
19;37;3;4.17191691114129;4.17191691114129;3.0546716283900293
20;91;3;2.4017450804289457;2.4017450804289457;2.324779531909614
21;15;3;3.550013500664633;3.550013500664633;2.3216311232752065
22;53;3;2.6515592766951053;2.6515592766951053;2.2613666786878146
23;35;3;2.734682491231478;2.734682491231478;2.1141890494989544
24;101;3;1.78537941975617;1.78537941975617;1.902437457894619
25;69;3;1.8376350574133788;1.8376350574133788;1.84503518598553
26;5;3;3.9427322214801714;3.9427322214801714;1.7928265917407924
27;36;3;3.0960470042657344;3.0960470042657344;2.199984291282799
28;49;3;2.220496981849356;2.220496981849356;2.1294743056641776
29;73;3;2.056907297808585;2.056907297808585;1.980337190792857
30;128;3;1.9445098657164384;1.9445098657164384;2.1138981378850312
31;61;3;2.358815764909389;2.358815764909389;2.188279989149579
32;105;3;2.6497543076116647;2.6497543076116647;2.4492726960523834
33;29;3;2.560045123770461;2.560045123770461;1.8973508382411228
34;130;3;1.6191317086750765;1.6191317086750765;1.850913192380698
35;130;3;1.8935068033026599;1.8935068033026599;2.081582101542131
36;95;3;2.6565563435057706;2.6565563435057706;2.3560380013685704
37;40;3;3.1991314461216533;3.1991314461216533;2.623441435942242
38;117;3;2.0834402431649233;2.0834402431649233;2.1681429656293654
39;27;3;2.6828332801189876;2.6828332801189876;2.0487115963016276
40;79;3;1.7449123671267224;1.7449123671267224;1.8620446721007535
41;49;3;3.0360338371737163;3.0360338371737163;2.4341728376853635
42;31;3;2.8336195992556608;2.8336195992556608;2.3729079057095093
43;103;3;1.7784096220336236;1.7784096220336236;1.9398099697471862
44;116;3;2.156699748095708;2.156699748095708;2.22858493493082
45;130;3;1.8100796055713981;1.8100796055713981;2.0711660266248892
46;22;3;2.660925537272859;2.660925537272859;2.0483529753619
47;58;3;2.931796077999989;2.931796077999989;2.603099504632647
48;97;3;2.9111841819476005;2.9111841819476005;2.4955346228768285
49;104;3;2.0621124438793714;2.0621124438793714;2.1764501440102
