Skewness: 0.1563207991002083, Average LID: LPCA: 4.583333333333333  |||  MLE: 3.798578993040833  |||  MLENB: 3.798578993040833  |||  TLE: 3.518031958064445
LPCA: -0.20207931630147158  |||  MLE: -0.480438449261152  |||  MLENB: -0.480438449261152  |||  TLE: -0.17060791613585768
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;28;5;3.3516807650852396;3.3516807650852396;3.237443281242413
1;17;4;4.295526824262297;4.295526824262297;3.4008726922442074
2;44;5;3.7468596861903922;3.7468596861903922;3.772354670078975
3;56;5;4.84917588272364;4.84917588272364;4.584966128226223
4;37;4;3.496516279083534;3.496516279083534;3.466633379939092
5;23;5;4.671094824273453;4.671094824273453;4.106894097675029
6;48;5;3.6884040106816864;3.6884040106816864;3.7584681328478475
7;47;4;2.958703882041655;2.958703882041655;3.2383899870327566
8;32;4;3.8089091614596517;3.8089091614596517;3.4916228258149005
9;34;5;3.2025747517234433;3.2025747517234433;3.471282018623018
10;20;5;3.7135077679806674;3.7135077679806674;3.449994193111658
11;37;5;3.672734804670341;3.672734804670341;3.685652317296528
12;66;5;4.413245039979424;4.413245039979424;4.6146473189464965
13;54;5;4.200688067796499;4.200688067796499;4.237073612849018
14;31;4;3.5777178155285765;3.5777178155285765;3.429412962105143
15;50;4;3.0808365224567065;3.0808365224567065;3.1714880814146027
16;59;5;3.846395368643688;3.846395368643688;4.161716736256111
17;13;4;4.316779202657684;4.316779202657684;3.8369399240422393
18;50;4;2.462814471966836;2.462814471966836;2.8780049408038564
19;24;5;4.9416677218947225;4.9416677218947225;4.373938335911498
20;3;5;6.957514394681606;6.957514394681606;3.757410952000955
21;3;5;4.435912282350018;4.435912282350018;2.608481032592406
22;51;5;3.991090625417202;3.991090625417202;3.946795457153244
23;6;5;4.367838778322513;4.367838778322513;3.142827133950874
24;41;5;3.3579037555534885;3.3579037555534885;3.536552593058702
25;49;4;2.9925691153906593;2.9925691153906593;3.186200710747056
26;75;4;3.4714351748425067;3.4714351748425067;3.6516058049009907
27;41;4;3.867007237965708;3.867007237965708;3.7268064517666932
28;62;4;3.8577699633558518;3.8577699633558518;4.322748663453974
29;81;5;3.1194144644959034;3.1194144644959034;3.366053052963233
30;52;5;3.5932636546260386;3.5932636546260386;3.8594638592507335
31;59;4;3.4338741254484533;3.4338741254484533;3.6265680044889743
32;39;5;4.32978015503176;4.32978015503176;4.301922556847867
33;43;4;3.4333296567943576;3.4333296567943576;3.861281889314653
34;25;5;3.437429448699549;3.437429448699549;3.0273533153793304
35;47;4;3.1125945854058052;3.1125945854058052;3.58042239895067
36;49;4;4.3262659578359575;4.3262659578359575;4.28406561844006
37;32;5;5.261813986455742;5.261813986455742;4.825837515393006
38;66;4;3.4738711525939823;3.4738711525939823;3.637271999646773
39;50;5;2.754160410958324;2.754160410958324;3.022781677948139
40;71;4;3.2221264541153523;3.2221264541153523;3.5534351498192485
41;30;4;4.080321290696426;4.080321290696426;3.987696986315607
42;62;4;2.9825382917125722;2.9825382917125722;3.2728479635159053
43;75;4;3.752896955874353;3.752896955874353;3.8760079649263206
44;44;5;3.084951138355796;3.084951138355796;3.13440533014726
45;34;4;3.9648457464850164;3.9648457464850164;3.668436736839884
