Skewness: -0.20468741222970224, Average LID: LPCA: 4.6101190476190474  |||  MLE: 3.1900062161492864  |||  MLENB: 3.1900062161492864  |||  TLE: 2.9234146769530613
LPCA: -0.30217273477914885  |||  MLE: -0.46923314436896907  |||  MLENB: -0.46923314436896907  |||  TLE: -0.11443035048154707
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;57;5;3.0969151448799326;3.0969151448799326;2.99281580628222
1;43;4;3.3927984454409086;3.3927984454409086;2.7650473740995585
2;106;5;3.2717988274594565;3.2717988274594565;3.2688139829942235
3;118;5;3.7862529342837394;3.7862529342837394;3.5764092324253722
4;76;4;3.265386132985367;3.265386132985367;3.233127374371287
5;63;5;3.818696805950976;3.818696805950976;3.3610846079409025
6;85;4;2.8284821363720765;2.8284821363720765;2.9291753503104045
7;92;4;2.693980493637828;2.693980493637828;2.881604262253814
8;55;5;3.5472509242014434;3.5472509242014434;3.1405980557049302
9;72;4;2.7365582233026857;2.7365582233026857;2.845908218716908
10;55;4;3.484088850384941;3.484088850384941;3.174802087856421
11;64;5;2.771872674706205;2.771872674706205;2.7438312286789044
12;110;5;2.70631157216773;2.70631157216773;2.823310136969565
13;155;5;3.435610478547003;3.435610478547003;3.4164286332387412
14;62;4;2.8178293762370306;2.8178293762370306;2.7548221707072855
15;83;5;2.7689226614151536;2.7689226614151536;2.84489038531762
16;118;5;2.9062493828666094;2.9062493828666094;3.070408671837719
17;46;4;4.490841990387349;4.490841990387349;3.743524111467465
18;108;4;2.2576513739804005;2.2576513739804005;2.5867752375068833
19;80;5;3.7441836837552005;3.7441836837552005;3.356537524275516
20;9;5;5.39712740126062;5.39712740126062;3.0880778980650043
21;7;5;4.430848234996788;4.430848234996788;2.4455724052928063
22;138;5;3.2284014550440885;3.2284014550440885;3.249779355584791
23;18;5;3.5920794619919696;3.5920794619919696;2.499078016619152
24;73;5;2.971960797148766;2.971960797148766;3.0254273885312597
25;91;4;2.7177875971825896;2.7177875971825896;2.8270918660021485
26;124;4;2.469894906790744;2.469894906790744;2.6712812726835358
27;87;4;2.990912683148482;2.990912683148482;2.950049299162934
28;132;5;3.0315022701587497;3.0315022701587497;3.28679291488623
29;148;5;2.8884176026851374;2.8884176026851374;3.1325068532148665
30;91;5;2.7695833833201755;2.7695833833201755;2.892059154500605
31;126;4;2.7598107570706256;2.7598107570706256;2.943679874513591
32;102;5;3.312098952129847;3.312098952129847;3.280764768790083
33;116;4;2.8493511147434534;2.8493511147434534;3.0321955622036794
34;58;4;2.883934137971314;2.883934137971314;2.648108851904043
35;123;4;3.098372374556111;3.098372374556111;3.355307758809494
36;117;5;3.0351086528293827;3.0351086528293827;3.1179067358384374
37;86;5;4.798796372791393;4.798796372791393;4.317310079860364
38;127;5;2.8046438053683818;2.8046438053683818;2.9883404131307607
