Skewness: 3.886555558897294, Average LID: LPCA: 98.97516666666667  |||  MLE: 48.805332782117  |||  MLENB: 48.805332782117  |||  TLE: 39.00717838912367
LPCA: 0.03544999803399788  |||  MLE: 0.1443645743321003  |||  MLENB: 0.1443645743321003  |||  TLE: 0.22810860533965904
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;15;99;29.83461631311975;29.83461631311975;23.99360774325488
1;70;99;38.59571524789537;38.59571524789537;31.190896598177574
2;80;99;38.93726539171434;38.93726539171434;31.683447394185414
3;21;99;49.14444838078675;49.14444838078675;38.6512848200868
4;254;99;51.218822105420195;51.218822105420195;42.02052420166952
5;380;99;54.08646762578233;54.08646762578233;44.534317306791785
6;29;99;69.50430724092787;69.50430724092787;53.250129686570695
7;12;99;42.92603714782226;42.92603714782226;32.60334183992722
8;11;97;35.44204011943467;35.44204011943467;27.294250676604584
9;15;99;41.817095405750116;41.817095405750116;32.551399370091005
10;86;99;36.17239669664849;36.17239669664849;29.572927302431076
11;285;99;40.279386648385774;40.279386648385774;33.74266808832715
12;193;99;62.09721340796029;62.09721340796029;50.36352087620486
13;87;99;57.796533312288545;57.796533312288545;45.9847732250704
14;39;99;31.915560909013774;31.915560909013774;26.08263957720216
15;109;99;34.38078727034058;34.38078727034058;28.545746480272488
16;179;99;41.44948912538103;41.44948912538103;34.75307487203705
17;163;99;38.79814991036583;38.79814991036583;32.21889325258404
18;45;99;42.368086889824696;42.368086889824696;34.27315521988727
19;30;99;51.87444911070271;51.87444911070271;40.82338229439668
20;347;99;70.99616468794798;70.99616468794798;57.97153186718594
21;156;99;35.11825726300039;35.11825726300039;29.67226841819173
22;118;99;59.38665733303456;59.38665733303456;47.17310205811917
23;4;99;57.10129797524398;57.10129797524398;41.54967371592638
24;0;99;88.55000511510809;88.55000511510809;62.376340020501154
25;24;99;71.96073802896656;71.96073802896656;54.891246218427256
26;145;99;54.35128033576792;54.35128033576792;44.31327583315048
27;111;99;38.537214260942726;38.537214260942726;31.207496449345726
28;241;99;52.02610782649431;52.02610782649431;42.76815132641568
29;52;99;39.78496287406752;39.78496287406752;32.36537161257981
30;384;99;69.22898555601277;69.22898555601277;56.30093287151166
31;108;99;60.70913573575784;60.70913573575784;48.1879125851812
32;17;99;43.61052327532341;43.61052327532341;34.023553301814026
33;183;99;66.83026868207145;66.83026868207145;52.962668525440776
34;137;99;52.71184015265579;52.71184015265579;42.47970223056258
35;23;99;34.55889535269332;34.55889535269332;26.88863118398547
36;133;99;61.36417696668068;61.36417696668068;49.27707739458578
37;80;99;41.30281010893721;41.30281010893721;33.36501455511679
38;88;99;56.22375868560843;56.22375868560843;44.943078778495575
39;44;99;30.44127800546517;30.44127800546517;25.387468982169732
40;42;99;36.12176197954254;36.12176197954254;29.34581697331347
41;55;99;37.02242070905614;37.02242070905614;29.913693353826933
42;409;99;56.614033728589135;56.614033728589135;46.26250616872059
43;12;99;48.3340296324205;48.3340296324205;37.232158975241646
44;26;99;36.81151788816652;36.81151788816652;29.295573777140387
45;548;99;59.948652644442035;59.948652644442035;49.1571393171512
46;14;94;25.970540968352292;25.970540968352292;20.19748041327132
47;107;99;48.39891683585104;48.39891683585104;39.225443190197645
48;444;99;63.063518973063466;63.063518973063466;51.62015282755355
49;101;99;48.636832247789634;48.636832247789634;40.029348364302784
50;66;99;42.58788065236244;42.58788065236244;34.45092324721427
51;65;99;44.25801619962004;44.25801619962004;35.87274368387597
52;103;99;53.62652303236825;53.62652303236825;43.145481051164545
53;74;99;30.823672294045718;30.823672294045718;25.72843308098702
54;35;99;29.60336983872546;29.60336983872546;23.665786024654455
55;88;99;44.88652802837009;44.88652802837009;36.79352463166521
56;36;99;38.09052271068669;38.09052271068669;30.211321728299023
57;44;99;46.06442299844054;46.06442299844054;37.07484652087873
58;112;99;38.49448444155803;38.49448444155803;32.085189504570074
59;40;99;39.87784590904277;39.87784590904277;32.286550914985966
60;123;99;36.08051619745128;36.08051619745128;30.011791385920553
61;16;99;45.503234023272526;45.503234023272526;34.629523955811806
62;130;99;60.779699072097664;60.779699072097664;48.07343770072232
63;56;99;39.49497595864499;39.49497595864499;31.913149099113827
64;18;99;68.1594003344768;68.1594003344768;51.831785941989125
65;75;99;50.843138899181;50.843138899181;41.232876306205156
66;70;99;37.995532558991925;37.995532558991925;31.47381676205509
67;115;99;40.940468240059246;40.940468240059246;33.11154151582632
68;13;99;48.79395385775433;48.79395385775433;36.98044758482605
69;27;99;53.81190990046334;53.81190990046334;42.23778448572446
70;32;99;40.53446435811206;40.53446435811206;31.92603433428397
71;180;99;53.74742512908005;53.74742512908005;43.51882149576894
72;58;99;58.73201329716262;58.73201329716262;45.51432273808465
73;33;99;42.49782967252012;42.49782967252012;33.71232488655212
74;170;99;56.60698667412032;56.60698667412032;45.40538573221816
75;81;99;35.89091608261088;35.89091608261088;29.485426925745475
76;40;99;43.34543640949692;43.34543640949692;34.47386513181324
77;28;99;36.01345119607319;36.01345119607319;28.53646798299505
78;34;99;38.97369017343813;38.97369017343813;30.769237902429147
79;39;99;40.18252926494852;40.18252926494852;31.99752186628863
80;8;99;45.78119055761217;45.78119055761217;33.375941571895964
81;60;99;43.69007487747093;43.69007487747093;35.80037622731275
82;112;99;42.70726185447;42.70726185447;34.81482347496107
83;269;99;49.150348147375226;49.150348147375226;40.341734124989244
84;189;99;51.73437691147401;51.73437691147401;42.121658116953185
85;101;99;33.41986042740167;33.41986042740167;27.873305751789665
86;25;99;54.41166617238592;54.41166617238592;43.23670901174198
87;398;99;52.975864769031496;52.975864769031496;43.71135963363914
88;71;99;42.63395085228854;42.63395085228854;35.182828262808066
89;25;99;59.5556468872289;59.5556468872289;46.04820746686777
90;80;99;35.368128647354105;35.368128647354105;29.476073508069977
91;69;99;74.74949025195372;74.74949025195372;57.91781403629928
92;106;99;39.12120601416963;39.12120601416963;32.2206610255624
93;25;99;68.05226937283446;68.05226937283446;52.404559274053874
94;105;99;59.46266437199809;59.46266437199809;47.745045066888366
95;26;99;59.78639773219685;59.78639773219685;46.42919825807647
96;195;99;31.54952339961408;31.54952339961408;26.83978363505263
97;114;99;36.423152317899486;36.423152317899486;29.934731306418
98;92;99;49.355970844631706;49.355970844631706;40.384932219234166
99;66;99;44.04008400272352;44.04008400272352;35.52023487013391
100;102;99;35.56088528642305;35.56088528642305;29.395431525995058
101;212;99;39.433198174780706;39.433198174780706;32.52744060301182
102;34;99;26.999380547561525;26.999380547561525;22.225080918284313
103;131;99;51.130156163938665;51.130156163938665;41.133221897272286
104;25;99;38.63144660760107;38.63144660760107;30.14448397854753
105;57;99;79.39922217775879;79.39922217775879;61.22240151052346
106;187;99;55.26515259602255;55.26515259602255;45.137657458296644
107;85;99;34.293757496124826;34.293757496124826;28.54255737692969
108;145;99;37.27399998270099;37.27399998270099;31.027532279278464
109;135;99;43.833206773923216;43.833206773923216;36.15964674597419
110;9;99;29.144970217356178;29.144970217356178;22.52321525122271
111;163;99;52.21458269151185;52.21458269151185;42.147527527793976
112;119;99;52.03049201433488;52.03049201433488;42.191003570498246
113;93;99;61.51137544548832;61.51137544548832;48.88430747543485
114;51;99;42.8999259915612;42.8999259915612;34.30164706731126
115;138;99;49.945431655482196;49.945431655482196;40.302670495
116;27;99;72.77162880586329;72.77162880586329;53.415533545476436
117;81;99;44.84411878099193;44.84411878099193;36.04729079466276
118;66;99;79.90077273390075;79.90077273390075;62.126061590409364
119;267;99;39.17158484089608;39.17158484089608;33.27615748885178
120;128;99;40.92700870220469;40.92700870220469;33.81402159864386
121;199;99;65.30625171181669;65.30625171181669;52.5214697384243
122;40;99;34.17773629054564;34.17773629054564;27.95665413807637
123;289;99;63.78534903570504;63.78534903570504;51.18821123823676
124;21;99;47.96178605640483;47.96178605640483;37.04027350658556
125;13;99;54.57733923880285;54.57733923880285;41.834669245664884
