Skewness: 4.67468825335663, Average LID: LPCA: 39.0  |||  MLE: 54.36344083529245  |||  MLENB: 54.36344083529245  |||  TLE: 44.340892456376466
LPCA: nan  |||  MLE: 0.11253806577342317  |||  MLENB: 0.11253806577342317  |||  TLE: 0.1766078951639167
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;11;39;26.65433981166011;26.65433981166011;22.295084373824235
1;22;39;52.282309090964624;52.282309090964624;42.99914068073966
2;40;39;42.18101374336735;42.18101374336735;35.36394503736144
3;11;39;47.11216604707561;47.11216604707561;38.406004333375996
4;73;39;47.45680992301772;47.45680992301772;39.75339243044155
5;133;39;62.052876901269116;62.052876901269116;51.732434541818634
6;9;39;64.2390943198723;64.2390943198723;51.3067863129235
7;2;39;50.616188928917694;50.616188928917694;39.05239593247766
8;6;39;51.91650301262005;51.91650301262005;40.96747037117132
9;8;39;43.48249347387893;43.48249347387893;35.21102719667911
10;34;39;49.7590981643292;49.7590981643292;40.94515084375091
11;115;39;41.05654499764295;41.05654499764295;34.70076071184169
12;52;39;56.74828786993209;56.74828786993209;47.034037699824836
13;26;39;77.73752757014897;77.73752757014897;61.864523969954426
14;20;39;32.972567176725256;32.972567176725256;27.564166746730397
15;52;39;43.237805665628834;43.237805665628834;35.91964783684194
16;73;39;43.77649541549841;43.77649541549841;37.261915344266754
17;82;39;50.07750852381025;50.07750852381025;42.05911954688144
18;16;39;39.04813950918473;39.04813950918473;32.51288403228088
19;12;39;55.807987794619365;55.807987794619365;45.21217331340586
20;90;39;62.446363118576926;62.446363118576926;52.49204531058096
21;81;39;53.124736883762864;53.124736883762864;45.22396285038006
22;34;39;64.15875966052747;64.15875966052747;51.551352322076006
23;1;39;63.820856954715;63.820856954715;47.432807238391334
24;0;39;93.42161442780632;93.42161442780632;68.24069235212748
25;9;39;70.52011310289309;70.52011310289309;55.44380231333127
26;59;39;51.933234276777604;51.933234276777604;43.16016268739162
27;49;39;47.290548927458374;47.290548927458374;38.675628490692205
28;91;39;63.9331112756691;63.9331112756691;52.961668262174115
29;20;39;49.193336312498396;49.193336312498396;40.48099559858535
30;156;39;72.31569259274431;72.31569259274431;60.187449072429175
31;42;39;69.53663839869388;69.53663839869388;56.463789472507266
32;10;39;46.85889467354912;46.85889467354912;37.880914758758834
33;57;39;76.69280984654806;76.69280984654806;62.00292208963788
34;39;39;66.41780874367772;66.41780874367772;54.87277123261605
35;10;39;33.8727400940105;33.8727400940105;26.80454561105827
36;35;39;61.93962533447043;61.93962533447043;50.96197566758648
37;34;39;45.39197811691836;45.39197811691836;37.67838144036508
38;34;39;56.16750800532328;56.16750800532328;45.707183404321555
39;29;39;26.81019554112048;26.81019554112048;22.99892072077572
40;20;39;30.971265466532188;30.971265466532188;25.65057558129322
41;20;39;42.533481025104685;42.533481025104685;34.91999944199888
42;159;39;88.6473702401182;88.6473702401182;73.00490519618819
43;2;39;53.994890560711525;53.994890560711525;42.69663165176476
44;9;39;33.493844387657035;33.493844387657035;27.359323704369277
45;178;39;72.57637396265432;72.57637396265432;60.86223943348794
46;6;39;33.59349011783929;33.59349011783929;26.591752719874158
47;33;39;66.42909527037526;66.42909527037526;54.63854672014569
48;155;39;73.25824738285556;73.25824738285556;61.40331992336196
49;40;39;56.494332919408976;56.494332919408976;47.24144348076943
50;29;39;52.66383918176124;52.66383918176124;43.14862638478375
51;34;39;41.10485520011151;41.10485520011151;34.216987480155446
52;29;39;56.88733969166492;56.88733969166492;46.66060025076
53;31;39;35.8898416958113;35.8898416958113;30.587881767813435
54;18;39;39.23470552244149;39.23470552244149;31.768078665964108
55;42;39;48.183128900095056;48.183128900095056;40.00197007206195
56;16;39;56.14659180521004;56.14659180521004;45.138750555604524
57;19;39;40.93347002586707;40.93347002586707;33.94107166886021
58;48;39;41.11568892935305;41.11568892935305;34.86529112878916
