Skewness: 0.15612217552952126, Average LID: LPCA: 4.588785046728972  |||  MLE: 4.055900732840406  |||  MLENB: 4.055900732840406  |||  TLE: 3.563002073585186
LPCA: 0.26176943043442086  |||  MLE: -0.4789018292762052  |||  MLENB: -0.4789018292762052  |||  TLE: -0.16144361077721886
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;27;5;3.081885645083934;3.081885645083934;3.1706215966642937
1;3;5;5.336547933473338;5.336547933473338;3.0609275436449996
2;41;5;3.6102317381582365;3.6102317381582365;4.12129980212612
3;3;2;15.989277343990613;15.989277343990613;5.99041481785931
4;6;4;3.7723842691914897;3.7723842691914897;2.6921653117624635
5;16;5;7.031041722480207;7.031041722480207;5.812527948254533
6;4;5;5.856179699413734;5.856179699413734;4.018407558938241
7;19;5;3.1779693800516284;3.1779693800516284;3.434790688676902
8;30;3;1.8170442551552293;1.8170442551552293;2.046309644808962
9;17;5;4.104269774039804;4.104269774039804;4.194250865246025
10;39;6;4.765499570502164;4.765499570502164;5.049261216667129
11;6;4;6.75982391239117;6.75982391239117;3.6885704995620565
12;17;3;1.7761426219019087;1.7761426219019087;2.0977394494904185
13;20;3;1.5607900259944703;1.5607900259944703;1.9525790282785052
14;15;6;5.684310296241049;5.684310296241049;5.102915204446015
15;22;6;3.3112499534488906;3.3112499534488906;3.631022281488749
16;23;3;1.3421952443407228;1.3421952443407228;1.7661317211613807
17;17;4;4.9738986292241245;4.9738986292241245;4.525265079707372
18;21;4;2.338075224104696;2.338075224104696;2.7221844985327337
19;15;5;6.043987878340885;6.043987878340885;4.993617653463839
20;14;4;1.7744788676901122;1.7744788676901122;2.546580637656415
21;11;4;3.067201892451532;3.067201892451532;2.838681676034387
22;13;5;4.31958531889208;4.31958531889208;4.25418909696574
23;35;6;3.09696162156517;3.09696162156517;3.2943358110400784
24;19;4;4.902441541632853;4.902441541632853;3.859485799611423
25;15;6;4.8335964268015745;4.8335964268015745;4.47586243237423
26;13;4;3.443111355892602;3.443111355892602;3.0536285067629265
27;22;3;1.3351572038403883;1.3351572038403883;1.6798292677569309
28;40;6;4.110169249864203;4.110169249864203;4.278625966907502
29;42;6;3.217354015740825;3.217354015740825;3.61263326962324
30;21;6;2.5694170227021917;2.5694170227021917;2.8403377621571475
31;24;4;2.7785569764154143;2.7785569764154143;3.1034247209154353
32;0;4;6.881666234892259;6.881666234892259;1.736022536683027
33;22;5;3.300750106594184;3.300750106594184;3.729563456353212
34;42;6;3.879918491718129;3.879918491718129;4.148155148496748
35;15;5;3.348724023319717;3.348724023319717;3.3954967666085714
36;17;5;3.0599969701814596;3.0599969701814596;3.3157397979481473
37;11;4;6.737947989469303;6.737947989469303;4.086801088178642
38;25;5;5.008574542175537;5.008574542175537;4.780017053562353
39;6;3;7.908969146404058;7.908969146404058;3.094680113457525
40;32;5;2.702595876215816;2.702595876215816;3.1555401864951564
41;11;5;5.791499907748246;5.791499907748246;4.888876023199236
42;30;5;2.9547422935384384;2.9547422935384384;3.580840995507785
