Skewness: 0.4499020023346447, Average LID: LPCA: 4.953271028037383  |||  MLE: 3.6211308509980165  |||  MLENB: 3.6211308509980165  |||  TLE: 2.9688959962305796
LPCA: 0.5044017513532169  |||  MLE: -0.3215040675101002  |||  MLENB: -0.3215040675101002  |||  TLE: 0.22024815904098374
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;67;5;2.154597449495786;2.154597449495786;2.4244752970841796
1;27;5;3.5360292469719243;3.5360292469719243;2.6433614026503913
2;138;5;3.2025227784508754;3.2025227784508754;3.484731259020748
3;29;2;16.77220658187996;16.77220658187996;4.7252427197078255
4;7;4;4.611638030192972;4.611638030192972;2.3554193367224103
5;67;6;3.8924246624111762;3.8924246624111762;2.9255221688499704
6;33;5;7.947475493775831;7.947475493775831;4.650200473719042
7;93;5;3.978556851901548;3.978556851901548;3.2013627346274363
8;47;5;1.6228370625117492;1.6228370625117492;2.045622174840028
9;78;6;3.513207942600801;3.513207942600801;3.3250268747138847
10;97;6;2.979375729808562;2.979375729808562;3.170046848434563
11;23;6;3.5010605169260938;3.5010605169260938;2.349618667770556
12;39;4;2.7181428181088374;2.7181428181088374;2.785578532933091
13;35;4;2.1678258862521664;2.1678258862521664;2.442635512605199
14;83;5;4.345483671502979;4.345483671502979;3.932823212227528
15;61;5;2.9895479100546574;2.9895479100546574;2.9301536900022374
16;36;5;1.5319498709657668;1.5319498709657668;2.171045004832864
17;63;6;2.9194071892766837;2.9194071892766837;2.8275986446884622
18;44;5;2.607084607583645;2.607084607583645;2.5100175229160726
19;87;6;3.7679194487138084;3.7679194487138084;3.078611068866759
20;43;4;3.1716478151687557;3.1716478151687557;3.413766467434069
21;18;4;3.6340450410371306;3.6340450410371306;2.794727911692438
22;59;5;4.214354386654234;4.214354386654234;3.4242903964820193
23;102;6;2.8436320170575025;2.8436320170575025;3.1140346671882373
24;58;4;6.727220760022315;6.727220760022315;3.880244051905038
25;61;6;3.278219714801437;3.278219714801437;3.101679502762126
26;41;5;3.097474563211466;3.097474563211466;2.8751691888586937
27;38;5;1.528963135797291;1.528963135797291;2.1512097565416273
28;97;6;2.748174633745054;2.748174633745054;2.921266370900359
29;120;6;2.5011449062041478;2.5011449062041478;2.8276032804551243
30;59;6;2.586591506202697;2.586591506202697;2.8572058165155334
31;78;5;3.5277551688496476;3.5277551688496476;3.331476190307407
32;1;4;7.132105627690723;7.132105627690723;3.0144052527524403
33;64;4;2.7542134362452955;2.7542134362452955;2.8630398140290696
34;114;5;3.207612484601236;3.207612484601236;3.3596705772840276
35;60;6;2.6085329732463207;2.6085329732463207;2.6399830025637763
36;69;5;3.069235677196356;3.069235677196356;3.19661469854791
37;57;5;5.121788336237646;5.121788336237646;2.875318550644258
38;90;5;3.179529599904318;3.179529599904318;3.236991302122546
39;22;4;6.4025208356599395;6.4025208356599395;2.4207040409201044
40;79;5;2.0706796057496746;2.0706796057496746;2.4668326441321975
41;84;5;3.72965819128981;3.72965819128981;3.5325792742759723
42;96;6;3.0293735229076084;3.0293735229076084;3.407109064001806
43;119;6;4.209471986194419;4.209471986194419;3.87087509547006
44;49;4;6.202834538633821;6.202834538633821;4.469172267687468
45;56;6;2.1915730711585595;2.1915730711585595;2.5067827499117152
46;4;5;13.621103708429482;13.621103708429482;2.4195071966582744
47;106;5;2.7902248785454424;2.7902248785454424;2.9678318924126628
48;128;5;2.415086032589554;2.415086032589554;2.5990651274894825
49;125;6;3.219668405258618;3.219668405258618;3.3926304705689634
50;46;6;2.4536196780850856;2.4536196780850856;2.464641994013309
51;114;5;3.3358212221382635;3.3358212221382635;3.3987588908653197
52;87;6;2.7169614489584193;2.7169614489584193;2.804104657024939
53;53;6;2.4509086895004337;2.4509086895004337;2.701581948826826
54;46;5;1.7486643743314705;1.7486643743314705;2.0868137359425467
55;122;5;3.8223642800157;3.8223642800157;3.695093812082325
56;28;5;5.967959184592325;5.967959184592325;3.0525736808311623
57;53;4;3.088605483309331;3.088605483309331;2.95839848682305
58;64;6;4.203553403639297;4.203553403639297;3.458000648166585
59;76;6;2.7044489598089907;2.7044489598089907;2.835025828206751
60;50;6;3.749029804814326;3.749029804814326;3.119616007932875
61;67;5;4.406763967966616;4.406763967966616;3.785626519465271
62;134;6;2.8952034866078753;2.8952034866078753;3.2541286245130605
63;33;4;0.0;0.0;2.522181365565367
64;39;4;2.4025147961376057;2.4025147961376057;2.4443104339090294
65;47;5;1.776279994304507;1.776279994304507;2.0572429847955673
66;78;4;3.8607218843011193;3.8607218843011193;3.403965087717321
67;30;4;2.9477029220062163;2.9477029220062163;2.6534863535019304
68;6;4;7.223440959878713;7.223440959878713;3.2799038298626084
69;45;4;3.412855655539254;3.412855655539254;3.465126278642308
70;60;4;5.271589010732207;5.271589010732207;3.8760158609101016
71;73;6;2.7082335390569807;2.7082335390569807;2.892675700908558
72;48;5;3.057227761525961;3.057227761525961;2.805463641446812
73;75;6;2.990053196193132;2.990053196193132;3.043936447220541
74;44;4;2.8349502403847335;2.8349502403847335;2.859194779922762
75;60;4;2.5782945697830066;2.5782945697830066;2.6158877057247665
76;61;6;2.446178810178358;2.446178810178358;2.662803705525425
77;98;5;3.5743127437378095;3.5743127437378095;3.4365009087265728
78;114;6;2.6270891522916826;2.6270891522916826;2.831978015353803
79;95;5;2.399123097650083;2.399123097650083;2.728323645591333
80;83;5;2.2468957361896416;2.2468957361896416;2.6636270725136515
81;85;6;2.816322481027025;2.816322481027025;2.919000620521312
82;31;4;2.360497770124445;2.360497770124445;2.440642312051511
83;144;5;2.9321566152837972;2.9321566152837972;3.176501827227385
84;25;4;5.982651628724121;5.982651628724121;3.3610507341410587
85;40;5;3.4606490238356056;3.4606490238356056;2.7150842990092516
86;15;4;3.448290183309265;3.448290183309265;2.5506476263456213
87;102;5;3.1216937664329634;3.1216937664329634;3.1368542163522197
88;102;5;2.2963920465318255;2.2963920465318255;2.5832684167318103
89;49;4;3.7469574548293942;3.7469574548293942;3.309912757698976
90;37;5;1.5519563002693635;1.5519563002693635;2.153121242277095
91;66;5;2.4915068060612366;2.4915068060612366;2.594714711389106
92;53;4;3.084231608727172;3.084231608727172;3.2750660307440853
93;71;4;4.975865327009683;4.975865327009683;3.801508505168218
94;34;5;1.8040583846143738;1.8040583846143738;2.279920568362782
95;50;4;2.5962569790527894;2.5962569790527894;2.6475827378893464
96;36;5;1.6074078170764294;1.6074078170764294;2.203348040544078
97;55;4;4.757772125308993;4.757772125308993;3.859689108913072
98;98;6;3.442000779771206;3.442000779771206;3.488981536192129
99;79;5;3.7741431706188004;3.7741431706188004;3.4550087146608988
100;36;5;3.1905170861564085;3.1905170861564085;2.6352947095487353
101;63;5;3.350218769264316;3.350218769264316;3.290699031096134
102;21;4;10.237826051629746;10.237826051629746;4.454025147453262
103;31;5;1.569383066301965;1.569383066301965;2.220261217085492
104;30;5;1.6566602680453724;1.6566602680453724;2.285996533284923
105;1;5;11.14950385168947;11.14950385168947;4.208195104847835
106;76;5;3.4534155765955212;3.4534155765955212;3.365712814522944
107;43;5;1.4903753859657718;1.4903753859657718;2.0164651050928453
108;69;5;3.357346808559285;3.357346808559285;3.2579504926304947
109;40;4;3.216466087926046;3.216466087926046;2.9127201094554023
110;36;6;5.543261934469531;5.543261934469531;2.6191071601580003
111;39;5;1.517185999242025;1.517185999242025;2.095568974474095
112;48;4;4.167289578690068;4.167289578690068;3.455833079826566
