Skewness: -0.1835324596128947, Average LID: LPCA: 3.0  |||  MLE: 2.086536692176273  |||  MLENB: 2.086536692176273  |||  TLE: 2.256534510448381
LPCA: nan  |||  MLE: -0.3096974025968151  |||  MLENB: -0.3096974025968151  |||  TLE: -0.056395983062981485
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;40;3;1.9485473808930112;1.9485473808930112;1.6497360711277322
1;42;3;1.9842856194766971;1.9842856194766971;1.6848874703339896
2;38;3;2.0791030958043213;2.0791030958043213;1.6871949432216586
3;42;3;1.9851257407936254;1.9851257407936254;1.7217154862856374
4;44;3;2.1183797701588336;2.1183797701588336;1.771450570675878
5;46;3;2.9697480094410187;2.9697480094410187;2.173078729461904
6;53;3;1.7536581788412435;1.7536581788412435;1.7500912832055469
7;57;3;1.7384818580866475;1.7384818580866475;1.7778650024730855
8;50;3;2.8975968600765487;2.8975968600765487;2.2736325433211686
9;12;3;5.545735978296485;5.545735978296485;2.7237435987893095
10;60;3;1.660422056413526;1.660422056413526;1.7352131292375401
11;50;3;2.903143913774839;2.903143913774839;2.2869399648434343
12;52;3;2.6144583313127105;2.6144583313127105;2.126395672290648
13;58;3;1.661875852933871;1.661875852933871;1.740418004589884
14;41;3;3.5933867031728326;3.5933867031728326;2.5974869246791554
15;68;3;1.67938338750816;1.67938338750816;1.717964020661716
16;72;3;1.5835434075745423;1.5835434075745423;1.7362674800674407
17;56;3;2.33567577610332;2.33567577610332;1.9796619771037232
18;71;3;1.5668442657921102;1.5668442657921102;1.7792580171711934
19;77;3;0.0;0.0;1.7568417505795826
20;67;3;1.7845827456357264;1.7845827456357264;1.9029366938900398
21;76;3;2.263451275449211;2.263451275449211;2.053720359981301
22;38;3;4.038220197901378;4.038220197901378;2.794751311374518
23;77;3;0.0;0.0;1.7568417505795826
24;26;3;4.729640782304282;4.729640782304282;3.058297297367496
25;82;3;1.6957720927737743;1.6957720927737743;1.8981535222204529
26;76;3;0.0;0.0;1.8004577746245964
27;75;3;0.0;0.0;1.8004577746245964
28;92;3;1.8035581176021358;1.8035581176021358;1.8819260199124548
29;86;3;1.6737897140525304;1.6737897140525304;1.8001662879407923
30;79;3;1.8098824852609674;1.8098824852609674;1.9201253083128231
31;57;3;4.06472973738064;4.06472973738064;3.0381847550237606
32;80;3;1.564423478380367;1.564423478380367;1.7981894405074452
33;86;3;2.648288629779086;2.648288629779086;2.3306049561431093
