Skewness: -0.21051904128969945, Average LID: LPCA: 3.0  |||  MLE: 2.1698191226683035  |||  MLENB: 2.1698191226683035  |||  TLE: nan
LPCA: nan  |||  MLE: -0.2842346313447912  |||  MLENB: -0.2842346313447912  |||  TLE: nan
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;34;3;2.206554033046555;2.206554033046555;1.8477817965168353
1;35;3;2.150445436443136;2.150445436443136;1.8125897459255955
2;32;3;2.213256172265378;2.213256172265378;1.779357904625706
3;34;3;2.127354907870921;2.127354907870921;1.8492795519134038
4;39;3;2.281666311858192;2.281666311858192;1.8765693754819293
5;35;3;3.7547555908127093;3.7547555908127093;2.6354017094864695
6;42;3;1.7867464803049566;1.7867464803049566;1.803336125231543
7;46;3;1.7399300587600681;1.7399300587600681;1.7999701735109488
8;40;3;3.3736482854173047;3.3736482854173047;2.6133922089426522
9;11;3;5.148712194521116;5.148712194521116;2.778823932014575
10;52;3;1.701792876856876;1.701792876856876;1.801401969474351
11;41;3;3.463165202355414;3.463165202355414;2.6155340551373336
12;42;3;3.1418756445793923;3.1418756445793923;2.449820790951849
13;51;3;1.7082502964804707;1.7082502964804707;1.8138359276790679
14;32;3;4.164402214033274;4.164402214033274;3.1296749011166205
15;55;3;1.7499980898977339;1.7499980898977339;1.775327084911267
16;58;3;1.6509680607440598;1.6509680607440598;1.8155170691484466
17;45;3;2.8953705168092054;2.8953705168092054;2.331757028231991
18;64;3;1.5834712987087125;1.5834712987087125;1.8107860807983258
19;66;3;0.0;0.0;1.8115260506126152
20;55;3;1.6994952463191104;1.6994952463191104;1.8377905479501566
21;61;3;2.787425337101458;2.787425337101458;2.3987687789548353
22;31;3;4.192621679357375;4.192621679357375;3.0756756543174415
23;66;3;0.0;0.0;1.8115260506126152
24;21;3;4.181633573094053;4.181633573094053;2.946949819856325
25;72;3;1.67415615660008;1.67415615660008;1.8854110573264624
26;67;3;0.0;0.0;1.790887152016555
27;67;3;0.0;0.0;1.790887152016555
28;80;3;2.0837747509306075;2.0837747509306075;2.1291170576886325
29;79;3;1.8239854652478105;1.8239854652478105;1.9347206447892553
30;72;3;2.05413168257965;2.05413168257965;2.1596029685729143
31;43;3;4.205664336069726;4.205664336069726;3.1917795623678127
32;73;3;1.608017784206728;1.608017784206728;1.8531678538915837
33;73;3;3.2257321837275468;3.2257321837275468;2.707184539490797
34;76;3;2.0251236209412364;2.0251236209412364;2.238450967708704
35;77;3;1.7175440358223137;1.7175440358223137;1.829180850946844
36;70;3;2.162362815058498;2.162362815058498;2.2717579080350743
37;65;3;1.7047407583427072;1.7047407583427072;1.9041094477399305
38;80;3;1.6697764085054732;1.6697764085054732;1.874706813308662
39;91;3;2.3973348309783695;2.3973348309783695;2.3046038033837863
40;75;3;1.8540316238576164;1.8540316238576164;2.022510103580828
41;69;3;1.74068236148074;1.74068236148074;1.9695067565404283
42;85;3;1.6666211799476722;1.6666211799476722;1.9157675022095848
43;22;3;3.4022925949546474;3.4022925949546474;2.720849243617031
44;90;3;0.0;0.0;1.9841777538594572
45;81;3;2.0202060434247087;2.0202060434247087;2.1658581387654965
46;72;3;1.9293597678543475;1.9293597678543475;2.1853295853967287
47;77;3;3.767738485253087;3.767738485253087;2.925743911508249
48;79;3;1.7954270452463186;1.7954270452463186;2.039672080623231
49;91;3;0.0;0.0;1.9841777538594572
50;53;3;4.084156289359122;4.084156289359122;3.0234352315147213
51;87;3;0.0;0.0;1.9812525271387473
52;86;3;0.0;0.0;1.9812525271387473
53;65;3;2.551132118569897;2.551132118569897;2.4273719141291794
54;84;3;1.99117008037954;1.99117008037954;2.2380640252583808
55;74;3;2.094261429729785;2.094261429729785;2.299958336440028
56;100;3;1.9445326332755901;1.9445326332755901;2.1079450613276856
57;97;3;2.1748662070295066;2.1748662070295066;2.3648743596058726
58;110;3;2.4934347859655652;2.4934347859655652;2.3836527080872343
59;29;3;3.104055391217067;3.104055391217067;2.8027842822492226
60;94;3;1.8121530337332046;1.8121530337332046;2.1191910261310865
61;104;3;1.9888551747343666;1.9888551747343666;2.1389272366385454
62;3;3;5.440467233528187;5.440467233528187;2.069467514389861
63;106;3;2.1666580767387194;2.1666580767387194;2.262966794450726
64;108;3;0.0;0.0;2.292788011226188
65;105;3;0.0;0.0;2.292788011226188
66;40;3;3.3598182469730773;3.3598182469730773;2.9518525256208528
67;119;3;2.1138692673961095;2.1138692673961095;2.313431369735713
68;119;3;2.463419622817805;2.463419622817805;2.5699227100247235
69;99;3;2.12312464907648;2.12312464907648;2.2472827204777404
70;121;3;2.2622791650335956;2.2622791650335956;2.4132846546177102
71;98;3;1.8577537133506135;1.8577537133506135;2.114039689951863
72;111;3;2.5420068582853106;2.5420068582853106;2.4651773169407347
73;127;3;3.878950447989361;3.878950447989361;3.4385768363961207
74;62;3;4.371491330619029;4.371491330619029;3.4535813958734893
75;35;3;2.8432438591269045;2.8432438591269045;2.666924804546281
76;113;3;0.0;0.0;2.480668811764309
77;126;3;2.252051157483945;2.252051157483945;2.3550564117942105
78;111;3;0.0;0.0;2.480668811764309
79;36;3;3.376794830018259;3.376794830018259;2.9501508317862744
80;117;3;3.706746333456587;3.706746333456587;3.290541645507426
81;111;3;1.9079155710785052;1.9079155710785052;2.0809997204416653
82;96;3;0.0;0.0;2.2350163126711955
83;108;3;2.177280928946963;2.177280928946963;2.1754620628335832
84;94;3;1.9143929260091181;1.9143929260091181;2.133059410992035
85;43;3;3.764166335462097;3.764166335462097;3.2878230874025065
86;117;3;2.0172337306569847;2.0172337306569847;2.092386234392998
87;66;3;2.096960144798608;2.096960144798608;2.2185972225431216
88;98;3;0.0;0.0;2.2350163126711955
89;95;3;2.574916906128595;2.574916906128595;2.4924728108845304
90;70;3;2.8548675277090165;2.8548675277090165;2.6605913017550953
91;153;3;3.603379250748392;3.603379250748392;3.256466395106675
92;34;3;2.848468231848797;2.848468231848797;2.6487301821332156
93;126;3;2.1402480658076364;2.1402480658076364;2.200453714897347
94;93;3;2.793684295639776;2.793684295639776;2.704511699707286
95;122;3;2.2394818427267826;2.2394818427267826;2.296303284032671
96;29;3;3.0099736895584512;3.0099736895584512;2.691930054800115
97;128;3;2.24994136274305;2.24994136274305;2.3454004961041375
98;109;3;2.0418783362833333;2.0418783362833333;2.1475325414094475
99;123;3;2.4913060777875873;2.4913060777875873;2.5833378224903005
100;127;3;4.016756845267267;4.016756845267267;3.5501664827693467
101;90;3;1.9110473293778594;1.9110473293778594;2.078284420908997
102;79;3;2.166698181235911;2.166698181235911;2.30772848650159
103;94;3;2.6685201700139642;2.6685201700139642;2.604334190857319
104;132;3;2.9400579562614353;2.9400579562614353;2.759798352570756
105;85;3;3.118357717059819;3.118357717059819;2.8546155246480596
106;52;3;3.7708574166912565;3.7708574166912565;3.2318791657381762
107;49;3;0.0;0.0;3.2168306572553855
108;50;3;0.0;0.0;3.2168306572553855
109;76;3;3.706961509035021;3.706961509035021;3.08836145862427
110;75;3;3.655698362584342;3.655698362584342;3.1062331093155486
111;140;3;2.5207720620377794;2.5207720620377794;2.5578219862339178
112;116;3;2.078955515450972;2.078955515450972;2.1975197575070404
113;94;3;2.1197961329680988;2.1197961329680988;2.3019145910906404
114;117;3;2.0159112309505263;2.0159112309505263;2.2454541538123935
115;62;3;3.7260453419730766;3.7260453419730766;3.376179731972096
116;119;3;1.7911270621585935;1.7911270621585935;2.009700738586092
117;120;3;1.826050766556075;1.826050766556075;2.086458851238132
118;96;3;2.1534624320010587;2.1534624320010587;2.341991679428495
119;109;3;1.9235696128504058;1.9235696128504058;2.0984780863826655
120;127;3;1.8495242715715137;1.8495242715715137;2.0631880127170095
121;142;3;2.6156587036940597;2.6156587036940597;2.55081799267898
122;110;3;1.8890447410210764;1.8890447410210764;2.164091953223031
123;84;3;2.256354365582791;2.256354365582791;2.35561125782715
124;51;3;3.1373117917736235;3.1373117917736235;2.81492061464976
125;111;3;0.0;0.0;nan
126;81;3;1.9329613556139178;1.9329613556139178;2.1081897690913727
127;104;3;3.0877112244401337;3.0877112244401337;2.7606126294245614
128;99;3;0.0;0.0;2.026368736107691
129;122;3;1.9299153827172875;1.9299153827172875;2.1314822824031094
130;76;3;2.114483420828505;2.114483420828505;2.2578998504872536
