Skewness: -0.244788426706717, Average LID: LPCA: 3.88  |||  MLE: 2.13011868682434  |||  MLENB: 2.13011868682434  |||  TLE: nan
LPCA: 0.37259808616256584  |||  MLE: 0.0674966414127049  |||  MLENB: 0.0674966414127049  |||  TLE: nan
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;49;4;1.7975914635375179;1.7975914635375179;nan
1;48;4;1.5236949910775235;1.5236949910775235;1.8102910105010832
2;49;4;1.4406530850245605;1.4406530850245605;1.5732546248569228
3;34;4;1.3729999068381127;1.3729999068381127;1.5571968869026924
4;49;4;2.1977749871448857;2.1977749871448857;2.489459451659132
5;26;4;1.7791709446152886;1.7791709446152886;1.7191301069743663
6;49;4;1.7889676119766886;1.7889676119766886;1.8123250589999533
7;49;4;1.4935338419568112;1.4935338419568112;nan
8;22;4;1.556106607076343;1.556106607076343;1.515073353929082
9;49;4;0.0;0.0;1.8840310544057997
10;39;4;1.6264536774773557;1.6264536774773557;1.7432076162730885
11;49;4;1.6604700896365077;1.6604700896365077;1.7769801625860586
12;36;4;1.5139866078157314;1.5139866078157314;1.786916376828001
13;19;4;1.9466723623579922;1.9466723623579922;1.6532984135961661
14;13;4;2.346923234276003;2.346923234276003;1.779570253916605
15;9;4;2.376761112656584;2.376761112656584;1.66245217205381
16;27;4;1.9836840864459997;1.9836840864459997;1.881834331587972
17;49;4;1.7965946811371503;1.7965946811371503;2.145652312615932
18;19;4;2.0180816947718476;2.0180816947718476;1.747134215371823
19;49;4;1.794924788734529;1.794924788734529;1.9907477409973182
20;49;4;2.109345914505052;2.109345914505052;2.0628891721737426
21;49;4;1.8954091435061162;1.8954091435061162;2.1057768870899296
22;36;4;3.5978572104668074;3.5978572104668074;2.5564210189894943
23;52;4;1.8801897755814;1.8801897755814;1.882063317783742
24;52;4;2.267279554308201;2.267279554308201;2.0405883317503126
25;52;4;1.6516677253922294;1.6516677253922294;1.8227139950796951
26;50;4;1.5881669857937393;1.5881669857937393;1.7289530906446429
27;49;4;1.6252321226677824;1.6252321226677824;1.8714966969098465
28;49;4;1.720483961691677;1.720483961691677;1.9810965208417688
29;50;4;1.4435944129102853;1.4435944129102853;1.6444809696017515
30;51;4;1.419230206002533;1.419230206002533;1.681722113933265
31;48;4;2.1152155592892545;2.1152155592892545;2.1461245738082213
32;25;4;2.1260359972095064;2.1260359972095064;1.9069915698726945
33;15;4;2.0301901199491637;2.0301901199491637;1.7267854819568662
34;49;4;0.0;0.0;1.8840310544057997
35;49;4;2.1513381613740483;2.1513381613740483;2.2092828261417443
36;42;4;2.200622944532816;2.200622944532816;2.089205367761355
37;49;4;0.0;0.0;1.8840310544057997
38;22;4;1.5144305248047552;1.5144305248047552;1.5307405111279815
39;49;4;1.409613520943841;1.409613520943841;1.6399186667390844
40;49;4;1.9635887545647548;1.9635887545647548;2.1826561680145358
41;9;4;2.5292383430184744;2.5292383430184744;1.5672344792970774
42;26;4;1.5890820956592908;1.5890820956592908;1.6051974335282697
43;50;4;2.2598180600007285;2.2598180600007285;2.183437277344984
44;37;4;2.4436883797981963;2.4436883797981963;2.152957923259662
45;40;4;1.541673390453384;1.541673390453384;1.7389905854696208
46;49;4;1.877386067843848;1.877386067843848;2.017959802065099
47;39;4;1.3476668722146286;1.3476668722146286;1.5202178023323913
48;49;4;1.5997474704056938;1.5997474704056938;1.7671126244613582
49;49;4;1.443481079323506;1.443481079323506;1.605486880494481
50;21;4;2.733920468802984;2.733920468802984;2.6761439330474275
51;46;4;2.07328081654551;2.07328081654551;2.2468153059654257
52;43;4;2.7415998527950265;2.7415998527950265;2.807028252827276
53;29;3;1.797669299631455;1.797669299631455;1.967388738891058
54;57;4;2.0609984141905526;2.0609984141905526;2.258900296750754
55;55;4;2.690631267804451;2.690631267804451;2.8914520240991775
56;53;4;2.7047709161137306;2.7047709161137306;2.8106711083621105
57;13;3;1.9899722823985702;1.9899722823985702;1.8302374097160812
58;40;4;2.0868380267007662;2.0868380267007662;2.3693088844917183
59;27;3;1.9414368547427463;1.9414368547427463;1.9504695632668798
60;14;3;1.960181135942156;1.960181135942156;1.664339555014544
61;53;4;2.2428708908973842;2.2428708908973842;2.3656594367887442
62;27;3;2.445691256688518;2.445691256688518;2.2651567395746035
63;65;4;2.7814951711073306;2.7814951711073306;3.08170690001606
64;26;3;1.9649036581417674;1.9649036581417674;1.9679657857024786
65;26;4;2.2205938232612823;2.2205938232612823;2.4860365002897766
66;54;4;2.5979974577914042;2.5979974577914042;2.715890629231271
67;39;3;1.6658285172346832;1.6658285172346832;1.882292547219768
68;48;4;3.940338489229931;3.940338489229931;3.4400529475163517
69;30;3;1.4665524737288975;1.4665524737288975;1.7121428727433534
70;55;4;2.8823880532858404;2.8823880532858404;3.02642914638847
71;43;4;2.315254056160284;2.315254056160284;2.3465269685412755
72;54;4;2.939809678557804;2.939809678557804;2.988785655475157
73;62;4;3.175107104295404;3.175107104295404;3.2462318324297397
74;52;4;2.3451986353958887;2.3451986353958887;2.4668606687677865
75;41;4;2.2486802414947062;2.2486802414947062;2.6135007251646454
76;44;4;2.5263398720419454;2.5263398720419454;2.6551947819632167
77;64;4;2.607937365513585;2.607937365513585;2.515947424060546
78;64;4;2.7091605194064576;2.7091605194064576;2.759249085637143
79;22;3;1.8807884285094074;1.8807884285094074;1.8808966079309983
80;27;3;1.4748329590179154;1.4748329590179154;1.6670135328129285
81;23;3;1.5165595905213296;1.5165595905213296;1.6498740992437417
82;35;3;1.5653811762150527;1.5653811762150527;1.8254026336461637
83;56;4;2.584917367237008;2.584917367237008;2.80403036000322
84;43;4;2.543864522150388;2.543864522150388;2.527648116933147
85;50;4;2.926080147875262;2.926080147875262;2.8147468253259738
86;45;4;2.06047757104429;2.06047757104429;2.293028446963338
87;45;4;3.5530088324889784;3.5530088324889784;3.15920598932819
88;34;4;1.7828684072872452;1.7828684072872452;2.115328377173436
89;30;3;1.5868074904611686;1.5868074904611686;1.835003942403633
90;39;4;2.3351977322937465;2.3351977322937465;2.536282202502642
91;63;4;2.344262136952193;2.344262136952193;2.5727460414012295
92;36;3;1.544474368993617;1.544474368993617;1.8111977777975257
93;14;3;1.8316449532830834;1.8316449532830834;1.728516553799732
94;40;4;1.6717013385735966;1.6717013385735966;1.9836561670300612
95;42;4;1.791269623628834;1.791269623628834;2.1230950584048176
96;46;4;1.6747771611735913;1.6747771611735913;2.02739786568463
97;54;4;2.5492698743871327;2.5492698743871327;2.6028132164812026
98;11;2;2.6733049546931706;2.6733049546931706;2.219459035809457
99;40;4;1.5538843513109177;1.5538843513109177;1.8788787457948073
100;31;4;2.467637885875132;2.467637885875132;2.3542993960204175
101;41;4;0.0;0.0;2.627923904877202
102;31;4;1.8979558475831584;1.8979558475831584;1.9204054082929414
103;53;4;2.6946766088794103;2.6946766088794103;2.880343316397415
104;36;4;1.955113253473514;1.955113253473514;2.2267934255815782
105;14;4;1.9066743954765808;1.9066743954765808;1.762712284176219
106;20;3;4.52243365151009;4.52243365151009;3.110162792586049
107;21;4;2.0445762819197073;2.0445762819197073;1.9714477144681828
108;35;4;3.486140184202018;3.486140184202018;3.086148302834304
109;21;4;1.9705958976766624;1.9705958976766624;1.784038682311481
110;62;4;2.787830669036905;2.787830669036905;2.7861452682849874
111;59;4;2.5771759172737774;2.5771759172737774;2.681116602351538
112;42;4;1.8484184567579884;1.8484184567579884;2.1356006567053543
113;29;4;2.862267304433985;2.862267304433985;2.983534998766511
114;30;4;3.4882768054040016;3.4882768054040016;3.107281031211308
115;50;4;2.1641137910738495;2.1641137910738495;2.3214225401412
116;55;4;2.7046259479408157;2.7046259479408157;3.0095790891705683
117;10;4;2.2980277952106536;2.2980277952106536;1.7494553106015074
118;10;4;2.370800543059134;2.370800543059134;1.7880403176782822
119;33;4;3.536713868624058;3.536713868624058;3.2352757512160575
120;33;4;1.6157429358653066;1.6157429358653066;1.8748678644026011
121;32;4;3.022358520770308;3.022358520770308;3.145416456510973
122;12;4;2.1193423073090063;2.1193423073090063;1.8396792433404219
123;64;4;2.884605884875215;2.884605884875215;3.180908253055114
124;37;4;1.8190717698116243;1.8190717698116243;2.080360525432197
125;26;4;2.35081715475933;2.35081715475933;2.3063742676589385
126;73;4;2.6535819198562147;2.6535819198562147;2.9229927894108525
127;67;4;2.4432114575242374;2.4432114575242374;2.7241736089446347
128;47;4;2.0526742092690724;2.0526742092690724;2.3344690329084257
129;29;4;2.7619388642586906;2.7619388642586906;2.5661071065586216
130;21;4;2.182702532537002;2.182702532537002;2.117505699069546
131;11;4;2.4261475328012;2.4261475328012;1.8329480555899267
132;44;4;2.0488649689574805;2.0488649689574805;2.321747518056271
133;70;4;2.7284582326204068;2.7284582326204068;2.7801048121030933
134;32;4;3.7026103515001796;3.7026103515001796;3.1584304541729495
135;17;4;2.0614397788158327;2.0614397788158327;1.8672230076277077
136;34;4;2.337593552680649;2.337593552680649;2.4563116308420287
137;56;4;2.726029404072693;2.726029404072693;3.0226837653813154
138;69;4;2.427633019240667;2.427633019240667;2.7090397064042087
139;39;4;2.026151293489212;2.026151293489212;2.2980785864643227
140;36;4;1.7278055719123324;1.7278055719123324;2.051977590451982
141;40;4;2.7858048552501438;2.7858048552501438;2.849863102374091
142;43;4;0.0;0.0;2.627923904877202
143;32;4;1.7107761178350889;1.7107761178350889;1.9467168051048218
144;33;4;1.7779620964031295;1.7779620964031295;2.0243526641880205
145;45;4;2.37033812871475;2.37033812871475;2.6213268544095616
146;61;4;3.262423563251852;3.262423563251852;3.395222280397157
147;63;4;2.651783192753825;2.651783192753825;2.746533087431637
148;39;4;2.2131406748348557;2.2131406748348557;2.237962089410824
149;55;4;2.3835983095011657;2.3835983095011657;2.5975122114981475
