Skewness: 0.3026081562903286, Average LID: LPCA: 3.1266666666666665  |||  MLE: 1.5962762004410656  |||  MLENB: 1.5962762004410656  |||  TLE: nan
LPCA: 0.3136773709680025  |||  MLE: 0.2539183112515904  |||  MLENB: 0.2539183112515904  |||  TLE: nan
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;49;2;0.6342302621310503;0.6342302621310503;nan
1;51;2;0.7042783348770761;0.7042783348770761;0.9014668464412195
2;49;2;0.6805686758756297;0.6805686758756297;0.8550300189658314
3;52;2;0.7258562052974301;0.7258562052974301;0.9121221477479157
4;49;2;0.6557196145245843;0.6557196145245843;0.8310915986324288
5;49;2;0.913468324845179;0.913468324845179;1.0461595486335227
6;49;2;0.721023408836687;0.721023408836687;0.8847398805877988
7;50;2;0.6343811106025871;0.6343811106025871;nan
8;50;2;0.8635324995887967;0.8635324995887967;0.9935204623523618
9;52;2;0.0;0.0;0.9012138466959576
10;49;2;0.7537738897670402;0.7537738897670402;0.9216906216182689
11;51;2;0.6880716052539475;0.6880716052539475;0.8649897591385469
12;50;2;0.7104224028916649;0.7104224028916649;0.9047416474367713
13;49;2;0.8962483489661683;0.8962483489661683;0.9752234754736638
14;49;2;1.0389328320997337;1.0389328320997337;1.0536931412847355
15;49;2;1.2262585778042903;1.2262585778042903;1.1500306284746298
16;49;2;0.8390463826173136;0.8390463826173136;0.9661982419194878
17;49;2;0.6413272836374072;0.6413272836374072;0.8272623166521201
18;49;2;1.029361309506332;1.029361309506332;1.1104438171522026
19;49;2;0.7230672173355678;0.7230672173355678;0.8965614231445155
20;52;2;0.8295496861411515;0.8295496861411515;0.9899427902466383
21;49;2;0.713229031351875;0.713229031351875;0.890922147454501
22;49;2;0.8160918168540702;0.8160918168540702;0.9141586159819957
23;53;2;0.8182025084811582;0.8182025084811582;0.9889141398520318
24;53;2;0.8732818555171616;0.8732818555171616;1.0206247538942461
