Skewness: -0.22493293369194534, Average LID: LPCA: 17.011049723756905  |||  MLE: 6.299854548682982  |||  MLENB: 6.299854548682982  |||  TLE: 4.92795997793928
LPCA: 0.44812679327111804  |||  MLE: -0.5597128818912697  |||  MLENB: -0.5597128818912697  |||  TLE: -0.14399952868548474
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;105;21;3.09852287344147;3.09852287344147;3.155984885175619
1;25;18;10.306325701448202;10.306325701448202;5.987828786108079
2;89;22;3.3103709504523438;3.3103709504523438;3.1734197389374503
3;84;21;3.0948559713730375;3.0948559713730375;3.0243890628978
4;14;11;8.535167153504416;8.535167153504416;4.829109734973324
5;11;10;13.040717918772687;13.040717918772687;6.061343562450838
6;22;14;8.345953579816536;8.345953579816536;5.5070531464656485
7;25;13;7.589485143326805;7.589485143326805;4.98630541116383
8;87;18;6.249901921113677;6.249901921113677;5.144245523579345
9;25;16;9.43297230009765;9.43297230009765;6.250028556123495
10;10;11;11.026178342442465;11.026178342442465;4.969301878582579
11;17;13;9.420085054726705;9.420085054726705;5.640376875490313
12;13;10;9.689426233891313;9.689426233891313;5.551311770963395
13;6;10;10.5364086467733;10.5364086467733;4.1779635485572
14;16;16;13.754900570084477;13.754900570084477;7.082334378816973
15;44;16;9.297072351973208;9.297072351973208;6.631785920281147
16;21;13;5.188860495960647;5.188860495960647;3.7081155954058653
17;88;16;8.24500544262499;8.24500544262499;6.264711033028447
18;75;17;8.826559360041943;8.826559360041943;6.475330046242012
19;151;18;2.757215577287658;2.757215577287658;3.17449385363765
20;175;20;5.647269736353668;5.647269736353668;5.425113559140985
21;180;18;5.626747577028954;5.626747577028954;5.283935465177103
22;160;17;2.7466853432933194;2.7466853432933194;3.1248572863644823
23;130;15;4.052111651118074;4.052111651118074;3.919894294979534
24;88;22;4.122206793577645;4.122206793577645;3.6821900646108032
25;134;18;3.0922967412538043;3.0922967412538043;3.2944732194369695
26;138;17;4.5314370760014135;4.5314370760014135;4.310410233838015
27;20;12;4.893602808941443;4.893602808941443;3.4924878611281684
28;139;16;3.0620643873900444;3.0620643873900444;3.275125010099535
29;180;18;5.730574854929227;5.730574854929227;5.371936533827279
30;140;16;2.973198840666114;2.973198840666114;3.250702171604693
31;24;18;9.500272024634857;9.500272024634857;6.065872553580537
32;92;21;3.607667490525699;3.607667490525699;3.2871691395872302
33;91;20;3.639386555777807;3.639386555777807;3.4080239026854966
34;80;20;3.5735976264385125;3.5735976264385125;3.32758056762271
35;95;23;3.1118713739192776;3.1118713739192776;3.110426504398837
36;49;18;7.298513790915038;7.298513790915038;5.2339989835695855
37;97;20;3.2557843565221587;3.2557843565221587;3.1911032960754535
38;57;15;6.480458550913296;6.480458550913296;4.985616038786376
39;50;18;8.180185619266538;8.180185619266538;6.296218531674236
40;33;19;11.216355815336229;11.216355815336229;7.561302979632263
41;12;10;8.230584702568596;8.230584702568596;4.611077424449148
42;16;12;11.429364809507174;11.429364809507174;6.248675832535459
43;11;10;10.603790790922679;10.603790790922679;5.229589798847731
44;8;10;11.199344933538411;11.199344933538411;4.679289145125446
45;9;8;14.524145157038497;14.524145157038497;6.4828857503955115
46;8;11;9.732313461245129;9.732313461245129;4.235112303415217
47;164;22;5.930037843021572;5.930037843021572;5.437082555619933
48;45;11;5.719919868970711;5.719919868970711;4.643753315372943
49;157;15;5.946713543764053;5.946713543764053;5.585028273154799
50;118;18;7.090232605836437;7.090232605836437;6.217216369744108
