Skewness: 0.1614286746940387, Average LID: LPCA: 18.718232044198896  |||  MLE: 7.255334822473975  |||  MLENB: 7.255334822473975  |||  TLE: 5.662805747064233
LPCA: 0.49254733864402916  |||  MLE: -0.5196473866673373  |||  MLENB: -0.5196473866673373  |||  TLE: -0.14897124651675303
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;94;23;3.5270625701558913;3.5270625701558913;3.4782466323197823
1;19;19;11.64663435550263;11.64663435550263;6.893883892753134
2;70;23;4.399138680279331;4.399138680279331;3.9926788984590877
3;65;22;3.7729190703317994;3.7729190703317994;3.5376023572269615
4;14;12;8.936085971339475;8.936085971339475;5.213911252361725
5;11;10;13.226040866503647;13.226040866503647;6.311578014781802
6;21;16;8.556277472197745;8.556277472197745;5.847306831841556
7;23;16;8.32023058564373;8.32023058564373;5.6744624380502
8;59;20;7.810218644733205;7.810218644733205;6.3281295521841185
9;24;17;10.150627452781997;10.150627452781997;6.969988932970174
10;8;10;11.130982534417651;11.130982534417651;5.486156271403763
11;15;11;10.449895843159325;10.449895843159325;6.2100570259508
12;12;10;9.821971978623074;9.821971978623074;6.136436254403566
13;6;9;10.340035256460062;10.340035256460062;4.3662642143711325
14;16;19;13.395570907768784;13.395570907768784;7.073443123202881
15;32;18;10.621914456884292;10.621914456884292;7.564909523680556
16;17;14;5.052341900898157;5.052341900898157;3.7698224699274046
17;52;17;11.74167691302274;11.74167691302274;8.433397809930737
18;53;19;9.65160796420385;9.65160796420385;6.959535130758095
19;126;20;3.1585425118214605;3.1585425118214605;3.6046644136174657
20;155;23;6.412696243326343;6.412696243326343;5.960452573661273
21;173;22;6.528874055750042;6.528874055750042;5.833494345542142
22;139;20;3.211946727401339;3.211946727401339;3.5908111404715624
23;98;15;4.6748382376925735;4.6748382376925735;4.3571805934832
24;66;23;5.073118202043648;5.073118202043648;4.28874201124413
25;110;22;3.8722129651466455;3.8722129651466455;3.988056697598174
26;102;22;4.79347067522243;4.79347067522243;4.4496335646120375
27;18;13;5.271124360303871;5.271124360303871;3.91681252290615
28;115;21;3.8458768461748942;3.8458768461748942;3.994484834268278
29;169;22;6.444232295229311;6.444232295229311;5.799050133638111
30;119;18;3.455387789266878;3.455387789266878;3.715918018294787
31;21;20;10.797768266032902;10.797768266032902;7.004503197818313
32;64;22;5.0517784020049765;5.0517784020049765;4.294343465410927
33;60;21;4.500227308339569;4.500227308339569;4.047096415825083
34;55;22;4.261828028162657;4.261828028162657;3.8093751939074356
35;77;22;3.769121695823398;3.769121695823398;3.631689528775071
36;37;19;8.477236798953493;8.477236798953493;5.75443471312664
37;81;23;3.81135253639251;3.81135253639251;3.5946685487367316
38;47;16;7.132963659430321;7.132963659430321;5.486892933070093
39;38;19;9.135510138869693;9.135510138869693;7.339866594169734
40;28;21;12.085934381715663;12.085934381715663;8.28586204870245
41;12;10;7.705873355993686;7.705873355993686;4.628032039658588
42;15;12;12.3061580107907;12.3061580107907;6.905455036273643
43;11;9;10.847671092988357;10.847671092988357;5.761838677899564
44;8;9;10.89469213127464;10.89469213127464;5.0377287942647895
