Skewness: 0.5323694116481913, Average LID: LPCA: 9.6755  |||  MLE: 6.1065915464221385  |||  MLENB: 6.1065915464221385  |||  TLE: 5.931724909129609
LPCA: 0.2113702944963916  |||  MLE: -0.216863008654821  |||  MLENB: -0.216863008654821  |||  TLE: -0.051513740436045743
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;32;10;7.409494678414141;7.409494678414141;6.830822924383267
1;6;11;11.48926756816373;11.48926756816373;9.27648668719823
2;34;13;6.242982516407405;6.242982516407405;6.315190332096764
3;58;14;8.14363780571947;8.14363780571947;7.896503217086558
4;31;11;6.713053412081642;6.713053412081642;6.435891713730804
5;16;8;6.446956277400921;6.446956277400921;5.109302465688762
6;44;11;7.4378356611857415;7.4378356611857415;7.365058700724539
7;30;11;9.986653928354944;9.986653928354944;9.15438158160756
8;16;11;4.850641860627134;4.850641860627134;4.3299524534996605
9;44;11;7.987998736009302;7.987998736009302;8.074036661713995
10;19;12;10.945100573857868;10.945100573857868;9.320288228970647
11;78;13;6.28896697754649;6.28896697754649;6.679923392402308
12;25;13;7.605431037776319;7.605431037776319;6.714649784933376
13;68;13;5.026948876549137;5.026948876549137;5.2864926184458465
14;52;11;6.158637916009289;6.158637916009289;6.308619077108772
15;55;11;7.499814587338912;7.499814587338912;7.362744966498844
16;39;14;6.325031489454956;6.325031489454956;6.260943005321402
17;28;11;5.29762445770812;5.29762445770812;5.269622981070949
18;35;14;7.172765328726711;7.172765328726711;6.966021731632169
19;33;13;4.942304479382545;4.942304479382545;5.113316131996814
20;73;14;7.927677579752049;7.927677579752049;8.210408213263854
21;35;12;4.99524265177036;4.99524265177036;5.096251968164321
22;46;11;8.327974567411289;8.327974567411289;8.105891180774483
23;91;12;5.669913633669529;5.669913633669529;5.938676806060872
24;28;11;9.97830028176153;9.97830028176153;8.909100021841496
25;111;13;6.25091855896222;6.25091855896222;6.495824905647674
26;32;11;5.22765532638681;5.22765532638681;5.114365425266521
27;26;12;8.494787716165236;8.494787716165236;8.033829011405397
28;47;11;6.4619745398506305;6.4619745398506305;6.623951772528288
29;26;11;6.521722123801596;6.521722123801596;6.138103440714175
30;38;13;9.494198431418905;9.494198431418905;8.73148815563769
31;69;11;7.185834772409354;7.185834772409354;7.519887014229406
32;74;14;10.815751347633901;10.815751347633901;10.360532578594485
33;29;11;6.0844969062766046;6.0844969062766046;5.314366936925523
34;13;10;5.787509422652685;5.787509422652685;5.455020392260062
35;50;12;5.213394078696627;5.213394078696627;5.420233534861149
36;44;15;7.34156636228014;7.34156636228014;6.915164657493975
37;41;13;5.739165066147681;5.739165066147681;6.1038838700211135
38;68;12;8.248234530318346;8.248234530318346;8.136549073653786
39;19;12;8.932226652484603;8.932226652484603;7.476344221244141
40;77;13;7.5019094331334095;7.5019094331334095;7.592812703144683
41;67;13;10.363599498044238;10.363599498044238;10.314401332856017
42;29;12;9.742021771065914;9.742021771065914;8.912268518188029
43;87;13;6.883501155537709;6.883501155537709;7.232771983059006
44;47;11;7.953312968619347;7.953312968619347;7.9062091712666005
45;26;11;8.72514152340031;8.72514152340031;8.280385381192435
46;33;12;7.916346661285402;7.916346661285402;7.40983770569828
47;33;11;8.83755011747662;8.83755011747662;8.534216917045832
48;27;12;5.132203007070909;5.132203007070909;5.447744897803839
49;22;11;11.77257224900935;11.77257224900935;9.771707617598762
50;18;10;8.394993408492656;8.394993408492656;8.014942603823332
51;58;11;5.455053949307675;5.455053949307675;6.05176772898342
52;22;13;9.190588451816764;9.190588451816764;7.9693680743353
53;22;12;9.945885700925611;9.945885700925611;8.633814688072581
54;84;14;5.7181632561534865;5.7181632561534865;6.1419257058521195
55;62;12;10.03453740924381;10.03453740924381;9.821315058550503
56;93;12;6.70925693540106;6.70925693540106;6.999444249866667
57;70;12;7.8636791447860475;7.8636791447860475;7.817726367309276
58;50;12;7.183044873954615;7.183044873954615;7.130189193833809
59;14;12;9.432041550716129;9.432041550716129;7.352328191182974
60;26;10;8.133245792010594;8.133245792010594;7.468241969085365
61;23;11;7.655238615666196;7.655238615666196;7.008886165745431
62;51;13;10.423551444888089;10.423551444888089;9.783087831964778
63;49;11;7.21774174646434;7.21774174646434;7.390032706308883
64;18;9;7.849437663519712;7.849437663519712;7.1377812320253335
65;43;12;5.440930528126997;5.440930528126997;5.596306427768768
66;50;13;6.584469667387724;6.584469667387724;6.615527977864326
67;38;12;7.386749093873108;7.386749093873108;6.95402978989548
68;47;13;10.431704537382211;10.431704537382211;9.520445671874912
69;35;11;6.7271044435099805;6.7271044435099805;6.752788203834186
70;23;12;9.411586441768888;9.411586441768888;8.742263714821272
71;61;12;7.48668256883824;7.48668256883824;7.6811445108588305
72;65;12;7.678714133552278;7.678714133552278;8.10475944382819
73;36;12;5.757815531873558;5.757815531873558;5.7610083550344875
74;39;14;9.247339879161485;9.247339879161485;8.778674797912956
75;37;12;9.870674688522207;9.870674688522207;8.72593062283564
76;41;12;9.702968863095272;9.702968863095272;9.338203347944242
77;32;13;5.707463474544887;5.707463474544887;5.586920151944481
78;71;13;6.235490813860564;6.235490813860564;6.53308195156876
79;37;11;6.127185932709156;6.127185932709156;6.253122866180094
80;77;13;7.257162151770277;7.257162151770277;7.754969324608457
81;27;12;6.4098723791425565;6.4098723791425565;6.305654944722066
82;55;13;9.685085536412728;9.685085536412728;9.089066152257843
83;45;12;7.04397862648299;7.04397862648299;6.9564500414391075
84;38;11;9.572946288232089;9.572946288232089;8.995752419050524
85;75;15;7.951962846041341;7.951962846041341;8.270833456540604
86;12;11;8.997302680546655;8.997302680546655;7.601567858355157
87;95;14;7.288806220227042;7.288806220227042;7.480406180113461
88;27;11;5.229494160492379;5.229494160492379;5.145577325072351
89;32;12;7.621723343272016;7.621723343272016;7.369144459100316
90;30;11;7.138769710404446;7.138769710404446;7.031529589759438
91;66;12;6.211082062749598;6.211082062749598;6.693495299368367
92;26;11;6.897377180274283;6.897377180274283;6.291025306138336
93;43;11;5.555064943584754;5.555064943584754;5.590357268593027
94;11;11;7.192367444869648;7.192367444869648;6.329425786110648
95;32;11;5.9040468131459;5.9040468131459;6.134961276186314
96;28;11;5.921475924359517;5.921475924359517;5.892253241240668
97;53;15;7.732285576263866;7.732285576263866;7.700398609403432
98;27;12;9.952810021491668;9.952810021491668;9.187906413787777
99;14;13;7.6674782772424654;7.6674782772424654;6.598319599730153
100;69;12;10.95727167861135;10.95727167861135;10.20847172157359
101;21;11;9.813578993931824;9.813578993931824;8.227658085773593
102;61;11;7.021357138294825;7.021357138294825;6.957578269511188
103;28;13;7.614129309960915;7.614129309960915;7.300311042416961
104;50;10;6.381221084904459;6.381221084904459;6.623458200713495
105;102;12;6.362512112090545;6.362512112090545;6.681866155481972
106;22;9;6.439111446916874;6.439111446916874;5.814840247711745
107;34;8;5.649750954651102;5.649750954651102;5.810676707348311
108;31;11;6.872840596262824;6.872840596262824;6.441125078726679
109;49;12;7.031690916165503;7.031690916165503;6.935299371067916
110;77;13;7.157938482452375;7.157938482452375;7.163673192194569
111;56;11;5.689958338958369;5.689958338958369;5.748474894244827
112;59;11;7.236554915488443;7.236554915488443;7.291172037275373
113;26;13;10.705506996311586;10.705506996311586;9.041240249709503
114;88;10;6.533666865248258;6.533666865248258;7.039555810296553
115;25;12;7.7345128684703;7.7345128684703;7.361759509168403
116;32;13;5.2655492007324005;5.2655492007324005;5.7403344133601575
117;67;14;6.605962327702486;6.605962327702486;6.601138374627592
118;38;13;9.327975090769288;9.327975090769288;8.713060877761984
119;42;13;5.639275877277535;5.639275877277535;5.681365616029271
120;36;12;11.516255965671656;11.516255965671656;10.8229221423333
121;48;12;7.969771517109839;7.969771517109839;7.503928080954269
122;84;12;8.12707533927767;8.12707533927767;8.253032068161382
123;30;12;5.457900735317635;5.457900735317635;5.394411788962347
124;57;13;5.003016475534614;5.003016475534614;5.440642591681942
125;21;11;5.988284328177003;5.988284328177003;5.536760491158195
126;17;14;10.489991900713212;10.489991900713212;8.834293607072441
127;53;13;6.52976828374288;6.52976828374288;6.644639931277054
128;15;9;7.538320009493678;7.538320009493678;6.470508398053699
129;21;12;7.152256791535784;7.152256791535784;6.629146741291041
130;41;12;6.474989302294443;6.474989302294443;6.542656436810331
131;10;12;7.886987944626592;7.886987944626592;6.651725390482568
132;88;13;8.004347310896668;8.004347310896668;8.076224485522676
133;80;13;7.695307040495369;7.695307040495369;8.020269116066814
134;7;11;11.108465215954027;11.108465215954027;8.000121119041571
135;2;11;12.612651715323457;12.612651715323457;8.77451428166511
136;37;12;6.537934678480301;6.537934678480301;6.511540051756859
137;47;13;7.2749908995155605;7.2749908995155605;7.091011697072826
138;88;12;9.16076946595558;9.16076946595558;9.09229035333043
139;75;13;6.309577581265565;6.309577581265565;6.512983180998095
140;35;11;4.8001437567184135;4.8001437567184135;4.9964601495617185
141;30;11;5.995122646256796;5.995122646256796;5.960311119827355
142;30;11;7.095044445622278;7.095044445622278;6.90587094266617
143;23;11;9.15019223434917;9.15019223434917;8.431468379799087
144;10;11;8.602996588605247;8.602996588605247;7.351965556503878
145;48;12;5.150488545516075;5.150488545516075;5.453188128370534
146;24;13;5.067944672791842;5.067944672791842;5.035220450337839
147;14;13;10.738654824156336;10.738654824156336;9.36036700009568
148;55;12;5.844282767476955;5.844282767476955;6.042535801817975
149;25;12;7.254158369298887;7.254158369298887;6.75951679921766
150;37;11;6.2982273661358175;6.2982273661358175;6.192174514519358
151;65;10;5.088896331152114;5.088896331152114;5.604905274266246
152;32;12;6.266283154641041;6.266283154641041;6.081579010964885
153;76;13;8.010051978017257;8.010051978017257;8.463929320215284
154;18;11;6.3279099855084535;6.3279099855084535;5.875973443804694
155;24;12;5.190234881924731;5.190234881924731;5.043416287501534
156;41;12;6.932680467787717;6.932680467787717;6.790105053260561
157;51;13;6.548881250510579;6.548881250510579;6.717556662701136
158;26;9;4.93890330668595;4.93890330668595;5.226623816620342
159;46;13;9.072669973472996;9.072669973472996;8.696000127776708
160;30;11;5.50818328904058;5.50818328904058;5.560312482549136
161;55;12;8.858962417443239;8.858962417443239;8.789431227172425
162;12;10;7.865458165496139;7.865458165496139;6.412483501547772
163;30;11;5.649817900518056;5.649817900518056;5.61579277715512
164;11;10;11.159189354800592;11.159189354800592;8.977251396213413
165;64;12;7.304013152430849;7.304013152430849;7.34964244289968
166;35;11;5.207677359585112;5.207677359585112;5.1808977169224955
167;14;11;5.9860384407153875;5.9860384407153875;5.45909836713541
168;60;12;7.62705875014004;7.62705875014004;7.776308027551294
169;23;12;7.883570294712259;7.883570294712259;7.1384676471120265
170;47;12;6.982823248710694;6.982823248710694;6.951143044682227
171;11;11;7.275476054581633;7.275476054581633;6.4765117440979205
172;10;9;6.569779223090857;6.569779223090857;5.583418664204149
173;14;11;5.78393372638644;5.78393372638644;5.068661846476423
174;9;13;8.259632855577479;8.259632855577479;6.945448582208481
175;16;13;6.44417328123231;6.44417328123231;5.689560362353791
176;43;13;6.126929607555306;6.126929607555306;6.289813041083079
177;50;13;9.265425840674505;9.265425840674505;8.706529323973491
178;31;12;6.252769970491121;6.252769970491121;6.239619808569656
179;11;11;6.442123101618192;6.442123101618192;5.435380637349704
180;18;11;6.745915253408856;6.745915253408856;6.052728798697343
181;30;12;5.930146421792936;5.930146421792936;5.86509492037434
182;45;12;5.776264120538922;5.776264120538922;5.873247560798105
183;36;9;7.587112429395818;7.587112429395818;7.043464588138112
184;24;9;6.3201812767399685;6.3201812767399685;6.073378048696995
185;67;13;9.092227862125839;9.092227862125839;8.9375513437644
186;67;13;5.97485174553397;5.97485174553397;6.415479854682477
187;40;13;6.411660465560548;6.411660465560548;6.44285513491186
188;44;12;8.820581104719405;8.820581104719405;8.408708106622473
189;57;12;6.155682889109965;6.155682889109965;6.371528878151008
190;54;12;6.515326538114468;6.515326538114468;6.677275394646091
191;49;12;5.442439444085807;5.442439444085807;5.810406967482958
192;41;11;5.176359612916091;5.176359612916091;5.140852494823689
193;44;12;8.328431615830944;8.328431615830944;7.824401689920993
194;65;12;6.6783328734251395;6.6783328734251395;6.656342130505811
195;61;13;6.432642623506383;6.432642623506383;6.717805216970456
196;30;12;8.210407406055635;8.210407406055635;8.119844274543011
197;62;14;5.902574092342379;5.902574092342379;6.109890791234949
198;26;10;8.03946281346624;8.03946281346624;7.1270746827419735
199;51;10;8.87753797131926;8.87753797131926;8.574185776276504
200;21;9;6.784683000655963;6.784683000655963;6.55583319928617
201;14;7;7.498719656071068;7.498719656071068;6.5866657543602205
202;13;8;5.065274182545713;5.065274182545713;4.23068565837834
203;35;10;10.726250746687327;10.726250746687327;8.796010067220928
204;7;7;4.696289302664038;4.696289302664038;3.4855886031866596
205;17;7;5.2303941577577335;5.2303941577577335;5.011729541362623
206;23;7;4.701006035113907;4.701006035113907;4.83092964525977
207;33;9;6.020855219731553;6.020855219731553;6.1041504342978605
208;26;9;4.729296848047945;4.729296848047945;5.097180870454211
209;12;11;7.057802418575829;7.057802418575829;7.184108583171394
210;80;9;5.307080155026027;5.307080155026027;5.440314723887628
211;46;8;4.282365977372644;4.282365977372644;4.15677446090745
212;10;9;4.941431574746042;4.941431574746042;4.118770559802142
213;12;10;8.725587047986279;8.725587047986279;7.958263022698868
214;70;9;5.252642865558683;5.252642865558683;5.465748751647655
215;25;7;5.476475527720579;5.476475527720579;5.728689107460045
216;24;9;7.073457017019943;7.073457017019943;6.56570838010422
217;91;9;3.474671926429358;3.474671926429358;4.099260914741864
218;65;9;4.080321251261376;4.080321251261376;4.451507980098228
219;17;8;4.498928806572914;4.498928806572914;4.677611740631956
220;27;9;6.041117568427437;6.041117568427437;5.820088050818846
221;51;9;6.6329017556696614;6.6329017556696614;6.616376200753238
222;54;9;5.253809080953306;5.253809080953306;5.279741626972794
223;39;9;4.8828111624648285;4.8828111624648285;4.809463692275092
224;14;9;9.172374283816328;9.172374283816328;7.811650484246451
225;44;10;9.652323274446474;9.652323274446474;8.702465489297253
226;50;8;6.372355416120963;6.372355416120963;5.7861818202827
227;55;8;5.037638311398133;5.037638311398133;5.177384513560137
228;21;8;9.961097294540016;9.961097294540016;9.257009974021456
229;80;9;4.820989647860239;4.820989647860239;4.937151261453969
230;32;9;5.017597655001449;5.017597655001449;5.416147107069052
231;18;9;4.411278340811335;4.411278340811335;4.130657796910969
232;31;9;5.176310234198798;5.176310234198798;5.316890410490525
233;28;10;6.34912469067926;6.34912469067926;5.348259289027397
234;50;10;6.2992398579032765;6.2992398579032765;6.237450145836651
235;50;9;3.8525780794269773;3.8525780794269773;3.961920068881995
236;31;8;5.731201844888843;5.731201844888843;5.294853729827008
237;41;8;6.207788694780262;6.207788694780262;5.46126550930352
238;88;9;5.208348519055103;5.208348519055103;5.563254247115469
239;41;10;5.024570992598441;5.024570992598441;5.081288342955644
240;28;7;3.9990535380408008;3.9990535380408008;3.789820896414679
241;18;8;7.031865028388347;7.031865028388347;6.995307062831114
242;35;7;5.7719743532199255;5.7719743532199255;5.7672652418279915
243;11;8;5.2999574615063425;5.2999574615063425;5.334923577700867
244;53;8;3.251015221730002;3.251015221730002;3.4441908155084198
245;12;8;5.251558223290427;5.251558223290427;5.399872733875013
246;61;9;4.601315908643156;4.601315908643156;4.735786029778708
247;39;7;4.752063602648664;4.752063602648664;4.89192870607834
248;37;9;6.66575049889916;6.66575049889916;6.871608248118163
249;69;9;6.251403219712345;6.251403219712345;6.182320362862403
250;25;8;5.7823773007213894;5.7823773007213894;5.602781261799826
251;15;8;4.59041953606547;4.59041953606547;4.724372521656305
252;38;7;4.163991615887377;4.163991615887377;4.652453072286382
253;18;7;5.48189319710984;5.48189319710984;5.365817836173032
254;99;9;4.000895669341943;4.000895669341943;4.398182878976392
255;27;10;4.3426588159824515;4.3426588159824515;4.623129905160814
256;30;10;3.641319838198601;3.641319838198601;3.457462146993543
257;24;9;6.405815474610973;6.405815474610973;5.825199512505479
258;19;9;8.117744279664736;8.117744279664736;7.662296796180046
259;15;9;6.938509791237372;6.938509791237372;6.838579164831283
260;25;9;7.668931706721026;7.668931706721026;7.154840534131771
261;36;8;3.720443267044709;3.720443267044709;3.8009062809243686
262;29;9;4.665800188419364;4.665800188419364;5.136931710893097
263;53;8;5.434024907269083;5.434024907269083;5.237986680770265
264;0;7;16.568335651323167;16.568335651323167;7.512004292402352
265;39;8;5.098167546312147;5.098167546312147;5.110536927082222
266;24;10;8.20609835714201;8.20609835714201;8.002305184464836
267;51;9;7.13120498682725;7.13120498682725;6.861369721188623
268;17;7;6.193678338195791;6.193678338195791;5.44893128120524
269;60;9;4.76015064027504;4.76015064027504;4.893694392467317
270;38;9;7.78276580613499;7.78276580613499;6.984483740778809
271;16;10;7.256664841199444;7.256664841199444;7.019244550217655
272;11;8;5.723646784877748;5.723646784877748;5.564488149462805
273;23;9;5.43747955621514;5.43747955621514;5.496609753704108
274;38;8;3.439078810322656;3.439078810322656;3.504955079972724
275;37;9;5.654425496714413;5.654425496714413;5.540702925573772
276;41;8;5.472891235633287;5.472891235633287;5.313402398047998
277;28;9;5.377396654478671;5.377396654478671;5.947825022027889
278;78;8;3.8091046908780952;3.8091046908780952;4.14817654634055
279;63;8;3.9927069272153113;3.9927069272153113;4.156433380454243
280;47;8;5.1668222382461595;5.1668222382461595;5.059128745133425
281;12;5;4.316423972255893;4.316423972255893;4.249354208198067
282;19;7;4.394628573363828;4.394628573363828;4.620296475273195
283;25;7;6.083931873186307;6.083931873186307;5.773895870904276
284;11;8;7.569369631965413;7.569369631965413;6.112838875912991
285;48;9;5.9355473563250785;5.9355473563250785;5.767441163816298
286;37;8;5.92144988214343;5.92144988214343;5.568663241431112
287;14;8;9.235365130872344;9.235365130872344;8.993714083184802
288;34;8;6.366763275805431;6.366763275805431;5.923928847121773
289;36;9;5.334505646036596;5.334505646036596;5.00404387457719
290;25;10;6.817806447481304;6.817806447481304;6.870360038816304
291;42;9;4.289208056365547;4.289208056365547;4.538886308751365
292;21;7;3.761677485511902;3.761677485511902;3.9200277089204167
293;24;9;5.7226113586705125;5.7226113586705125;6.257359474188758
294;63;9;5.811728292792489;5.811728292792489;5.957713773800158
295;12;9;8.24820588528289;8.24820588528289;6.4679654301717715
296;13;9;6.572570542121648;6.572570542121648;5.800297098046206
297;37;9;4.184522118136699;4.184522118136699;4.458840667090352
298;17;11;7.9260942672927746;7.9260942672927746;7.825107937108438
299;26;8;6.123641912314181;6.123641912314181;5.8646179371920075
300;24;10;5.3620607281236445;5.3620607281236445;4.898520093103369
301;15;9;5.451270300392572;5.451270300392572;5.442518709751877
302;14;9;8.452239844262529;8.452239844262529;6.9101071088258825
303;85;10;3.6786218248365268;3.6786218248365268;4.077357541202817
304;17;8;5.352121536053541;5.352121536053541;4.457405329561387
305;40;9;5.650637765491161;5.650637765491161;5.636973584275225
306;34;8;6.179889364824313;6.179889364824313;5.765754258341368
307;30;6;6.088983328665928;6.088983328665928;5.875480762740536
308;37;10;4.844931867604646;4.844931867604646;5.102922196478099
309;22;8;6.776502693596351;6.776502693596351;6.7004581156556124
