Skewness: 0.4541524456505076, Average LID: LPCA: 19.76  |||  MLE: 8.35148227434204  |||  MLENB: 8.35148227434204  |||  TLE: 7.750116603636375
LPCA: -0.1194914924990603  |||  MLE: -0.3481858762112057  |||  MLENB: -0.3481858762112057  |||  TLE: -0.257328992107254
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;99;13;5.67212126200271;5.67212126200271;5.557312958006359
1;68;12;5.097211152636472;5.097211152636472;4.854527764436739
2;48;11;6.526336586141743;6.526336586141743;5.326621391560704
3;108;14;6.166060978555483;6.166060978555483;5.899265457021712
4;96;14;6.243947671233716;6.243947671233716;5.994008989584938
5;31;14;8.670556284852731;8.670556284852731;6.6738940856981355
6;67;14;7.220773830518119;7.220773830518119;6.180380801925708
7;40;15;6.482220688574077;6.482220688574077;5.404477403259817
8;41;13;7.843092314198228;7.843092314198228;6.333705921856424
9;37;12;5.871090621377401;5.871090621377401;5.06227219987935
10;44;11;4.847909794114427;4.847909794114427;4.340919481856899
11;83;15;3.7668815694303364;3.7668815694303364;3.815128383268666
12;72;14;5.438579373543016;5.438579373543016;5.1074465389507635
13;96;14;3.976832579751994;3.976832579751994;4.067346290581902
14;109;13;5.522868350149797;5.522868350149797;5.545881448096318
15;96;11;4.821488612657839;4.821488612657839;4.858058064275592
16;53;13;4.015367156191354;4.015367156191354;3.9698664654931544
17;38;15;6.1022582011872135;6.1022582011872135;5.13504323419585
18;183;13;5.092674892060256;5.092674892060256;5.329342826547769
19;121;13;6.5106486874745135;6.5106486874745135;6.133973256124999
20;123;11;4.92089839316717;4.92089839316717;5.011222942987779
21;29;15;4.6869820451947435;4.6869820451947435;3.7701800822739675
22;72;13;4.377510280682811;4.377510280682811;4.464820416683407
23;162;13;4.397252680276399;4.397252680276399;4.601186489596176
24;81;14;5.828829822470105;5.828829822470105;5.507462829897854
25;160;14;7.8703948421583885;7.8703948421583885;7.2816215754331735
26;23;14;8.147154942309406;8.147154942309406;5.7828050850680635
27;93;14;4.7419888826989025;4.7419888826989025;4.847060429692726
28;77;13;3.8701562129697256;3.8701562129697256;4.090799287797373
29;73;14;5.547725417523815;5.547725417523815;5.191004863560486
30;98;13;4.235946589970331;4.235946589970331;4.375182803098881
31;68;13;3.850760671154425;3.850760671154425;3.8412173106116745
32;110;9;4.328243667226766;4.328243667226766;4.546311400355978
33;125;13;3.883322809366811;3.883322809366811;4.151788461519707
34;126;15;6.528858597740803;6.528858597740803;6.043783062828372
35;146;13;6.143378620436921;6.143378620436921;6.010030804319348
36;111;15;5.038859484323673;5.038859484323673;5.263032446958814
37;142;13;4.931293522598024;4.931293522598024;5.192076187354352
38;124;14;7.564796197265265;7.564796197265265;7.2678860384870525
39;47;13;5.670812798896462;5.670812798896462;5.273554348062152
40;102;14;4.394199669371352;4.394199669371352;4.438535260868705
41;87;13;5.143879459700723;5.143879459700723;5.070500654793447
42;171;15;5.753619431234301;5.753619431234301;5.866751047407754
43;81;13;3.644391801711886;3.644391801711886;3.8761254610901967
44;90;13;5.101451401107545;5.101451401107545;4.933291515034896
45;38;15;7.315008235703956;7.315008235703956;5.739841926338007
46;66;14;6.452439380601305;6.452439380601305;6.26108511159551
47;73;13;4.874684925668559;4.874684925668559;4.746162781513897
48;154;13;5.062743918246632;5.062743918246632;5.213191205008161
