Skewness: 0.49118194146341515, Average LID: LPCA: 15.159  |||  MLE: 7.803428345309646  |||  MLENB: 7.803428345309646  |||  TLE: 7.425015228993915
LPCA: 0.17061303601984645  |||  MLE: -0.3861834001891985  |||  MLENB: -0.3861834001891985  |||  TLE: -0.27939945070738115
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;25;16;8.80207338496437;8.80207338496437;8.180626652715151
1;30;16;11.44613345796147;11.44613345796147;9.421507031775404
2;32;17;7.561392218969061;7.561392218969061;7.024355688508586
3;56;19;7.407993459033811;7.407993459033811;6.951215109863361
4;38;17;8.274372014250446;8.274372014250446;7.768195849678816
5;8;13;13.83770164254335;13.83770164254335;12.454760042418588
6;47;16;10.236779209933825;10.236779209933825;9.417828238126273
7;60;18;6.855246893461904;6.855246893461904;6.87651852439674
8;17;17;5.927859814710367;5.927859814710367;5.461740164585598
9;54;17;6.792872243249648;6.792872243249648;6.798342429697975
10;17;15;11.51311389426838;11.51311389426838;9.689040834488685
11;77;16;7.745496520373783;7.745496520373783;8.061246512924775
12;24;17;9.551749253884978;9.551749253884978;8.230915515271867
13;80;18;6.291560716740437;6.291560716740437;6.393945964954439
14;63;19;9.163470594355104;9.163470594355104;8.904559995739728
15;49;17;6.839520352879255;6.839520352879255;6.906813683143204
16;31;16;8.217447506020715;8.217447506020715;7.465707284935517
17;39;18;6.681354990452468;6.681354990452468;6.627845075891976
18;55;15;7.477918660170988;7.477918660170988;7.357466972605484
19;60;18;6.651719626597777;6.651719626597777;6.535944559528918
20;76;17;7.335217488931992;7.335217488931992;7.551681130207623
21;46;17;6.819460021231078;6.819460021231078;6.740450342233397
22;35;15;6.727661001112079;6.727661001112079;6.507178064744589
23;81;20;7.253690876334458;7.253690876334458;7.327791631374159
24;56;17;8.293551776554173;8.293551776554173;8.051984856542408
25;117;18;6.926051244760489;6.926051244760489;7.309389353737557
26;32;16;9.192600778844957;9.192600778844957;8.30618578474302
27;25;17;8.915610950011882;8.915610950011882;8.255612161556245
28;55;16;9.769770069669145;9.769770069669145;9.161305791577066
29;36;18;5.304512257208927;5.304512257208927;5.294311461733136
30;29;18;7.719966424620736;7.719966424620736;7.111112566552043
31;79;15;6.243354540327802;6.243354540327802;6.597377479276284
32;61;19;8.318027270711802;8.318027270711802;8.344550689499771
33;28;13;9.183504825081622;9.183504825081622;8.33612131005543
34;21;14;7.586840183524027;7.586840183524027;6.88505574785744
35;59;19;7.1862938620391015;7.1862938620391015;7.1341568843828
36;50;21;6.583839596941489;6.583839596941489;6.6507095813177814
37;42;16;5.4356366841828905;5.4356366841828905;5.785773120427739
38;61;18;10.260307470048124;10.260307470048124;9.740536704101546
39;37;16;7.571403126287414;7.571403126287414;7.237825443830364
40;67;16;10.62014015492141;10.62014015492141;9.810815082372969
41;27;16;7.160423299738484;7.160423299738484;6.776683885716337
42;63;16;7.224690267333479;7.224690267333479;7.283264932572557
43;57;18;6.5212562937355445;6.5212562937355445;6.574978340572587
44;55;17;6.771385682886063;6.771385682886063;6.977264672694873
45;21;17;7.591068907920658;7.591068907920658;7.386097897998606
46;53;20;10.065320156513923;10.065320156513923;9.619772628385123
47;54;18;10.775073242988425;10.775073242988425;9.921799777198439
48;41;17;7.285277189953367;7.285277189953367;7.109959171457641
49;11;18;14.80137683984016;14.80137683984016;11.179673861172468
50;17;16;7.0103869170602024;7.0103869170602024;6.567114119745263
51;26;18;6.906280395355382;6.906280395355382;6.446324601037066
