Skewness: -0.36464090094242085, Average LID: LPCA: 1.205  |||  MLE: 1.1282415424614052  |||  MLENB: 1.1282415424614052  |||  TLE: 1.3348330868164109
LPCA: 0.1497733676097301  |||  MLE: -0.08782701965129824  |||  MLENB: -0.08782701965129824  |||  TLE: 0.009575489433580216
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;17;2;1.480948117803279;1.480948117803279;1.7866784383486027
1;23;2;1.081131459542609;1.081131459542609;1.419837611906429
2;18;1;1.3110490805157622;1.3110490805157622;1.474429626831616
3;16;2;1.292541477339273;1.292541477339273;1.5258601875837954
4;20;2;1.6058821130196275;1.6058821130196275;1.7672805054898744
5;19;2;1.4244623081256391;1.4244623081256391;1.5252313014779613
6;18;2;1.676674359175654;1.676674359175654;1.911794976560708
7;27;1;0.9981281284947721;0.9981281284947721;1.2156304930718322
8;20;2;2.365924243901154;2.365924243901154;2.1906757535793377
9;22;2;1.452543611112482;1.452543611112482;1.62899765363395
10;22;2;1.9812043302543787;1.9812043302543787;1.8697909096179048
11;18;2;1.083309279691677;1.083309279691677;1.2207251054343986
12;16;1;1.2170876554611578;1.2170876554611578;1.2835069462772664
13;24;2;1.671739028910163;1.671739028910163;1.6386306387849108
14;20;2;1.5907495652144032;1.5907495652144032;1.6268537130819523
15;14;1;1.190476597137932;1.190476597137932;1.2519042543531587
16;18;2;1.984066277660858;1.984066277660858;1.9165816859650118
17;17;2;3.2308685203584493;3.2308685203584493;2.5570721656160376
18;27;1;0.9347367775441953;0.9347367775441953;1.0880475447583666
19;21;2;1.4595323260986781;1.4595323260986781;1.5685179077946425
20;24;1;1.047269574080887;1.047269574080887;1.1105985191341108
21;17;1;1.2094857122066447;1.2094857122066447;1.2500403230813406
22;25;2;1.282886827635985;1.282886827635985;1.571909732271198
23;15;1;1.8704269647715663;1.8704269647715663;1.526525595010995
24;14;1;2.0318476736656867;2.0318476736656867;1.7976740157483915
25;24;2;2.202186081305703;2.202186081305703;1.9082705380453826
26;24;2;1.425527227643478;1.425527227643478;1.7361423552609876
27;22;2;1.7711600096630555;1.7711600096630555;1.8093404453732802
28;21;2;1.1552160669376363;1.1552160669376363;1.325636384145467
29;19;2;1.6210191983055735;1.6210191983055735;1.7099439480554193
30;20;2;1.6234324203677677;1.6234324203677677;1.6914549032215545
31;17;2;1.270239838488235;1.270239838488235;1.5872231509434476
32;22;2;1.5009952153165256;1.5009952153165256;1.5898255301365298
33;17;2;2.163088079203263;2.163088079203263;2.0543600941291564
34;18;2;1.5094270199495585;1.5094270199495585;1.7511404917782778
35;22;2;1.723371419240292;1.723371419240292;1.910754147481174
36;24;2;1.369466588390257;1.369466588390257;1.5852547843339035
37;21;2;1.3565750002798245;1.3565750002798245;1.4944248758599452
38;18;2;1.1340004336970653;1.1340004336970653;1.4533567949114687
39;21;2;2.1588806556764513;2.1588806556764513;2.061661049770451
40;18;2;2.039648607961627;2.039648607961627;1.6982184560166156
41;15;2;3.5625514961318703;3.5625514961318703;2.7211298816739475
42;18;2;1.3623175440754078;1.3623175440754078;1.2367741196487516
43;24;2;1.7048174631390722;1.7048174631390722;1.960635179297076
44;20;2;1.4027705685420746;1.4027705685420746;1.635488642210967
45;21;2;1.3921237685666301;1.3921237685666301;1.4888342249894106
46;20;1;1.7708986671192937;1.7708986671192937;1.826939827233973
47;19;2;0.9387631645731002;0.9387631645731002;1.1269119893894637
48;19;2;2.2538634909900725;2.2538634909900725;2.029182194676804
49;17;2;1.3207820182104544;1.3207820182104544;1.329270205254795
50;21;2;1.72232295454219;1.72232295454219;1.7410941058092966
51;15;2;1.7303938235449163;1.7303938235449163;2.057601674476617
52;24;1;1.0880968423280901;1.0880968423280901;1.2259566098443089
53;10;1;1.3566411998953094;1.3566411998953094;1.2564007279067513
54;21;2;0.8846324843734047;0.8846324843734047;1.1097291549597876
55;18;2;1.4065805596693162;1.4065805596693162;1.6302236767282992
56;21;2;1.1531692602953816;1.1531692602953816;1.3484127458892867
57;23;2;1.5654342692886196;1.5654342692886196;1.5814727255961896
58;15;2;1.4842734828808821;1.4842734828808821;1.6358025306274762
59;18;2;1.3189710002567625;1.3189710002567625;1.5527483694104043
60;19;2;1.0708923423294376;1.0708923423294376;1.3223660141482387
61;22;2;1.9078993589726794;1.9078993589726794;2.0455044214326743
62;24;2;1.2380016544859576;1.2380016544859576;1.4771400053471588
63;27;1;1.0264566593111057;1.0264566593111057;1.2282267906812772
64;24;2;1.4684388497236156;1.4684388497236156;1.6015307378584003
65;17;2;2.3783610643432738;2.3783610643432738;2.2195018126580153
66;13;1;2.14752381069105;2.14752381069105;1.7602455108906936
67;15;2;1.657863465322315;1.657863465322315;1.7138875145373336
68;16;1;1.6576369101641997;1.6576369101641997;1.4760716901741793
69;16;2;1.7698281141998908;1.7698281141998908;1.8615185603883837
70;20;2;1.2049145009268645;1.2049145009268645;1.3537993323557955
71;20;2;1.1969157511478439;1.1969157511478439;1.3098487175145448
72;15;2;1.3514254009374416;1.3514254009374416;1.4944776369082517
73;21;2;0.8421382105729388;0.8421382105729388;1.061701167835879
74;24;2;1.4420849386773913;1.4420849386773913;1.6440262677661353
75;15;2;1.3577776247801059;1.3577776247801059;1.5933349960205674
76;24;2;1.766612598837207;1.766612598837207;1.6581232545524247
77;26;1;1.1169555407214282;1.1169555407214282;1.3503030129524836
78;22;2;1.6443096721943242;1.6443096721943242;1.7940312550049307
79;16;2;1.8131810260364305;1.8131810260364305;1.7842160589094476
80;17;2;1.1694327903451232;1.1694327903451232;1.461500846733879
81;21;2;1.4990465471150085;1.4990465471150085;1.7168786461285397
82;18;2;1.5003680686825434;1.5003680686825434;1.7354700231688212
83;20;2;1.555227917691672;1.555227917691672;1.5931795469989818
84;21;2;1.3519299841202617;1.3519299841202617;1.4991877420774744
85;23;2;1.0383980429031059;1.0383980429031059;1.374733249718
86;20;2;1.5213177742800694;1.5213177742800694;1.6683295771048163
87;11;1;1.238250273267039;1.238250273267039;1.2692878900161462
88;9;1;1.5281586358095962;1.5281586358095962;1.2776109869813994
89;19;2;1.6072017969314432;1.6072017969314432;1.8834206785037626
90;24;2;2.9785172328836893;2.9785172328836893;2.2385101624067176
91;21;2;1.2244453647923401;1.2244453647923401;1.339235566893221
92;22;2;0.9889423891271873;0.9889423891271873;1.3491816536936896
93;23;2;1.6302674133555812;1.6302674133555812;2.171654775734443
94;18;2;1.8651950816042233;1.8651950816042233;1.9097762503813913
95;21;2;1.0309420141123213;1.0309420141123213;1.2330646936688405
96;22;2;1.1686619932196165;1.1686619932196165;1.4350734566732208
97;20;2;1.0748507525588586;1.0748507525588586;1.2600016349566332
98;28;1;1.082959787831008;1.082959787831008;1.2170218339640786
99;22;2;1.4338858471429836;1.4338858471429836;1.6843442198053917
100;20;2;1.6597286849538013;1.6597286849538013;1.7035334763602825
101;19;1;1.292305449011533;1.292305449011533;1.1604572317494788
102;19;2;1.539876507095445;1.539876507095445;1.647609150133507
103;20;2;1.3989531378642006;1.3989531378642006;1.67427185962613
104;17;1;1.3542288057929701;1.3542288057929701;1.5956231552803881
105;17;2;1.3916644506010964;1.3916644506010964;1.7776668217011626
106;20;1;1.4927964989557407;1.4927964989557407;1.6219311259155025
107;18;1;2.2165267573674763;2.2165267573674763;1.9236774560665728
108;20;2;1.419301874250246;1.419301874250246;1.5285645034263313
109;23;2;2.2528527884582417;2.2528527884582417;2.086297781357151
110;27;1;1.01696854078132;1.01696854078132;1.0677320560036998
111;20;2;1.7389168755826279;1.7389168755826279;2.3211305742909896
112;22;1;1.3417727283265912;1.3417727283265912;1.2974073370604233
113;25;2;1.663234897237448;1.663234897237448;1.89646577075277
114;18;2;1.2513240464488704;1.2513240464488704;1.6354778248388078
115;24;2;1.3924783866504098;1.3924783866504098;1.5420398196601375
116;18;1;2.042869443686735;2.042869443686735;1.5936830723115625
117;20;2;1.891933924706218;1.891933924706218;1.6460457360014842
118;24;2;1.7467699366888436;1.7467699366888436;1.8307018919624398
119;26;1;1.065798365139299;1.065798365139299;1.2896054152840102
120;20;2;1.179963384508919;1.179963384508919;1.403420109055508
121;21;2;1.9141109397110854;1.9141109397110854;1.9741588747007388
122;17;2;1.2833463052189273;1.2833463052189273;1.6737033910531716
123;19;2;1.4559664603870466;1.4559664603870466;1.8501771008498022
124;22;2;2.4309436529288133;2.4309436529288133;2.0498699262139577
125;23;2;2.0367422140053386;2.0367422140053386;2.040222490322348
126;24;2;1.4485189276020085;1.4485189276020085;1.6651514694186638
127;17;2;1.3164329341138552;1.3164329341138552;1.4648410983245719
128;22;2;1.357692274337742;1.357692274337742;1.5286414844760352
129;21;1;1.4977225207629945;1.4977225207629945;1.5965139359384377
130;21;1;1.6452736063737954;1.6452736063737954;1.442659644253847
131;19;1;1.4548001615569064;1.4548001615569064;1.5285433924207097
132;24;2;1.808740856908823;1.808740856908823;1.8676630102448928
133;15;1;2.1974570382359797;2.1974570382359797;1.6010138074788718
134;15;2;1.9948831332969337;1.9948831332969337;2.0386870193443873
135;22;1;0.6657468814947408;0.6657468814947408;0.9214672176772379
136;17;2;1.1795212228735181;1.1795212228735181;1.3773467758896754
137;3;1;2.3937182103312207;2.3937182103312207;1.249931838264637
138;18;2;1.2780142303897086;1.2780142303897086;1.526673533853372
139;25;2;2.5224724677935155;2.5224724677935155;2.2158783893495904
140;20;2;1.585350724637426;1.585350724637426;1.852613709377401
141;22;2;1.4990911479376117;1.4990911479376117;1.7306857583148272
142;19;2;1.430266461289752;1.430266461289752;1.5426392120118515
143;21;2;1.5237604778212914;1.5237604778212914;1.5900278927138636
144;21;2;1.7631885236490323;1.7631885236490323;1.8375058032669065
145;20;2;1.759506985718358;1.759506985718358;1.7333347591937276
146;9;1;1.5759039712188938;1.5759039712188938;1.8717136634386802
147;22;2;1.1138029187101794;1.1138029187101794;1.3175248365888301
148;21;2;1.3575004793642895;1.3575004793642895;1.6052089111828072
149;22;2;1.2390334171702007;1.2390334171702007;1.4454716791527658
150;20;2;1.402448357716717;1.402448357716717;1.5891585779096122
151;19;1;1.326426941701509;1.326426941701509;1.5538563024042598
152;21;2;1.1766576866135674;1.1766576866135674;1.3832888046263623
