Skewness: 0.7514117163245235, Average LID: LPCA: 16.7195  |||  MLE: 10.794207240240308  |||  MLENB: 10.794207240240308  |||  TLE: 10.210055337481391
LPCA: 0.22212033511820398  |||  MLE: -0.24966199407704842  |||  MLENB: -0.24966199407704842  |||  TLE: -0.13103892037227668
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;17;19;8.981156577088656;8.981156577088656;8.634652475231412
1;8;19;24.10136636516152;24.10136636516152;19.287363982621297
2;20;19;11.530650392243544;11.530650392243544;10.572239447190125
3;32;19;13.480021286827379;13.480021286827379;12.526226539724899
4;16;19;10.667207507429222;10.667207507429222;10.433780939382896
5;6;16;12.056573492761585;12.056573492761585;10.499003122507903
6;15;16;11.09828339302769;11.09828339302769;10.442767727782071
7;14;18;9.587172850968381;9.587172850968381;8.976820215030157
8;12;18;9.781426691531205;9.781426691531205;9.107038824687502
9;18;19;16.796779198651706;16.796779198651706;14.812831252446266
10;8;19;15.115143046332133;15.115143046332133;12.900113448240711
11;40;19;10.387028744256622;10.387028744256622;10.66063817766938
12;6;19;12.409100397860255;12.409100397860255;10.479333877527859
13;35;19;15.326752139253212;15.326752139253212;14.10499827605709
14;39;19;10.03731665127238;10.03731665127238;10.056360979242873
15;29;19;13.356808835119026;13.356808835119026;12.895651691726552
16;7;19;19.802934863938326;19.802934863938326;17.127802440870052
17;15;18;10.032422384865784;10.032422384865784;9.538205786299605
18;30;19;13.104655948065533;13.104655948065533;12.70508468857366
19;19;19;12.542531119703018;12.542531119703018;11.473248191204057
20;70;18;12.17892692215441;12.17892692215441;12.021730758669543
21;28;18;11.06393786519508;11.06393786519508;10.863755975303459
22;14;19;9.456546049933765;9.456546049933765;9.095687379648515
23;44;19;10.018797871435577;10.018797871435577;9.813671768695269
24;14;19;14.994492544251498;14.994492544251498;13.824895876245648
25;44;19;9.062308022994939;9.062308022994939;9.00499007927132
26;10;18;16.832285764232548;16.832285764232548;15.326018086821886
27;14;17;13.81299762556652;13.81299762556652;13.186853589557154
28;36;19;11.71894563348445;11.71894563348445;11.466453981084458
29;13;18;9.680894783270542;9.680894783270542;9.025368939756667
30;12;18;16.413586630616244;16.413586630616244;14.464700331457326
31;42;19;13.225684105832107;13.225684105832107;12.625435269109271
32;23;18;10.837954118288621;10.837954118288621;10.406132037423621
33;15;18;8.714954622306593;8.714954622306593;7.9284421475957005
34;8;15;8.517108129230083;8.517108129230083;7.84247095854162
35;22;19;18.79674912079603;18.79674912079603;17.095140480729388
36;25;18;15.632334759914684;15.632334759914684;13.673456850796954
37;41;19;9.480638297450158;9.480638297450158;9.528562044561825
38;27;19;15.579677559996279;15.579677559996279;14.432893238304905
39;10;19;17.264483731465972;17.264483731465972;15.898192019351326
40;29;19;12.916260121797752;12.916260121797752;12.295685488360542
41;21;19;8.914756547835365;8.914756547835365;8.839384408028382
42;18;19;15.108354816458993;15.108354816458993;13.449178877083403
43;14;18;11.026421417493696;11.026421417493696;10.272671083986674
44;29;18;12.283464878020773;12.283464878020773;12.014069382381455
45;12;18;8.517568640408102;8.517568640408102;8.73980318089221
46;34;18;13.04267818170756;13.04267818170756;12.219569470230988
47;22;19;18.01013519146105;18.01013519146105;15.165444301326675
48;20;17;9.150628326974871;9.150628326974871;8.920419340992291
49;1;17;19.201740960448813;19.201740960448813;14.831187696404351
50;10;15;11.379561306867142;11.379561306867142;10.203868576350589
51;12;19;8.903571438833787;8.903571438833787;8.673307583677186
52;2;19;15.043555893064857;15.043555893064857;12.137993383437143
53;10;19;13.978709332492032;13.978709332492032;11.691388007862972
54;13;19;18.399944633128705;18.399944633128705;17.41592008199527
55;30;19;14.688229956331462;14.688229956331462;14.318509614611997
56;20;19;17.31068423044222;17.31068423044222;15.754245144869895
57;22;18;11.68658227652461;11.68658227652461;11.650203887953243
58;46;18;9.41606154182994;9.41606154182994;9.84098695606809
59;3;16;12.184709320210207;12.184709320210207;11.011161731598337
60;10;16;9.970948039673843;9.970948039673843;9.117763258811063
61;18;19;10.998939425426464;10.998939425426464;10.175046114463838
62;21;19;15.884175395479838;15.884175395479838;14.42268174612032
63;20;18;10.387306642378972;10.387306642378972;10.145904765691318
64;12;14;7.285761864733578;7.285761864733578;7.725132075577683
65;11;18;14.781890748562303;14.781890748562303;13.077120952173733
66;20;19;11.498833612712922;11.498833612712922;10.226789918528798
67;10;17;10.763196228596522;10.763196228596522;10.087472375476382
68;20;19;11.21326194109203;11.21326194109203;10.390975383219292
69;26;16;11.604353172832118;11.604353172832118;11.515328328621232
70;8;17;9.365092157881909;9.365092157881909;8.727021664316288
71;44;18;14.079965230964325;14.079965230964325;13.826341919868101
72;33;19;11.687949344477252;11.687949344477252;11.933854885163425
73;32;19;10.01076052911148;10.01076052911148;9.811829553857061
74;4;17;16.658269300059196;16.658269300059196;13.156969379855957
75;18;14;16.720486706358514;16.720486706358514;14.622866409781487
76;6;18;20.53882111591727;20.53882111591727;16.98301551298178
77;31;18;14.296067210009491;14.296067210009491;13.731754698137527
78;44;19;10.65909944770832;10.65909944770832;10.545137203774862
79;25;19;8.77837766213088;8.77837766213088;8.852340278244496
80;53;19;12.529866911024499;12.529866911024499;12.501661398276251
81;14;17;18.324520025826494;18.324520025826494;16.296366317959023
82;16;18;17.560106278228744;17.560106278228744;16.313043031425796
83;43;18;13.432175589547109;13.432175589547109;13.16775325227065
84;8;16;9.639172226332276;9.639172226332276;9.07795067319504
85;37;19;11.353258130354277;11.353258130354277;11.072318892474724
86;12;19;9.511445090229735;9.511445090229735;9.084874382174302
87;60;19;9.890341170752874;9.890341170752874;10.340794314314996
88;13;18;12.033996223760598;12.033996223760598;11.094432520215323
89;23;19;8.586356701153433;8.586356701153433;8.553657273064731
90;13;18;8.137835669766273;8.137835669766273;7.930762079884049
91;27;19;9.858220261572548;9.858220261572548;9.741363553988158
92;10;18;7.93037194072403;7.93037194072403;7.114438449435873
93;27;19;17.849217332232957;17.849217332232957;16.43989549282994
94;8;18;8.756678953342039;8.756678953342039;7.684706106326272
95;18;19;10.624810846388463;10.624810846388463;10.117072430502105
96;21;19;13.789491127246428;13.789491127246428;12.704369027709141
97;31;19;10.762444794322077;10.762444794322077;10.697738480639375
98;24;19;11.961135861547112;11.961135861547112;11.19613896324922
99;8;19;12.41758390949317;12.41758390949317;10.296564173590049
100;11;17;21.395422096993045;21.395422096993045;18.37839036209828
101;2;19;21.24572478970737;21.24572478970737;16.033213158893385
102;16;18;10.321761818131701;10.321761818131701;9.742859700782978
103;13;19;13.808089161288775;13.808089161288775;12.630094336714585
104;16;18;13.857882854396667;13.857882854396667;12.999485472829047
105;64;18;10.230045936223071;10.230045936223071;10.470241478679705
106;4;15;24.229048472113387;24.229048472113387;20.844692017280213
107;14;16;9.758386779309287;9.758386779309287;9.584532056960024
108;23;19;10.078443927466235;10.078443927466235;10.097875627621596
109;11;19;13.619473500173868;13.619473500173868;13.237027674730758
