Skewness: 0.6537108234229834, Average LID: LPCA: 11.845  |||  MLE: 5.479775481459194  |||  MLENB: 5.479775481459194  |||  TLE: 5.374322392491572
LPCA: 0.15537948600026139  |||  MLE: -0.18950626213947908  |||  MLENB: -0.18950626213947908  |||  TLE: -0.07452937114752275
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;69;9;3.248154496034448;3.248154496034448;3.1170932119362433
1;152;10;4.970472832639803;4.970472832639803;4.705830608855943
2;53;9;3.0315738016740954;3.0315738016740954;2.9550642645537155
3;147;10;3.675858338009028;3.675858338009028;3.910212098513037
4;164;9;4.035607933902843;4.035607933902843;4.111646688478558
5;68;11;9.955619264219626;9.955619264219626;8.557924040682835
6;39;7;3.2154414301917846;3.2154414301917846;2.8008172847771657
7;64;7;4.096542729916696;4.096542729916696;3.560120322864703
8;25;8;3.188095952369215;3.188095952369215;2.4923494160293016
9;99;9;3.877700254180009;3.877700254180009;3.7911431692913617
10;156;9;4.2239503096795445;4.2239503096795445;4.171800595630786
11;112;9;3.131216112104934;3.131216112104934;3.31890022073393
12;58;8;6.832774482562943;6.832774482562943;5.8296621611175405
13;145;10;4.021338856664617;4.021338856664617;4.256765229039709
14;131;8;3.419400954201221;3.419400954201221;3.6198067855899505
15;132;9;3.281530631795616;3.281530631795616;3.3547753599166055
16;73;9;4.0959439527862305;4.0959439527862305;3.9884819921923627
17;33;8;2.98735003847001;2.98735003847001;2.5568670983174746
18;129;10;3.986615893500103;3.986615893500103;3.885439993057929
19;188;10;3.3328439563253083;3.3328439563253083;3.546495016873158
20;136;9;4.289230621051502;4.289230621051502;4.249710544580177
21;61;8;3.6486231562980995;3.6486231562980995;3.2794998443011587
22;126;9;4.125593988199168;4.125593988199168;4.065532502715745
23;165;9;3.8518136311460665;3.8518136311460665;4.0498015303098915
24;110;8;3.6533049823741233;3.6533049823741233;3.691875955326898
25;178;9;3.1733006738370486;3.1733006738370486;3.4626623773152185
26;53;7;3.399656851334996;3.399656851334996;3.1462785344981543
27;108;8;3.4529144314737814;3.4529144314737814;3.529341686401024
28;125;9;3.5299577887194187;3.5299577887194187;3.7846140803666883
29;91;8;3.3074111348460553;3.3074111348460553;3.3050200286744045
30;160;10;4.392462149314267;4.392462149314267;4.391346739363457
31;100;10;3.787038372836096;3.787038372836096;3.761459030156846
32;87;9;3.9470218796221195;3.9470218796221195;3.8921328473743855
33;29;7;7.1011039391513995;7.1011039391513995;6.014348908484796
34;79;10;5.0082850598981725;5.0082850598981725;4.526383790355543
35;166;10;3.2220207806157184;3.2220207806157184;3.4415794458657136
36;123;10;4.401743264908719;4.401743264908719;4.3431198300859135
37;110;9;3.604156073780837;3.604156073780837;3.7262187497362054
38;183;9;3.382696152937357;3.382696152937357;3.6677110601369796
39;84;8;6.2964213027607565;6.2964213027607565;5.953471521393361
40;170;10;3.4855624446891387;3.4855624446891387;3.5678053708057385
41;49;8;3.65490933685813;3.65490933685813;3.3339812554803805
42;103;8;5.0671034391638345;5.0671034391638345;4.3678056900859215
43;122;10;3.824931255292338;3.824931255292338;3.8860988924321194
44;81;9;3.511660082189153;3.511660082189153;3.48502816959495
45;65;7;4.886815624142653;4.886815624142653;4.2177582803565725
46;99;8;4.992743046340614;4.992743046340614;4.617575632360703
47;98;7;4.670025397139938;4.670025397139938;4.360708149625744
48;126;11;4.214289374262931;4.214289374262931;4.229365063689414
49;58;8;4.6368817223358985;4.6368817223358985;3.9626240889658155
50;37;10;7.189343973821576;7.189343973821576;6.832712408690924
51;85;8;2.878945098378959;2.878945098378959;3.0044563811158147
52;28;8;4.115592413228278;4.115592413228278;3.215588042842043
53;42;8;4.078294996497327;4.078294996497327;3.37026554868041
54;128;9;3.371252388484321;3.371252388484321;3.513710835415005
55;173;10;3.4324429919637574;3.4324429919637574;3.7157572351734776
56;155;10;3.8008775635247476;3.8008775635247476;4.084679821317576
57;167;10;3.253585848095457;3.253585848095457;3.4807078135660845
58;129;8;3.6355099722719513;3.6355099722719513;3.7616301768348968
59;70;10;7.257059120424632;7.257059120424632;6.753181254883802
60;119;8;5.4207249454720285;5.4207249454720285;5.082425484727566
61;48;9;6.766731522143857;6.766731522143857;6.37491206438576
62;73;9;3.8182566586141613;3.8182566586141613;3.4941883614430465
63;71;9;2.955948354165221;2.955948354165221;2.9998523302992433
64;16;9;8.23511472519873;8.23511472519873;6.981071416448136
65;80;8;3.1658198768201875;3.1658198768201875;3.1979027898601666
66;174;13;5.938860627597143;5.938860627597143;5.931086296103937
67;92;8;3.2468181687900883;3.2468181687900883;3.274073167977834
68;113;10;3.34322716980649;3.34322716980649;3.5095649402849856
69;42;8;2.7609263934200605;2.7609263934200605;2.5487835114002046
70;150;8;4.54136574371147;4.54136574371147;4.424715150484749
71;123;9;4.093255107644303;4.093255107644303;4.035160745145856
72;64;8;3.3901470459625327;3.3901470459625327;3.5435174011081325
73;84;8;3.5959725225362402;3.5959725225362402;3.6801146966596083
74;152;10;4.508618427069726;4.508618427069726;4.262238945962432
75;109;10;5.715839729883862;5.715839729883862;5.786524620165364
76;156;9;5.167358755644038;5.167358755644038;4.93990657239232
77;97;8;2.8477499004398514;2.8477499004398514;2.922418906952492
78;108;8;3.1684022482904854;3.1684022482904854;3.3272489775798677
79;74;8;3.70239059126509;3.70239059126509;3.8198772705286106
80;165;8;3.483363243963822;3.483363243963822;3.6781034624773827
81;185;10;4.32731693173095;4.32731693173095;4.236046178842441
82;55;7;4.843591910673413;4.843591910673413;4.751508968431514
83;174;9;3.671380605565043;3.671380605565043;3.9083632611737347
84;106;9;5.983944908286345;5.983944908286345;5.556140820505603
85;160;10;2.8843166189428273;2.8843166189428273;3.166313645747192
86;63;8;4.463788753863779;4.463788753863779;3.8706309254020685
87;80;8;3.046246128891088;3.046246128891088;3.020363983596336
88;22;8;4.0051747852017785;4.0051747852017785;2.9522217618866855
89;132;9;4.096519246285034;4.096519246285034;4.09706991828336
90;133;9;4.068276666056352;4.068276666056352;4.074741168791391
