Skewness: 2.0685465427976277, Average LID: LPCA: 38.566283141570786  |||  MLE: 47.58938549691883  |||  MLENB: 47.58938549691883  |||  TLE: 40.75278424312728
LPCA: -0.0993483406626863  |||  MLE: -0.3615544524758886  |||  MLENB: -0.3615544524758886  |||  TLE: -0.3848310470420199
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;12;39;103.33802795477942;103.33802795477942;84.09795516485653
1;30;35;74.75184412900387;74.75184412900387;59.69262619020364
2;89;38;31.361452806191352;31.361452806191352;27.115691015104012
3;18;38;36.24451339254935;36.24451339254935;31.91658711837075
4;17;38;49.02223126186286;49.02223126186286;40.619654113242554
5;19;37;59.57410319682843;59.57410319682843;47.24989940592203
6;64;39;47.26855724289501;47.26855724289501;39.9639498633485
7;11;38;30.702914106196406;30.702914106196406;28.132242463824003
8;32;39;50.3814906050443;50.3814906050443;42.380437668614434
9;29;39;52.51328647454581;52.51328647454581;44.31064929579798
10;8;39;98.33525822230212;98.33525822230212;79.17835526280209
11;45;37;30.391835083272376;30.391835083272376;26.06460610838087
12;54;36;21.043594109081965;21.043594109081965;18.829334406121816
13;27;38;113.13608155634465;113.13608155634465;90.69735262651466
14;12;39;102.23913319973116;102.23913319973116;81.40718753384778
15;20;39;41.28293522048549;41.28293522048549;42.312383492931325
16;24;39;52.21626331044485;52.21626331044485;43.37120249606647
17;43;39;65.18566208991474;65.18566208991474;53.86400396643686
18;37;37;13.49559535484727;13.49559535484727;14.263986337945736
19;26;37;0.0;0.0;23.30616838048122
20;69;37;14.419896148882083;14.419896148882083;13.491675158939819
21;30;39;100.68046348317543;100.68046348317543;83.12700694241009
22;31;37;33.62622318906993;33.62622318906993;32.32241154075947
23;52;38;48.67072438104389;48.67072438104389;40.281297994801335
24;10;39;69.76520829970504;69.76520829970504;56.30944342208525
25;118;39;30.616139792333026;30.616139792333026;26.910833754256704
26;5;38;84.50056168494991;84.50056168494991;67.78585049311164
27;32;38;31.33717088141089;31.33717088141089;29.37376956858883
28;34;39;44.91824548446766;44.91824548446766;38.21536252588815
29;15;39;94.13466686208051;94.13466686208051;78.33126188660658
30;63;37;42.643860929014814;42.643860929014814;36.050036294826214
31;22;38;43.18777589164971;43.18777589164971;36.075213963423806
32;17;36;34.96005142185288;34.96005142185288;30.371454369317593
33;16;38;25.717185666522173;25.717185666522173;30.791150005113657
34;79;36;16.412692505024694;16.412692505024694;15.187400453238176
35;28;38;58.83264922708124;58.83264922708124;48.18493003083897
36;74;39;87.8337065363631;87.8337065363631;71.54233165443121
37;20;39;46.54956718880925;46.54956718880925;43.84484685458263
38;33;38;48.28018063214101;48.28018063214101;39.871505749700496
39;24;36;45.049475140904214;45.049475140904214;38.36017093052774
40;23;39;35.79913294146949;35.79913294146949;34.28649015972089
41;26;39;46.76987454564353;46.76987454564353;40.9046920462083
42;51;37;2.1222817250781296;2.1222817250781296;26.681901406761217
43;46;37;34.76029256954715;34.76029256954715;29.924356190169405
44;21;39;87.13253223610326;87.13253223610326;71.31072446206397
45;28;39;43.91856327203545;43.91856327203545;37.30883215070028
46;81;36;19.95720266012104;19.95720266012104;17.87022446471858
47;29;38;37.402679201199305;37.402679201199305;32.97306132806679
48;30;39;22.176977700476847;22.176977700476847;22.309610380556002
49;3;39;82.05410826808595;82.05410826808595;69.37031913291001
50;12;38;57.50067736308292;57.50067736308292;49.57737114688818
51;36;39;36.75391268029039;36.75391268029039;34.5708112112959
52;41;38;32.814637765867424;32.814637765867424;28.29473955644946
53;27;39;46.334596596392366;46.334596596392366;39.659057342808026
54;31;36;38.75476678171839;38.75476678171839;37.158801419057426
55;86;38;39.56399175173924;39.56399175173924;33.267514301335986
56;49;39;70.33784240704856;70.33784240704856;58.416322586592266
57;35;39;47.2934241017333;47.2934241017333;40.36448883434859
58;21;39;57.168152740073154;57.168152740073154;46.154768159515044
59;12;38;54.24811176289663;54.24811176289663;46.461981114527035
60;33;39;99.09808342892202;99.09808342892202;79.45259441732516
61;15;38;92.42492881116756;92.42492881116756;75.58224652496078
62;18;39;67.73348585431022;67.73348585431022;57.1873016977214
63;20;38;67.32155057797135;67.32155057797135;56.544331521584574
64;30;37;17.131368824214924;17.131368824214924;19.38611656413854
65;30;37;34.316390660382275;34.316390660382275;29.91967248294152
66;213;39;37.7167316790903;37.7167316790903;31.866069003998007
67;23;38;23.030205218865024;23.030205218865024;26.534193423931708
68;28;39;53.52066974827291;53.52066974827291;45.72803048384958
69;42;39;60.30742321401776;60.30742321401776;51.01070618696952
70;20;39;68.89743833726543;68.89743833726543;57.517863075228036
71;49;39;31.64709966398009;31.64709966398009;27.480834299893306
72;50;37;56.780368997200625;56.780368997200625;47.25174130385485
73;107;38;64.58773449888531;64.58773449888531;53.29307707350054
74;30;37;84.29475074983966;84.29475074983966;68.50112983266457
75;72;38;0.0;0.0;15.102870435674587
76;54;36;30.70177815061967;30.70177815061967;26.48941862468842
77;87;36;23.606152114477002;23.606152114477002;20.62735907293781
78;38;38;23.723410461842178;23.723410461842178;21.04935184326874
79;32;39;48.50286795339452;48.50286795339452;40.677055639350094
80;45;37;0.0;0.0;17.470342527430002
81;53;39;43.81069941970911;43.81069941970911;38.14275468291818
82;40;37;18.37153059769213;18.37153059769213;21.115845258049248
83;28;39;37.92716528052227;37.92716528052227;38.67342386410602
84;28;39;41.44960255917904;41.44960255917904;35.622426404483534
85;25;38;70.27644320101663;70.27644320101663;58.67584595436142
86;25;39;37.53870913896918;37.53870913896918;36.65853298273315
87;25;39;38.924980970751406;38.924980970751406;36.08086846106258
88;53;38;30.75074129251119;30.75074129251119;26.036646823737158
89;38;39;44.716952927106355;44.716952927106355;37.8794298320943
90;50;36;48.55891831515345;48.55891831515345;41.72133483746797
91;55;38;16.253107405619588;16.253107405619588;16.40612380183837
92;33;37;25.52849828123895;25.52849828123895;24.75143212990684
93;33;37;45.471867514494186;45.471867514494186;37.424509559126875
94;33;39;60.81921002215609;60.81921002215609;52.429919807471094
95;40;36;26.09900865129745;26.09900865129745;24.976949385418482
96;62;37;27.20613089597476;27.20613089597476;23.22177001985352
97;77;38;64.94662570963699;64.94662570963699;54.568912404007364
98;30;39;23.44766026588639;23.44766026588639;23.60186900749567
99;18;39;56.48865839990844;56.48865839990844;48.66207736803573
100;10;39;80.44972903523097;80.44972903523097;66.73524711879745
101;39;39;22.774557485516986;22.774557485516986;20.153640644222776
102;35;39;69.57028975193519;69.57028975193519;57.15700702236854
103;38;39;73.64738764236203;73.64738764236203;60.64687981612015
104;35;38;73.19434452318976;73.19434452318976;60.88082150900861
105;7;38;133.31722093273967;133.31722093273967;106.43753260459036
106;96;39;20.571238275357505;20.571238275357505;18.718585335536698
107;67;39;52.188701828254935;52.188701828254935;44.234504334233826
108;14;39;49.48903786721562;49.48903786721562;43.55145696125808
109;15;39;52.09048667301626;52.09048667301626;46.66704993265349
110;9;39;76.9147864896716;76.9147864896716;64.17255897353674
111;9;39;78.94697582222463;78.94697582222463;65.21971769910655
112;33;39;35.91510664580622;35.91510664580622;32.12573133925686
113;52;39;35.209964182494865;35.209964182494865;31.98127207757152
114;291;38;30.084447940751616;30.084447940751616;27.885079150960106
115;114;39;34.37709286821983;34.37709286821983;30.34755882207271
116;40;39;61.530051500298946;61.530051500298946;50.66869599922146
117;54;39;55.03799911357519;55.03799911357519;46.455493495885094
118;23;39;53.06469039431966;53.06469039431966;44.50335259304064
119;9;38;29.731674540679762;29.731674540679762;28.59853210246221
120;92;39;30.29578303767075;30.29578303767075;26.6863252016307
121;25;39;75.9675611058465;75.9675611058465;63.058002153433556
122;29;39;59.056787308865644;59.056787308865644;49.42687462119969
123;19;39;66.06081188663053;66.06081188663053;55.470484587126506
124;14;39;56.71961559929636;56.71961559929636;48.42090388479072
125;41;39;32.242918338997846;32.242918338997846;27.751819099742015
126;12;39;86.57817657893102;86.57817657893102;69.71725902243321
127;6;39;48.399112481859305;48.399112481859305;43.62353099934479
128;49;38;79.0347222513974;79.0347222513974;67.04733299429493
129;7;38;92.17191297661257;92.17191297661257;74.6453205460618
130;20;38;34.262798184731466;34.262798184731466;29.880309155351455
131;76;39;35.44937572890074;35.44937572890074;31.439273328423663
132;40;39;63.050331253010306;63.050331253010306;52.97120320477835
133;20;39;66.56987717750994;66.56987717750994;55.13364632121906
134;42;38;55.35131117397791;55.35131117397791;45.94441924849093
135;44;39;22.609900872100546;22.609900872100546;27.333747022654855
136;10;39;64.19595182185016;64.19595182185016;52.419211624606916
137;21;38;88.6119366580608;88.6119366580608;71.37006264319596
138;16;39;94.22888933593057;94.22888933593057;76.78705947480132
139;76;39;31.07130244129236;31.07130244129236;27.035263264800427
140;40;39;41.11454044488524;41.11454044488524;35.001242163060404
141;23;39;29.247905112152168;29.247905112152168;26.552339898722337
142;12;38;47.681128304388196;47.681128304388196;42.87942096135345
143;23;39;37.85033325070778;37.85033325070778;32.40174092488907
144;10;39;88.74780763361117;88.74780763361117;71.34155860902885
145;11;39;108.3772766830839;108.3772766830839;88.31459749117822
146;22;39;25.889024496611427;25.889024496611427;23.598701155195354
147;49;39;38.93857639522888;38.93857639522888;32.514401776487034
148;37;39;52.21385213174946;52.21385213174946;44.526457415098335
149;43;39;85.11838537040877;85.11838537040877;70.01648651609808
150;40;39;30.362005772330185;30.362005772330185;25.99112329313855
