Skewness: 4.023608472621956, Average LID: LPCA: 98.681  |||  MLE: 40.14600263184352  |||  MLENB: 40.14600263184352  |||  TLE: 29.02126203099031
LPCA: 0.012351990489354002  |||  MLE: -0.3438363308785819  |||  MLENB: -0.3438363308785819  |||  TLE: -0.2559401391144559
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;602;99;29.943346977506682;29.943346977506682;24.877990215763596
1;5;99;42.89967031942944;42.89967031942944;30.71270011204176
2;3;99;42.96084512993926;42.96084512993926;29.492128087776553
3;244;97;40.48025876957974;40.48025876957974;31.571871708742787
4;5;98;45.91296268105303;45.91296268105303;33.031571616596786
5;10;99;36.699829549441056;36.699829549441056;26.67193598773165
6;2;99;54.043276048312464;54.043276048312464;36.634248364206215
7;1362;99;39.68624996696185;39.68624996696185;32.396586124809474
8;9;98;35.30925451689214;35.30925451689214;25.699394879161268
9;0;99;53.25224275208993;53.25224275208993;35.12372164230376
10;8;99;36.12115404333193;36.12115404333193;25.818694723679297
11;1;99;51.10529946667051;51.10529946667051;34.153128759917664
12;681;99;27.625227635400407;27.625227635400407;22.627241215897893
13;9;99;31.61799658158985;31.61799658158985;23.901991826057476
14;203;99;47.33752870630121;47.33752870630121;35.35348215244557
15;4;99;43.17948424346086;43.17948424346086;31.373783382989803
16;6;99;45.926169579221344;45.926169579221344;32.801377519137205
17;3;99;49.02759728680904;49.02759728680904;35.72546102289642
18;432;99;23.57283508345578;23.57283508345578;19.888898725955013
19;2;99;44.51117574073752;44.51117574073752;29.445549117712005
20;32;99;43.83226885990804;43.83226885990804;32.45600711016669
21;1;99;52.665689925242695;52.665689925242695;33.90753719581306
22;4;99;41.739901020958825;41.739901020958825;30.070290907832494
23;1;99;49.716144623203036;49.716144623203036;33.214077516184865
24;3;99;42.35890523043228;42.35890523043228;29.657538513684607
25;3;99;43.168985009648296;43.168985009648296;29.16344128189691
26;3;99;45.531135777314134;45.531135777314134;30.553101794452722
27;154;98;17.73639076143381;17.73639076143381;15.221949564678757
28;0;99;47.49135611190485;47.49135611190485;32.07015040449071
29;141;99;43.19456183103223;43.19456183103223;32.4995095251209
30;15;99;42.54965426492571;42.54965426492571;31.684193547754152
31;89;99;24.384510118557404;24.384510118557404;19.59225147184238
32;104;98;26.64201225774029;26.64201225774029;21.254081884246986
33;6;99;41.117919376908304;41.117919376908304;28.876065541650934
34;1;99;39.03739707702725;39.03739707702725;27.92753680230615
35;159;94;24.461455581281264;24.461455581281264;20.115999552424075
36;0;99;58.824230956548895;58.824230956548895;38.82758776095571
37;109;99;31.279998339621198;31.279998339621198;24.275029260353445
38;1;99;46.54446531859367;46.54446531859367;33.88333816099773
39;8;99;40.63845360194208;40.63845360194208;29.646080657470534
40;4;99;49.581555254987144;49.581555254987144;35.14753446325305
41;9;99;38.34615219172817;38.34615219172817;29.641915071517655
42;15;99;30.77930804683252;30.77930804683252;24.337777884271784
43;90;99;44.62663531557231;44.62663531557231;33.07453986832772
44;3;99;43.65850645246778;43.65850645246778;30.334414016800537
45;237;99;34.78738426052786;34.78738426052786;28.42123665969333
46;12;99;30.026656896321455;30.026656896321455;23.561734438000883
47;1821;99;24.01919927663196;24.01919927663196;21.28874454545171
48;0;99;47.16291596486011;47.16291596486011;31.785179789992156
49;1;99;50.91956074374727;50.91956074374727;34.69208508617624
50;3;99;47.837460993162885;47.837460993162885;32.81999311570604
51;6;99;34.520799165930114;34.520799165930114;25.289905641154565
52;1;99;55.37753933686582;55.37753933686582;36.210948452197556
53;3;99;43.39326407648614;43.39326407648614;30.15382721969589
54;74;99;32.73112387817885;32.73112387817885;24.83768658751659
55;298;99;34.93385529506139;34.93385529506139;27.45097665294836
56;8;99;32.195334384626;32.195334384626;24.380183407961198
57;460;99;38.43055397869473;38.43055397869473;30.48736223469632
58;1140;99;28.36840326066669;28.36840326066669;23.99474176973991
59;1;99;37.50654344935863;37.50654344935863;26.2101166121476
60;853;99;38.58028933109423;38.58028933109423;31.06587017180199
61;4;99;39.81652109297621;39.81652109297621;28.497321856573638
62;1213;99;27.51226320881667;27.51226320881667;23.45397615211573
63;570;99;39.93811401290912;39.93811401290912;31.253816360975858
64;0;99;42.77205925055947;42.77205925055947;29.02850207576626
65;178;99;32.2901589079073;32.2901589079073;25.32491447123767
66;7;99;38.94507450927682;38.94507450927682;28.009419419542947
67;0;99;47.20020598475582;47.20020598475582;30.502831665763512
68;0;99;50.56169444042858;50.56169444042858;34.63584066748011
69;4;99;37.07152986362928;37.07152986362928;26.92248326463155
70;272;99;43.320136512813065;43.320136512813065;33.00473875382083
71;0;99;49.56714362356921;49.56714362356921;33.28925010616595
72;0;99;53.947042928659386;53.947042928659386;34.88469710538297
73;0;99;50.18982276851202;50.18982276851202;33.43098098806105
74;20;89;30.454444488863807;30.454444488863807;24.103995232635665
75;2;99;43.31810049008227;43.31810049008227;29.425255229054272
76;34;99;32.38259755188446;32.38259755188446;24.60651706299836
77;184;97;35.33578002788892;35.33578002788892;28.133605648075225
78;0;99;51.22933780783127;51.22933780783127;34.091203723315395
79;109;99;38.65787198132647;38.65787198132647;29.525778535787236
80;2;99;47.329928352049734;47.329928352049734;33.43041768977182
81;0;99;40.5914901406423;40.5914901406423;27.10654256450408
82;3;99;46.734402296787955;46.734402296787955;31.99196505589751
83;5;99;43.783025487937365;43.783025487937365;31.438346450158647
84;487;99;30.360197516125094;30.360197516125094;24.755760066075723
85;1;99;42.392040501118345;42.392040501118345;29.005558205328082
86;2;99;44.1892520240698;44.1892520240698;31.83030277669775
87;2;99;43.134198255500785;43.134198255500785;29.23270316369825
88;6;99;40.97081554969948;40.97081554969948;29.492279840856668
89;74;99;43.08146757013622;43.08146757013622;32.13016947358373
90;81;99;30.156121714413324;30.156121714413324;23.14688156799041
91;3;98;43.5317893881234;43.5317893881234;30.38992837309217
92;9;99;42.65586679727452;42.65586679727452;30.629311786529122
93;25;99;42.16291042855209;42.16291042855209;31.56050457290414
94;44;99;29.397002442282;29.397002442282;22.428045653002684
95;96;98;33.81442013795304;33.81442013795304;26.448357583852978
96;1;99;44.315670098451314;44.315670098451314;29.531351931639442
97;0;99;56.55859972306643;56.55859972306643;36.64887250308608
98;5;97;37.05907531620615;37.05907531620615;26.566550745773306
99;1;99;48.25427444739976;48.25427444739976;33.49901320317737
100;0;99;48.190631956485156;48.190631956485156;32.19060622296372
101;185;97;30.786473172267375;30.786473172267375;24.445621200537946
102;7;99;42.51734420036758;42.51734420036758;31.26663301267645
103;5;99;32.25797292908882;32.25797292908882;25.619183685377532
104;2;98;54.83241465101302;54.83241465101302;36.544661404484536
105;0;99;49.179354687997666;49.179354687997666;31.691394611042732
106;0;99;55.54613453820823;55.54613453820823;36.07093166502691
107;326;97;34.948743247184154;34.948743247184154;28.024795539946677
108;78;99;44.87923014707245;44.87923014707245;33.17243821933139
109;263;99;44.976625785489404;44.976625785489404;34.56414636677671
110;69;99;30.244376797998136;30.244376797998136;23.673583669778765
111;4;98;40.0085625427171;40.0085625427171;28.843521529423587
112;15;99;30.26770263211265;30.26770263211265;24.04965437295516
113;1;99;39.23839334868293;39.23839334868293;26.373141851172026
114;0;99;41.402787089130214;41.402787089130214;28.287276694225454
115;1;99;57.794112024127;57.794112024127;36.31399963400266
116;0;99;43.493444078722185;43.493444078722185;28.723874198258954
117;0;99;50.68763589764403;50.68763589764403;33.631994678486585
118;0;99;51.62484402334718;51.62484402334718;33.500368172064306
119;4;99;36.36613790592734;36.36613790592734;27.34503211743548
120;0;99;45.371002463915126;45.371002463915126;30.583689226738972
121;1;99;46.19071777459938;46.19071777459938;31.601946521781112
122;3;99;44.61243400607302;44.61243400607302;30.87373583976952
123;75;99;40.41499545566509;40.41499545566509;30.462721261900395
124;1;99;50.099736451862874;50.099736451862874;34.29488773203258
125;4;99;47.32866267804568;47.32866267804568;32.100924241175626
126;285;99;38.029477415853044;38.029477415853044;29.95096314171552
127;0;99;50.00076176487161;50.00076176487161;32.35014641166426
128;674;99;37.618983542238425;37.618983542238425;29.782760304774047
129;25;97;35.585331550800895;35.585331550800895;26.884021960210273
130;92;99;30.985952675040487;30.985952675040487;23.970123745704836
131;57;99;34.0776781097716;34.0776781097716;26.119910267146444
132;2;99;42.11891706634337;42.11891706634337;28.18781464352483
133;19;99;24.752483226588147;24.752483226588147;19.804366140759488
134;2;99;44.02121378207144;44.02121378207144;30.571554954368516
135;34;99;26.871557351437453;26.871557351437453;20.65892787126949
136;374;97;29.7303329903141;29.7303329903141;24.41662853559155
137;1;99;50.0953856020033;50.0953856020033;33.460549005631364
138;44;99;34.719193768458695;34.719193768458695;26.29783041170157
139;19;99;34.01511847197314;34.01511847197314;26.16729058420119
140;112;99;43.02446896014508;43.02446896014508;32.88163388142965
141;37;99;21.311993178794747;21.311993178794747;23.301821614561366
142;1205;99;28.62942944356871;28.62942944356871;23.93752884087549
143;6;99;44.292063657496904;44.292063657496904;32.31819898519703
144;1389;99;37.68385436746558;37.68385436746558;29.953207193676146
145;0;98;57.66012997240102;57.66012997240102;36.853751291307184
146;15;97;38.192990061718625;38.192990061718625;29.494922599573737
147;1;99;49.21955073686009;49.21955073686009;33.64480545130749
148;21;99;31.236092073060156;31.236092073060156;25.304901052100128
149;33;98;41.270664889435324;41.270664889435324;30.818425802128235
150;2;99;36.89447983512525;36.89447983512525;26.039401449169276
151;2;99;43.90763048780925;43.90763048780925;30.33054900009903
152;19;99;37.574864477219386;37.574864477219386;28.46297049056066
153;0;99;51.669183579849786;51.669183579849786;33.76171495305135
154;12;93;28.381334359344383;28.381334359344383;23.372136003022234
155;14;99;51.54409951142171;51.54409951142171;37.346747388318576
156;60;99;33.27006280962728;33.27006280962728;26.205513271934308
157;21;99;34.809826904705936;34.809826904705936;25.934799102251365
158;4;99;40.5267240242395;40.5267240242395;29.31871693256174
159;33;99;28.793920309455395;28.793920309455395;23.427550323481835
160;4;97;44.67792910300298;44.67792910300298;31.70714382706689
161;2;99;35.66749117698704;35.66749117698704;25.531619435815212
162;81;99;50.90078502090214;50.90078502090214;38.128805440424166
163;0;99;48.48793236270276;48.48793236270276;31.790640789666444
164;5;98;44.54712939760569;44.54712939760569;31.70887492566522
165;6;99;41.79318992964492;41.79318992964492;30.314972974792642
166;1;99;45.55435053318047;45.55435053318047;31.298575682067174
167;1;99;53.05797261888704;53.05797261888704;35.24485287215917
168;7;99;32.46277448622416;32.46277448622416;23.541455241730628
169;167;99;27.014065405281897;27.014065405281897;21.465507091048128
170;16;98;18.163764696569586;18.163764696569586;16.0510815376767
