Skewness: 0.0, Average LID: LPCA: 11.673082752349197  |||  MLE: 5.1708625843368985  |||  MLENB: 5.1708625843368985  |||  TLE: 5.301671335523019
LPCA: 0.1404241536495177  |||  MLE: -0.1884631278063889  |||  MLENB: -0.1884631278063889  |||  TLE: -0.11509877336703418
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;77;11;4.806233695397238;4.806233695397238;3.5901540594871837
1;97;13;2.4353800186782646;2.4353800186782646;3.25285804138812
2;102;13;2.745317832633252;2.745317832633252;3.4168965426386415
3;98;13;2.191940010222029;2.191940010222029;3.208128853760859
4;101;13;2.1961851862118054;2.1961851862118054;3.204773147614714
5;103;13;2.742482131071157;2.742482131071157;3.4209532502274405
6;111;13;2.6168549335451843;2.6168549335451843;3.6328991156873554
7;100;12;2.153241656401674;2.153241656401674;3.408419276108119
8;101;12;2.1221712558638863;2.1221712558638863;3.4018699974667697
9;112;13;2.6166168038788724;2.6166168038788724;3.632366476694154
10;100;12;2.127513232744434;2.127513232744434;3.402971832366998
11;92;10;2.3832281069001153;2.3832281069001153;3.4555770613536647
12;91;10;2.3501342812357042;2.3501342812357042;3.452780316280643
13;92;10;2.363392307911372;2.363392307911372;3.4434533077475376
14;78;12;2.003776535508036;2.003776535508036;2.718003566356255
15;93;11;3.26958051568608;3.26958051568608;3.741765305405254
16;92;11;3.2533081270164144;3.2533081270164144;3.720621576239677
17;78;12;1.9455310853423105;1.9455310853423105;2.7294947061592985
18;78;12;1.9452029329625902;1.9452029329625902;2.7217390395675887
19;60;10;1.7063066542795593;1.7063066542795593;2.8520540520191293
20;60;11;1.8628585585662756;1.8628585585662756;3.165754085921576
21;55;12;2.4718169957246587;2.4718169957246587;3.263212360535878
22;54;11;2.8964511135641784;2.8964511135641784;3.2479866723336084
23;40;9;2.3193126256224468;2.3193126256224468;3.005938322095847
24;39;9;2.319112678318558;2.319112678318558;3.005156415156416
25;37;8;5.561828357168384;5.561828357168384;4.4216358337243
26;41;8;3.160693988180308;3.160693988180308;2.9902997767739454
27;38;10;3.5187901567521767;3.5187901567521767;4.281441430816769
28;38;11;3.521581010806795;3.521581010806795;4.311852059692759
29;41;8;2.9448066790868803;2.9448066790868803;2.9522382281036452
30;48;11;1.9151380490600738;1.9151380490600738;3.275865359753562
31;48;9;1.9773109219298701;1.9773109219298701;3.034792109793115
32;50;10;3.294324597530008;3.294324597530008;3.166413123466773
33;45;9;1.9209827444156642;1.9209827444156642;3.034170504045751
34;45;9;1.9381466432220265;1.9381466432220265;3.035842389028074
35;54;10;2.4957063862454887;2.4957063862454887;3.0594473417529646
36;47;9;2.087782228320867;2.087782228320867;3.25253236288453
37;54;10;2.5045614600911015;2.5045614600911015;3.0718702212932296
38;45;9;2.063250830694989;2.063250830694989;3.2456480582674456
39;40;9;2.06926117730101;2.06926117730101;3.245771006405043
40;48;10;3.423173470586706;3.423173470586706;3.3811194518272845
41;49;11;1.917731755892373;1.917731755892373;3.286752677113122
42;38;8;3.4621874528537653;3.4621874528537653;4.242986720247195
43;39;8;3.424276130946908;3.424276130946908;4.178693560521579
44;59;10;1.8427029798345242;1.8427029798345242;2.850129328099818
45;60;10;1.7074354644790442;1.7074354644790442;2.8517727574367933
46;48;11;1.9924380496957428;1.9924380496957428;3.243272523273686
47;53;11;2.4690561035652308;2.4690561035652308;3.259473394606491
48;60;11;1.8596826691330277;1.8596826691330277;3.164571935191643
49;60;11;1.985163713204673;1.985163713204673;3.1646856886727543
50;59;12;2.2053710850703117;2.2053710850703117;3.126252399091451
51;60;10;2.220955994384117;2.220955994384117;3.113484691914631
52;61;5;4.994775908924765;4.994775908924765;2.2396070198853506
53;63;6;6.1422720532949855;6.1422720532949855;2.621593175536587
54;56;11;3.280556077448319;3.280556077448319;3.5644019255472457
55;55;11;3.258774456388095;3.258774456388095;3.539201091408678
56;53;11;2.4286512008490484;2.4286512008490484;3.5236788903705514
57;69;4;4.401533603701335;4.401533603701335;3.225920745890104
58;56;11;2.473230845850959;2.473230845850959;3.5291334238844945
59;69;4;4.392337017574364;4.392337017574364;3.204213260277855
