Skewness: 0.9492828500470806, Average LID: LPCA: 14.441637010676157  |||  MLE: 8.534469812645087  |||  MLENB: 8.534469812645087  |||  TLE: 8.083443640847893
LPCA: 0.18655587792055028  |||  MLE: -0.24274110560878534  |||  MLENB: -0.24274110560878534  |||  TLE: -0.07322689966117285
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;28;18;8.706814722327218;8.706814722327218;8.005048494219686
1;11;14;8.717951040367351;8.717951040367351;7.161397708688222
2;67;15;8.700545851388457;8.700545851388457;8.796376515005976
3;32;13;7.695383723701697;7.695383723701697;7.369818832789406
4;19;13;6.538997647308451;6.538997647308451;5.839472773813242
5;41;13;7.585660103261495;7.585660103261495;7.353639588774659
6;28;14;9.501352883397914;9.501352883397914;8.90134618458871
7;39;16;7.876374925759191;7.876374925759191;8.139838300634633
8;6;16;10.967218605845252;10.967218605845252;8.582326825070473
9;15;17;12.100902754639787;12.100902754639787;10.852782103664195
10;14;14;8.99836636582374;8.99836636582374;7.290941483896536
11;51;12;5.16047080145611;5.16047080145611;5.586003100486635
12;45;12;7.119953023749437;7.119953023749437;6.9932754113763576
13;23;17;7.006779750734622;7.006779750734622;7.148591628950492
14;9;17;10.186151646738317;10.186151646738317;8.650603454637555
15;20;16;8.667370717003827;8.667370717003827;7.5774595929501585
16;25;16;8.856090094943198;8.856090094943198;8.761489189720589
17;29;11;7.529217058055503;7.529217058055503;6.965740682133634
18;18;15;8.258869931795777;8.258869931795777;8.451920609854236
19;37;12;9.714275423131355;9.714275423131355;9.170488478629336
20;82;15;8.999297943888783;8.999297943888783;9.199166627150223
21;19;15;7.290624858272735;7.290624858272735;7.724904982135911
22;19;16;7.462648704982995;7.462648704982995;7.252352629237855
23;35;14;8.801437626218897;8.801437626218897;8.748507090679713
24;44;11;3.604619409281127;3.604619409281127;3.724153098664355
25;72;14;7.724019506640778;7.724019506640778;7.820213059097591
26;42;17;13.18070735717054;13.18070735717054;11.968687370865936
27;63;16;7.945726481396973;7.945726481396973;7.883669694900175
28;78;12;4.598928206696019;4.598928206696019;5.001915122814744
29;8;15;7.922644424605032;7.922644424605032;7.617649435688151
30;87;14;7.48360686863609;7.48360686863609;7.694788513398641
31;85;18;11.064807512275262;11.064807512275262;10.796814136541547
32;26;13;9.521292944449034;9.521292944449034;8.369656646090235
33;48;15;9.122039279819187;9.122039279819187;8.786353779901702
34;30;14;6.448230339019961;6.448230339019961;6.216015368484404
35;58;13;5.143375747206481;5.143375747206481;5.392707055683076
36;14;15;9.373635998495017;9.373635998495017;8.038586280378155
37;12;16;11.091110622832051;11.091110622832051;10.055264136975676
38;45;12;6.099991818996865;6.099991818996865;6.08157748640495
39;29;14;4.870073392919023;4.870073392919023;4.878611692325835
40;61;17;10.632827933635333;10.632827933635333;10.469543930780493
41;56;13;7.972849423257436;7.972849423257436;7.95602719515406
42;36;10;3.2215996139755028;3.2215996139755028;3.498204797458249
43;42;11;5.8271475782977555;5.8271475782977555;6.051618953456169
44;35;14;3.6262127000122417;3.6262127000122417;3.993363102746769
45;52;14;8.341951074050726;8.341951074050726;8.082749988175628
46;23;12;12.494863973748435;12.494863973748435;11.456416849989546
47;31;15;14.216772497394999;14.216772497394999;12.81320675508896
48;36;14;8.018291304291642;8.018291304291642;7.741958671061636
49;13;17;9.91877633304375;9.91877633304375;9.388640413693508
50;39;13;6.493232776717236;6.493232776717236;6.747874829726757
51;50;13;8.75126638851816;8.75126638851816;8.560864148898329
52;48;11;5.069413008609556;5.069413008609556;5.122016907275143
53;69;12;6.150774699724918;6.150774699724918;6.524511545202784
54;82;15;7.374863032689483;7.374863032689483;7.374573710253784
55;62;14;9.102481721154305;9.102481721154305;8.946710110517529
56;31;17;9.215959190930038;9.215959190930038;8.350452485760467
57;44;14;8.777983728008229;8.777983728008229;8.821724430815747
58;53;14;8.656584717661746;8.656584717661746;8.544612390821401
59;28;17;12.13170051734893;12.13170051734893;11.315106746140636
60;38;14;8.14726618117776;8.14726618117776;7.797841383267347
61;46;11;5.23440892610494;5.23440892610494;5.352788771540143
62;22;17;10.557516930461102;10.557516930461102;9.248187943393502
63;66;12;9.382380187495349;9.382380187495349;9.42932416475078
64;64;13;7.607530356765538;7.607530356765538;7.527565650579211
65;10;16;7.161849450159557;7.161849450159557;6.360961002566334
66;37;15;9.398600302478862;9.398600302478862;9.007469148918325
67;97;13;8.609715042432027;8.609715042432027;8.885511236125211
68;71;18;9.32705555322387;9.32705555322387;9.508079093999918
69;62;11;4.813436124124267;4.813436124124267;5.380867237315671
70;49;14;8.927123183776892;8.927123183776892;8.488563932298602
71;32;16;11.118736863978766;11.118736863978766;10.762849992206512
72;155;20;8.717009236315109;8.717009236315109;9.085238363923361
73;72;16;10.292753429389624;10.292753429389624;9.984740440280016
74;11;16;10.671318183923644;10.671318183923644;8.936415449393472
75;47;16;11.067610436774123;11.067610436774123;10.104269233331339
76;47;15;8.659444476285735;8.659444476285735;8.41178926062166
77;82;12;4.946578101822399;4.946578101822399;5.273108520186882
78;31;11;6.481561268048158;6.481561268048158;6.477333107536775
79;46;15;7.916162649033142;7.916162649033142;8.323844359886932
80;22;14;10.442092624667085;10.442092624667085;10.208976872972949
81;37;12;6.301134405125799;6.301134405125799;6.461812906671697
82;61;15;9.297788442150427;9.297788442150427;9.286363568367541
83;71;13;6.056368144852244;6.056368144852244;6.317715551755777
84;32;13;11.08202939686489;11.08202939686489;10.354917344094613
85;75;18;7.698774336884812;7.698774336884812;7.93942864457693
86;23;15;16.83683800211986;16.83683800211986;15.119022485975764
87;62;15;4.780249007681574;4.780249007681574;5.2755441675760535
88;87;18;8.061331633709358;8.061331633709358;8.08761192789691
89;47;15;8.10994826364353;8.10994826364353;8.111067150885628
90;33;13;7.708735156678768;7.708735156678768;7.229999369693447
91;62;13;6.901962475939036;6.901962475939036;7.113176287854328
92;77;14;6.552618660869971;6.552618660869971;7.130947228182967
93;57;16;5.86299053567892;5.86299053567892;6.078830055351032
94;36;15;5.2466774261085805;5.2466774261085805;5.2471360676012
95;41;16;10.383364546660593;10.383364546660593;9.419265438813738
96;79;12;6.020297790694917;6.020297790694917;6.222581141728463
97;40;15;9.481187344531333;9.481187344531333;9.18829679133599
98;58;15;7.19770523089592;7.19770523089592;7.586408336655096
99;31;15;7.30511816399128;7.30511816399128;7.178936549211353
100;66;15;7.87189471612696;7.87189471612696;7.810205280582164
101;67;15;6.758957520478434;6.758957520478434;6.9981368234076005
102;72;14;8.31559699617137;8.31559699617137;8.716342419768736
103;70;17;7.751176486090171;7.751176486090171;7.950464518657725
104;70;14;8.380234371569635;8.380234371569635;8.477787807065607
105;40;16;9.183478978839577;9.183478978839577;8.614196751885762
106;44;16;7.922925934035723;7.922925934035723;7.700985004101908
107;28;12;7.51323933795152;7.51323933795152;6.810027087580524
108;13;13;10.304745613343115;10.304745613343115;8.563720236492692
109;73;12;5.451413210445271;5.451413210445271;5.753625036999814
110;51;14;6.882949180165928;6.882949180165928;6.656498470278896
111;72;14;8.610252807021833;8.610252807021833;8.666070363903586
112;61;15;4.4068566489489225;4.4068566489489225;4.729845075170461
113;53;13;9.29466810273083;9.29466810273083;8.805413660407073
114;48;14;8.201311776204882;8.201311776204882;8.403569159860702
115;31;18;9.877507209867087;9.877507209867087;9.187765855726541
116;54;13;6.787872508523206;6.787872508523206;6.934429418108445
117;55;17;9.827406623674504;9.827406623674504;9.605024313731453
118;67;13;6.489949067962148;6.489949067962148;6.662871998489049
119;59;15;8.396941973650911;8.396941973650911;7.938733721962478
120;68;15;6.240402285722747;6.240402285722747;6.610655451956618
121;42;11;7.09975713523118;7.09975713523118;6.617173022327634
122;55;16;7.592545526089509;7.592545526089509;8.12640042756952
123;96;14;10.934215343378078;10.934215343378078;10.689988858711128
124;53;18;9.204934082829345;9.204934082829345;8.771180379944758
125;43;12;8.027913545222152;8.027913545222152;7.930534848733613
126;28;18;14.301073446609388;14.301073446609388;12.573426230457132
127;44;14;6.046141928970912;6.046141928970912;6.702509126351297
128;41;17;7.070335199564925;7.070335199564925;6.8552897282971745
129;89;15;8.825037425157445;8.825037425157445;8.90545250887663
130;20;15;8.013636905170994;8.013636905170994;7.806156534956035
131;23;15;8.27435547779056;8.27435547779056;7.936229793853791
132;30;13;7.764601229490913;7.764601229490913;7.641754758948377
133;18;14;6.887538792419663;6.887538792419663;6.3381293277393205
134;71;12;9.045292276976216;9.045292276976216;8.962621956530501
135;18;14;14.148874085786879;14.148874085786879;11.879342445405072
136;10;20;10.440343203034463;10.440343203034463;9.697340303604506
137;11;19;12.9914367739251;12.9914367739251;11.556511626022713
138;33;11;6.199725750050187;6.199725750050187;6.120819962763562
139;41;14;6.434737761285461;6.434737761285461;6.366569993123745
140;57;14;8.208441657809592;8.208441657809592;8.25533864106313
141;47;16;10.346972132580564;10.346972132580564;9.704823544021801
142;88;18;11.19454935421757;11.19454935421757;11.141971325641242
143;90;15;9.31137887058655;9.31137887058655;9.334920079431258
144;91;12;9.157316638450565;9.157316638450565;9.293745534405954
145;58;15;8.125473964271283;8.125473964271283;8.079163641867835
146;26;12;8.292509231729758;8.292509231729758;8.031393420768149
147;22;13;4.71389363799397;4.71389363799397;5.127642080058967
148;59;11;8.014316368650329;8.014316368650329;8.109496415150627
149;20;11;6.574246343183659;6.574246343183659;5.73812195381685
150;66;12;7.382291794210557;7.382291794210557;7.2445703183923715
151;49;13;8.979674848159403;8.979674848159403;8.7194313213196
152;48;15;7.8678466441352795;7.8678466441352795;7.695399349629901
153;45;14;5.489970036255369;5.489970036255369;5.881090128258977
154;10;18;9.346935104572893;9.346935104572893;8.498875237649296
155;7;15;14.00614824735766;14.00614824735766;11.836019352578631
156;34;17;8.713351766822447;8.713351766822447;8.488812126218424
157;92;15;6.779479093796021;6.779479093796021;7.258466948569465
158;9;14;9.443833312752716;9.443833312752716;7.677257038043496
159;4;14;13.578842470905064;13.578842470905064;12.202609943464227
160;48;13;4.417975503323513;4.417975503323513;5.0309757862739515
161;52;12;8.857962680749754;8.857962680749754;8.902594940642219
162;62;12;8.034328654811372;8.034328654811372;8.01863321786043
163;35;17;5.6282408265104396;5.6282408265104396;5.841478608374593
164;58;13;7.506010325345734;7.506010325345734;7.469894608810426
165;35;14;8.233078863660408;8.233078863660408;7.880057318316429
166;35;11;6.343398987526899;6.343398987526899;6.299543636146434
167;18;12;5.484246723203209;5.484246723203209;5.6560008860176705
168;57;11;7.929161836917517;7.929161836917517;7.7994631426787695
169;6;17;15.034397465764481;15.034397465764481;11.496953155576483
170;74;14;5.9681729027952235;5.9681729027952235;6.565979078336396
171;43;9;5.981260484740306;5.981260484740306;5.968767233150378
172;57;12;6.621732750155161;6.621732750155161;6.612741353540454
173;37;16;9.834241910168991;9.834241910168991;9.207721510445399
174;38;16;9.889843557415018;9.889843557415018;9.42652965486987
175;21;13;10.184042591328618;10.184042591328618;9.688709273974398
176;8;14;9.087599211402498;9.087599211402498;7.169493857470194
177;32;15;10.263021984955826;10.263021984955826;9.612755514376593
178;61;17;8.019294987855401;8.019294987855401;8.236597252293477
179;53;15;9.477785339198723;9.477785339198723;9.35523457269267
180;79;12;5.7348531582441735;5.7348531582441735;5.840754213303215
181;98;16;10.304169515291571;10.304169515291571;10.378808019143014
182;64;18;7.291471257760734;7.291471257760734;7.555655395772449
183;78;16;8.714124177138766;8.714124177138766;8.732742594198768
184;33;15;8.342735857320974;8.342735857320974;7.783365447400718
185;4;11;13.164664378120202;13.164664378120202;11.019238349444105
186;33;12;6.099063598488519;6.099063598488519;5.846919596756901
187;94;13;6.16775729619092;6.16775729619092;6.405792736229446
188;42;15;9.044896184690858;9.044896184690858;8.725087717423815
189;21;16;11.948053231392185;11.948053231392185;11.09749051067727
190;24;15;9.506952147946578;9.506952147946578;8.753982498345952
191;20;16;6.522321042100592;6.522321042100592;6.6845862518303
192;72;13;7.998994279255395;7.998994279255395;8.144722735430346
193;39;12;5.40766145335458;5.40766145335458;5.826389599807733
194;74;13;6.150276198746163;6.150276198746163;6.771587889732252
195;2;13;17.403959448809886;17.403959448809886;10.908195090757348
196;60;17;8.718653835071812;8.718653835071812;8.557107361639403
197;59;14;6.473196287997206;6.473196287997206;6.400677479972172
198;40;16;10.663222746077937;10.663222746077937;10.153444247276177
199;57;16;7.820718437228713;7.820718437228713;7.6926541124021695
200;6;15;15.660987831765405;15.660987831765405;11.595999061551575
201;19;14;7.601707829386005;7.601707829386005;7.215250902746111
202;21;16;8.731607236423768;8.731607236423768;8.000974747941719
203;40;14;4.700636058775165;4.700636058775165;4.825205959001917
204;70;13;4.711582290789486;4.711582290789486;5.001433203505826
205;21;12;12.012430160768766;12.012430160768766;9.645662626089685
206;8;15;10.03678907635332;10.03678907635332;8.624300933586273
207;58;11;6.418383336488174;6.418383336488174;6.522353412062442
208;68;11;5.628358685856567;5.628358685856567;5.817676414715817
209;30;15;8.055041833783722;8.055041833783722;7.842561580554901
210;36;12;7.837080238688588;7.837080238688588;7.738200275280486
211;28;14;8.782675807740556;8.782675807740556;7.878782636437876
212;19;12;12.752545710616143;12.752545710616143;11.355635043497582
213;39;13;7.193928429574706;7.193928429574706;7.188120156475687
214;32;11;10.541017122196058;10.541017122196058;9.748019704563603
215;14;13;9.818098123057846;9.818098123057846;8.650960241107997
216;27;9;8.553022365213527;8.553022365213527;7.655391133829407
217;9;17;9.880337835392897;9.880337835392897;7.872566604211269
218;86;15;13.575447958830377;13.575447958830377;13.69805438363117
219;28;14;13.02118893832997;13.02118893832997;10.917111648200294
220;18;17;11.404853460434852;11.404853460434852;9.817746779608292
221;37;18;11.187669377257796;11.187669377257796;10.58852346591985
222;20;14;5.393704463238607;5.393704463238607;4.806035308352963
223;61;20;9.115512455067622;9.115512455067622;8.947583021035548
224;38;16;11.099990864184653;11.099990864184653;9.609850463988415
225;41;13;4.160152178486721;4.160152178486721;4.471311619965104
226;41;18;11.62375396735811;11.62375396735811;11.234889367509329
227;25;17;9.377167749948345;9.377167749948345;8.68336303771786
228;59;16;9.963743579882168;9.963743579882168;9.84898492246067
229;54;13;6.2877021632800325;6.2877021632800325;6.449253841551389
230;47;17;8.40310480415736;8.40310480415736;8.279309081761948
231;4;15;12.86568092776404;12.86568092776404;9.553876887431374
232;95;16;10.407572115851016;10.407572115851016;10.49238205506759
233;96;14;10.29525220613361;10.29525220613361;10.250867120986086
234;20;16;14.193059208923716;14.193059208923716;12.662158768269318
235;76;17;11.522314652522772;11.522314652522772;10.812321354551546
236;60;15;9.622105060452553;9.622105060452553;9.435032452268047
237;54;16;9.308802472205782;9.308802472205782;9.09294432724829
238;54;14;7.350532088176125;7.350532088176125;7.390287649350031
239;25;13;5.195936588105839;5.195936588105839;5.050852528966314
240;26;14;5.178769970935668;5.178769970935668;5.031359925819048
241;65;11;4.4973020456637745;4.4973020456637745;4.7250984936782165
242;60;10;6.628646392636273;6.628646392636273;6.449108169270752
243;9;13;10.109509973160774;10.109509973160774;8.671555980498896
244;36;16;11.787525673744902;11.787525673744902;10.61841063846588
245;28;12;7.681495490783108;7.681495490783108;7.044916064069632
246;28;14;8.727403030588576;8.727403030588576;8.49798681705716
247;88;16;8.15155538148598;8.15155538148598;8.463763005120919
248;39;14;7.879246482433189;7.879246482433189;7.641307549656133
249;23;14;9.047501232924962;9.047501232924962;8.456043340223694
250;40;11;5.984419474714974;5.984419474714974;6.422737479359312
251;2;13;17.88338200223942;17.88338200223942;14.55877233389978
252;30;13;7.4882733631209994;7.4882733631209994;7.03769503743754
253;56;18;11.387476683150522;11.387476683150522;10.812709540979828
254;51;17;10.749469631322883;10.749469631322883;10.511916135722437
255;28;11;3.760944867520956;3.760944867520956;3.9127101668205655
256;14;11;5.509846690353795;5.509846690353795;4.64924330675543
257;50;14;5.370286532724418;5.370286532724418;5.648624524653828
258;32;10;9.203949243666868;9.203949243666868;8.772784678786259
259;75;17;10.756302416108811;10.756302416108811;10.281171204226364
260;39;18;6.933808295068004;6.933808295068004;6.882217378245967
261;62;12;5.187125094533909;5.187125094533909;5.415576547777068
262;29;15;8.487143752774978;8.487143752774978;7.982893741532147
263;31;14;6.674237618329136;6.674237618329136;6.700879997352116
264;53;16;9.095351977726066;9.095351977726066;8.668982137376164
265;29;16;13.302962401946534;13.302962401946534;12.36756168926371
266;18;17;12.578423365135478;12.578423365135478;10.291736585185184
267;5;18;13.615736548701591;13.615736548701591;9.380516900352642
268;19;14;8.351444929597687;8.351444929597687;7.675359355308144
269;10;17;15.296635858572165;15.296635858572165;11.272372211119185
270;15;14;11.813359741414187;11.813359741414187;10.12812617952796
271;68;15;10.798457907767169;10.798457907767169;10.80242269878656
272;6;12;10.883556079676811;10.883556079676811;7.524960613828612
273;34;12;4.33668462799194;4.33668462799194;4.7246721262618605
274;35;11;5.616947828349383;5.616947828349383;6.050325328014867
275;32;12;6.653410080793407;6.653410080793407;6.583839669952034
276;18;18;13.26089688176694;13.26089688176694;12.283227814659305
277;24;12;7.912788675677711;7.912788675677711;7.224915590695225
278;19;11;6.529178980928713;6.529178980928713;5.7960203584588506
279;60;17;13.272552988982028;13.272552988982028;12.564125194509229
280;6;14;20.5698859968848;20.5698859968848;16.43170532944954
281;62;18;9.147233822383422;9.147233822383422;9.274299368188721
282;48;18;10.337090577034383;10.337090577034383;9.787372461515202
283;20;12;8.233615917218922;8.233615917218922;7.3535166374678935
284;35;10;4.83594232329612;4.83594232329612;4.856616108130497
285;79;17;9.302648078473453;9.302648078473453;9.283845799485855
286;32;15;8.743643025260505;8.743643025260505;8.379484454383093
287;62;14;7.97020310144471;7.97020310144471;7.634934850030985
288;16;16;9.11973591678804;9.11973591678804;8.643474248620565
289;1;12;14.114280825475735;14.114280825475735;8.806407805505053
290;11;17;11.016953924058349;11.016953924058349;9.385263239755886
291;19;15;10.248588554243195;10.248588554243195;9.940541147826028
292;41;17;9.950610424035045;9.950610424035045;9.659977329696193
293;15;12;11.077295205022102;11.077295205022102;10.563425003465003
294;11;13;11.504645419302125;11.504645419302125;9.306398780148559
295;54;14;7.597124988850465;7.597124988850465;7.901642953119206
296;54;15;8.05898647065215;8.05898647065215;8.093696548143603
297;37;14;13.130187177557515;13.130187177557515;12.179982894993335
298;56;14;7.364628224195135;7.364628224195135;7.058542267715541
299;50;15;12.960586926694143;12.960586926694143;12.113555173874966
300;21;17;13.332271702568834;13.332271702568834;12.053164797032535
301;72;17;10.469633404534415;10.469633404534415;10.216907751535942
302;22;14;12.513096395020236;12.513096395020236;10.800641661463375
303;41;15;8.422414942854669;8.422414942854669;8.35729872469247
304;61;17;10.594653820571564;10.594653820571564;10.292560523962292
305;30;14;5.984354643408612;5.984354643408612;5.932321763775798
306;48;13;5.91938335163728;5.91938335163728;5.961623195550822
307;44;10;6.956254527022205;6.956254527022205;6.984844496694595
308;27;12;6.821348647687606;6.821348647687606;6.664082864699562
309;30;14;6.826931451159555;6.826931451159555;6.748408180551468
310;17;13;8.188299597337492;8.188299597337492;7.400418908693812
311;21;15;6.805680117112221;6.805680117112221;7.050227720210901
312;35;12;5.7769045674581365;5.7769045674581365;5.829037699491203
313;14;14;7.27216731157526;7.27216731157526;6.980984279919674
314;42;13;7.26414326986018;7.26414326986018;7.247134959363597
315;47;13;6.872708896056934;6.872708896056934;7.319866828959815
316;13;16;8.35715588645361;8.35715588645361;7.029510693816556
317;39;14;7.8361356868717404;7.8361356868717404;7.5977273660399245
318;27;14;9.073556207761515;9.073556207761515;9.097291646836403
319;24;13;6.006952633060851;6.006952633060851;5.6199422183400465
320;37;12;8.536311179183162;8.536311179183162;8.434523905707087
321;16;11;8.202884125295306;8.202884125295306;8.65980484850546
322;33;13;6.805832697973933;6.805832697973933;7.031820945256924
323;65;13;5.981008514482304;5.981008514482304;6.208497107500045
324;50;16;7.450949606334397;7.450949606334397;7.569044582801821
325;25;11;5.826773071075575;5.826773071075575;5.93047895878599
326;44;13;5.676963715719171;5.676963715719171;5.837189621322731
327;21;16;8.226897203088486;8.226897203088486;8.91365175393278
328;33;14;4.2307664182257465;4.2307664182257465;4.746942244578289
329;13;9;8.77191212051526;8.77191212051526;7.780322457551279
330;31;14;8.839690564223767;8.839690564223767;9.080860222217078
331;99;17;8.136472979025035;8.136472979025035;8.359277767936264
332;27;14;6.759026529199192;6.759026529199192;6.290150867418188
333;32;10;11.25357020031239;11.25357020031239;10.080560357615932
334;29;13;8.208215496210467;8.208215496210467;7.509862235593755
335;61;14;7.501742133901228;7.501742133901228;7.551156461682428
336;17;12;12.84128835740474;12.84128835740474;11.589690407323044
337;11;14;10.58595360636949;10.58595360636949;9.447600643320849
338;14;17;6.4420767872847415;6.4420767872847415;6.360706358217575
339;4;10;16.8247977685971;16.8247977685971;13.606361023087532
340;36;16;6.0000957604239;6.0000957604239;6.155451619218535
341;80;14;5.61814505471212;5.61814505471212;6.193479330663942
342;57;13;5.369925047967405;5.369925047967405;5.888163674785361
343;25;12;6.064819500003187;6.064819500003187;5.6862707670946815
344;31;15;4.521965013840969;4.521965013840969;5.076865908710703
345;61;15;6.8970171953488695;6.8970171953488695;7.189512825190753
346;48;14;8.899269836864402;8.899269836864402;8.94901700139371
347;33;14;6.019986825721461;6.019986825721461;6.3193225132788875
348;15;11;10.553578250143145;10.553578250143145;9.313900557645326
349;27;13;3.9324544185924584;3.9324544185924584;4.322812793598283
350;43;13;8.243508885746026;8.243508885746026;8.131785965370147
351;25;13;8.411773291811546;8.411773291811546;7.558332278067004
352;51;19;10.983760319740368;10.983760319740368;10.062104398513664
353;26;10;7.57657635943048;7.57657635943048;7.4532702568313995
354;47;15;6.953884927032159;6.953884927032159;6.99795501192854
355;28;11;7.91410096799623;7.91410096799623;7.157429420375507
356;78;12;9.504337176391989;9.504337176391989;9.10466980851735
357;24;14;7.914526681893942;7.914526681893942;8.36076152905237
358;62;18;12.67972697625296;12.67972697625296;11.93781109853507
359;72;14;8.878569676195356;8.878569676195356;8.649843568690804
360;32;15;6.068495840003701;6.068495840003701;6.030486563668804
361;39;14;4.0470644626533465;4.0470644626533465;4.458870464444002
362;16;14;8.099705893218312;8.099705893218312;7.858414818224696
363;21;13;7.803893598341619;7.803893598341619;7.626282146192128
364;24;11;8.766280694789048;8.766280694789048;9.340796375261213
365;31;12;8.696912385192057;8.696912385192057;8.09439576379062
366;37;14;5.21719096594904;5.21719096594904;5.674666799508252
367;28;12;8.55476073436094;8.55476073436094;8.553440082358408
368;57;12;5.129813458533618;5.129813458533618;5.420286335047432
369;56;16;10.912817048040681;10.912817048040681;10.675921654459964
370;67;13;5.869391298308915;5.869391298308915;6.135176238425347
371;44;16;8.145325519858753;8.145325519858753;8.235372038036843
372;12;16;7.791959672055345;7.791959672055345;7.301915556962432
373;53;12;4.738655487607713;4.738655487607713;5.069749656786126
374;77;18;12.509184463194808;12.509184463194808;11.847795078121475
