Skewness: 0.6307363031526066, Average LID: LPCA: 11.91699604743083  |||  MLE: 6.172411774027675  |||  MLENB: 6.172411774027675  |||  TLE: 5.851096857905851
LPCA: 0.5816207803100351  |||  MLE: 0.21739881454586502  |||  MLENB: 0.21739881454586502  |||  TLE: 0.5760776582155956
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;88;12;6.204660322057386;6.204660322057386;6.220862779691235
1;41;11;4.711865542275978;4.711865542275978;4.505701452929548
2;38;11;6.239870764052191;6.239870764052191;5.670436809809544
3;46;13;7.410515150703201;7.410515150703201;6.760667359934268
4;80;13;6.169771543845279;6.169771543845279;6.195704811201529
5;55;12;6.840301476295713;6.840301476295713;6.307193372524205
6;38;10;4.964235974971106;4.964235974971106;4.773739753046644
7;88;11;9.24571960936369;9.24571960936369;8.541188327008886
8;57;12;5.165483759335012;5.165483759335012;5.162358349863663
9;85;14;6.486908274341134;6.486908274341134;6.44341418221181
10;56;12;6.797720700234075;6.797720700234075;6.579312269380555
11;64;13;5.479332926289538;5.479332926289538;5.495488273520549
12;16;11;6.573736843101999;6.573736843101999;5.422512238021994
13;36;11;10.274930862217131;10.274930862217131;8.422563787916564
14;60;13;5.557387540899832;5.557387540899832;5.459635472699018
15;30;11;5.333207648750178;5.333207648750178;5.016448539386007
16;53;12;8.247064069630122;8.247064069630122;7.59388935832042
17;20;11;5.53115329972473;5.53115329972473;4.5431891442502375
18;56;13;8.655786627298228;8.655786627298228;7.876170396718602
19;22;14;7.143004607398047;7.143004607398047;5.8969697242361026
20;32;12;6.696181239195465;6.696181239195465;5.921091672280966
21;15;11;6.065009396962399;6.065009396962399;5.04022187251516
22;16;14;6.524101385338107;6.524101385338107;5.5751762288786475
23;57;13;8.148051456574391;8.148051456574391;7.454754311400038
24;59;13;5.9027037347395295;5.9027037347395295;5.798235098264132
25;50;13;6.186087373134975;6.186087373134975;5.896898228926782
26;94;12;7.521722878638598;7.521722878638598;7.428882209215663
27;35;10;6.4065350227904485;6.4065350227904485;5.811129254186647
28;86;13;6.701228704960618;6.701228704960618;6.588812956389105
29;63;12;7.230000140123628;7.230000140123628;6.724892751910827
30;39;10;5.42372535434518;5.42372535434518;5.09597271697963
31;30;10;4.5874293063266895;4.5874293063266895;4.599559935605486
32;41;10;4.366168995211;4.366168995211;4.395436880269439
33;73;11;6.037943065876762;6.037943065876762;6.127586108245338
34;22;9;4.802618751312817;4.802618751312817;4.373526895546969
35;21;10;6.262649300592001;6.262649300592001;5.316974921014421
36;39;10;7.938919211484701;7.938919211484701;7.17076220885801
37;37;12;8.009778591875492;8.009778591875492;6.912341274330041
38;41;12;6.480608395885826;6.480608395885826;5.889376607264285
39;118;13;9.68134039260117;9.68134039260117;9.20477622434919
