Skewness: 0.6434158573129435, Average LID: LPCA: 7.983820047355959  |||  MLE: 5.421154692869849  |||  MLENB: 5.421154692869849  |||  TLE: 5.1062208285631865
LPCA: 0.49011902440066274  |||  MLE: -0.25795324880332876  |||  MLENB: -0.25795324880332876  |||  TLE: -0.024357910760440516
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;20;5;5.0989179115521335;5.0989179115521335;3.9088794365399977
1;49;6;4.347882941639705;4.347882941639705;3.980663432405534
2;87;7;4.353684100037919;4.353684100037919;4.402107286020862
3;70;8;5.082126117193927;5.082126117193927;4.981424798987766
4;275;9;1.8684773758712274;1.8684773758712274;2.6256283248163887
5;143;9;5.4917387978392505;5.4917387978392505;5.509380537720768
6;45;5;3.5823954737629613;3.5823954737629613;3.3513557483734697
7;21;5;3.725549683680995;3.725549683680995;2.722080178266997
8;56;5;2.898461971956915;2.898461971956915;2.9266547432520404
9;127;7;4.464021028740595;4.464021028740595;4.55165534628935
10;122;8;4.8021926709466385;4.8021926709466385;4.795688600466917
11;114;8;4.854532787699141;4.854532787699141;4.858336717267796
12;118;9;5.649728888842744;5.649728888842744;5.539803182583703
13;127;9;4.9862456639287345;4.9862456639287345;4.939296830017131
14;122;6;4.325014138498876;4.325014138498876;4.385265171988363
15;70;5;3.2664108714487137;3.2664108714487137;3.335969276859028
16;185;9;5.1275799928667425;5.1275799928667425;5.341533062094245
17;172;9;4.567845192320867;4.567845192320867;4.818293919661401
18;148;9;4.996206808454302;4.996206808454302;5.02032766858877
19;115;8;5.953668063842193;5.953668063842193;5.8090532337360035
20;152;8;3.9135763013401803;3.9135763013401803;4.1934144758295036
21;121;7;4.219116501959846;4.219116501959846;4.344393109709674
22;101;6;3.6706752759234735;3.6706752759234735;3.75340199014918
23;124;7;4.049712788546995;4.049712788546995;4.1692584416538105
24;172;8;5.384675009986591;5.384675009986591;5.4860189067651985
25;86;7;5.036190858674049;5.036190858674049;4.930193894258007
26;95;5;3.825969437111394;3.825969437111394;3.8951049830921223
27;172;9;4.196626383541475;4.196626383541475;4.421255148439747
28;136;8;5.058189562513219;5.058189562513219;4.999363296270156
29;113;7;4.916883041527821;4.916883041527821;4.9592663864390065
30;143;7;5.246149552422449;5.246149552422449;5.274245150321643
31;133;6;3.9482288732049042;3.9482288732049042;4.061191272735858
32;76;5;3.6170881425556787;3.6170881425556787;3.5215769411267233
33;67;5;3.447851030484532;3.447851030484532;3.4429928488783914
34;108;6;3.8168534728246164;3.8168534728246164;3.9410161146331064
35;100;6;3.413952480067741;3.413952480067741;3.499724668574587
36;46;5;3.250505938332198;3.250505938332198;3.1114062513382903
37;64;5;3.31359911105755;3.31359911105755;3.3900369835155084
38;126;6;4.061811009477331;4.061811009477331;4.258153949846087
39;130;7;5.372961913086863;5.372961913086863;5.250012430473235
40;148;8;5.520154555680179;5.520154555680179;5.562350565676621
41;95;5;3.5095936810187274;3.5095936810187274;3.556419629248255
42;134;7;3.902292534276377;3.902292534276377;4.031457789454772
43;111;6;3.9507855402279772;3.9507855402279772;4.153743855906446
44;182;8;5.761816445782323;5.761816445782323;5.8732895862331045
45;113;6;4.454694027103393;4.454694027103393;4.4826097532419915
46;15;4;4.2593746950019655;4.2593746950019655;2.8577518631116803
47;9;5;4.299495148446182;4.299495148446182;2.494489109365589
48;41;5;3.600254755649129;3.600254755649129;3.2622555599271057
49;115;6;4.096203370431268;4.096203370431268;4.2438785696748464
50;128;6;3.7113374674834887;3.7113374674834887;3.9678287951624074
51;164;8;4.548234437261288;4.548234437261288;4.780056813504556
52;39;5;3.733507730999329;3.733507730999329;3.351504928288067
53;83;5;3.5060368466669147;3.5060368466669147;3.631656364163408
54;65;7;6.40814121669217;6.40814121669217;6.042815023862757
55;112;7;7.622233862901395;7.622233862901395;6.196526824013455
56;50;5;3.1794999640147203;3.1794999640147203;3.0842126532694563
57;44;5;3.722906565303727;3.722906565303727;3.3202162504863098
58;57;5;3.192910223916167;3.192910223916167;3.153264642147299
59;65;5;3.078124435397054;3.078124435397054;3.1070991388987577
60;48;5;3.6043752185153886;3.6043752185153886;3.4946609545970073
61;76;6;3.5356045811040477;3.5356045811040477;3.5958422119259907
62;109;6;4.686907653218153;4.686907653218153;4.708481433768601
63;113;7;4.079525014560997;4.079525014560997;4.165595163666443
64;151;8;5.441822547879754;5.441822547879754;5.468495892008977
65;72;6;3.602297578414507;3.602297578414507;3.6932549740378176
66;23;5;4.16064400671036;4.16064400671036;3.1391911781849595
67;27;5;3.9539016830271914;3.9539016830271914;3.0513402916249786
68;60;5;3.5587631422895356;3.5587631422895356;3.5427316674480465
69;58;5;4.267956941861858;4.267956941861858;4.009881798960195
70;37;7;4.952721623073774;4.952721623073774;3.956004179165451
71;44;6;4.583730225422722;4.583730225422722;4.221038034327843
72;55;6;4.519754612958857;4.519754612958857;4.212644789484525
73;84;7;4.636176483325743;4.636176483325743;4.583109323800938
74;64;8;4.353184344604077;4.353184344604077;4.271237305527719
75;79;5;3.2656554012145715;3.2656554012145715;3.230182978748308
76;93;6;5.272678609412664;5.272678609412664;5.028555374701906
77;134;7;4.483640913008133;4.483640913008133;4.537845730570397
78;50;7;3.967094474360265;3.967094474360265;3.3422190096059183
79;130;6;4.290626344335634;4.290626344335634;4.269406988869582
80;106;7;4.832055990034773;4.832055990034773;4.6315667263205205
81;116;6;4.975307484679411;4.975307484679411;4.927215031665598
82;203;11;2.1828285759857597;2.1828285759857597;2.728238677568944
83;164;9;5.275332435580495;5.275332435580495;5.375773689686272
84;95;8;5.504304948924663;5.504304948924663;4.987651170367223
85;34;7;5.903600899077868;5.903600899077868;5.2689558770026546
86;131;8;6.097325303826565;6.097325303826565;6.136786145462127
87;95;7;8.327652020057917;8.327652020057917;6.602435316002427
88;58;8;7.108384767124183;7.108384767124183;6.519228215694905
89;77;5;4.621577313163783;4.621577313163783;4.465162503451805
90;105;10;3.4666526363516454;3.4666526363516454;3.247979419089666
91;113;9;6.670614653249784;6.670614653249784;6.579559338037525
92;122;8;4.403494234185915;4.403494234185915;4.565593700740892
93;86;8;6.181928047998798;6.181928047998798;5.9337384865033895
94;101;8;5.258888854632734;5.258888854632734;5.2025467729666115
95;47;8;5.925201508954284;5.925201508954284;5.402464914770953
96;79;6;4.998166755556274;4.998166755556274;4.705189328005912
97;28;6;6.950858637995692;6.950858637995692;5.121721486628817
98;59;6;5.269442710071698;5.269442710071698;4.943661082439075
99;60;6;5.877273153433624;5.877273153433624;5.385555251574308
