Skewness: 0.6043150191787356, Average LID: LPCA: 8.08556782334385  |||  MLE: 7.20318499997928  |||  MLENB: 7.20318499997928  |||  TLE: 6.910237134863494
LPCA: 0.29123802515385083  |||  MLE: -0.17302303543809358  |||  MLENB: -0.17302303543809358  |||  TLE: -0.06481904318975884
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;5;5;6.49277368543757;6.49277368543757;5.46445172115155
1;11;6;4.5350881358471264;4.5350881358471264;4.37464307631372
2;21;9;4.4669990107396895;4.4669990107396895;4.846621654634038
3;17;8;5.443370258486223;5.443370258486223;5.575652543235719
4;35;5;1.3589373517295469;1.3589373517295469;1.2123214470063393
5;24;9;6.601001123051514;6.601001123051514;6.841085485839206
6;16;7;3.5404750748690437;3.5404750748690437;3.8609802653226386
7;6;5;4.629189176051175;4.629189176051175;3.891879379273016
8;24;6;3.928398476265774;3.928398476265774;4.246783233334256
9;29;8;7.046533351570074;7.046533351570074;7.18315021756411
10;21;8;7.277417273980331;7.277417273980331;7.927502742870776
11;18;8;6.132605744058194;6.132605744058194;6.303665297823127
12;16;9;7.106774328952075;7.106774328952075;6.6978617548544035
13;21;10;6.562675857640015;6.562675857640015;6.5589780846411045
14;25;7;4.290286636167963;4.290286636167963;4.572451764961967
15;24;7;4.819684023664743;4.819684023664743;5.307734370889712
16;40;9;5.165638849795424;5.165638849795424;5.68339417713736
17;37;10;6.133886219229625;6.133886219229625;6.043959019809953
18;29;9;8.177329884020697;8.177329884020697;8.4482103826172
19;20;7;7.572991048196094;7.572991048196094;7.529348147151768
20;33;8;4.687657244742797;4.687657244742797;5.078485077930389
21;29;7;4.770837587907216;4.770837587907216;5.0819890662661775
22;32;6;6.2726138547622705;6.2726138547622705;6.470318594691558
23;38;8;5.111348973248514;5.111348973248514;5.458669765835336
24;33;8;7.211938088641413;7.211938088641413;7.6015311586767575
25;16;6;5.612721982581387;5.612721982581387;6.089956203608913
26;31;7;5.825847741619872;5.825847741619872;6.2260693156213565
27;40;9;6.5812929235297775;6.5812929235297775;6.782279651161546
28;23;8;8.588754964332066;8.588754964332066;8.30007467305764
29;15;8;3.7774551356185313;3.7774551356185313;4.334182127154293
30;22;7;5.343390803440013;5.343390803440013;5.837251904825682
31;33;6;6.418527122690069;6.418527122690069;6.651165636500563
32;27;6;5.4381629304807015;5.4381629304807015;5.77086080622295
33;25;6;5.253048604867707;5.253048604867707;5.4029948573027795
34;34;8;6.484286952495953;6.484286952495953;6.623838207916787
35;33;8;6.94761988140363;6.94761988140363;7.134714260894893
36;18;6;3.124832983808603;3.124832983808603;3.3053984255151163
37;18;6;3.131463026200206;3.131463026200206;3.622597726402837
38;32;7;4.498749661877843;4.498749661877843;5.1711229861166625
39;17;8;10.95888725724427;10.95888725724427;10.744512651338914
