Skewness: -0.00959905392970465, Average LID: LPCA: 4.209026128266033  |||  MLE: 3.6882498787851867  |||  MLENB: 3.6882498787851867  |||  TLE: nan
LPCA: 0.09050476033839908  |||  MLE: -0.3178388993250162  |||  MLENB: -0.3178388993250162  |||  TLE: nan
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;20;5;0.0;0.0;5.481052884233773
1;26;5;3.745831808222025;3.745831808222025;4.1870682579106635
2;15;4;4.468391416827927;4.468391416827927;4.412997688921875
3;31;5;6.45013602562263;6.45013602562263;6.12011106016826
4;19;5;2.916477841450188;2.916477841450188;2.97698974901719
5;25;5;2.9698632433651095;2.9698632433651095;3.002417125313441
6;33;5;4.026091112382788;4.026091112382788;4.1392021842267654
7;13;4;3.2270648480280655;3.2270648480280655;3.2011558457343217
8;24;5;3.553815436104006;3.553815436104006;3.7763638311605017
9;13;5;4.34573472248844;4.34573472248844;4.324951462357491
10;33;4;3.4283949402472502;3.4283949402472502;3.1601794719435508
11;38;5;3.4194880952372015;3.4194880952372015;3.5642721616239057
12;12;5;8.2801041178359;8.2801041178359;6.727781573156457
13;25;5;3.9262527456303205;3.9262527456303205;4.039638268884317
14;25;5;4.357858926870245;4.357858926870245;5.120248342182263
15;9;5;5.347869056089277;5.347869056089277;4.846478512058836
16;20;5;3.8502817890416514;3.8502817890416514;3.8449466937672088
17;13;4;4.432964906586689;4.432964906586689;3.936335670129221
18;37;4;3.143634735488135;3.143634735488135;3.668494355929673
19;20;5;3.118999536387952;3.118999536387952;3.4141403262042047
20;31;5;6.936056650942923;6.936056650942923;6.5911142770000595
21;18;4;3.869083374960992;3.869083374960992;4.147074001377456
22;18;5;5.589679133998048;5.589679133998048;5.470437019060541
23;39;5;3.9684329209563747;3.9684329209563747;4.125018428641821
24;16;5;4.933790056615036;4.933790056615036;5.497836421568626
25;12;4;4.174561686000444;4.174561686000444;4.126225307982239
26;5;4;9.253551951766278;9.253551951766278;6.886101085410281
27;22;4;3.711664828615009;3.711664828615009;3.8556814811183338
28;23;5;4.075183629945516;4.075183629945516;4.280867577440464
29;21;5;4.76960216356375;4.76960216356375;4.423697536167501
30;19;4;2.745056316812539;2.745056316812539;3.479605440773896
31;14;3;2.0222868371237763;2.0222868371237763;2.5451790602658586
32;22;4;2.3101056870830776;2.3101056870830776;2.6614809078918498
33;20;4;3.5434863958617284;3.5434863958617284;3.599118520944888
34;13;4;3.752342110852134;3.752342110852134;4.529627962143291
35;7;4;20.69202585664869;20.69202585664869;11.605916880050254
36;17;3;2.14182408908023;2.14182408908023;2.80521485598231
37;7;4;4.68772197466044;4.68772197466044;4.008871402379628
38;32;4;2.378789758031252;2.378789758031252;2.8945571173601885
39;17;5;5.536425996551753;5.536425996551753;5.026788476267558
40;22;5;1.5084494392437664;1.5084494392437664;1.8140987812131157
41;28;5;1.8418376975777642;1.8418376975777642;2.2659911318665134
42;21;5;3.47834539637284;3.47834539637284;3.1591171744831277
43;7;4;5.831438690622522;5.831438690622522;3.978391133859112
44;18;4;2.839368177252664;2.839368177252664;3.621918728588186
45;12;4;2.3680638554199582;2.3680638554199582;2.8032204552769096
46;17;4;1.9000520277182822;1.9000520277182822;2.4162283267932754
47;12;3;5.5595575825378845;5.5595575825378845;4.769970548066882
48;26;4;3.1157793570091075;3.1157793570091075;3.633877700671192
49;22;4;3.841538689957229;3.841538689957229;4.341879524717875
50;13;5;4.03520143488568;4.03520143488568;4.706601595941233
51;22;4;2.661807088154639;2.661807088154639;2.9818814024322364
52;27;4;2.0156557249770577;2.0156557249770577;2.5153184707345853
53;21;4;3.8810619089617506;3.8810619089617506;4.063750418086908
54;26;5;3.0703548240627923;3.0703548240627923;3.4995829341569364
55;34;4;2.663849927203078;2.663849927203078;2.923553063064368
56;15;4;4.583541601152382;4.583541601152382;4.117955714552543
57;19;4;3.0124709301823454;3.0124709301823454;3.204836330177733
58;18;5;4.804826615890462;4.804826615890462;5.738508659049198
59;35;5;3.5070852930142236;3.5070852930142236;3.474306710094549
60;22;4;2.6545333712721098;2.6545333712721098;2.925301320937288
61;12;4;2.2367332151665495;2.2367332151665495;2.887411568417772
62;20;4;4.855964310558564;4.855964310558564;4.380972681210127
63;22;4;1.9745353001400607;1.9745353001400607;2.4718190288620625
64;16;4;3.8411393755516055;3.8411393755516055;3.660750000173439
65;24;4;3.1942056042623768;3.1942056042623768;3.5286850162336827
66;9;5;4.468606721758369;4.468606721758369;4.29906694264645
67;11;4;3.8420483663962743;3.8420483663962743;4.179314741926231
68;9;4;2.676106962352615;2.676106962352615;2.854529175097981
69;20;5;4.462232972365374;4.462232972365374;4.612490497079088
70;22;5;4.408582597259385;4.408582597259385;4.715837311188591
71;23;4;3.08751471559302;3.08751471559302;3.246438828510727
72;7;5;6.422228921607724;6.422228921607724;5.787413427659103
73;12;4;4.64879641400486;4.64879641400486;4.044160637744238
74;19;4;3.5685940279406374;3.5685940279406374;3.5831094758982727
75;24;4;5.241281791656974;5.241281791656974;5.109700309782472
76;27;4;4.903687650335094;4.903687650335094;4.465363680500309
77;15;4;8.498104582167263;8.498104582167263;7.821588545813652
78;16;5;6.18336729304781;6.18336729304781;5.457910992420075
79;18;4;2.7186047747435516;2.7186047747435516;3.130459400209106
80;21;4;5.234572954570351;5.234572954570351;4.9998935895861125
