Skewness: -0.18309626927237552, Average LID: LPCA: 2.8512820512820514  |||  MLE: 1.8087114043433186  |||  MLENB: 1.8087114043433186  |||  TLE: 1.7363490094125653
LPCA: -0.23183947219944817  |||  MLE: -0.23854571602345154  |||  MLENB: -0.23854571602345154  |||  TLE: 0.13514595867051674
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;127;3;2.16053267683116;2.16053267683116;1.7773143111292204
1;161;3;1.411330016731973;1.411330016731973;1.5253351722540178
2;106;3;0.8589049152420055;0.8589049152420055;1.1395446625961108
3;117;3;0.9494859775388249;0.9494859775388249;1.2111375832327855
4;125;3;1.0581460642758358;1.0581460642758358;1.3013470985769697
5;108;3;0.9093636459987211;0.9093636459987211;1.1676810286480999
6;123;3;0.981367563170293;0.981367563170293;1.2132879186307466
7;77;3;1.028944810074125;1.028944810074125;1.1917838336964688
8;83;3;1.1718832047325456;1.1718832047325456;1.2679522805488976
9;75;3;1.0963468491347537;1.0963468491347537;1.203077332648373
10;69;3;1.2442407598966867;1.2442407598966867;1.237066976077554
11;70;3;1.1544947101899075;1.1544947101899075;1.218657711134419
12;177;3;2.021205980379987;2.021205980379987;1.7856936265503507
13;170;3;2.5085557739319118;2.5085557739319118;2.2209915023728395
14;153;3;2.516534308642721;2.516534308642721;2.3195935681079027
15;109;3;2.261390572153837;2.261390572153837;2.3211412048279882
16;23;3;4.068953459900547;4.068953459900547;2.0858710455577993
17;96;3;1.8440034005448167;1.8440034005448167;1.9706098311042985
18;149;3;2.2316754986311524;2.2316754986311524;2.2308456729915025
19;115;2;2.797917467365177;2.797917467365177;2.54626128597653
20;137;3;2.453491285583643;2.453491285583643;2.3601173201452945
21;193;3;2.4530038452414082;2.4530038452414082;2.399996265750796
22;124;3;1.8955075044614533;1.8955075044614533;2.1526489975056826
23;125;3;2.0559394673188263;2.0559394673188263;2.214877691952044
24;112;3;1.7667437087829256;1.7667437087829256;2.081279642841214
25;76;3;4.217570402669007;4.217570402669007;2.5942857452125594
26;107;3;1.7543722847725682;1.7543722847725682;2.0220128663982786
27;112;3;2.10950828181384;2.10950828181384;2.3006357192203604
28;104;3;2.0557445407200308;2.0557445407200308;2.169414717505328
29;119;3;1.8201520078538032;1.8201520078538032;2.1189220938707796
30;71;2;1.6585562630357225;1.6585562630357225;1.8761269535300549
31;69;2;1.5920167945834214;1.5920167945834214;1.8588340613538192
32;68;2;1.5809123580172313;1.5809123580172313;1.8220126207077174
33;64;2;1.5481544151811846;1.5481544151811846;1.8368238503881757
34;65;2;1.5473026808875685;1.5473026808875685;1.8326421385659541
35;66;2;1.5528180780385175;1.5528180780385175;1.8463649271986924
36;95;2;2.041607154080936;2.041607154080936;2.1697336013184025
37;97;2;2.2050701110530375;2.2050701110530375;2.2185754519467893
38;87;2;1.9107298636941068;1.9107298636941068;2.1181088624741173
39;83;2;1.7585684840421363;1.7585684840421363;1.9415173571636648
40;84;2;1.8737772428171262;1.8737772428171262;2.0611478543500685
41;94;2;1.9345135219380443;1.9345135219380443;2.1375457175087753
42;47;3;1.5164454286432276;1.5164454286432276;1.6033662749793849
43;43;3;1.5591236075309944;1.5591236075309944;1.6134141065862846
44;42;3;1.5628983830113392;1.5628983830113392;1.603087291328481
45;43;3;1.5472817137730928;1.5472817137730928;1.581863459393802
46;41;3;1.6408578144482475;1.6408578144482475;1.5836130712851448
47;58;3;1.9312050078093586;1.9312050078093586;1.653754263656824
48;105;3;0.9468605953693905;0.9468605953693905;1.1880569004689003
49;106;3;0.947193807160619;0.947193807160619;1.1923886943507547
