Skewness: 0.45673006817695666, Average LID: LPCA: 3.117948717948718  |||  MLE: 2.372520690929936  |||  MLENB: 2.372520690929936  |||  TLE: 2.3917562807199233
LPCA: 0.35575714207036874  |||  MLE: -0.011017929456053023  |||  MLENB: -0.011017929456053023  |||  TLE: 0.19649479387968777
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;16;3;4.1573913091148285;4.1573913091148285;3.3820616761264457
1;19;4;3.6435581498365726;3.6435581498365726;3.4898967203546087
2;38;4;2.5270585497472426;2.5270585497472426;3.037583917114529
3;30;4;2.7293873034972984;2.7293873034972984;2.989969799007678
4;22;4;3.1189525727469767;3.1189525727469767;3.161837796104692
5;26;4;2.3544048742800694;2.3544048742800694;2.5501695460464964
6;22;4;2.717568614491353;2.717568614491353;2.7332353678425605
7;14;4;3.0628368378342468;3.0628368378342468;2.6417264131911344
8;11;3;6.106001264220178;6.106001264220178;4.22446398053792
9;14;3;2.892047129519214;2.892047129519214;2.96436829607521
10;9;3;1.8094573944866719;1.8094573944866719;2.1073676725045587
11;11;3;1.8022739396785203;1.8022739396785203;2.1902603387847956
12;15;2;2.3297985595056816;2.3297985595056816;1.9705342219881026
13;24;3;2.819363971580491;2.819363971580491;2.4806560214723037
14;14;3;1.419301673984685;1.419301673984685;1.8032633041470714
15;18;3;2.6308661560811553;2.6308661560811553;2.5510697557872524
16;12;2;5.168125297909836;5.168125297909836;2.5656583800934554
17;34;3;2.9542283546908794;2.9542283546908794;2.81265399491219
18;25;3;2.190806258598281;2.190806258598281;2.2974868818004253
19;23;2;3.7120306108737333;3.7120306108737333;2.5371220914216557
20;13;3;1.3640854150821493;1.3640854150821493;1.687330933536531
21;24;3;2.253801134296686;2.253801134296686;2.3161619037595944
22;26;3;1.7331480801287884;1.7331480801287884;2.0722581990513205
23;19;3;1.818579954879554;1.818579954879554;2.0452985067968132
24;26;4;1.687716706856324;1.687716706856324;2.1916086608122844
25;6;3;4.2040984520310465;4.2040984520310465;3.0640412188304236
26;25;4;1.8515980504078005;1.8515980504078005;2.1471184606240725
27;22;4;2.0124338714346197;2.0124338714346197;2.1374432121080713
28;22;4;2.567169306150885;2.567169306150885;2.2678617715627616
29;30;4;1.7926034138128886;1.7926034138128886;2.2988734494779597
30;23;2;1.4442669147661935;1.4442669147661935;1.7842993511991143
31;28;2;1.1995406293278768;1.1995406293278768;1.6674632907184093
32;31;3;1.1922600358083826;1.1922600358083826;1.5918286226549982
33;27;2;1.1328032346700114;1.1328032346700114;1.79262682522884
34;27;2;1.1568720037339664;1.1568720037339664;1.8232312062965723
35;27;2;1.1003905570463182;1.1003905570463182;1.6878228595814797
36;23;2;1.8366702469899225;1.8366702469899225;2.1911805263662916
37;22;2;2.3185079162286533;2.3185079162286533;2.2146847932923053
38;25;2;1.9412071235877868;1.9412071235877868;2.1965811072512937
