Skewness: -0.08346529586366891, Average LID: LPCA: 2.943589743589744  |||  MLE: 2.13624281002816  |||  MLENB: 2.13624281002816  |||  TLE: 2.070657552276787
LPCA: 0.562778302736521  |||  MLE: -0.12583538350260523  |||  MLENB: -0.12583538350260523  |||  TLE: 0.12169548167415215
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;24;3;3.908219455622796;3.908219455622796;3.0255256336127068
1;45;4;2.578768867531019;2.578768867531019;2.273230276687136
2;58;4;1.5848014737976206;1.5848014737976206;1.841702625760666
3;63;4;2.7275288131061486;2.7275288131061486;2.892466393724529
4;60;4;2.910004206609864;2.910004206609864;2.9141085935026294
5;63;4;1.9496875600841117;1.9496875600841117;2.1356355447165987
6;60;4;2.179481166387773;2.179481166387773;2.2870401614341165
7;28;3;3.0960597995556434;3.0960597995556434;2.625939365958493
8;18;3;4.663563468427538;4.663563468427538;3.3395056160462215
9;17;3;2.61340720116745;2.61340720116745;2.3318550256333355
10;11;3;2.291716987542375;2.291716987542375;2.0286505588494497
11;14;3;2.153745912921302;2.153745912921302;2.050100880577725
12;22;2;2.386737952228966;2.386737952228966;2.008878394029837
13;38;3;1.90368536330618;1.90368536330618;1.9539912739532619
14;36;3;1.6607647091792679;1.6607647091792679;2.028495366212909
15;53;3;2.1996241479216825;2.1996241479216825;2.2410934161696634
16;12;2;5.770350161605404;5.770350161605404;2.523164411434809
17;51;3;1.8580929279177447;1.8580929279177447;1.8969698029818207
18;38;3;1.4286124620320415;1.4286124620320415;1.617409273025874
19;44;2;1.877553806695917;1.877553806695917;1.777125434065036
20;34;3;1.5061329283647382;1.5061329283647382;1.8310636836838046
21;39;3;1.5672581051941683;1.5672581051941683;1.722434363963638
22;52;3;1.4948928047117496;1.4948928047117496;1.657912362622493
23;56;3;2.0093474086157417;2.0093474086157417;2.136424634907234
24;52;2;1.364555237404645;1.364555237404645;1.5932339543974083
25;12;3;4.001809531380117;4.001809531380117;2.7077058992764353
26;51;3;1.5048969081591077;1.5048969081591077;1.7157352582781549
27;52;3;1.8586015858223046;1.8586015858223046;1.9898278216905012
28;53;3;1.9707532894763615;1.9707532894763615;2.0425392518211853
29;51;3;1.4125435169063882;1.4125435169063882;1.636129575419114
30;38;2;1.319338992067446;1.319338992067446;1.5929337870036064
31;38;2;1.2056769140569654;1.2056769140569654;1.5441294952278017
32;37;2;1.2265470164561556;1.2265470164561556;1.5218029794011168
33;36;2;1.1687409137609763;1.1687409137609763;1.5482273845374601
34;37;2;1.171865897178943;1.171865897178943;1.5438689496914064
35;37;2;1.1863998779737528;1.1863998779737528;1.5777835777683729
36;48;2;1.993610561408041;1.993610561408041;1.9322078908205875
37;52;2;2.137459633776632;2.137459633776632;1.811973773462693
38;43;2;1.5285054195942394;1.5285054195942394;1.654037742678438
39;43;2;1.3804660197798713;1.3804660197798713;1.5172321964762583
40;43;2;1.4893956952426406;1.4893956952426406;1.613907714140484
41;48;2;1.6975946295768565;1.6975946295768565;1.777240189735608
42;25;2;1.0881038210594745;1.0881038210594745;1.3072198946466265
43;23;2;1.0886862639197012;1.0886862639197012;1.3134182656869093
44;23;2;1.10224397760505;1.10224397760505;1.32909363438276
45;23;2;1.1378194546753035;1.1378194546753035;1.3573789153324642
46;22;2;1.2454731901640799;1.2454731901640799;1.4008325907698593
47;36;2;2.6552164231520416;2.6552164231520416;2.0725573742369297
48;53;4;1.8377924505938557;1.8377924505938557;1.9779210098891822
49;54;4;1.8609055496291946;1.8609055496291946;2.0224833456462856
50;49;4;2.03784759418543;2.03784759418543;2.1150338519613916
51;55;4;2.196217050765734;2.196217050765734;2.281396093730004
52;32;4;2.345554442692848;2.345554442692848;2.111259143453039
53;37;4;2.368811764722058;2.368811764722058;2.23921977496796
