Skewness: -0.6291754344875918, Average LID: LPCA: 2.753846153846154  |||  MLE: 1.8341952318039287  |||  MLENB: 1.8341952318039287  |||  TLE: 1.7731854679536418
LPCA: 0.17011207098176948  |||  MLE: -0.396817571443241  |||  MLENB: -0.396817571443241  |||  TLE: -0.14628719230736514
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;111;3;3.2772022090058557;3.2772022090058557;2.2975419336498146
1;123;3;1.5197362169106066;1.5197362169106066;1.5583987665173582
2;94;3;0.8675659756374378;0.8675659756374378;1.1150967942810035
3;107;3;0.9868940305829227;0.9868940305829227;1.2164351004470788
4;109;3;1.1209613986550853;1.1209613986550853;1.3274629706245498
5;95;3;0.9786445653518998;0.9786445653518998;1.2210691359475936
6;106;3;1.1102918632537233;1.1102918632537233;1.3355254251830275
7;68;3;1.0117683742805594;1.0117683742805594;1.110079722019137
8;77;3;1.2481301163693879;1.2481301163693879;1.248993907421532
9;69;3;1.109332603664316;1.109332603664316;1.1421012958317565
10;55;3;1.3159055324728999;1.3159055324728999;1.2164505212286658
11;63;3;1.2087610099935326;1.2087610099935326;1.193539624121129
12;142;3;2.0702947041485893;2.0702947041485893;1.694188497049663
13;76;3;2.4471350263845077;2.4471350263845077;2.3971725070668226
14;98;3;2.5273769934721524;2.5273769934721524;2.636355693964401
15;76;3;2.2253003201935764;2.2253003201935764;2.3788422813419645
16;16;3;4.022651860906903;4.022651860906903;2.0427730363034793
17;81;3;1.7301649601276456;1.7301649601276456;1.884865228175985
18;59;3;2.0457059755952263;2.0457059755952263;2.278113326536356
19;97;3;2.655303591952023;2.655303591952023;2.5594302925070047
20;57;3;2.231577369922083;2.231577369922083;2.3388364333899707
21;84;3;2.2348662088960443;2.2348662088960443;2.3689036492530904
22;91;3;1.7939761356041117;1.7939761356041117;2.1317453036873255
23;114;3;1.9600498309467917;1.9600498309467917;2.160345745836528
24;84;3;1.6655075456728186;1.6655075456728186;2.057545231128874
25;51;3;4.180246633922927;4.180246633922927;2.738737047032221
26;91;3;1.6671898860412353;1.6671898860412353;1.9656492686190983
27;81;3;1.9896703903305704;1.9896703903305704;2.260322116368254
28;77;3;1.9548128458227962;1.9548128458227962;2.098287268905971
29;86;3;1.717660222888887;1.717660222888887;2.1002714295076097
30;51;2;1.444954350020249;1.444954350020249;1.652452569936576
31;53;2;1.3947590034810733;1.3947590034810733;1.6561498420643603
32;61;2;1.406931136914963;1.406931136914963;1.6524110102040201
33;47;2;1.3534335545584595;1.3534335545584595;1.6424548252952378
34;47;2;1.360490828060232;1.360490828060232;1.6461200271044365
35;49;2;1.3540734157420884;1.3540734157420884;1.6434888372321554
36;75;3;1.7955395511355894;1.7955395511355894;1.9884575515347358
37;76;2;1.9659107598968826;1.9659107598968826;2.014774097772493
38;71;2;1.7053468791993807;1.7053468791993807;1.9432761451444118
39;72;2;1.6293962295862554;1.6293962295862554;1.8559648017723078
