Skewness: 0.3687967546475435, Average LID: LPCA: 7.845887918486172  |||  MLE: 5.3677540214540285  |||  MLENB: 5.3677540214540285  |||  TLE: 5.212732436618831
LPCA: 0.2129986836973197  |||  MLE: -0.29536522719049796  |||  MLENB: -0.29536522719049796  |||  TLE: -0.0709001638230925
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;66;7;4.029007190112583;4.029007190112583;4.2851104313686115
1;42;6;4.576720025872045;4.576720025872045;4.534052707969649
2;62;5;3.8103306734861597;3.8103306734861597;3.99648876526084
3;18;7;6.459988411644735;6.459988411644735;5.947293443967868
4;26;6;4.333577753782237;4.333577753782237;3.8760190945181026
5;31;6;4.476097974651853;4.476097974651853;4.568180061059917
6;18;8;6.094132997465318;6.094132997465318;5.56037298406408
7;0;6;12.934597160691288;12.934597160691288;6.294027322318229
8;72;9;5.603584791811293;5.603584791811293;5.855174658299858
9;67;7;6.110260647533269;6.110260647533269;5.930386102266878
10;42;8;4.352959259801838;4.352959259801838;4.496682770641261
11;62;9;6.231162951413747;6.231162951413747;6.213371832486884
12;39;7;4.355845683519856;4.355845683519856;4.005657065653987
13;40;8;3.4471371698996243;3.4471371698996243;3.866035132732454
14;47;8;4.22749436009531;4.22749436009531;4.363965536025954
15;39;10;6.0725060985438635;6.0725060985438635;5.826284077662809
16;32;9;5.310046872152644;5.310046872152644;5.51298835662573
17;59;9;6.8640726588433;6.8640726588433;6.841087626938828
18;56;8;5.691975426546192;5.691975426546192;5.983145335967459
19;26;7;4.659865997650569;4.659865997650569;4.566648681487491
20;34;8;6.297181527923349;6.297181527923349;6.126007079900891
21;36;8;6.693388041434006;6.693388041434006;6.112049840926852
22;39;10;7.93448337054324;7.93448337054324;7.847518877598702
23;33;9;5.110434945983182;5.110434945983182;5.01413336852824
24;15;8;5.493620558044189;5.493620558044189;4.70914379976448
25;50;8;4.761395511597218;4.761395511597218;4.985450219798971
26;53;8;5.535766342287073;5.535766342287073;5.610092939326211
