-0.16161180956574606
node;in_degree;local_intrinsic_dimensionality
0;5;0
1;3;1
2;3;0
3;3;1
4;3;0
5;3;1
6;3;0
7;3;1
8;3;1
9;3;1
10;3;0
11;1;1
12;6;2
13;3;1
14;3;1
15;3;0
16;3;0
17;3;0
18;3;1
19;3;1
20;4;1
21;3;1
22;3;2
23;5;0
24;4;1
25;0;0
26;4;1
27;3;0
28;5;0
29;5;0
30;3;0
31;3;0
32;3;1
33;3;1
34;4;0
35;3;0
36;4;1
37;2;2
38;1;1
39;4;1
40;1;1
41;5;2
42;3;0
43;3;1
44;5;2
45;4;0
46;3;1
47;3;1
48;5;0
49;4;1
50;2;1
51;3;1
52;3;1
53;1;2
54;3;0
55;3;1
56;2;1
57;3;1
58;4;0
59;3;0
60;3;0
61;3;0
62;3;0
63;3;1
64;3;0
65;3;0
66;3;1
67;3;1
68;3;0
69;4;1
70;3;1
71;3;1
72;3;2
73;3;1
74;7;2
75;3;0
76;3;1
77;3;0
78;1;1
79;3;0
80;3;0
81;3;1
82;3;1
83;3;1
84;4;0
85;4;0
86;4;1
87;4;1
88;0;0
89;4;1
90;3;1
91;4;1
92;3;1
93;7;0
94;1;1
95;1;1
96;1;1
97;3;1
98;2;1
99;0;0
100;1;2
101;3;1
102;3;0
103;6;0
104;5;0
105;0;0
106;3;1
107;5;1
108;6;1
109;4;2
110;3;0
111;8;0
112;8;0
113;3;0
114;2;1
115;3;1
116;2;2
117;2;2
118;2;2
119;3;2
120;5;2
121;4;1
122;6;1
123;5;0
124;4;0
125;3;0
126;0;0
127;3;0
128;4;0
129;3;2
130;1;1
131;3;1
132;1;1
133;3;0
134;3;0
135;3;1
136;10;0
137;5;0
138;3;1
139;3;0
140;3;0
141;4;1
142;3;1
143;4;0
144;4;0
145;3;1
146;3;1
147;3;0
148;1;1
149;2;1
150;3;0
151;3;0
152;3;0
153;3;0
154;5;1
155;3;0
156;5;0
157;1;1
158;3;0
159;3;0
160;3;0
161;3;0
162;5;1
163;4;1
164;8;1
165;3;0
166;4;0
167;0;0
168;0;0
169;4;0
170;3;0
171;3;1
172;3;0
173;3;1
174;3;1
175;3;1
176;2;2
177;2;1
178;0;0
179;6;2
180;0;0
181;1;1
182;3;0
183;3;0
184;2;2
185;3;0
186;5;0
187;1;1
188;4;2
189;0;0
190;1;0
191;3;1
192;3;1
193;2;1
194;4;1
195;1;1
196;3;1
197;4;1
198;3;1
199;3;0
200;1;1
201;3;1
202;7;0
203;0;0
204;1;1
205;3;0
206;3;0
207;3;0
208;0;0
209;3;0
210;3;0
211;3;1
212;7;0
213;6;0
214;3;1
215;4;2
216;2;1
217;3;1
218;3;2
219;9;0
220;4;2
221;4;2
222;5;0
223;2;2
224;3;0
225;6;1
226;3;1
227;1;1
228;4;1
229;3;0
230;3;0
231;6;0
232;3;0
233;5;0
234;4;0
235;2;1
236;3;0
237;3;0
238;5;0
239;2;1
240;2;1
241;3;0
242;5;0
243;3;0
244;0;0
245;6;2
246;3;0
247;2;2
248;1;1
249;7;0
250;4;2
251;3;0
252;0;0
253;1;1
254;2;1
255;3;0
256;9;0
257;3;0
258;2;0
259;3;1
260;3;0
261;3;1
262;0;0
263;3;1
264;3;0
265;3;0
266;5;0
267;7;0
268;0;0
269;3;0
270;2;0
271;7;0
272;3;0
273;4;2
274;8;0
275;1;1
276;3;0
277;5;0
278;0;1
279;3;0
280;3;0
281;5;1
282;4;2
283;1;1
284;2;1
285;0;0
286;1;1
287;5;0
288;0;0
289;4;0
290;2;1
291;1;1
292;5;1
293;6;2
294;3;0
295;3;0
296;1;1
297;0;0
298;3;0
299;3;0
300;3;1
301;5;0
302;3;0
303;1;2
304;8;2
305;3;0
306;3;0
307;1;1
308;3;0
309;2;1
310;3;1
311;6;0
312;0;0
313;1;1
314;0;1
315;4;0
316;1;1
317;1;0
318;3;0
319;3;1
320;3;0
321;3;0
322;3;0
323;0;0
324;4;0
325;3;0
326;4;0
327;3;1
328;5;2
329;3;0
330;3;0
331;3;0
332;1;1
333;7;0
334;1;1
335;3;0
336;6;0
337;9;1
338;1;2
339;3;0
340;3;1
341;3;0
342;11;0
343;1;2
344;5;0
345;1;2
346;3;1
347;6;0
348;3;0
349;4;1
350;4;0
351;0;0
352;2;1
353;1;1
354;6;0
355;2;2
356;6;0
357;4;0
358;6;0
359;3;1
360;5;2
361;6;0
362;5;0
363;4;0
364;0;0
365;3;0
366;5;0
367;3;1
368;3;0
369;5;1
370;1;1
371;6;0
372;3;0
373;3;0
374;4;1
375;2;1
376;3;0
377;4;0
378;3;0
379;2;0
380;4;0
381;8;0
382;3;2
383;2;1
384;0;0
385;3;0
386;3;0
387;3;1
388;1;0
389;2;1
390;2;1
391;2;1
392;4;0
393;6;0
394;1;1
395;3;0
396;3;2
397;1;1
398;2;0
399;10;0
400;3;1
401;1;1
402;1;2
403;3;0
404;3;0
405;3;0
406;0;0
407;7;0
408;1;0
409;0;0
410;0;0
411;3;1
412;5;0
413;4;0
414;0;0
415;4;0
416;4;2
417;4;1
418;4;0
419;7;0
420;3;1
421;4;0
422;5;0
423;0;0
424;4;1
425;4;1
426;3;0
427;7;0
428;3;1
429;5;0
430;5;1
431;24;0
432;5;1
433;1;1
434;0;0
435;3;0
436;3;1
437;3;0
438;1;1
439;4;2
440;0;0
441;3;0
442;7;0
443;3;0
444;6;1
445;0;0
446;5;0
447;9;0
448;3;0
449;3;0
450;5;0
451;3;0
452;6;0
453;4;1
454;6;0
455;0;0
456;3;0
457;6;0
458;3;2
459;15;0
460;3;0
461;1;2
462;1;1
463;3;1
464;1;0
465;3;0
466;3;0
467;5;0
468;4;1
469;3;1
470;2;2
471;3;0
472;4;0
473;3;1
474;0;0
475;2;1
476;3;0
477;3;0
478;3;0
479;3;0
480;0;0
481;3;0
482;4;0
483;2;0
484;4;0
485;4;1
486;4;0
487;3;0
488;0;0
489;2;1
490;3;0
491;3;0
492;1;0
493;1;0
494;2;2
495;3;1
496;2;1
497;3;0
498;6;1
499;2;2
500;1;1
501;6;2
502;1;1
503;3;0
504;3;1
505;3;1
506;3;1
507;3;0
508;3;0
509;5;2
510;3;0
511;1;1
512;7;0
513;6;0
514;3;0
515;2;0
516;3;0
517;5;0
518;1;1
519;4;0
520;2;1
521;3;0
522;2;1
523;5;0
524;3;0
525;3;0
526;4;0
527;6;0
528;3;0
529;4;0
530;0;0
531;2;0
532;8;0
533;3;0
534;3;1
535;0;0
536;5;0
537;3;0
538;6;0
539;3;0
540;2;2
541;0;0
542;4;1
543;4;0
544;4;0
545;3;0
546;4;0
547;3;1
548;1;1
549;2;1
550;8;0
551;7;0
552;0;0
553;6;1
554;3;0
555;3;0
556;0;0
557;5;1
558;6;0
559;1;2
560;3;0
561;0;0
562;5;0
563;4;0
564;3;2
565;3;0
566;3;0
567;2;0
568;3;0
569;3;1
570;4;0
571;8;0
572;5;1
573;1;1
574;5;1
575;1;1
576;2;1
577;1;1
578;3;2
579;3;1
580;5;0
581;0;0
582;3;2
583;3;0
584;2;0
585;1;1
586;3;0
587;6;1
588;4;1
589;3;1
590;1;1
591;0;1
592;1;0
593;3;0
594;6;0
595;5;0
596;9;0
597;3;1
598;1;0
599;4;2
600;4;1
601;5;0
602;3;1
603;5;0
604;8;0
605;3;0
606;8;0
607;7;0
608;7;0
609;3;0
610;12;0
611;0;0
612;2;0
613;3;2
614;0;1
615;3;1
