Skewness: 0.6825880027059649, Average LID: LPCA: 6.009136137494346  |||  MLE: nan  |||  MLENB: nan  |||  TLE: nan
LPCA: -0.28054765268328696  |||  MLE: nan  |||  MLENB: nan  |||  TLE: nan
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;6;6;0.0;0.0;nan
1;4;5;0.0;0.0;nan
2;10;6;0.0;0.0;nan
3;4;6;0.0;0.0;nan
4;5;5;0.0;0.0;nan
5;11;6;0.0;0.0;nan
6;23;5;0.0;0.0;nan
7;3;6;0.0;0.0;nan
8;5;6;0.0;0.0;nan
9;8;7;0.0;0.0;nan
10;12;9;0.0;0.0;nan
11;5;7;0.0;0.0;nan
12;18;9;0.0;0.0;nan
13;4;6;0.0;0.0;nan
14;4;8;0.0;0.0;nan
15;5;6;0.0;0.0;nan
16;11;7;0.0;0.0;nan
17;9;8;0.0;0.0;nan
18;3;8;0.0;0.0;nan
19;6;6;0.0;0.0;nan
20;13;8;0.0;0.0;nan
21;38;7;0.0;0.0;nan
22;8;8;0.0;0.0;nan
23;21;7;0.0;0.0;nan
24;4;9;0.0;0.0;nan
25;22;4;0.0;0.0;nan
26;15;9;0.0;0.0;nan
27;9;6;0.0;0.0;nan
28;7;7;0.0;0.0;nan
29;21;6;0.0;0.0;nan
30;5;4;0.0;0.0;nan
31;7;5;0.0;0.0;nan
32;8;6;0.0;0.0;nan
33;21;6;0.0;0.0;nan
34;22;6;0.0;0.0;nan
35;13;4;0.0;0.0;nan
36;14;7;0.0;0.0;nan
37;24;8;0.0;0.0;nan
38;5;4;0.0;0.0;nan
39;12;7;0.0;0.0;nan
40;16;5;0.0;0.0;nan
41;21;8;0.0;0.0;nan
42;11;6;0.0;0.0;nan
43;10;7;0.0;0.0;nan
44;7;9;0.0;0.0;nan
45;25;6;0.0;0.0;nan
46;15;7;0.0;0.0;nan
47;24;7;0.0;0.0;nan
48;23;6;0.0;0.0;nan
49;15;7;0.0;0.0;nan
50;6;3;0.0;0.0;nan
51;15;5;0.0;0.0;nan
52;7;5;0.0;0.0;nan
53;23;4;0.0;0.0;nan
54;24;5;0.0;0.0;nan
55;28;8;0.0;0.0;nan
56;11;6;0.0;0.0;nan
57;11;8;0.0;0.0;nan
58;23;7;0.0;0.0;nan
59;19;6;0.0;0.0;nan
60;8;7;0.0;0.0;nan
61;7;6;0.0;0.0;nan
62;12;7;0.0;0.0;nan
63;10;8;0.0;0.0;nan
64;7;7;0.0;0.0;nan
65;24;7;0.0;0.0;nan
66;3;5;0.0;0.0;nan
67;3;4;0.0;0.0;nan
68;18;8;0.0;0.0;nan
69;8;4;0.0;0.0;nan
70;14;6;0.0;0.0;nan
71;9;8;0.0;0.0;nan
72;15;6;0.0;0.0;nan
73;5;6;0.0;0.0;nan
74;7;6;0.0;0.0;nan
75;4;6;0.0;0.0;nan
76;7;6;0.0;0.0;nan
77;7;9;0.0;0.0;nan
78;14;6;0.0;0.0;nan
79;14;6;0.0;0.0;nan
80;10;4;0.0;0.0;nan
81;11;6;0.0;0.0;nan
82;16;5;0.0;0.0;nan
83;3;4;0.0;0.0;nan
84;26;5;0.0;0.0;nan
85;16;7;0.0;0.0;nan
86;5;6;0.0;0.0;nan
87;12;7;0.0;0.0;nan
88;35;3;0.0;0.0;nan
89;14;4;0.0;0.0;nan
90;13;4;0.0;0.0;nan
91;7;8;4.933327142385891;4.933327142385891;nan
92;16;8;0.0;0.0;nan
93;43;4;0.0;0.0;nan
94;3;6;0.0;0.0;nan
95;19;5;0.0;0.0;nan
96;9;4;0.0;0.0;nan
97;3;5;0.0;0.0;nan
98;21;8;0.0;0.0;nan
99;23;3;0.0;0.0;nan
100;16;5;0.0;0.0;nan
101;4;6;0.0;0.0;nan
102;23;6;0.0;0.0;nan
103;46;4;0.0;0.0;nan
104;11;5;0.0;0.0;nan
105;21;5;0.0;0.0;nan
106;12;8;0.0;0.0;nan
107;9;8;5.721103079223306;5.721103079223306;nan
108;18;5;0.0;0.0;nan
109;11;7;0.0;0.0;nan
110;5;7;0.0;0.0;nan
111;35;3;0.0;0.0;nan
112;34;4;0.0;0.0;nan
113;11;4;0.0;0.0;nan
114;12;6;0.0;0.0;nan
115;23;9;0.0;0.0;nan
116;9;5;0.0;0.0;nan
117;9;6;0.0;0.0;nan
118;16;7;0.0;0.0;nan
119;25;7;0.0;0.0;nan
120;10;7;0.0;0.0;nan
121;47;3;0.0;0.0;nan
122;10;7;0.0;0.0;nan
123;10;7;0.0;0.0;nan
124;19;7;0.0;0.0;nan
125;14;7;0.0;0.0;nan
126;23;3;0.0;0.0;nan
127;34;5;0.0;0.0;nan
128;9;7;0.0;0.0;nan
129;7;5;7.0882187175044065;7.0882187175044065;nan
130;10;4;0.0;0.0;nan
131;10;7;0.0;0.0;nan
132;4;6;12.362203651866109;12.362203651866109;nan
133;8;6;0.0;0.0;nan
134;28;3;0.0;0.0;nan
135;3;4;0.0;0.0;nan
136;31;5;0.0;0.0;nan
137;11;7;0.0;0.0;nan
138;11;5;0.0;0.0;nan
139;7;6;0.0;0.0;nan
140;31;5;0.0;0.0;nan
141;17;5;0.0;0.0;nan
142;18;7;0.0;0.0;nan
143;17;4;0.0;0.0;nan
144;17;7;0.0;0.0;nan
145;5;6;0.0;0.0;nan
146;17;6;0.0;0.0;nan
147;6;7;0.0;0.0;nan
148;15;5;0.0;0.0;nan
149;4;4;0.0;0.0;nan
150;9;5;0.0;0.0;nan
151;12;5;0.0;0.0;nan
152;11;6;0.0;0.0;nan
153;5;2;0.0;0.0;nan
154;24;6;0.0;0.0;nan
155;20;4;0.0;0.0;nan
156;12;7;0.0;0.0;nan
157;12;6;0.0;0.0;nan
158;8;7;0.0;0.0;nan
159;7;5;0.0;0.0;nan
160;17;7;0.0;0.0;nan
161;19;5;0.0;0.0;nan
162;21;8;0.0;0.0;nan
163;7;6;0.0;0.0;nan
164;13;6;0.0;0.0;nan
165;9;6;0.0;0.0;nan
166;15;6;0.0;0.0;nan
167;23;0;nan;nan;nan
168;11;6;5.933171355354809;5.933171355354809;nan
169;17;7;0.0;0.0;nan
170;40;7;0.0;0.0;nan
171;9;3;0.0;0.0;nan
172;26;6;0.0;0.0;nan
173;7;5;9.528813863220487;9.528813863220487;nan
174;23;7;0.0;0.0;nan
175;9;6;0.0;0.0;nan
176;7;8;0.0;0.0;nan
177;35;4;0.0;0.0;nan
178;32;5;0.0;0.0;nan
179;18;6;0.0;0.0;nan
180;26;5;0.0;0.0;nan
181;15;6;0.0;0.0;nan
182;17;7;0.0;0.0;nan
183;26;4;0.0;0.0;nan
184;22;5;0.0;0.0;nan
185;39;6;0.0;0.0;nan
186;6;4;0.0;0.0;nan
187;6;5;0.0;0.0;nan
188;8;6;0.0;0.0;nan
189;23;3;0.0;0.0;nan
190;19;4;0.0;0.0;nan
191;29;5;0.0;0.0;nan
192;12;8;0.0;0.0;nan
193;16;6;0.0;0.0;nan
194;48;4;0.0;0.0;nan
195;13;5;0.0;0.0;nan
196;21;5;0.0;0.0;nan
197;20;3;0.0;0.0;nan
198;9;7;0.0;0.0;nan
199;6;5;0.0;0.0;nan
200;17;4;0.0;0.0;nan
201;16;5;0.0;0.0;nan
202;22;4;0.0;0.0;nan
203;27;4;0.0;0.0;nan
204;24;6;3.484031504020385;3.484031504020385;nan
205;8;7;0.0;0.0;nan
206;17;4;0.0;0.0;nan
207;36;4;0.0;0.0;nan
208;4;5;0.0;0.0;nan
209;14;7;0.0;0.0;nan
210;19;7;0.0;0.0;nan
211;21;5;0.0;0.0;nan
212;28;2;0.0;0.0;nan
213;16;5;0.0;0.0;nan
214;11;7;8.670220527049027;8.670220527049027;nan
215;6;7;0.0;0.0;nan
216;2;4;0.0;0.0;nan
217;17;4;0.0;0.0;nan
218;24;6;0.0;0.0;nan
219;15;1;0.0;0.0;nan
220;25;4;9.137068592296767;9.137068592296767;nan
221;14;6;0.0;0.0;nan
222;21;2;0.0;0.0;nan
223;41;4;0.0;0.0;nan
224;17;6;0.0;0.0;nan
225;26;7;0.0;0.0;nan
226;13;5;7.613311097302915;7.613311097302915;nan
227;9;5;0.0;0.0;nan
228;5;6;5.237236383687193;5.237236383687193;nan
229;28;4;0.0;0.0;nan
230;4;5;0.0;0.0;nan
231;48;2;0.0;0.0;nan
232;21;6;0.0;0.0;nan
233;32;5;0.0;0.0;nan
234;11;7;0.0;0.0;nan
235;41;4;0.0;0.0;nan
236;34;6;0.0;0.0;nan
237;7;6;0.0;0.0;nan
238;25;6;0.0;0.0;nan
239;15;6;0.0;0.0;nan
240;37;2;0.0;0.0;nan
241;4;7;0.0;0.0;nan
242;44;4;0.0;0.0;nan
243;14;4;0.0;0.0;nan
244;30;4;0.0;0.0;nan
245;41;6;0.0;0.0;nan
246;13;4;0.0;0.0;nan
247;11;7;0.0;0.0;nan
248;29;5;0.0;0.0;nan
