Skewness: 1.06909192296512, Average LID: LPCA: 13.581637268204432  |||  MLE: 2.483276330778444  |||  MLENB: 2.483276330778444  |||  TLE: nan
LPCA: -0.2518893075444243  |||  MLE: -0.31698934309115173  |||  MLENB: -0.31698934309115173  |||  TLE: nan
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;43;15;0.0;0.0;10.820847985291225
1;41;13;0.0;0.0;14.785784009438675
2;82;16;0.0;0.0;12.497167618670396
3;27;13;0.0;0.0;7.356114795701947
4;30;15;0.0;0.0;9.245376508999685
5;60;18;0.0;0.0;8.768767112565273
6;47;15;0.0;0.0;8.959811050794125
7;85;13;0.0;0.0;5.9786667159601565
8;49;14;0.0;0.0;8.090858229108619
9;33;13;0.0;0.0;11.458010403467455
10;31;16;0.0;0.0;9.323300837151688
11;31;15;0.0;0.0;12.737421241144766
12;58;18;0.0;0.0;8.572696141928585
13;31;16;0.0;0.0;6.5944042349189385
14;29;15;0.0;0.0;9.144198014653368
15;62;15;0.0;0.0;6.161653304316919
16;56;12;0.0;0.0;9.752474156730099
17;43;16;0.0;0.0;10.456207417028821
18;42;18;0.0;0.0;10.962208162984131
19;38;17;0.0;0.0;8.49639532418636
20;40;17;0.0;0.0;12.697276370246701
21;83;16;0.0;0.0;8.009176867619459
22;44;14;0.0;0.0;10.463368103107419
23;195;9;0.0;0.0;12.344560763520203
24;36;14;0.0;0.0;9.508667605263545
25;490;9;0.0;0.0;3.8042523481600554
26;70;14;0.0;0.0;9.770326775638837
27;51;16;0.0;0.0;10.197080607097075
28;12;12;0.0;0.0;9.747126439669403
29;306;11;0.0;0.0;5.710568411505063
30;49;11;0.0;0.0;6.513554516754979
31;59;19;0.0;0.0;8.678550692705858
32;25;16;0.0;0.0;9.007373707686153
33;107;16;0.0;0.0;8.097873862837295
34;88;13;0.0;0.0;6.528811282001702
35;129;14;0.0;0.0;8.605762826206467
36;56;15;0.0;0.0;11.80115685638243
37;107;12;0.0;0.0;7.826482384016458
38;21;16;0.0;0.0;10.621602433474656
39;63;14;0.0;0.0;6.517437464597509
40;69;10;0.0;0.0;8.133420116265635
41;80;18;0.0;0.0;7.876453421436832
42;107;18;0.0;0.0;6.2952904510022
43;119;17;0.0;0.0;8.466491085424423
44;38;16;0.0;0.0;9.228388199121886
45;161;13;0.0;0.0;8.600565722316018
46;66;16;0.0;0.0;6.1911068356072745
47;95;15;0.0;0.0;5.921846718377756
48;201;9;0.0;0.0;5.32733321788349
49;49;14;0.0;0.0;7.5238504580189565
50;102;9;0.0;0.0;5.9043630850279385
51;73;16;0.0;0.0;8.649013588281749
52;55;16;0.0;0.0;7.1712898852663285
53;271;12;0.0;0.0;5.201635395642132
54;184;18;0.0;0.0;7.001523347228104
55;217;18;0.0;0.0;6.88959200957907
56;56;13;0.0;0.0;7.0022405168288255
57;105;21;0.0;0.0;8.35441061494714
58;178;19;0.0;0.0;8.08523607187014
59;212;19;0.0;0.0;5.805598036684516
60;120;11;0.0;0.0;6.65184602237147
61;50;14;0.0;0.0;9.351722425851445
62;59;17;0.0;0.0;8.613170043372326
63;48;14;0.0;0.0;13.508308434036813
64;48;15;0.0;0.0;8.406302385621412
65;80;16;0.0;0.0;6.869219938010034
66;57;18;0.0;0.0;7.723049465396647
67;92;13;0.0;0.0;7.424687481757211
68;66;17;0.0;0.0;9.870528415412414
69;36;13;0.0;0.0;4.83119783549467
70;70;13;0.0;0.0;9.210575450983796
71;46;19;0.0;0.0;8.341473798225506
72;50;16;0.0;0.0;8.24576017035682
73;48;12;0.0;0.0;9.228210699373124
74;54;14;0.0;0.0;9.523998684007845
75;32;15;0.0;0.0;6.805326443302184
76;21;16;0.0;0.0;16.31824037178283
77;41;20;0.0;0.0;9.136259673975363
78;214;13;0.0;0.0;4.511576125765032
79;72;15;0.0;0.0;7.545236995255911
80;94;14;0.0;0.0;6.34487216377102
81;69;13;0.0;0.0;6.001492021842311
82;104;12;0.0;0.0;8.77880081194175
83;43;14;0.0;0.0;8.783633139060731
84;105;15;0.0;0.0;6.3153108217333855
85;84;18;0.0;0.0;11.634441332906329
86;71;18;0.0;0.0;8.899934604694652
87;62;13;0.0;0.0;8.922788659738252
88;310;10;0.0;0.0;4.555064484882829
89;115;15;0.0;0.0;8.07870427845387
90;44;10;0.0;0.0;6.484036938631857
91;34;15;13.061449422154828;13.061449422154828;10.758410401911243
92;79;16;0.0;0.0;14.947930876274974
93;312;15;0.0;0.0;4.722713694103878
94;96;12;0.0;0.0;7.4038462059192165
95;302;13;0.0;0.0;4.640298223264105
96;134;8;0.0;0.0;7.627333541907075
97;88;14;0.0;0.0;5.585787305305786
98;234;17;0.0;0.0;5.7496628727043255
99;84;10;0.0;0.0;3.404130130820283
100;103;15;0.0;0.0;5.791021225681232
