Skewness: 0.7138354060265675, Average LID: LPCA: 8.464947987336046  |||  MLE: inf  |||  MLENB: inf  |||  TLE: nan
LPCA: -0.3092980155145615  |||  MLE: nan  |||  MLENB: nan  |||  TLE: nan
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;14;10;0.0;0.0;9.215985122994995
1;4;8;0.0;0.0;8.818636060385753
2;22;10;0.0;0.0;7.343327336779047
3;8;8;0.0;0.0;5.8591082753183015
4;14;7;0.0;0.0;9.029003921833601
5;18;10;0.0;0.0;6.928353839946294
6;26;9;0.0;0.0;8.889595623960636
7;26;7;0.0;0.0;9.45102705774341
8;8;7;0.0;0.0;7.7586556855212025
9;9;8;0.0;0.0;6.660864400580063
10;16;11;0.0;0.0;6.720428489300536
11;11;10;0.0;0.0;8.6840522454939
12;20;9;0.0;0.0;4.134837830175443
13;4;7;0.0;0.0;9.574496534560026
14;8;8;0.0;0.0;6.667895680811889
15;19;8;0.0;0.0;4.215189755631867
16;26;9;0.0;0.0;8.694763912943202
17;13;9;0.0;0.0;6.640256035820074
18;15;11;0.0;0.0;7.639985638860976
19;8;10;0.0;0.0;8.917855124882989
20;16;13;0.0;0.0;6.883040417395681
21;45;10;0.0;0.0;6.097568007306277
22;10;12;0.0;0.0;6.2860796879259615
23;28;9;0.0;0.0;6.246421986913524
24;11;10;0.0;0.0;7.205914002117786
25;34;5;0.0;0.0;2.6464408963048864
26;36;12;0.0;0.0;9.670976706824414
27;16;10;0.0;0.0;7.4997565535611965
28;7;10;0.0;0.0;7.706320917818566
29;33;6;0.0;0.0;3.776377083852099
30;8;6;0.0;0.0;6.44312894122858
31;8;9;0.0;0.0;6.5037041365555055
32;9;10;0.0;0.0;8.64160863775252
33;32;8;0.0;0.0;7.281041386428001
34;23;8;0.0;0.0;8.131220689652835
35;18;6;0.0;0.0;4.352806153068197
36;14;11;0.0;0.0;7.820035706169314
37;37;8;0.0;0.0;7.325341038716773
38;11;8;0.0;0.0;6.097594772861834
39;24;10;0.0;0.0;5.7281560684076736
40;18;9;0.0;0.0;8.514971888665153
41;22;8;0.0;0.0;8.932568433516309
42;22;9;0.0;0.0;6.602509996219705
43;22;12;0.0;0.0;6.58446842414898
44;10;10;0.0;0.0;9.707136410956084
45;53;8;0.0;0.0;5.056033088540003
46;17;9;0.0;0.0;8.012834491995775
47;31;9;0.0;0.0;5.239845500457217
48;43;10;0.0;0.0;4.115314960312807
49;22;9;0.0;0.0;5.245266668294059
50;14;5;0.0;0.0;6.605168109926108
51;20;11;0.0;0.0;5.709533508046005
52;12;8;0.0;0.0;8.42240307579737
53;45;8;0.0;0.0;4.145579765975945
54;37;10;0.0;0.0;5.253994275627022
55;45;10;0.0;0.0;7.364213552587932
56;21;9;0.0;0.0;6.57138530716182
57;27;13;0.0;0.0;7.633101790255431
58;37;10;0.0;0.0;5.38533311672905
59;47;11;0.0;0.0;5.475197754340807
60;18;8;0.0;0.0;11.270721023848543
61;14;8;0.0;0.0;10.896328299299968
62;13;10;0.0;0.0;9.690901313024717
63;20;11;0.0;0.0;10.086492925363787
64;15;9;0.0;0.0;7.126191560258817
65;35;9;0.0;0.0;8.121574556296917
66;3;9;0.0;0.0;10.444919619593529
67;9;6;0.0;0.0;7.215190354540167
68;23;12;0.0;0.0;7.7572805114140015
69;10;6;0.0;0.0;5.236659802422008
70;18;7;0.0;0.0;9.747181774712523
71;9;12;0.0;0.0;6.67503096825665
72;21;7;0.0;0.0;8.74252565075715
73;17;8;0.0;0.0;4.228409301529813
74;8;11;0.0;0.0;6.4228792712499265
75;9;9;0.0;0.0;6.738784695342317
76;7;11;0.0;0.0;8.222390485011452
77;11;12;0.0;0.0;8.881929619388698
78;30;8;0.0;0.0;5.189514600636612
79;18;10;0.0;0.0;6.6132395835276725
80;16;5;0.0;0.0;7.220586645593852
81;20;11;0.0;0.0;7.165692239985463
82;25;5;0.0;0.0;5.783018116602934
83;7;8;0.0;0.0;6.949421755546221
84;44;9;0.0;0.0;4.803209801522395
85;27;10;0.0;0.0;5.977601203006339
86;14;12;0.0;0.0;7.297905717286081
87;16;8;0.0;0.0;6.999812411789374
88;92;5;0.0;0.0;2.6669535250501157
89;22;8;0.0;0.0;6.67580501031376
90;22;6;0.0;0.0;4.695085662888366
91;9;10;7.457052299173679;7.457052299173679;8.868957533963512
