0.16594346221273165
node;in_degree;local_intrinsic_dimensionality
0;25;5
1;35;5
2;21;5
3;32;6
4;9;5
5;46;5
6;13;6
7;33;4
8;17;1
9;1;5
10;24;5
11;29;5
12;30;5
13;2;2
14;21;5
15;32;3
16;25;6
17;42;5
18;2;6
19;41;6
20;26;5
21;21;5
22;18;5
23;36;5
24;17;6
25;38;7
26;41;4
27;14;5
28;13;5
29;21;5
30;15;5
31;31;5
32;30;6
33;6;6
34;31;6
35;22;5
36;34;5
37;27;6
38;18;5
39;16;5
40;4;5
41;30;5
42;18;6
43;11;4
44;28;4
45;12;5
46;17;4
47;21;6
48;34;5
49;18;3
50;15;6
51;11;6
52;13;4
53;25;5
54;31;4
55;19;6
56;27;4
57;4;6
58;32;5
59;20;5
60;14;5
61;41;5
62;8;5
63;18;6
64;35;5
65;51;6
66;25;6
67;11;5
68;25;6
69;20;5
70;45;6
71;33;6
72;17;5
73;26;5
74;23;5
75;4;5
76;15;6
77;30;5
78;23;4
79;35;5
80;5;4
81;13;4
82;23;6
83;40;5
84;5;4
85;42;6
86;5;5
87;40;6
88;26;6
89;34;5
90;18;6
91;26;5
92;12;6
93;25;6
94;10;6
95;34;5
96;32;5
97;5;5
98;25;6
99;16;6
100;29;4
101;13;5
102;7;5
103;32;6
104;27;6
105;27;6
106;0;5
107;28;6
108;9;5
109;11;5
110;20;6
111;18;2
112;26;6
113;25;6
114;19;5
115;21;5
116;39;5
117;16;5
118;33;5
119;33;5
120;5;5
121;23;5
122;41;6
123;19;5
124;32;6
125;1;5
126;36;6
127;28;6
128;19;6
129;16;6
130;19;5
131;19;6
132;22;5
133;28;5
134;32;6
135;33;6
136;38;6
137;35;6
138;34;5
139;18;5
140;26;4
141;30;6
142;18;6
143;27;5
144;34;5
145;0;5
146;9;5
147;38;6
148;21;5
149;35;5
150;29;5
151;31;6
152;29;5
153;19;2
154;21;5
155;20;5
156;21;5
157;21;6
158;44;6
159;20;5
160;26;6
161;16;6
162;21;5
163;39;5
164;28;5
165;19;5
166;19;5
167;42;6
168;41;6
169;13;6
170;35;5
171;38;6
172;14;4
173;14;6
174;29;6
175;15;5
176;22;6
177;1;5
178;23;5
179;33;5
180;21;6
181;24;5
182;4;4
183;25;7
184;38;5
185;20;5
186;18;2
187;10;5
188;32;6
189;33;6
190;20;5
191;22;6
192;28;5
193;18;3
194;8;5
195;28;5
196;21;5
197;22;6
198;25;6
199;29;5
200;17;5
201;29;5
202;33;5
203;29;6
204;13;5
205;37;6
206;12;4
207;14;5
208;46;6
209;20;5
210;31;6
211;13;5
212;13;5
213;20;6
214;31;5
215;31;4
216;27;6
217;46;6
218;35;5
219;25;5
220;21;2
221;18;5
222;34;3
223;11;5
224;34;6
225;18;6
226;24;5
227;11;4
228;6;1
229;8;5
230;12;4
231;32;4
232;19;6
233;35;5
234;24;6
235;22;5
236;16;5
237;18;5
238;34;5
239;17;5
240;34;5
241;37;6
242;9;4
243;26;5
244;37;5
245;31;5
246;30;5
247;8;1
248;26;3
249;12;5
250;5;6
251;26;5
252;26;5
253;27;5
254;8;4
255;24;5
256;13;5
257;38;6
258;26;3
259;29;5
260;13;5
261;22;3
262;38;5
263;20;6
264;31;6
265;16;6
266;22;3
267;17;5
268;17;5
269;21;3
270;16;6
271;22;5
272;38;5
273;13;6
274;24;5
275;14;6
276;31;6
277;35;5
278;27;6
279;11;5
280;27;5
281;40;7
282;19;5
283;42;4
