Skewness: -0.1512391733750567, Average LID: LPCA: 4.5703125  |||  MLE: 2.692747654009502  |||  MLENB: 2.692747654009502  |||  TLE: 2.5308967713198984
LPCA: 0.3065164166124978  |||  MLE: -0.3812524457270542  |||  MLENB: -0.3812524457270542  |||  TLE: 0.11132202153956923
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;164;5;3.7098855200525476;3.7098855200525476;3.33056229441603
1;252;6;2.264696504200323;2.264696504200323;2.4652644038065437
2;85;6;2.6834380395586583;2.6834380395586583;2.4242100067620718
3;228;4;1.722174198139449;1.722174198139449;1.9219349029621124
4;214;5;2.435902434100717;2.435902434100717;2.4048808793942396
5;379;5;2.163465121530278;2.163465121530278;2.4415854112131012
6;174;4;1.9232669754970606;1.9232669754970606;1.9990972761677106
7;36;6;3.5816637268896927;3.5816637268896927;2.9383139273323757
8;26;1;2.9272090162038964;2.9272090162038964;1.4643445306360072
9;106;5;4.585520801547725;4.585520801547725;3.310429490264514
10;307;5;2.997755026175027;2.997755026175027;3.0546211720037593
11;128;5;2.303619900558544;2.303619900558544;2.362727592520422
12;191;5;2.4593754655078226;2.4593754655078226;2.5341665912936473
13;10;1;5.43187700984245;5.43187700984245;1.299640793224968
14;195;3;2.0939908430648533;2.0939908430648533;2.069542899314044
15;37;6;3.5239350221024006;3.5239350221024006;2.874757290340318
16;144;2;1.985215106962103;1.985215106962103;1.9520476597880028
17;366;5;2.105211741063914;2.105211741063914;2.4002474844239505
18;163;4;2.9257744627075977;2.9257744627075977;2.5457199630032012
19;268;5;1.9259101092617625;1.9259101092617625;2.0925502151857693
20;142;2;1.903260474581446;1.903260474581446;1.8522788725436634
21;241;5;2.9595674890931383;2.9595674890931383;2.986958611629147
22;60;6;2.5523995127714687;2.5523995127714687;2.160916667582724
23;303;5;3.0559626512385405;3.0559626512385405;3.082965792306551
24;235;5;2.287498873521873;2.287498873521873;2.333797652287195
25;298;5;2.1230527737029465;2.1230527737029465;2.2942462755555315
26;195;5;2.4902552058794245;2.4902552058794245;2.62752455193649
27;300;4;2.5211185830945806;2.5211185830945806;2.4605303672576104
28;235;5;2.9443544452088712;2.9443544452088712;2.698034716841911
29;291;5;2.6865464554506566;2.6865464554506566;2.8494116114962047
30;240;5;4.093553103971931;4.093553103971931;3.6441168519644855
31;134;2;1.8560903172139671;1.8560903172139671;1.7180146499949969
32;173;4;2.5533820651812196;2.5533820651812196;2.8259795229393143
33;196;5;3.6171780355988146;3.6171780355988146;3.2230027330431867
34;298;5;3.715052599453294;3.715052599453294;3.582317021151319
35;181;3;2.014461362091607;2.014461362091607;2.1004377947064525
36;252;5;2.410300930197497;2.410300930197497;2.6210442296255625
37;226;6;2.9534984152012767;2.9534984152012767;3.005289906519765
38;190;6;2.5325745819729524;2.5325745819729524;2.6358607450808935
39;161;3;2.0959588523804866;2.0959588523804866;2.054953862623274
40;68;3;6.365057196337717;6.365057196337717;4.53185150618869
41;244;5;2.389748123156122;2.389748123156122;2.6048583632625397
42;281;5;3.995981612802483;3.995981612802483;3.6344351499415817
43;117;2;2.259303106605996;2.259303106605996;1.896992394567466
44;162;5;2.540412276022634;2.540412276022634;2.58116139918174
45;77;6;3.3058733142660293;3.3058733142660293;2.6880567234750785
46;201;5;2.9342395339720273;2.9342395339720273;2.8102113953821584
47;166;6;2.6395125955076875;2.6395125955076875;2.552669413464198
48;316;6;2.4555908591693876;2.4555908591693876;2.657077197788138
49;35;6;3.826061993816412;3.826061993816412;2.791507837141361
50;213;4;1.8399067471645014;1.8399067471645014;1.9801222771364562
51;231;4;4.49394345024722;4.49394345024722;3.870997758604781
52;294;6;3.9140770315591333;3.9140770315591333;3.4739913987020277
53;82;2;2.1028939401932165;2.1028939401932165;1.72227554895662
54;69;2;2.0970595849487776;2.0970595849487776;1.6009212769844061
55;150;6;3.000586761966727;3.000586761966727;2.7558031035281125
56;80;2;2.0651238216479215;2.0651238216479215;1.6909373308340496
57;236;4;3.228556969143616;3.228556969143616;2.818846077870694
58;184;5;2.58022841238978;2.58022841238978;2.685075280180512
59;295;4;2.3219512172269527;2.3219512172269527;2.3948772895181922
60;35;6;4.1279403516143685;4.1279403516143685;2.95125798057169
61;283;5;2.2521903453938155;2.2521903453938155;2.489232380064153
