Skewness: 0.0, Average LID: LPCA: 5.153645833333333  |||  MLE: 3.6928471247466192  |||  MLENB: 3.6928471247466192  |||  TLE: 3.5997607839475356
LPCA: 0.19700148608265586  |||  MLE: -0.2849742158123615  |||  MLENB: -0.2849742158123615  |||  TLE: -0.014082867684709345
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;32;6;4.37606742494606;4.37606742494606;4.54356769615555
1;52;6;3.2441264443261555;3.2441264443261555;3.3419104699458573
2;33;5;3.05679265666863;3.05679265666863;3.069887686241348
3;52;6;3.7801384471248474;3.7801384471248474;4.118297371706248
4;16;5;4.187614136074446;4.187614136074446;3.941844506103889
5;73;5;3.3938086143634396;3.3938086143634396;3.4507778465940295
6;27;6;4.309394785258902;4.309394785258902;3.8412093260796683
7;34;5;1.6739480700925835;1.6739480700925835;1.9825540218062216
8;17;1;1.6216697342522284;1.6216697342522284;1.5637527297234242
9;1;5;8.53580393524364;8.53580393524364;5.242933989100199
10;34;6;4.23816156089303;4.23816156089303;4.485380683787488
11;54;5;2.46601848393001;2.46601848393001;2.785099069900707
12;45;5;3.6262358855633745;3.6262358855633745;3.6596478594352693
13;4;1;3.1511812146029605;3.1511812146029605;1.3931710761400917
14;24;5;3.2494779635060276;3.2494779635060276;3.4874637114565075
15;33;5;1.5920526724809867;1.5920526724809867;1.9335075564598143
16;37;5;2.5603320773257763;2.5603320773257763;2.8301233103290326
17;80;5;2.7146773183937185;2.7146773183937185;3.08157655188836
18;3;6;6.182164298274557;6.182164298274557;4.124109074559989
19;72;6;4.061095840780379;4.061095840780379;4.34563592342284
20;49;5;2.6312135720194965;2.6312135720194965;2.82894703073277
21;40;6;3.5554793291671536;3.5554793291671536;3.5385988863008877
22;24;5;3.0858056509587186;3.0858056509587186;3.068249724086927
23;49;5;4.546494745006347;4.546494745006347;4.549096408810387
24;34;5;3.3935459407139406;3.3935459407139406;3.6127379232267556
25;61;6;3.5216940019805993;3.5216940019805993;3.8099765958065075
26;65;4;3.413464314904729;3.413464314904729;3.5179155153129678
27;24;5;4.132504336668968;4.132504336668968;3.921551255539033
28;23;5;4.992938814328699;4.992938814328699;4.349458620393164
29;41;5;3.7487192663995943;3.7487192663995943;3.873679788837401
30;25;5;5.543730002233608;5.543730002233608;5.2760233454945995
31;53;5;3.4766227069470728;3.4766227069470728;3.3517210814636065
32;45;5;2.7008713858271904;2.7008713858271904;2.9627603279063575
33;18;6;5.594694407875595;5.594694407875595;4.68895602612885
34;45;6;3.372892002535941;3.372892002535941;3.5578671307632703
35;46;5;3.2978637982559356;3.2978637982559356;3.3891097940634918
36;64;5;3.260002256920981;3.260002256920981;3.408266102473679
37;38;6;3.552558456636509;3.552558456636509;3.7055863077352105
38;34;6;3.527940730968407;3.527940730968407;3.744773786567829
39;30;5;3.3234113184591285;3.3234113184591285;3.152189402014622
40;7;5;5.319578899775974;5.319578899775974;4.255463069974241
41;54;5;3.1328045281661545;3.1328045281661545;3.4343753287832057
42;31;5;7.9370561856065045;7.9370561856065045;6.959667033074992
43;26;4;4.619060857177214;4.619060857177214;4.015395025909339
44;51;4;3.029546225706268;3.029546225706268;3.27330279354428
45;18;5;3.8379277191224603;3.8379277191224603;3.7466035127743047
46;43;5;4.111579488948046;4.111579488948046;3.8580142938452715
47;33;6;4.128989802410872;4.128989802410872;3.7818330196001715
48;66;5;4.833627998447572;4.833627998447572;4.638871268170911
49;32;5;1.9733409519407885;1.9733409519407885;2.2086395030444512
50;30;6;4.025289693590552;4.025289693590552;4.020760648679441
51;21;4;3.104599283602817;3.104599283602817;2.9134409963392036
52;28;5;7.1561579978014365;7.1561579978014365;5.5109917747068495
53;53;4;2.322905379329771;2.322905379329771;2.4258357027859034
54;46;3;1.7585193343900842;1.7585193343900842;1.8896205489286948
55;36;6;3.5846871908487024;3.5846871908487024;3.222597583198299
56;51;3;2.1326490951106387;2.1326490951106387;2.324768880632001
57;7;5;5.147724114081313;5.147724114081313;4.050174447300523
58;60;5;4.065726819564917;4.065726819564917;4.07865923973345
59;37;6;3.4233119583677794;3.4233119583677794;3.7789069469050487
60;23;4;2.0419610428134525;2.0419610428134525;2.4036770029906256
61;65;5;3.4137757981361245;3.4137757981361245;3.6517234465224497
62;13;6;4.6140635614200285;4.6140635614200285;3.167060908482718
63;43;6;3.9391817456899276;3.9391817456899276;4.219942083043856
64;60;5;3.3010386753233028;3.3010386753233028;3.5941817413910226
65;88;5;4.848132086436078;4.848132086436078;4.485394256997476
66;36;5;4.194728322281077;4.194728322281077;4.1884895519756995
67;22;5;4.601128260825354;4.601128260825354;4.081684758878632
68;35;5;2.275841472198845;2.275841472198845;2.5269116963286313
69;33;5;5.261208856668351;5.261208856668351;4.737965755559491
70;77;6;4.066799826974337;4.066799826974337;4.34307369805774
71;65;6;3.747674382524536;3.747674382524536;4.044561639046373
72;28;5;4.144855209770727;4.144855209770727;3.920473118495474
73;47;4;3.1832761233941973;3.1832761233941973;3.2152818577781113
74;38;6;3.1393150598996264;3.1393150598996264;3.147821189402041
75;4;5;5.121988847079233;5.121988847079233;3.1715517515329426
76;20;5;4.15049596659209;4.15049596659209;3.8524061869182002
77;58;6;3.226125415091295;3.226125415091295;3.523363397756236
78;33;5;1.6709978774397525;1.6709978774397525;2.085906341062238
79;51;5;2.36046738415756;2.36046738415756;2.8382076034129016
80;42;5;4.985282324768794;4.985282324768794;3.800235741475348
81;21;4;2.3868116181606345;2.3868116181606345;2.596545570560344
82;40;6;3.643102558204313;3.643102558204313;3.7570943002036543
83;58;5;2.8075014826728095;2.8075014826728095;3.046860575117432
84;7;4;5.012363599371343;5.012363599371343;3.7290619057079057
85;65;6;3.8410924469147325;3.8410924469147325;3.9409711589371716
86;11;6;5.256649021125759;5.256649021125759;4.202032304641283
87;78;6;4.2607421521764985;4.2607421521764985;4.453193306705785
88;44;6;4.102115978101218;4.102115978101218;4.039138715743615
89;60;5;2.6316024844742114;2.6316024844742114;2.9625079823788774
90;34;5;2.743904307438911;2.743904307438911;2.7859615222618346
91;56;5;3.7324202468643612;3.7324202468643612;3.939950124587751
92;16;6;3.993387774940713;3.993387774940713;3.871657429476788
93;38;5;3.4950807252640996;3.4950807252640996;3.5484565822499583
94;19;6;4.959666713772758;4.959666713772758;4.856177328651679
95;54;5;3.2720445674876855;3.2720445674876855;3.323010745015177
96;57;6;2.554083281005861;2.554083281005861;2.8184727165737753
97;8;6;5.213295648830824;5.213295648830824;4.096995902710303
98;47;6;4.536700343886211;4.536700343886211;4.290981951992969
99;32;5;2.759520761546549;2.759520761546549;2.905105502050041
100;57;4;2.4038425310853215;2.4038425310853215;2.6579314819754045
101;37;5;3.6178511109185485;3.6178511109185485;3.3963987973744945
102;17;5;3.6376685364448993;3.6376685364448993;3.471565171632494
103;44;6;2.9688827634949675;2.9688827634949675;3.0880095767394504
104;32;5;3.7371945977200216;3.7371945977200216;3.727473975950257
105;45;5;3.2663486974076386;3.2663486974076386;3.375292389165993
106;0;5;7.318943397690635;7.318943397690635;4.037456348296913
107;56;6;3.792964961659708;3.792964961659708;4.0105920754694635
108;38;5;5.1874439807666795;5.1874439807666795;4.259550214703244
109;31;6;3.7517229550523727;3.7517229550523727;3.527964294328333
110;34;5;3.2843287024002668;3.2843287024002668;3.382109058914954
111;21;1;1.4458836594983702;1.4458836594983702;1.5663346802009357
112;39;6;3.832191326295681;3.832191326295681;3.934845445383485
113;37;5;2.9416398172420752;2.9416398172420752;3.1335353857427735
114;35;5;4.460716366792327;4.460716366792327;4.4128093505161745
115;33;5;3.1164627734409134;3.1164627734409134;3.137082582915377
116;86;5;3.35242430535508;3.35242430535508;3.3684560203404
117;35;6;3.075046110395529;3.075046110395529;2.9155249900499967
118;61;6;2.28934137136883;2.28934137136883;2.5588887007608245
119;49;6;2.8748305679958914;2.8748305679958914;3.1802976519014607
120;10;5;5.98713239222761;5.98713239222761;4.456364510840936
121;45;5;3.987926338477561;3.987926338477561;3.847427568771664
122;72;6;3.998147307844412;3.998147307844412;4.093800591571484
123;31;5;3.427725961668511;3.427725961668511;3.4023794866672024
124;56;5;3.1816279967261902;3.1816279967261902;3.1592356321704704
125;1;6;6.238786075731633;6.238786075731633;3.8218943184374483
126;67;6;3.937510206709667;3.937510206709667;4.15658303190481
127;47;6;4.361488216701162;4.361488216701162;4.415617033621759
128;41;6;4.446207846554192;4.446207846554192;4.323384972546392
129;26;6;3.3707773338393117;3.3707773338393117;3.466939628660128
130;26;5;3.3681981822352602;3.3681981822352602;3.495334657996789
131;53;4;3.2203764696632318;3.2203764696632318;3.17797511846126
132;38;5;4.020956916531971;4.020956916531971;3.8050258806101227
133;41;5;3.3545434242061685;3.3545434242061685;3.3681955767280662
134;45;6;2.1703924498202354;2.1703924498202354;2.606410212695878
135;55;6;4.8042788436333685;4.8042788436333685;4.744696932643496
136;66;6;3.6592737823379946;3.6592737823379946;3.6235148946585363
137;60;6;2.9627263408390325;2.9627263408390325;3.3699586218930584
138;57;5;2.85697537375134;2.85697537375134;3.2341872549068222
139;48;4;2.563446906237558;2.563446906237558;2.4924302229457123
140;42;5;3.7398669129621043;3.7398669129621043;3.7357664474097563
141;44;6;3.3693590605094617;3.3693590605094617;3.6297209477994965
142;38;6;4.313755126716783;4.313755126716783;4.094894213429287
143;49;5;3.1368325320618573;3.1368325320618573;3.311855322350394
144;50;4;2.283858153234435;2.283858153234435;2.4866421962481087
145;2;5;6.664889913403061;6.664889913403061;3.6258697774749793
146;13;5;4.159729141031321;4.159729141031321;3.277619795570118
147;59;6;4.7271685938929595;4.7271685938929595;4.806037053703225
148;34;5;2.677927159094775;2.677927159094775;2.8941350780721042
149;70;5;3.3872437752497877;3.3872437752497877;3.573945254848359
150;45;5;3.4070913180283102;3.4070913180283102;3.456806171323134
151;58;5;3.254096719219307;3.254096719219307;3.3823317013589134
152;44;5;3.7252352761727106;3.7252352761727106;3.9618823241966323
153;22;1;1.4037580055425074;1.4037580055425074;1.5679443337789536
154;32;5;3.197987988155102;3.197987988155102;3.2527480983430905
155;27;5;2.9663663568101026;2.9663663568101026;3.188570982986988
156;42;5;3.223993925013324;3.223993925013324;3.5763614319538726
157;35;6;4.297964854605579;4.297964854605579;4.225040202216886
158;66;6;3.4660124419152183;3.4660124419152183;3.5733952283119406
