Skewness: 0.0, Average LID: LPCA: 5.16015625  |||  MLE: 3.4597089404536274  |||  MLENB: 3.4597089404536274  |||  TLE: 3.3537270213928707
LPCA: 0.29912281865040685  |||  MLE: -0.26868498963124593  |||  MLENB: -0.26868498963124593  |||  TLE: 0.04410554980124113
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;45;6;4.793117497319283;4.793117497319283;4.893652186855933
1;79;6;2.523187852753913;2.523187852753913;2.6652815141554496
2;44;5;2.651262484563077;2.651262484563077;2.681748935274522
3;79;6;3.027204480891073;3.027204480891073;3.2636633347246677
4;43;5;4.455815715825355;4.455815715825355;4.142488460697486
5;107;6;3.0436461483463964;3.0436461483463964;3.1984938156862732
6;40;6;3.627750168260334;3.627750168260334;3.369061242696329
7;35;5;1.9188186841982682;1.9188186841982682;2.237891263405917
8;20;1;1.8338708142666265;1.8338708142666265;1.5469049829024897
9;5;6;7.525189844697536;7.525189844697536;4.677510988328936
10;51;6;3.704857806808042;3.704857806808042;3.7480503314070552
11;67;5;2.4294575298728667;2.4294575298728667;2.7265311377355217
12;67;5;3.1279600611699627;3.1279600611699627;3.1746407099454497
13;6;1;3.489518286073388;3.489518286073388;1.3624636636162506
14;37;5;3.3316783626556807;3.3316783626556807;3.449727451564289
15;35;5;1.9664248358983138;1.9664248358983138;2.3450327282507635
16;68;5;2.677551899853046;2.677551899853046;2.86556662111758
17;110;6;2.654786542249683;2.654786542249683;3.0391414295822634
18;7;6;5.525121547541338;5.525121547541338;3.8779540259361513
19;106;6;3.6236926715040343;3.6236926715040343;3.807546307172766
20;76;5;2.6331287130605547;2.6331287130605547;2.797516439447105
21;60;6;3.43874505255793;3.43874505255793;3.4722503014715755
22;32;5;2.4496971526800384;2.4496971526800384;2.4154355953127964
23;67;6;3.735118903808561;3.735118903808561;3.705017613903473
24;48;5;3.8421401009997203;3.8421401009997203;3.9586364946440296
25;91;6;3.6894553230143066;3.6894553230143066;3.964247994499423
26;95;4;3.351440193830669;3.351440193830669;3.423478456794728
27;39;5;4.167803709429929;4.167803709429929;3.923621676155592
28;36;5;4.405964814733884;4.405964814733884;3.823477501735785
29;68;6;3.77817245443749;3.77817245443749;3.8396218109437474
30;41;5;4.966278797509934;4.966278797509934;4.620236637193931
31;83;5;2.7947813798333945;2.7947813798333945;2.737975284705716
32;59;6;2.4502604481423944;2.4502604481423944;2.7413192421349017
33;28;6;4.6700471397810155;4.6700471397810155;3.871567433811343
34;56;5;3.866631012736621;3.866631012736621;3.923169994869925
35;59;5;2.448151259290149;2.448151259290149;2.5634361205378626
36;104;5;2.777471758277465;2.777471758277465;2.9793890382138972
37;56;5;3.208757126837282;3.208757126837282;3.269205483571189
38;55;6;3.1458693993354547;3.1458693993354547;3.224496430929309
39;50;5;3.050046228905049;3.050046228905049;2.9166165282551084
40;12;5;5.6683281036983;5.6683281036983;4.192216911854045
41;88;5;2.7920298304593403;2.7920298304593403;3.0434620204493124
42;50;5;5.994188150383482;5.994188150383482;5.281164092222831
43;66;4;3.851713388007163;3.851713388007163;3.308556255972909
44;76;5;2.7471630964491767;2.7471630964491767;2.952647129978517
45;35;5;3.5437693424651195;3.5437693424651195;3.309394427466603
46;71;5;3.579051400420338;3.579051400420338;3.3322043405783064
47;50;6;3.515077801686135;3.515077801686135;3.292611902816851
48;82;5;3.3084326788188125;3.3084326788188125;3.27956416791017
49;32;5;2.3988154276392755;2.3988154276392755;2.6215490225450067
50;55;6;3.7969018386057813;3.7969018386057813;3.72248675816673
51;54;4;3.6331963376267407;3.6331963376267407;3.471835061845462
52;69;5;5.920841237571537;5.920841237571537;4.494815885830523
53;58;3;2.171427748235072;2.171427748235072;2.25537301119056
54;51;3;1.6996622473453464;1.6996622473453464;1.7708792083764187
55;48;6;3.480249104199331;3.480249104199331;3.1510216798922426
56;56;3;2.008180651869557;2.008180651869557;2.132410895476069
57;17;5;5.545846153082782;5.545846153082782;4.229949922153294
58;93;4;3.447990781842478;3.447990781842478;3.4790785984281585
59;56;6;3.326040735789125;3.326040735789125;3.591901078688055
60;28;5;2.6477296012451896;2.6477296012451896;2.9003523987398254
61;108;5;2.971221012996546;2.971221012996546;3.1895986175970306
62;18;6;4.513117818778029;4.513117818778029;3.078528193427322
63;70;5;3.635542524036693;3.635542524036693;3.816522454556384
64;93;6;2.869091681775476;2.869091681775476;3.109997056945297
65;101;5;3.600183545592197;3.600183545592197;3.498941215906401
66;62;6;3.581841869722103;3.581841869722103;3.5490257598248176
67;36;6;4.1068823556619725;4.1068823556619725;3.651644024484336
68;47;4;2.4372596213280624;2.4372596213280624;2.7252425630231225
69;50;5;4.1094803673069045;4.1094803673069045;3.7794158661666577
70;99;6;3.028377183998264;3.028377183998264;3.254336195347935
71;88;6;4.075867498778001;4.075867498778001;4.338416276947477
72;54;5;4.20933777951264;4.20933777951264;3.9630469689627894
73;72;4;2.8253844863430797;2.8253844863430797;2.7895749968085144
74;57;6;2.8790503093355087;2.8790503093355087;2.9619805984919774
75;5;5;5.903565124988367;5.903565124988367;3.0992413916098958
76;26;5;4.150609683336628;4.150609683336628;3.6859966442462073
77;84;5;2.9987721205014966;2.9987721205014966;3.218586552464469
78;34;5;2.038152942955108;2.038152942955108;2.445913153703172
79;80;5;2.5346863097273156;2.5346863097273156;3.004528412414116
80;59;5;4.8266469831997645;4.8266469831997645;3.8077636737702005
81;23;5;2.9911426840438144;2.9911426840438144;2.9381441476538557
82;77;6;4.027387553428607;4.027387553428607;4.113180485870743
83;80;6;2.180724569749073;2.180724569749073;2.463974776010688
84;15;5;4.381107823610648;4.381107823610648;3.3491775871459697
85;92;6;3.317638254683718;3.317638254683718;3.470005954357918
86;27;5;4.286864787776613;4.286864787776613;3.474571450208303
87;113;6;3.462695314388392;3.462695314388392;3.6429714715201804
88;67;5;3.9635414826182944;3.9635414826182944;3.8850315246874394
89;108;5;2.8829388912981213;2.8829388912981213;3.219704297990876
90;54;6;2.97772419542999;2.97772419542999;2.939883639855497
91;88;5;3.5440770363785155;3.5440770363785155;3.740892872779376
92;26;6;3.818073620854212;3.818073620854212;3.512023554254806
93;49;5;3.1568051344376435;3.1568051344376435;3.1861562735659894
94;23;5;5.197123923765484;5.197123923765484;4.610790190573959
