Skewness: -1.1267031389323439, Average LID: LPCA: 3.6848958333333335  |||  MLE: 1.7254046679467434  |||  MLENB: 1.7254046679467434  |||  TLE: 1.6816626962160839
LPCA: 0.5356924090569124  |||  MLE: -0.536717833082223  |||  MLENB: -0.536717833082223  |||  TLE: -0.13565644485942646
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;750;4;1.3012466116282082;1.3012466116282082;1.4253709821486018
1;649;5;1.0689020712186956;1.0689020712186956;1.2801387894720997
2;535;5;1.6043747155234198;1.6043747155234198;1.5683621036822883
3;767;3;1.9771435971024063;1.9771435971024063;2.07493154273353
4;312;2;2.05568641829241;2.05568641829241;2.0890303842496385
5;767;5;0.9602012630460691;0.9602012630460691;1.2031613580637346
6;767;3;2.228455056713926;2.228455056713926;2.216990184008243
7;494;5;1.6099019602168838;1.6099019602168838;1.5230354234579457
8;48;2;4.044154276309272;4.044154276309272;1.5788290665170495
9;589;5;1.382472140065966;1.382472140065966;1.4651447363392391
10;734;5;1.0653966643363222;1.0653966643363222;1.284363767564397
11;624;5;1.375090972980742;1.375090972980742;1.4868300892603739
12;710;5;1.1805158010799663;1.1805158010799663;1.3694454467381911
13;17;2;6.939630917610187;6.939630917610187;1.4305250713162383
14;278;2;2.133730303804186;2.133730303804186;2.0623507549646254
15;493;5;1.585101122674412;1.585101122674412;1.503036378839422
16;223;2;2.0422688499770687;2.0422688499770687;1.8472321292713516
17;732;5;0.9589239719646876;0.9589239719646876;1.2088526152127348
18;767;3;2.8705784928654143;2.8705784928654143;2.5942964024623514
19;767;2;2.067173945766829;2.067173945766829;2.130715469075476
20;221;2;2.038643058612854;2.038643058612854;1.8357745593616888
21;647;5;1.0794882149981184;1.0794882149981184;1.2902601163648326
22;472;4;1.8759979101616862;1.8759979101616862;1.6826465920193245
23;767;5;1.0996463733206003;1.0996463733206003;1.3093828072347988
24;416;2;2.162359398312265;2.162359398312265;2.2115139514284556
25;767;2;2.111026831172032;2.111026831172032;2.2310341105789107
26;730;5;1.14903169074819;1.14903169074819;1.3400465093830307
27;657;2;2.0256924379708563;2.0256924379708563;2.0310570040363536
28;767;2;2.802408109178363;2.802408109178363;2.6068495611425173
29;761;5;1.0590709209527094;1.0590709209527094;1.284549927789079
30;752;5;1.148795732542125;1.148795732542125;1.332681671962853
31;206;2;2.1150899879971217;2.1150899879971217;1.8493250044063534
32;767;4;1.6512972393448646;1.6512972393448646;1.7417057681020875
33;608;5;1.1311968323114103;1.1311968323114103;1.3118306793514614
34;767;5;1.0949979374124514;1.0949979374124514;1.2978105169254042
