dataset_name;LPCA_20;MLE_20;MLENB_20;TLE_20;LPCA_40;MLE_40;MLENB_40;TLE_40;LPCA_60;MLE_60;MLENB_60;TLE_60;LPCA_80;MLE_80;MLENB_80;TLE_80;LPCA_100;MLE_100;MLENB_100;TLE_100
Wine classified by quality;0.18627294592542362;-0.11132440082347889;-0.11132440082347889;-0.11372280392242376;0.272295032922954;-0.09084588424836561;-0.09084588424836561;-0.06109727854640327;0.3391351150302813;-0.05563115809602326;-0.05563115809602326;-0.01580694079292984;0.3690273515136681;-0.046230201644948926;-0.046230201644948926;-0.006558808585463186;0.37937498999928715;-0.03623048951491407;-0.03623048951491407;0.008305207397295131
Pima indians diabetes;0.15476596572578544;-0.30326209637734536;-0.30326209637734536;-0.08206278749856191;0.19700148608265586;-0.2849742158123615;-0.2849742158123615;-0.014082867684709345;0.29912281865040685;-0.26868498963124593;-0.26868498963124593;0.04410554980124113;0.3510772716062719;-0.2929686953331209;-0.2929686953331209;0.06621788556307528;0.3828385154408648;-0.3155651325261169;-0.3155651325261169;0.09262996371855976
Banknote authenticity based on mesures;0.1509195855141363;0.012513181528228707;0.012513181528228707;0.008716359606394532;0.13676339712933064;0.12023379602618588;0.12023379602618588;0.08218968119347113;0.14221003372679164;0.12435126691890531;0.12435126691890531;0.07229966635845102;0.15800469010760945;0.14877534398499828;0.14877534398499828;0.10052404709546965;0.2772506706384947;0.11565174045696285;0.11565174045696285;0.13194699563653714
Shuttle;0.19534208457191526;-0.33020144203806207;-0.33020144203806207;nan;0.21564298500558998;-0.42494620309039705;-0.42494620309039705;nan;0.22910818319264928;-0.4397251539916379;-0.4397251539916379;nan;0.23853478715084359;-0.4364980964902637;-0.4364980964902637;nan;0.24177631257566698;-0.4300434466972304;-0.4300434466972304;nan
Bar crawl;0.010872213845081061;-0.2135524216260258;-0.2135524216260258;nan;-0.009431304034587746;-0.35565543367351043;-0.35565543367351043;nan;-0.0370718662704077;-0.2711711754298419;-0.2711711754298419;nan;-0.04517467282104271;-0.1671096017168338;-0.1671096017168338;nan;-0.034717294389455644;-0.17316764844881613;-0.17316764844881613;nan
Iranian telecom customer churn;0.09650715019916589;-0.2655149889241579;-0.2655149889241579;nan;0.12405102323926676;-0.27407500357111186;-0.27407500357111186;nan;0.18077139800901967;-0.2875716859665497;-0.2875716859665497;nan;0.15985983469467552;-0.2592154870304117;-0.2592154870304117;nan;0.17586497993703323;-0.2586150995050067;-0.2586150995050067;nan
Taiwanese bakruptcy prediction;-0.04690003230687528;-0.03483015898118023;-0.03483015898118023;nan;-0.06651295460587821;-0.03430513054542042;-0.03430513054542042;nan;-0.22365964211632333;-0.029501349439661873;-0.029501349439661873;nan;-0.16435544445081965;-0.17561538318505324;-0.17561538318505324;nan;-0.19451385259013917;-0.225690799043166;-0.225690799043166;nan
Dexter;nan;-0.18542015123713443;-0.18542015123713443;-0.1630108220489896;nan;-0.22246661239830884;-0.22246661239830884;-0.19323034954799573;nan;-0.17551030205213708;-0.17551030205213708;-0.13970559593542176;-0.10195060777114345;-0.11944795793785748;-0.11944795793785748;-0.07527304742765223;-0.06605080724784008;-0.06349570047997741;-0.06349570047997741;-0.012390000820743286
Dorothea;-0.15493428629515865;-0.3933997905460299;-0.3933997905460299;-0.2770701263822177;0.16721911951383114;-0.5012273684157869;-0.5012273684157869;-0.5150658261438835;-0.10597122614856364;-0.43090479165145906;-0.43090479165145906;-0.4557836495774369;-0.22749060325909262;-0.4085830137255981;-0.4085830137255981;-0.498242518057791;-0.13450829659147812;-0.42206870910618316;-0.42206870910618316;-0.5527717099023606
Gisette;nan;0.07076270179927402;0.07076270179927402;0.12105717750159396;nan;0.11253806577342317;0.11253806577342317;0.1766078951639167;nan;0.1322505886884662;0.1322505886884662;0.20501050032261953;0.01624364509576502;0.14191908463457864;0.14191908463457864;0.22114677173361474;0.03544999803399788;0.1443645743321003;0.1443645743321003;0.22810860533965904
Isolet;0.1210989063795108;-0.21144224036076145;-0.21144224036076145;-0.10690641358694238;0.24990783006198447;-0.29254065440236937;-0.29254065440236937;-0.16358342139525098;0.26152003650847777;-0.3325485637538401;-0.3325485637538401;-0.1989443245507897;0.26311466898499025;-0.345760710519274;-0.345760710519274;-0.2109048707507973;0.2641236879888025;-0.35580925322301965;-0.35580925322301965;-0.2218018424489603
Musk;0.04750094369034515;-0.16494465077755907;-0.16494465077755907;-0.09197765449792979;0.1404241536495177;-0.1884631278063889;-0.1884631278063889;-0.11509877336703418;0.19599196676212258;-0.21195520902784554;-0.21195520902784554;-0.1407344807676007;0.22878389781790517;-0.23063786391426958;-0.23063786391426958;-0.1587890860868595;0.2720767761763606;-0.23410713652607312;-0.23410713652607312;-0.16510222507486988
Abalone;0.26464385993035544;-0.3340808844307972;-0.3340808844307972;-0.11515792020299224;0.24605302573539253;-0.34200716963843525;-0.34200716963843525;-0.08691757998422417;0.26946115418423083;-0.3382309938264405;-0.3382309938264405;-0.07549369751335126;0.26756029332994735;-0.31977467514736047;-0.31977467514736047;-0.07430793835361427;0.2817959763950879;-0.3177032885222923;-0.3177032885222923;-0.06882174723538201
Arrhythmia;0.3303327480837114;-0.4319863562398965;-0.4319863562398965;-0.09059778000036481;0.3262430784861774;-0.5475372140895226;-0.5475372140895226;-0.14462337304682205;0.298305044437945;-0.5561250186863841;-0.5561250186863841;-0.12557635158760883;0.23140494709928333;-0.5735043844085963;-0.5735043844085963;-0.17216112192417524;0.2004315513160612;-0.5705367469320713;-0.5705367469320713;-0.16994329198713864
Diabetes;0.15476596572578544;-0.30326209637734536;-0.30326209637734536;-0.08206278749856191;0.19700148608265586;-0.2849742158123615;-0.2849742158123615;-0.014082867684709345;0.29912281865040685;-0.26868498963124593;-0.26868498963124593;0.04410554980124113;0.3510772716062719;-0.2929686953331209;-0.2929686953331209;0.06621788556307528;0.3828385154408648;-0.3155651325261169;-0.3155651325261169;0.09262996371855976
Echocardiogram;0.2884800405967273;-0.4953222021011138;-0.4953222021011138;-0.1429201099352963;nan;-0.5788759544810365;-0.5788759544810365;-0.09642724008948327;nan;-0.7285051608999228;-0.7285051608999228;-0.38795222713030575;nan;-0.7624598571002708;-0.7624598571002708;-0.3642152931700032;nan;-0.752341560833534;-0.752341560833534;-0.28488786264175403
Ecoli;-0.008256498499881765;-0.43381060890924894;-0.43381060890924894;-0.21916156836999512;-0.20207931630147158;-0.480438449261152;-0.480438449261152;-0.17060791613585768;-0.2859829786141887;-0.49312949777690807;-0.49312949777690807;-0.16947240792522644;-0.30217273477914885;-0.46923314436896907;-0.46923314436896907;-0.11443035048154707;-0.3747841403479753;-0.42975120999243627;-0.42975120999243627;-0.09223038975542835
Glass;0.26176943043442086;-0.4789018292762052;-0.4789018292762052;-0.16144361077721886;0.3871429843461233;-0.303002294569643;-0.303002294569643;0.19853154972388018;0.5044017513532169;-0.3215040675101002;-0.3215040675101002;0.22024815904098374;0.6568766729092764;-0.42942388150600047;-0.42942388150600047;-0.09306281587143132;0.762116130205679;-0.5340292937659742;-0.5340292937659742;-0.41675113099537553
Haberman;-0.16384978866862557;-0.3694663829511208;-0.3694663829511208;nan;-0.1697716004484245;-0.3099379128749296;-0.3099379128749296;nan;nan;-0.32233324473331015;-0.32233324473331015;nan;nan;-0.2842346313447912;-0.2842346313447912;nan;nan;-0.3096974025968151;-0.3096974025968151;-0.056395983062981485
Ionosphere;0.10075323426113895;-0.5913645649455124;-0.5913645649455124;-0.42243564188111965;0.03293125381704888;-0.57465390056476;-0.57465390056476;-0.423547902899443;0.05847034112175868;-0.5719896830574729;-0.5719896830574729;-0.4839929314539735;-0.0850610088054101;-0.6006179769608256;-0.6006179769608256;-0.5099811471732387;-0.2196496327538;-0.612525626643527;-0.612525626643527;-0.5335248897993723
Iris;0.3303209061995994;-0.2257290909862166;-0.2257290909862166;nan;0.37259808616256584;0.0674966414127049;0.0674966414127049;nan;0.3136773709680025;0.2539183112515904;0.2539183112515904;nan;0.6097566661080874;0.2775378511301973;0.2775378511301973;nan;0.5242354858016706;0.30779068522895764;0.30779068522895764;nan
Lung Cancer;0.21038726968113927;-0.3058693028265069;-0.3058693028265069;-0.09643633399187374;0.5565221339980931;-0.425318217329566;-0.425318217329566;-0.14733950031146512;0.5318630687436947;-0.4933138380805793;-0.4933138380805793;-0.15710031096610053;0.49254733864402916;-0.5196473866673373;-0.5196473866673373;-0.14897124651675303;0.44812679327111804;-0.5597128818912697;-0.5597128818912697;-0.14399952868548474
Mfeat factors;0.22432004559364643;-0.1840871581303383;-0.1840871581303383;-0.031838250810503066;0.2113702944963916;-0.216863008654821;-0.216863008654821;-0.051513740436045743;0.20637804889144845;-0.23043864908722936;-0.23043864908722936;-0.06965114825615135;0.20988677624819838;-0.21896371763891348;-0.21896371763891348;-0.056746896269297346;0.23897783968302866;-0.19987356605778342;-0.19987356605778342;-0.037704474392121594
Mfeat fourier;-0.012669878591522713;-0.3672743674954169;-0.3672743674954169;-0.27682923498028367;-0.05737607375047096;-0.38805621065506846;-0.38805621065506846;-0.2912403058834801;-0.09369498256953938;-0.3740363568543442;-0.3740363568543442;-0.2782488821212544;-0.1194914924990603;-0.3481858762112057;-0.3481858762112057;-0.257328992107254;-0.13599208131588858;-0.3231168257387313;-0.3231168257387313;-0.23641376591287722
Mfeat karhunen;0.15340218383955778;-0.310173766900491;-0.310173766900491;-0.19058594288145916;0.17061303601984645;-0.3861834001891985;-0.3861834001891985;-0.27939945070738115;0.12499801302862294;-0.43619489341807854;-0.43619489341807854;-0.3498203647291336;0.06476970828050899;-0.48317837150657345;-0.48317837150657345;-0.4151853186556223;0.046116162039600755;-0.5000693011050283;-0.5000693011050283;-0.44059229098922476
Mfeat morph;0.1497733676097301;-0.08782701965129824;-0.08782701965129824;0.009575489433580216;0.1588542692777571;-0.13345601816303534;-0.13345601816303534;-0.03784718667685282;nan;-0.056002625949004105;-0.056002625949004105;0.08715822064521728;nan;-0.12514787833864519;-0.12514787833864519;-0.07712270742025536;nan;-0.11187426511988163;-0.11187426511988163;-0.08768416722507963
Mfeat pixel;0.22212033511820398;-0.24966199407704842;-0.24966199407704842;-0.13103892037227668;0.2891489550015878;-0.3083652578547905;-0.3083652578547905;-0.203213720393595;0.27897699393410746;-0.36910953393881385;-0.36910953393881385;-0.2882043377803556;0.26352670564463376;-0.42682154867312994;-0.42682154867312994;-0.3642247913251736;0.22729117770994625;-0.4608981937972438;-0.4608981937972438;-0.4104486347000657
Mfeat zernike;0.14986609105251833;-0.229992356719426;-0.229992356719426;-0.09589428250346081;0.11277544770237014;-0.2560940399710915;-0.2560940399710915;-0.15127142431464147;0.12767113199047722;-0.23729868173301888;-0.23729868173301888;-0.13183843138964296;0.14521807489112065;-0.21885278540639835;-0.21885278540639835;-0.10836708042293264;0.15537948600026139;-0.18950626213947908;-0.18950626213947908;-0.07452937114752275
mini_newsgroups-m-norm-tfidf-num-rem1585;-0.029999054314276966;-0.3482335209195285;-0.3482335209195285;-0.36231005919945697;-0.0993483406626863;-0.3615544524758886;-0.3615544524758886;-0.3848310470420199;-0.1126066103731593;-0.37024045692884894;-0.37024045692884894;-0.395534487452651;-0.1411471464436235;-0.37095593975587654;-0.37095593975587654;-0.3959804290937483;-0.14907745912820244;-0.3689220282728018;-0.3689220282728018;-0.3930613703385554
moviereviews-sorted-m-norm-tf;-0.03166136279143929;-0.13212629867346176;-0.13212629867346176;-0.08651954714591852;-0.0074315277778872185;-0.21287825985031308;-0.21287825985031308;-0.1528499266863821;-0.005428628116350509;-0.2646216986504081;-0.2646216986504081;-0.19102262996647676;0.013287509100894867;-0.30854623286219834;-0.30854623286219834;-0.22661870284043573;0.012351990489354002;-0.3438363308785819;-0.3438363308785819;-0.2559401391144559
Optdigits;0.1971150620060042;-0.21247061250163962;-0.21247061250163962;-0.061936911289345614;0.18655587792055028;-0.24274110560878534;-0.24274110560878534;-0.07322689966117285;0.16458094677940996;-0.2726418212279703;-0.2726418212279703;-0.1026360957070569;0.1527730584067993;-0.30066649866822104;-0.30066649866822104;-0.13625540266483185;0.12493433671792384;-0.3265813717507468;-0.3265813717507468;-0.16943814407903135
Ovarian;0.47302065950662886;-0.008073600027273696;-0.008073600027273696;0.22195721272910715;0.5809035695205472;0.07418086361294934;0.07418086361294934;0.3801279655724817;0.5816207803100351;0.21739881454586502;0.21739881454586502;0.5760776582155956;0.5836796919408742;0.18590385905719667;0.18590385905719667;0.5881642519378388;0.6310331264676673;0.19558080831509805;0.19558080831509805;0.6226604278969737
Ozone eighthr;0.2900009259327154;-0.17262497327209622;-0.17262497327209622;-0.06356299371503815;0.2999889364290428;-0.24327613901154233;-0.24327613901154233;-0.06520804505433912;0.3654901300496975;-0.2360592437354513;-0.2360592437354513;-0.044133469831030815;0.4535886837410958;-0.24344992688558542;-0.24344992688558542;-0.03190648957765965;0.49011902440066274;-0.25795324880332876;-0.25795324880332876;-0.024357910760440516
Ozone onehr;0.29123802515385083;-0.17302303543809358;-0.17302303543809358;-0.06481904318975884;0.2980228505970105;-0.24411630762295938;-0.24411630762295938;-0.06631825187446147;0.36557027878345466;-0.23643530563539233;-0.23643530563539233;-0.04488945107255505;0.4516159372207067;-0.24445002128185825;-0.24445002128185825;-0.03294980016289088;0.4892213405907654;-0.2583616489832967;-0.2583616489832967;-0.024875834806040546
Page blocks;0.09050476033839908;-0.3178388993250162;-0.3178388993250162;nan;0.13209990816227196;-0.3287617712086585;-0.3287617712086585;-0.1374066595493374;0.17335570669367875;-0.342650338228271;-0.342650338228271;-0.12222887137450857;0.19622552352951683;-0.3651443646341227;-0.3651443646341227;-0.14491233925947206;0.20334766416563552;-0.3917559734918899;-0.3917559734918899;-0.16594311329957367
Parkinsons;0.35575714207036874;-0.011017929456053023;-0.011017929456053023;0.19649479387968777;0.562778302736521;-0.12583538350260523;-0.12583538350260523;0.12169548167415215;0.5279884007979153;-0.3833454398311152;-0.3833454398311152;-0.2071381186500822;0.17011207098176948;-0.396817571443241;-0.396817571443241;-0.14628719230736514;-0.23183947219944817;-0.23854571602345154;-0.23854571602345154;0.13514595867051674
Pendigits;0.19752794760015288;-0.2750273504877957;-0.2750273504877957;-0.086929232862274;0.2129986836973197;-0.29536522719049796;-0.29536522719049796;-0.0709001638230925;0.2165554282645375;-0.3087916670556782;-0.3087916670556782;-0.07190065321462175;0.21558678438312706;-0.32173187283280447;-0.32173187283280447;-0.08141720999271715;0.20579866419666526;-0.3373629865813628;-0.3373629865813628;-0.1003848543166263
reuters-transcribed-m-norm-tfidf;-0.2641409563786589;-0.44459277608999187;-0.44459277608999187;-0.4537644020960613;-0.36975418883714706;-0.4841292677170651;-0.4841292677170651;-0.5123481258720699;-0.2924327633400082;-0.4958901123170578;-0.4958901123170578;-0.5452605999402793;-0.3431141620814968;-0.4715240988122;-0.4715240988122;-0.5306772389759932;-0.3080607475022586;-0.4463885738562083;-0.4463885738562083;-0.5277255208520311
Segment;-0.0380864020387507;-0.232073288487185;-0.232073288487185;-0.2480617870289494;-0.08803620349069186;-0.23534095130031651;-0.23534095130031651;-0.2062352134385528;-0.1556554952673247;-0.25350367637122556;-0.25350367637122556;-0.1897266332835681;-0.15122239256222145;-0.2758810293400736;-0.2758810293400736;-0.2205825954178989;-0.08408541849820499;-0.2958056827264426;-0.2958056827264426;-0.22856076600840416
