0.02784496188102364
node;in_degree;local_intrinsic_dimensionality
0;3;1
1;0;2
2;3;2
3;7;2
4;7;2
5;3;2
6;1;1
7;3;1
8;0;2
9;0;2
10;0;2
11;7;2
12;4;2
13;1;2
14;5;2
15;4;2
16;2;2
17;2;2
18;5;2
19;4;2
20;3;2
21;3;2
22;2;2
23;3;2
24;3;2
25;3;2
26;3;2
27;4;2
28;5;2
29;3;2
30;3;2
31;3;2
32;5;1
33;6;1
34;3;2
35;0;1
36;0;2
37;0;1
38;1;2
39;1;1
40;4;1
41;6;2
42;3;2
43;2;2
44;6;2
45;4;2
46;4;2
47;4;2
48;3;2
49;2;1
50;4;1
51;6;2
52;0;2
53;1;2
54;4;2
55;3;2
56;1;2
57;4;2
58;3;2
59;4;2
60;3;2
61;2;2
62;3;2
63;4;1
64;5;2
65;5;2
66;1;2
67;5;2
68;4;1
69;2;2
70;2;1
71;2;1
72;2;2
73;1;1
74;1;1
75;0;1
76;1;2
77;3;1
78;4;1
79;2;2
80;7;2
81;4;2
82;3;1
83;3;2
84;6;2
85;5;2
86;2;2
87;4;2
88;3;2
89;2;2
90;1;2
91;1;2
92;2;2
93;3;1
94;4;1
95;4;1
96;1;1
97;4;2
98;3;2
99;3;2
100;3;2
101;1;2
102;4;2
103;4;2
104;3;2
105;6;2
106;1;1
107;2;1
108;1;1
109;2;1
110;4;1
111;4;2
112;6;2
113;2;1
114;2;2
115;3;2
116;2;1
117;4;2
118;3;2
119;3;2
120;3;2
121;4;1
122;3;2
123;3;2
124;4;2
125;3;1
126;3;2
127;2;2
128;2;2
129;2;2
130;3;2
131;4;2
132;0;2
133;3;2
134;2;2
135;3;2
136;3;2
137;3;2
138;2;2
139;2;1
140;1;2
141;2;2
142;5;2
143;5;2
144;4;2
145;3;2
146;6;2
147;5;2
148;5;1
149;3;1
150;1;2
151;2;2
152;4;1
153;3;1
154;3;1
155;3;1
156;5;2
157;2;2
158;4;2
159;3;2
160;6;2
161;3;2
162;2;2
163;2;2
164;2;2
165;3;1
166;4;2
167;1;2
168;2;2
169;5;2
170;5;2
171;3;2
172;2;2
173;4;2
174;1;2
175;2;2
176;2;1
177;2;2
178;1;2
179;1;2
180;4;2
181;3;2
182;5;2
183;6;2
184;5;2
185;1;2
186;3;2
187;6;2
188;4;2
189;4;2
190;1;2
191;1;2
192;3;1
193;3;2
194;4;2
195;3;2
196;2;2
197;7;2
198;4;2
199;5;2
200;2;2
201;1;2
202;1;1
203;3;1
204;5;2
205;5;2
206;0;1
207;4;1
208;1;2
209;2;1
210;2;1
211;6;2
212;6;2
213;0;1
214;4;1
215;3;1
216;2;2
217;2;2
218;2;1
219;3;2
220;5;1
221;5;2
222;4;2
223;1;2
224;0;2
225;2;2
226;4;2
227;4;2
228;5;2
229;5;1
230;2;2
231;4;2
232;4;2
233;4;2
234;2;2
235;1;2
236;2;2
237;3;2
238;4;2
239;3;2
240;8;1
241;3;2
242;4;2
243;3;2
244;1;2
245;5;2
246;5;2
247;6;2
248;2;2
249;5;2
250;2;1
251;2;1
252;2;2
253;4;2
254;5;1
255;4;2
256;0;2
257;2;2
258;1;2
259;3;1
260;1;2
261;4;1
262;1;2
263;3;2
264;2;2
265;2;2
266;8;2
267;7;2
268;3;2
269;2;2
270;0;1
271;0;2
272;1;2
273;2;2
274;0;2
275;2;2
276;4;2
277;0;2
278;1;2
279;2;2
280;4;2
281;5;2
282;6;2
283;5;2
284;5;2
285;4;2
286;3;2
287;3;2
288;2;2
289;3;2
290;2;2
291;3;2
292;0;1
293;1;2
294;5;2
295;5;2
296;8;2
297;4;2
298;0;2
299;2;2
300;6;2
301;3;2
302;1;2
303;2;2
304;1;2
305;2;1
306;1;1
307;1;2
308;3;2
309;5;2
310;3;2
311;2;2
312;6;2
313;3;2
314;1;2
315;7;2
316;4;2
317;4;2
318;2;2
319;4;2
320;3;1
321;2;2
322;2;2
323;2;2
324;3;1
325;3;1
326;2;1
327;3;1
328;3;2
329;2;2
330;3;2
331;5;2
332;1;2
333;3;1
334;6;2
335;2;2
336;5;2
337;2;2
338;3;2
339;4;2
340;4;2
341;4;2
342;3;2
343;2;2
344;2;2
345;0;1
346;2;2
347;3;2
348;2;2
349;3;2
350;1;2
351;4;2
352;6;2
353;5;2
354;3;2
355;3;1
356;2;2
357;3;1
358;3;2
359;2;1
360;3;2
361;1;2
362;2;1
363;2;1
364;2;2
365;4;2
366;6;2
367;4;2
368;4;2
369;0;1
370;2;2
371;6;2
372;4;2
373;5;2
374;2;1
375;3;1
376;2;1
377;2;1
378;2;1
379;2;1
380;4;1
381;3;1
382;3;1
383;3;1
384;3;2
385;3;2
386;3;2
387;3;1
388;2;1
389;2;1
390;5;2
391;4;2
392;3;1
393;3;1
394;4;2
395;3;2
396;2;2
397;4;2
398;2;2
399;3;2
400;2;2
401;5;1
402;4;2
403;3;2
404;3;1
405;3;1
406;3;1
407;2;1
408;1;1
409;3;1
410;4;1
411;3;1
412;4;1
413;2;1
414;2;1
415;2;1
416;0;2
417;4;1
418;4;1
419;5;2
420;3;2
421;4;2
422;5;2
423;3;1
424;4;2
425;2;1
426;1;1
427;1;1
428;2;1
429;7;1
430;0;1
431;5;2
432;2;1
433;7;2
434;2;2
435;1;2
436;3;2
437;3;2
438;3;1
439;3;1
440;1;1
441;5;1
442;6;2
443;1;1
444;5;2
445;2;1
446;2;1
447;2;2
448;4;2
449;2;1
450;1;1
451;2;1
452;5;1
453;2;2
454;5;1
455;5;1
456;5;2
457;2;2
458;0;2
459;3;1
460;3;1
461;3;1
462;3;1
463;2;1
464;3;2
465;3;2
466;4;1
467;3;1
468;3;1
469;4;1
470;4;1
471;2;1
472;1;1
473;3;2
474;5;1
475;1;2
476;5;1
477;5;1
478;0;2
479;1;2
480;2;2
481;5;2
482;5;2
483;2;2
484;2;2
485;1;1
486;5;2
487;4;2
488;2;2
489;4;2
490;1;2
491;5;2
492;5;2
493;3;2
494;0;2
495;5;2
496;1;2
497;2;1
498;3;2
499;3;2
500;1;2
501;2;2
502;2;2
503;4;2
504;4;2
505;3;2
506;5;2
507;6;2
508;3;2
509;2;2
510;2;2
511;4;2
512;4;2
513;6;2
514;6;2
515;3;2
516;2;2
517;4;2
518;3;2
519;1;2
520;1;1
521;7;2
522;2;2
523;3;2
524;1;2
525;4;2
526;1;1
527;0;2
528;3;1
529;3;1
530;3;1
531;4;2
532;4;2
533;4;2
534;4;2
535;5;2
536;0;1
537;3;2
538;1;1
539;1;1
540;4;2
541;2;2
542;1;1
543;7;2
544;2;1
545;0;1
546;6;2
547;5;2
548;3;1
549;2;2
550;2;2
551;4;2
552;2;2
553;4;1
554;4;2
555;1;2
556;2;1
557;2;1
558;0;1
559;1;2
560;4;1
561;4;2
562;3;2
563;3;1
564;1;1
565;7;2
566;8;2
567;2;1
568;5;1
569;2;1
570;2;1
571;0;2
572;3;1
573;1;2
574;4;2
575;4;2
576;5;1
577;0;1
578;4;2
579;3;2
580;5;2
581;3;2
582;4;2
583;5;2
584;2;1
585;3;2
586;0;1
587;1;1
588;2;2
589;4;2
590;5;2
591;4;2
592;5;1
593;3;2
594;1;2
595;4;2
596;3;1
597;3;1
598;1;1
599;6;2
600;1;1
601;1;1
602;4;2
603;4;2
604;5;2
605;1;2
606;1;1
607;1;1
608;3;2
609;1;2
610;3;2
611;3;2
612;3;2
613;3;2
614;3;2
615;0;2
616;5;2
617;2;2
618;4;2
619;4;2
620;5;2
621;4;2
622;6;2
623;2;2
624;4;2
625;3;2
626;6;2
627;4;2
628;1;2
629;1;2
630;0;2
631;3;1
632;4;1
633;3;1
634;3;2
635;4;2
636;3;1
637;5;1
638;2;2
639;2;1
640;3;1
641;4;2
642;3;2
643;4;1
644;2;2
645;3;2
646;3;2
647;1;1
648;5;2
649;5;2
650;4;2
651;1;2
652;5;2
653;0;2
654;3;2
655;3;2
656;4;2
657;3;2
658;3;2
659;4;2
660;3;2
661;4;2
662;1;1
663;2;2
664;2;1
665;2;2
666;5;1
667;2;2
668;2;2
669;3;2
670;4;2
671;0;2
672;3;2
673;4;2
674;4;2
675;3;2
676;3;2
677;3;2
678;3;2
679;4;2
680;3;2
681;3;2
682;2;2
683;2;2
684;2;2
685;2;1
686;5;1
687;6;2
688;5;2
689;2;1
690;4;2
691;4;2
692;3;2
693;5;2
694;4;2
695;1;2
696;2;2
697;3;1
698;1;2
699;3;2
700;2;2
701;3;2
702;3;1
703;3;2
704;3;2
705;6;1
706;2;2
707;3;2
708;3;1
709;0;1
710;2;1
711;1;2
712;3;2
713;3;2
714;6;2
715;5;2
716;3;2
717;4;2
718;2;2
719;3;2
720;3;2
721;4;2
722;3;2
723;3;2
724;5;2
725;2;2
726;2;2
727;2;2
728;0;2
729;1;2
730;4;2
731;2;2
732;1;2
733;2;2
734;4;1
735;5;1
736;2;2
737;3;2
738;8;2
739;5;2
740;3;1
741;2;2
742;2;2
743;3;2
744;3;2
745;3;2
746;2;2
747;3;1
748;1;2
749;2;2
750;2;2
751;6;2
752;6;2
753;4;2
754;3;2
755;2;2
756;2;2
757;4;2
758;2;1
759;4;1
760;3;1
761;3;1
762;3;1
763;3;2
764;1;2
765;4;2
766;2;2
767;2;2
768;7;2
769;6;2
770;2;2
771;3;1
772;2;2
773;2;2
774;3;2
775;3;2
776;0;1
777;1;2
778;3;2
779;1;2
780;1;1
781;2;2
782;3;2
783;2;2
784;2;2
785;3;1
786;2;1
787;1;1
788;5;2
789;5;2
790;5;1
791;3;2
792;2;2
793;2;2
794;4;2
795;0;2
796;6;2
797;3;2
798;6;2
799;1;2
800;1;2
801;0;2
802;4;2
803;4;2
804;4;2
805;3;2
806;4;2
807;3;2
808;4;2
809;4;2
810;2;2
811;3;1
812;2;2
813;2;2
814;1;2
815;1;2
816;4;2
817;6;2
818;2;2
819;2;2
820;5;2
821;3;2
822;4;2
823;3;1
824;3;1
825;1;2
826;0;2
827;3;2
828;4;2
829;3;2
830;2;2
831;3;2
832;5;2
833;6;2
834;3;2
835;1;1
836;2;1
837;3;2
838;6;2
839;3;2
840;2;1
841;2;1
842;3;1
843;5;2
